open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00057940,0.00058200,0.00057770,0.00058010,3774.35000000,1648.54000000,-477.27000000
1676890800000,0.00058010,0.00058300,0.00057950,0.00058140,2076.39000000,1127.40000000,178.41000000
1676894400000,0.00058120,0.00058270,0.00057860,0.00057900,4322.16000000,3038.30000000,1754.44000000
1676898000000,0.00057940,0.00057970,0.00057610,0.00057970,4177.31000000,1483.94000000,-1209.43000000
1676901600000,0.00057990,0.00058100,0.00057490,0.00057840,13360.16000000,2072.12000000,-9215.92000000
1676905200000,0.00057840,0.00057910,0.00057630,0.00057710,6296.80000000,1190.50000000,-3915.80000000
1676908800000,0.00057740,0.00058390,0.00057630,0.00058270,29357.05000000,26112.25000000,22867.45000000
1676912400000,0.00058290,0.00058770,0.00058190,0.00058540,4716.08000000,2879.82000000,1043.56000000
1676916000000,0.00058550,0.00058730,0.00058250,0.00058280,2951.10000000,1214.37000000,-522.36000000
1676919600000,0.00058240,0.00058370,0.00058150,0.00058310,2890.01000000,1583.18000000,276.35000000
1676923200000,0.00058300,0.00058410,0.00058060,0.00058080,2833.47000000,798.21000000,-1237.05000000
1676926800000,0.00058050,0.00058370,0.00058050,0.00058310,2416.55000000,1697.58000000,978.61000000
1676930400000,0.00058330,0.00058340,0.00058000,0.00058040,5277.87000000,4110.10000000,2942.33000000
1676934000000,0.00058060,0.00058220,0.00057980,0.00058060,1854.10000000,837.32000000,-179.46000000
1676937600000,0.00058060,0.00058210,0.00057860,0.00058010,2958.79000000,1392.23000000,-174.33000000
1676941200000,0.00058030,0.00058240,0.00057930,0.00058080,2287.19000000,1226.24000000,165.29000000
1676944800000,0.00058070,0.00058440,0.00057970,0.00058170,4352.25000000,2284.31000000,216.37000000
1676948400000,0.00058220,0.00058240,0.00057850,0.00057920,2417.55000000,1092.64000000,-232.27000000
1676952000000,0.00057890,0.00057970,0.00057400,0.00057560,2900.38000000,848.13000000,-1204.12000000
1676955600000,0.00057540,0.00057660,0.00057390,0.00057440,2869.76000000,1399.50000000,-70.76000000
1676959200000,0.00057440,0.00057540,0.00057210,0.00057460,3854.73000000,2276.62000000,698.51000000
1676962800000,0.00057480,0.00057510,0.00057130,0.00057250,3997.71000000,1329.09000000,-1339.53000000
1676966400000,0.00057240,0.00057380,0.00056790,0.00056900,8965.83000000,4254.21000000,-457.41000000
1676970000000,0.00056880,0.00057100,0.00056770,0.00057020,4242.80000000,2105.21000000,-32.38000000
1676973600000,0.00056970,0.00057090,0.00056800,0.00056920,3027.97000000,1223.42000000,-581.13000000
1676977200000,0.00056900,0.00057100,0.00056770,0.00057040,2515.69000000,1107.48000000,-300.73000000
1676980800000,0.00057080,0.00057140,0.00056830,0.00056930,4702.26000000,2031.52000000,-639.22000000
1676984400000,0.00056920,0.00056940,0.00056110,0.00056420,6898.22000000,2371.87000000,-2154.48000000
1676988000000,0.00056380,0.00056480,0.00056220,0.00056300,7005.85000000,3742.41000000,478.97000000
1676991600000,0.00056280,0.00057190,0.00056220,0.00057150,10002.99000000,7635.47000000,5267.95000000
1676995200000,0.00057160,0.00057200,0.00056730,0.00056960,4255.98000000,2439.76000000,623.54000000
1676998800000,0.00056970,0.00057000,0.00056670,0.00056680,4830.67000000,2854.45000000,878.23000000
1677002400000,0.00056680,0.00056870,0.00056620,0.00056670,2990.51000000,1667.95000000,345.39000000
