open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.01276000,0.01287700,0.01274000,0.01281700,4900.26500000,2307.15800000,-285.94900000
1676890800000,0.01281800,0.01286100,0.01277400,0.01278400,1938.74900000,1128.66700000,318.58500000
1676894400000,0.01278300,0.01280800,0.01274600,0.01276000,1334.67400000,580.62200000,-173.43000000
1676898000000,0.01276000,0.01278100,0.01273100,0.01277800,1545.48100000,666.03900000,-213.40300000
1676901600000,0.01277900,0.01280600,0.01268400,0.01272800,2799.55300000,1310.30300000,-178.94700000
1676905200000,0.01273100,0.01277300,0.01267400,0.01271400,2679.54900000,1217.03200000,-245.48500000
1676908800000,0.01271500,0.01274500,0.01266400,0.01266800,1785.69600000,865.33400000,-55.02800000
1676912400000,0.01266500,0.01269200,0.01264700,0.01265700,1797.43900000,1084.58800000,371.73700000
1676916000000,0.01265600,0.01267200,0.01263100,0.01263100,997.00400000,334.76500000,-327.47400000
1676919600000,0.01263200,0.01267400,0.01260200,0.01265100,1850.57200000,809.93200000,-230.70800000
1676923200000,0.01265200,0.01268400,0.01264100,0.01267700,832.34900000,505.74400000,179.13900000
1676926800000,0.01267700,0.01270500,0.01267700,0.01269800,516.77600000,314.03300000,111.29000000
1676930400000,0.01269900,0.01275000,0.01267100,0.01270500,1357.79400000,683.77500000,9.75600000
1676934000000,0.01270200,0.01271800,0.01267900,0.01269900,642.89800000,283.18900000,-76.52000000
1676937600000,0.01269800,0.01273300,0.01267400,0.01268200,2196.59300000,834.76500000,-527.06300000
1676941200000,0.01268200,0.01269800,0.01265700,0.01268400,1344.34900000,659.11700000,-26.11500000
1676944800000,0.01268300,0.01271500,0.01261500,0.01266900,2317.16600000,995.75900000,-325.64800000
1676948400000,0.01267100,0.01270100,0.01264500,0.01265800,1055.32900000,535.32300000,15.31700000
1676952000000,0.01265900,0.01267200,0.01264200,0.01264800,670.12800000,397.78900000,125.45000000
1676955600000,0.01264800,0.01265400,0.01263300,0.01263600,452.95800000,201.32300000,-50.31200000
1676959200000,0.01263700,0.01266100,0.01262900,0.01264200,780.37100000,374.18800000,-31.99500000
1676962800000,0.01264300,0.01266200,0.01262800,0.01265100,931.81700000,415.03200000,-101.75300000
1676966400000,0.01265000,0.01267000,0.01257000,0.01265400,4561.68600000,1675.23100000,-1211.22400000
1676970000000,0.01265300,0.01271700,0.01264300,0.01265300,1955.09500000,1070.15800000,185.22100000
1676973600000,0.01265300,0.01267200,0.01263200,0.01266800,1081.03000000,475.71100000,-129.60800000
1676977200000,0.01266700,0.01268300,0.01263800,0.01268300,808.73100000,364.10900000,-80.51300000
1676980800000,0.01268300,0.01271800,0.01266600,0.01269300,1096.83900000,567.35600000,37.87300000
1676984400000,0.01269200,0.01277000,0.01267600,0.01270200,2505.68500000,1126.98700000,-251.71100000
1676988000000,0.01270200,0.01275800,0.01268100,0.01270800,1885.64000000,870.44000000,-144.76000000
1676991600000,0.01270800,0.01280000,0.01269500,0.01274400,3515.21300000,1965.20300000,415.19300000
1676995200000,0.01274300,0.01282000,0.01274100,0.01277900,1875.23200000,1127.72200000,380.21200000
1676998800000,0.01277900,0.01279100,0.01270900,0.01270900,1217.24500000,570.75000000,-75.74500000
1677002400000,0.01270800,0.01274700,0.01269100,0.01270700,1231.61600000,539.68000000,-152.25600000
1677006000000,0.01270800,0.01274500,0.01269900,0.01273100,922.48600000,473.36800000,24.25000000
1677009600000,0.01273100,0.01280400,0.01270400,0.01280000,1644.35900000,745.73400000,-152.89100000
1677013200000,0.01280000,0.01284600,0.01276900,0.01280600,2283.20600000,1394.10600000,505.00600000
1677016800000,0.01280600,0.01281400,0.01274100,0.01275700,1413.45800000,606.87800000,-199.70200000
