open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00000356,0.00000358,0.00000355,0.00000357,206003.00000000,174433.00000000,142863.00000000
1676890800000,0.00000356,0.00000358,0.00000355,0.00000358,160118.00000000,87257.00000000,14396.00000000
1676894400000,0.00000358,0.00000359,0.00000354,0.00000356,265467.00000000,69979.00000000,-125509.00000000
1676898000000,0.00000356,0.00000356,0.00000352,0.00000355,135418.00000000,100284.00000000,65150.00000000
1676901600000,0.00000355,0.00000357,0.00000352,0.00000355,307889.00000000,177467.00000000,47045.00000000
1676905200000,0.00000354,0.00000359,0.00000353,0.00000356,335624.00000000,248538.00000000,161452.00000000
1676908800000,0.00000356,0.00000360,0.00000354,0.00000355,217899.00000000,72034.00000000,-73831.00000000
1676912400000,0.00000355,0.00000355,0.00000352,0.00000352,251973.00000000,74425.00000000,-103123.00000000
1676916000000,0.00000353,0.00000353,0.00000350,0.00000351,203213.00000000,67149.00000000,-68915.00000000
1676919600000,0.00000351,0.00000353,0.00000350,0.00000353,207516.00000000,153382.00000000,99248.00000000
1676923200000,0.00000353,0.00000355,0.00000349,0.00000349,453064.00000000,297841.00000000,142618.00000000
1676926800000,0.00000350,0.00000351,0.00000347,0.00000348,332279.00000000,167744.00000000,3209.00000000
1676930400000,0.00000348,0.00000349,0.00000345,0.00000349,324162.00000000,130358.00000000,-63446.00000000
1676934000000,0.00000349,0.00000350,0.00000347,0.00000350,128531.00000000,67057.00000000,5583.00000000
1676937600000,0.00000349,0.00000351,0.00000347,0.00000347,82790.00000000,14821.00000000,-53148.00000000
1676941200000,0.00000348,0.00000348,0.00000344,0.00000345,130676.00000000,52842.00000000,-24992.00000000
1676944800000,0.00000345,0.00000346,0.00000341,0.00000342,507281.00000000,171479.00000000,-164323.00000000
1676948400000,0.00000343,0.00000344,0.00000341,0.00000343,124404.00000000,81924.00000000,39444.00000000
1676952000000,0.00000343,0.00000344,0.00000341,0.00000343,201389.00000000,65198.00000000,-70993.00000000
1676955600000,0.00000343,0.00000345,0.00000341,0.00000342,167472.00000000,98472.00000000,29472.00000000
1676959200000,0.00000343,0.00000343,0.00000341,0.00000342,226693.00000000,111903.00000000,-2887.00000000
1676962800000,0.00000343,0.00000346,0.00000342,0.00000345,397288.00000000,325207.00000000,253126.00000000
1676966400000,0.00000345,0.00000346,0.00000338,0.00000342,552262.00000000,227318.00000000,-97626.00000000
1676970000000,0.00000342,0.00000344,0.00000340,0.00000342,668594.00000000,385808.00000000,103022.00000000
1676973600000,0.00000343,0.00000343,0.00000339,0.00000343,200064.00000000,104846.00000000,9628.00000000
1676977200000,0.00000343,0.00000343,0.00000339,0.00000341,523462.00000000,163536.00000000,-196390.00000000
1676980800000,0.00000340,0.00000343,0.00000340,0.00000342,214477.00000000,57559.00000000,-99359.00000000
1676984400000,0.00000343,0.00000344,0.00000337,0.00000340,641330.00000000,281583.00000000,-78164.00000000
1676988000000,0.00000339,0.00000342,0.00000337,0.00000341,378353.00000000,183090.00000000,-12173.00000000
1676991600000,0.00000340,0.00000341,0.00000338,0.00000340,86190.00000000,38160.00000000,-9870.00000000
1676995200000,0.00000340,0.00000342,0.00000337,0.00000339,210883.00000000,102584.00000000,-5715.00000000
1676998800000,0.00000339,0.00000342,0.00000339,0.00000340,95875.00000000,68239.00000000,40603.00000000
1677002400000,0.00000339,0.00000340,0.00000337,0.00000338,249783.00000000,157565.00000000,65347.00000000
1677006000000,0.00000337,0.00000338,0.00000333,0.00000336,743242.00000000,130942.00000000,-481358.00000000
1677009600000,0.00000336,0.00000337,0.00000335,0.00000336,154183.00000000,62788.00000000,-28607.00000000
1677013200000,0.00000337,0.00000338,0.00000333,0.00000336,420685.00000000,316841.00000000,212997.00000000
1677016800000,0.00000336,0.00000338,0.00000331,0.00000333,688399.00000000,183447.00000000,-321505.00000000
1677020400000,0.00000333,0.00000339,0.00000332,0.00000338,184624.00000000,138232.00000000,91840.00000000
1677024000000,0.00000338,0.00000339,0.00000336,0.00000337,334977.00000000,174785.00000000,14593.00000000
1677027600000,0.00000338,0.00000338,0.00000335,0.00000337,1730057.00000000,340864.00000000,-1048329.00000000
1677031200000,0.00000337,0.00000337,0.00000334,0.00000337,266448.00000000,156675.00000000,46902.00000000
1677034800000,0.00000336,0.00000338,0.00000333,0.00000336,3504757.00000000,2279021.00000000,1053285.00000000
1677038400000,0.00000336,0.00000337,0.00000334,0.00000335,340331.00000000,182289.00000000,24247.00000000
1677042000000,0.00000335,0.00000336,0.00000332,0.00000335,464087.00000000,219591.00000000,-24905.00000000
1677045600000,0.00000335,0.00000336,0.00000332,0.00000332,308325.00000000,246570.00000000,184815.00000000
1677049200000,0.00000332,0.00000334,0.00000330,0.00000333,109531.00000000,55126.00000000,721.00000000
1677052800000,0.00000332,0.00000333,0.00000328,0.00000330,442430.00000000,171543.00000000,-99344.00000000
1677056400000,0.00000329,0.00000333,0.00000329,0.00000330,297656.00000000,152039.00000000,6422.00000000
1677060000000,0.00000331,0.00000334,0.00000331,0.00000334,253452.00000000,133599.00000000,13746.00000000
1677063600000,0.00000334,0.00000336,0.00000333,0.00000336,230752.00000000,137814.00000000,44876.00000000
1677067200000,0.00000336,0.00000340,0.00000336,0.00000338,523204.00000000,444499.00000000,365794.00000000
1677070800000,0.00000338,0.00000339,0.00000336,0.00000337,479358.00000000,277558.00000000,75758.00000000
1677074400000,0.00000337,0.00000339,0.00000333,0.00000335,1215877.00000000,487651.00000000,-240575.00000000
1677078000000,0.00000335,0.00000335,0.00000330,0.00000331,408858.00000000,266877.00000000,124896.00000000
1677081600000,0.00000331,0.00000338,0.00000331,0.00000336,506460.00000000,429055.00000000,351650.00000000
1677085200000,0.00000337,0.00000342,0.00000336,0.00000341,199366.00000000,156085.00000000,112804.00000000
1677088800000,0.00000341,0.00000341,0.00000336,0.00000336,353462.00000000,92453.00000000,-168556.00000000
1677092400000,0.00000336,0.00000343,0.00000336,0.00000342,330725.00000000,191843.00000000,52961.00000000
1677096000000,0.00000341,0.00000342,0.00000338,0.00000340,81706.00000000,53219.00000000,24732.00000000
1677099600000,0.00000339,0.00000342,0.00000339,0.00000342,216647.00000000,166644.00000000,116641.00000000
1677103200000,0.00000342,0.00000343,0.00000339,0.00000341,291050.00000000,222036.00000000,153022.00000000
1677106800000,0.00000341,0.00000342,0.00000339,0.00000341,142661.00000000,21143.00000000,-100375.00000000
1677110400000,0.00000340,0.00000342,0.00000339,0.00000339,222706.00000000,59096.00000000,-104514.00000000
1677114000000,0.00000340,0.00000341,0.00000338,0.00000338,73844.00000000,26247.00000000,-21350.00000000
1677117600000,0.00000339,0.00000341,0.00000336,0.00000338,267445.00000000,155160.00000000,42875.00000000
1677121200000,0.00000337,0.00000339,0.00000337,0.00000337,92555.00000000,49603.00000000,6651.00000000
1677124800000,0.00000338,0.00000340,0.00000336,0.00000339,94290.00000000,24701.00000000,-44888.00000000
1677128400000,0.00000339,0.00000340,0.00000338,0.00000339,693536.00000000,119927.00000000,-453682.00000000
1677132000000,0.00000338,0.00000339,0.00000337,0.00000338,155803.00000000,122993.00000000,90183.00000000
1677135600000,0.00000339,0.00000340,0.00000337,0.00000338,160985.00000000,101171.00000000,41357.00000000
1677139200000,0.00000338,0.00000341,0.00000338,0.00000339,198910.00000000,94314.00000000,-10282.00000000
1677142800000,0.00000339,0.00000339,0.00000336,0.00000338,166787.00000000,63349.00000000,-40089.00000000
1677146400000,0.00000338,0.00000341,0.00000337,0.00000340,1181517.00000000,663425.00000000,145333.00000000
1677150000000,0.00000341,0.00000341,0.00000336,0.00000339,326475.00000000,96268.00000000,-133939.00000000
1677153600000,0.00000339,0.00000341,0.00000339,0.00000341,384592.00000000,204663.00000000,24734.00000000
1677157200000,0.00000341,0.00000341,0.00000338,0.00000338,289058.00000000,104281.00000000,-80496.00000000
1677160800000,0.00000339,0.00000342,0.00000337,0.00000340,160701.00000000,56788.00000000,-47125.00000000
1677164400000,0.00000341,0.00000341,0.00000338,0.00000338,204132.00000000,63780.00000000,-76572.00000000
1677168000000,0.00000338,0.00000339,0.00000337,0.00000339,106954.00000000,42619.00000000,-21716.00000000
1677171600000,0.00000339,0.00000339,0.00000335,0.00000336,128939.00000000,13409.00000000,-102121.00000000
1677175200000,0.00000336,0.00000337,0.00000334,0.00000336,94023.00000000,50820.00000000,7617.00000000
1677178800000,0.00000336,0.00000340,0.00000335,0.00000338,519368.00000000,366271.00000000,213174.00000000
1677182400000,0.00000338,0.00000340,0.00000337,0.00000339,76223.00000000,51835.00000000,27447.00000000
1677186000000,0.00000339,0.00000339,0.00000336,0.00000338,164843.00000000,44935.00000000,-74973.00000000
1677189600000,0.00000338,0.00000338,0.00000335,0.00000335,61357.00000000,39356.00000000,17355.00000000
1677193200000,0.00000336,0.00000338,0.00000335,0.00000338,67759.00000000,34487.00000000,1215.00000000
1677196800000,0.00000337,0.00000338,0.00000335,0.00000338,214989.00000000,114600.00000000,14211.00000000
1677200400000,0.00000337,0.00000338,0.00000336,0.00000338,172411.00000000,88483.00000000,4555.00000000
1677204000000,0.00000338,0.00000339,0.00000337,0.00000338,105116.00000000,29201.00000000,-46714.00000000
1677207600000,0.00000338,0.00000338,0.00000336,0.00000336,55999.00000000,25440.00000000,-5119.00000000
1677211200000,0.00000337,0.00000337,0.00000335,0.00000336,67924.00000000,35471.00000000,3018.00000000
1677214800000,0.00000335,0.00000341,0.00000333,0.00000341,921940.00000000,325627.00000000,-270686.00000000
1677218400000,0.00000340,0.00000344,0.00000340,0.00000342,912607.00000000,139098.00000000,-634411.00000000
1677222000000,0.00000341,0.00000345,0.00000341,0.00000342,644411.00000000,400062.00000000,155713.00000000
1677225600000,0.00000342,0.00000344,0.00000340,0.00000341,177157.00000000,65710.00000000,-45737.00000000
