open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00016570,0.00016810,0.00016530,0.00016690,6786.30000000,3891.40000000,996.50000000
1676890800000,0.00016680,0.00016680,0.00016540,0.00016550,3731.20000000,1790.70000000,-149.80000000
1676894400000,0.00016550,0.00016590,0.00016380,0.00016430,3275.90000000,1678.70000000,81.50000000
1676898000000,0.00016430,0.00016800,0.00016400,0.00016690,20506.00000000,3632.70000000,-13240.60000000
1676901600000,0.00016580,0.00016730,0.00016300,0.00016680,4317.80000000,2316.50000000,315.20000000
1676905200000,0.00016620,0.00017250,0.00016590,0.00016820,85547.00000000,21848.00000000,-41851.00000000
1676908800000,0.00016780,0.00016780,0.00016470,0.00016520,7422.10000000,2444.80000000,-2532.50000000
1676912400000,0.00016520,0.00016570,0.00016450,0.00016570,6568.70000000,1614.20000000,-3340.30000000
1676916000000,0.00016620,0.00016700,0.00016510,0.00016540,1612.10000000,916.40000000,220.70000000
1676919600000,0.00016490,0.00016720,0.00016490,0.00016600,2920.40000000,2230.30000000,1540.20000000
1676923200000,0.00016590,0.00016680,0.00016430,0.00016600,3075.20000000,1594.10000000,113.00000000
1676926800000,0.00016660,0.00017190,0.00016660,0.00017040,17794.40000000,13147.10000000,8499.80000000
1676930400000,0.00017040,0.00017110,0.00016850,0.00016910,6360.50000000,888.10000000,-4584.30000000
1676934000000,0.00016900,0.00016930,0.00016800,0.00016850,1556.90000000,254.80000000,-1047.30000000
1676937600000,0.00016900,0.00017310,0.00016810,0.00016930,10337.60000000,8751.70000000,7165.80000000
1676941200000,0.00016930,0.00017240,0.00016930,0.00017120,4201.70000000,2038.80000000,-124.10000000
1676944800000,0.00017100,0.00017300,0.00017100,0.00017270,5927.10000000,4488.40000000,3049.70000000
1676948400000,0.00017280,0.00017290,0.00016900,0.00016980,3865.20000000,1031.70000000,-1801.80000000
1676952000000,0.00017010,0.00017770,0.00017010,0.00017380,19236.20000000,13015.40000000,6794.60000000
1676955600000,0.00017400,0.00017410,0.00017210,0.00017330,2758.10000000,836.80000000,-1084.50000000
1676959200000,0.00017390,0.00017550,0.00017210,0.00017340,4943.60000000,1774.00000000,-1395.60000000
1676962800000,0.00017320,0.00017450,0.00017280,0.00017310,1347.80000000,388.30000000,-571.20000000
1676966400000,0.00017300,0.00017380,0.00016830,0.00017320,46344.50000000,19204.90000000,-7934.70000000
1676970000000,0.00017350,0.00017820,0.00017260,0.00017570,95729.80000000,60718.20000000,25706.60000000
1676973600000,0.00017630,0.00017650,0.00016970,0.00017150,18165.20000000,5955.90000000,-6253.40000000
1676977200000,0.00017190,0.00017500,0.00017040,0.00017260,75073.10000000,37990.40000000,907.70000000
1676980800000,0.00017280,0.00017740,0.00017270,0.00017350,50124.40000000,19938.20000000,-10248.00000000
1676984400000,0.00017340,0.00017340,0.00016550,0.00016690,9195.50000000,1982.80000000,-5229.90000000
1676988000000,0.00016660,0.00016850,0.00016470,0.00016720,41692.00000000,35609.20000000,29526.40000000
1676991600000,0.00016600,0.00016640,0.00016200,0.00016510,26996.30000000,14404.60000000,1812.90000000
1676995200000,0.00016490,0.00016560,0.00016230,0.00016390,6875.40000000,3052.20000000,-771.00000000
1676998800000,0.00016410,0.00016480,0.00016350,0.00016390,2826.80000000,1093.50000000,-639.80000000
1677002400000,0.00016350,0.00016400,0.00016210,0.00016290,2941.30000000,1398.00000000,-145.30000000
1677006000000,0.00016230,0.00016360,0.00016160,0.00016210,3321.50000000,1203.30000000,-914.90000000
1677009600000,0.00016240,0.00016260,0.00016000,0.00016060,4209.10000000,1160.60000000,-1887.90000000
1677013200000,0.00016060,0.00016210,0.00015950,0.00016100,4691.40000000,1972.20000000,-747.00000000
1677016800000,0.00016070,0.00016160,0.00015980,0.00016000,1344.10000000,527.20000000,-289.70000000
1677020400000,0.00016000,0.00016140,0.00016000,0.00016130,1688.30000000,1109.10000000,529.90000000
1677024000000,0.00016160,0.00016160,0.00015750,0.00015810,9124.00000000,1725.80000000,-5672.40000000
1677027600000,0.00015830,0.00015910,0.00015600,0.00015700,4897.10000000,2997.90000000,1098.70000000
1677031200000,0.00015740,0.00015740,0.00015530,0.00015600,5857.60000000,2689.10000000,-479.40000000
1677034800000,0.00015640,0.00015920,0.00015640,0.00015850,11460.30000000,1707.20000000,-8045.90000000
1677038400000,0.00015900,0.00015930,0.00015770,0.00015830,2389.40000000,626.80000000,-1135.80000000
1677042000000,0.00015880,0.00016140,0.00015830,0.00016050,65660.50000000,9979.20000000,-45702.10000000
1677045600000,0.00016040,0.00016140,0.00015890,0.00015910,5474.50000000,4349.50000000,3224.50000000
1677049200000,0.00015910,0.00015920,0.00015750,0.00015790,5837.70000000,2458.00000000,-921.70000000
1677052800000,0.00015770,0.00015790,0.00015350,0.00015450,18720.90000000,11325.80000000,3930.70000000
1677056400000,0.00015450,0.00015560,0.00015440,0.00015540,8122.10000000,6492.10000000,4862.10000000
1677060000000,0.00015510,0.00015680,0.00015510,0.00015580,6774.10000000,2976.00000000,-822.10000000
1677063600000,0.00015590,0.00015590,0.00015460,0.00015510,1865.90000000,784.20000000,-297.50000000
1677067200000,0.00015570,0.00015760,0.00015570,0.00015630,2428.80000000,2011.60000000,1594.40000000
1677070800000,0.00015630,0.00015730,0.00015590,0.00015690,2034.70000000,1740.40000000,1446.10000000
1677074400000,0.00015690,0.00015700,0.00015520,0.00015600,11342.70000000,979.60000000,-9383.50000000
1677078000000,0.00015530,0.00015650,0.00015430,0.00015550,13974.70000000,10311.60000000,6648.50000000
1677081600000,0.00015580,0.00015680,0.00015540,0.00015610,5373.70000000,1572.00000000,-2229.70000000
1677085200000,0.00015660,0.00015700,0.00015530,0.00015680,1808.20000000,1225.90000000,643.60000000
1677088800000,0.00015640,0.00015840,0.00015640,0.00015810,5859.90000000,2596.30000000,-667.30000000
1677092400000,0.00015780,0.00015930,0.00015700,0.00015710,2220.20000000,1260.70000000,301.20000000
1677096000000,0.00015720,0.00015760,0.00015600,0.00015600,3814.60000000,572.80000000,-2669.00000000
