open_time,open,high,low,close,volume,taker_buy,delta
1740056400000,0.00000104,0.00002900,0.00000104,0.00001162,828676.70000000,285999.90000000,-256676.90000000
1740060000000,0.00001163,0.00001165,0.00000912,0.00000954,220536.60000000,94991.90000000,-30552.80000000
1740063600000,0.00000949,0.00000989,0.00000919,0.00000953,76785.40000000,39831.70000000,2878.00000000
1740067200000,0.00000951,0.00001036,0.00000920,0.00001002,263647.70000000,142640.80000000,21633.90000000
1740070800000,0.00001001,0.00001293,0.00000973,0.00001258,349201.30000000,187244.00000000,25286.70000000
1740074400000,0.00001257,0.00001341,0.00001190,0.00001263,382885.80000000,190971.80000000,-942.20000000
1740078000000,0.00001262,0.00001350,0.00001217,0.00001250,130507.90000000,70048.20000000,9588.50000000
1740081600000,0.00001248,0.00001290,0.00001217,0.00001270,19637.00000000,7651.10000000,-4334.80000000
1740085200000,0.00001270,0.00002137,0.00001260,0.00001719,882069.10000000,441851.10000000,1633.10000000
1740088800000,0.00001719,0.00001947,0.00001710,0.00001770,264365.30000000,130956.80000000,-2451.70000000
1740092400000,0.00001771,0.00002024,0.00001612,0.00001676,179003.10000000,87869.20000000,-3264.70000000
1740096000000,0.00001658,0.00001669,0.00001355,0.00001374,233272.20000000,123323.40000000,13374.60000000
1740099600000,0.00001385,0.00001547,0.00001343,0.00001456,185858.80000000,87167.70000000,-11523.40000000
1740103200000,0.00001455,0.00001497,0.00001288,0.00001343,150646.20000000,72324.80000000,-5996.60000000
1740106800000,0.00001345,0.00001410,0.00001304,0.00001378,97484.30000000,47983.00000000,-1518.30000000
1740110400000,0.00001376,0.00001468,0.00001366,0.00001433,289169.20000000,154065.10000000,18961.00000000
1740114000000,0.00001431,0.00001629,0.00001401,0.00001623,106343.40000000,49601.60000000,-7140.20000000
1740117600000,0.00001615,0.00001803,0.00001553,0.00001630,189312.50000000,92743.50000000,-3825.50000000
1740121200000,0.00001632,0.00001676,0.00001540,0.00001607,77496.80000000,38814.30000000,131.80000000
1740124800000,0.00001608,0.00001667,0.00001548,0.00001661,38615.40000000,19195.20000000,-225.00000000
1740128400000,0.00001668,0.00001999,0.00001631,0.00001772,123843.50000000,65144.70000000,6445.90000000
1740132000000,0.00001772,0.00001996,0.00001753,0.00001924,139173.90000000,62251.50000000,-14670.90000000
1740135600000,0.00001924,0.00002311,0.00001777,0.00001851,221873.40000000,107078.00000000,-7717.40000000
1740139200000,0.00001850,0.00001888,0.00001711,0.00001788,115595.80000000,50637.00000000,-14321.80000000
1740142800000,0.00001791,0.00001851,0.00001728,0.00001832,56972.20000000,27141.80000000,-2688.60000000
1740146400000,0.00001831,0.00001949,0.00001797,0.00001879,150346.60000000,73916.00000000,-2514.60000000
1740150000000,0.00001876,0.00002127,0.00001706,0.00001849,375002.00000000,167725.20000000,-39551.60000000
1740153600000,0.00001847,0.00002008,0.00001830,0.00001923,177776.10000000,77512.20000000,-22751.70000000
1740157200000,0.00001918,0.00001919,0.00001745,0.00001792,85943.10000000,33198.00000000,-19547.10000000
