open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00012194,0.00012261,0.00012146,0.00012172,13246.49000000,7059.81000000,873.13000000
1676890800000,0.00012179,0.00012231,0.00012123,0.00012186,19086.74000000,7555.83000000,-3975.08000000
1676894400000,0.00012178,0.00012178,0.00012040,0.00012085,12096.01000000,7081.75000000,2067.49000000
1676898000000,0.00012083,0.00012123,0.00011969,0.00012040,9859.08000000,2366.03000000,-5127.02000000
1676901600000,0.00012041,0.00012050,0.00011716,0.00011781,88926.72000000,25955.19000000,-37016.34000000
1676905200000,0.00011769,0.00011804,0.00011635,0.00011655,41730.36000000,22663.70000000,3597.04000000
1676908800000,0.00011669,0.00012135,0.00011430,0.00011662,61098.34000000,42888.24000000,24678.14000000
1676912400000,0.00011651,0.00011669,0.00011550,0.00011560,8995.26000000,4399.95000000,-195.36000000
1676916000000,0.00011562,0.00011635,0.00011550,0.00011583,7085.18000000,3269.52000000,-546.14000000
1676919600000,0.00011578,0.00011674,0.00011533,0.00011618,12300.43000000,7851.39000000,3402.35000000
1676923200000,0.00011630,0.00011672,0.00011583,0.00011623,7626.08000000,2208.60000000,-3208.88000000
1676926800000,0.00011622,0.00011700,0.00011585,0.00011609,8195.50000000,3973.25000000,-249.00000000
1676930400000,0.00011615,0.00011789,0.00011601,0.00011707,15142.16000000,10609.51000000,6076.86000000
1676934000000,0.00011705,0.00011843,0.00011687,0.00011771,12566.13000000,6734.54000000,902.95000000
1676937600000,0.00011784,0.00011873,0.00011718,0.00011796,15710.95000000,7613.35000000,-484.25000000
1676941200000,0.00011803,0.00011953,0.00011803,0.00011856,23905.46000000,10985.69000000,-1934.08000000
1676944800000,0.00011872,0.00012065,0.00011861,0.00012014,39816.05000000,21314.17000000,2812.29000000
1676948400000,0.00012010,0.00012019,0.00011847,0.00011870,13497.30000000,7187.54000000,877.78000000
1676952000000,0.00011876,0.00011942,0.00011706,0.00011706,9150.42000000,2314.22000000,-4521.98000000
1676955600000,0.00011708,0.00011822,0.00011708,0.00011770,8322.97000000,3442.37000000,-1438.23000000
1676959200000,0.00011783,0.00011921,0.00011783,0.00011868,26294.73000000,12354.89000000,-1584.95000000
1676962800000,0.00011856,0.00011856,0.00011735,0.00011751,9999.23000000,2427.18000000,-5144.87000000
1676966400000,0.00011758,0.00011799,0.00011369,0.00011404,65944.39000000,20459.79000000,-25024.81000000
1676970000000,0.00011416,0.00011513,0.00011293,0.00011433,48215.79000000,18990.44000000,-10234.91000000
1676973600000,0.00011451,0.00011469,0.00011173,0.00011234,55394.16000000,9033.80000000,-37326.56000000
1676977200000,0.00011239,0.00011274,0.00011138,0.00011181,25093.23000000,8558.04000000,-7977.15000000
1676980800000,0.00011184,0.00011327,0.00011163,0.00011248,16859.70000000,6566.29000000,-3727.12000000
1676984400000,0.00011247,0.00011331,0.00011080,0.00011155,27421.15000000,9775.69000000,-7869.77000000
1676988000000,0.00011154,0.00011515,0.00011118,0.00011223,54446.51000000,27306.13000000,165.75000000
1676991600000,0.00011224,0.00011242,0.00010932,0.00011067,63759.22000000,27529.70000000,-8699.82000000
1676995200000,0.00011071,0.00011237,0.00011023,0.00011103,21634.22000000,13384.65000000,5135.08000000
1676998800000,0.00011115,0.00011200,0.00011115,0.00011183,12949.86000000,9378.04000000,5806.22000000
1677002400000,0.00011170,0.00011403,0.00011158,0.00011365,76200.86000000,14012.37000000,-48176.12000000
1677006000000,0.00011356,0.00011362,0.00011263,0.00011263,13191.02000000,8016.82000000,2842.62000000
1677009600000,0.00011262,0.00011315,0.00011208,0.00011257,74729.44000000,66469.65000000,58209.86000000
1677013200000,0.00011270,0.00011406,0.00011208,0.00011335,13706.68000000,8032.70000000,2358.72000000
1677016800000,0.00011350,0.00011454,0.00011307,0.00011417,64326.15000000,8748.00000000,-46830.15000000
1677020400000,0.00011411,0.00011440,0.00011332,0.00011434,9700.42000000,5106.68000000,512.94000000
