open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00010829,0.00011170,0.00010813,0.00010908,111180.80000000,70520.90000000,29861.00000000
1676890800000,0.00010899,0.00010979,0.00010878,0.00010912,42685.30000000,31269.20000000,19853.10000000
1676894400000,0.00010920,0.00010923,0.00010811,0.00010831,74039.30000000,14199.90000000,-45639.50000000
1676898000000,0.00010834,0.00010924,0.00010780,0.00010923,33066.30000000,22250.10000000,11433.90000000
1676901600000,0.00010926,0.00010976,0.00010831,0.00010904,31295.70000000,14351.20000000,-2593.30000000
1676905200000,0.00010912,0.00011017,0.00010873,0.00010966,46146.60000000,25739.70000000,5332.80000000
1676908800000,0.00010965,0.00011036,0.00010823,0.00010923,44117.40000000,22222.00000000,326.60000000
1676912400000,0.00010938,0.00010967,0.00010881,0.00010939,18893.90000000,8504.10000000,-1885.70000000
1676916000000,0.00010953,0.00011050,0.00010821,0.00010838,36503.20000000,17078.00000000,-2347.20000000
1676919600000,0.00010837,0.00010970,0.00010837,0.00010958,25193.00000000,19111.50000000,13030.00000000
1676923200000,0.00010956,0.00011019,0.00010925,0.00011004,13238.00000000,6381.80000000,-474.40000000
1676926800000,0.00011005,0.00011028,0.00010907,0.00010907,10471.00000000,3595.40000000,-3280.20000000
1676930400000,0.00010916,0.00010958,0.00010882,0.00010926,17714.60000000,8789.30000000,-136.00000000
1676934000000,0.00010923,0.00010952,0.00010834,0.00010871,16287.20000000,7130.30000000,-2026.60000000
1676937600000,0.00010871,0.00010913,0.00010762,0.00010798,28918.80000000,11295.60000000,-6327.60000000
1676941200000,0.00010791,0.00010812,0.00010731,0.00010737,24785.40000000,12489.30000000,193.20000000
1676944800000,0.00010736,0.00010771,0.00010696,0.00010719,18016.50000000,7415.40000000,-3185.70000000
1676948400000,0.00010715,0.00010888,0.00010679,0.00010860,27666.30000000,15098.30000000,2530.30000000
1676952000000,0.00010870,0.00010886,0.00010677,0.00010711,19254.40000000,9127.50000000,-999.40000000
1676955600000,0.00010715,0.00010768,0.00010692,0.00010758,14217.30000000,7249.20000000,281.10000000
1676959200000,0.00010763,0.00010820,0.00010720,0.00010809,16503.30000000,7147.70000000,-2207.90000000
1676962800000,0.00010809,0.00010810,0.00010729,0.00010733,10736.20000000,4659.00000000,-1418.20000000
1676966400000,0.00010734,0.00010747,0.00010443,0.00010480,81948.30000000,39456.40000000,-3035.50000000
1676970000000,0.00010485,0.00010595,0.00010485,0.00010540,25081.10000000,14832.70000000,4584.30000000
1676973600000,0.00010539,0.00010556,0.00010410,0.00010466,34568.20000000,12926.70000000,-8714.80000000
1676977200000,0.00010462,0.00010473,0.00010387,0.00010473,36403.20000000,12493.80000000,-11415.60000000
