open_time,open,high,low,close,volume,taker_buy,delta
1699358400000,0.00017010,0.00034000,0.00017010,0.00030440,42570.24000000,15234.56000000,-12101.12000000
1699362000000,0.00030490,0.00030990,0.00028440,0.00029860,12205.48000000,5283.63000000,-1638.22000000
1699365600000,0.00029770,0.00030040,0.00028920,0.00029730,10418.54000000,4518.35000000,-1381.84000000
1699369200000,0.00029720,0.00029780,0.00029020,0.00029300,4706.98000000,2341.09000000,-24.80000000
1699372800000,0.00029230,0.00042140,0.00028930,0.00037210,41983.35000000,18353.05000000,-5277.25000000
1699376400000,0.00036990,0.00042790,0.00035850,0.00037100,38705.54000000,15700.25000000,-7305.04000000
1699380000000,0.00037140,0.00037770,0.00035530,0.00036180,12817.86000000,5913.17000000,-991.52000000
1699383600000,0.00036170,0.00039580,0.00035730,0.00038790,12644.14000000,7043.99000000,1443.84000000
1699387200000,0.00038890,0.00041840,0.00038110,0.00038330,14135.40000000,5717.79000000,-2699.82000000
1699390800000,0.00038360,0.00040130,0.00036240,0.00037020,15196.57000000,5749.78000000,-3697.01000000
1699394400000,0.00037420,0.00038450,0.00036070,0.00036690,6169.64000000,2661.61000000,-846.42000000
1699398000000,0.00036940,0.00039440,0.00036620,0.00038570,10879.20000000,4851.47000000,-1176.26000000
1699401600000,0.00038570,0.00040000,0.00037380,0.00039350,6733.37000000,2911.54000000,-910.29000000
1699405200000,0.00039480,0.00039780,0.00037270,0.00037620,9092.22000000,2531.41000000,-4029.40000000
1699408800000,0.00037550,0.00038460,0.00036370,0.00038120,6576.51000000,1972.87000000,-2630.77000000
1699412400000,0.00038140,0.00038510,0.00037440,0.00037810,4738.65000000,1946.63000000,-845.39000000
1699416000000,0.00037810,0.00039340,0.00037640,0.00038420,6001.40000000,2540.01000000,-921.38000000
1699419600000,0.00038290,0.00041620,0.00038000,0.00040470,11980.72000000,5496.39000000,-987.94000000
1699423200000,0.00040420,0.00040420,0.00038090,0.00039000,7040.21000000,2793.95000000,-1452.31000000
1699426800000,0.00039020,0.00039210,0.00038230,0.00038830,3600.95000000,1719.15000000,-162.65000000
1699430400000,0.00039030,0.00039310,0.00036560,0.00037630,17157.27000000,6354.06000000,-4449.15000000
1699434000000,0.00037610,0.00038600,0.00037080,0.00037170,8056.46000000,2969.10000000,-2118.26000000
1699437600000,0.00037150,0.00037960,0.00036810,0.00037080,4295.37000000,2122.95000000,-49.47000000
1699441200000,0.00037050,0.00037050,0.00035360,0.00036340,9067.52000000,3890.09000000,-1287.34000000
1699444800000,0.00036290,0.00036570,0.00033100,0.00034090,18638.65000000,7434.33000000,-3769.99000000
1699448400000,0.00034100,0.00034650,0.00033340,0.00034110,10343.89000000,4448.89000000,-1446.11000000
1699452000000,0.00034100,0.00036010,0.00034030,0.00035500,13813.41000000,6901.06000000,-11.29000000
1699455600000,0.00035480,0.00036170,0.00034630,0.00035270,5564.59000000,2281.62000000,-1001.35000000
1699459200000,0.00035460,0.00036260,0.00034890,0.00036030,4415.77000000,2164.70000000,-86.37000000
1699462800000,0.00035950,0.00036100,0.00035220,0.00035400,1813.10000000,545.70000000,-721.70000000
1699466400000,0.00035380,0.00035550,0.00034800,0.00035170,3484.51000000,2227.02000000,969.53000000
1699470000000,0.00035190,0.00035310,0.00034750,0.00034930,1373.40000000,267.46000000,-838.48000000
1699473600000,0.00034700,0.00035550,0.00034700,0.00035420,1270.59000000,203.79000000,-863.01000000
1699477200000,0.00035460,0.00036500,0.00035460,0.00035990,5201.04000000,2583.30000000,-34.44000000
1699480800000,0.00035900,0.00036500,0.00035320,0.00035410,2451.10000000,1325.62000000,200.14000000
1699484400000,0.00035360,0.00035630,0.00034550,0.00035370,3063.21000000,1767.74000000,472.27000000
