open_time,open,high,low,close,volume,taker_buy,delta
1731657600000,0.00001855,0.00002900,0.00001855,0.00002205,59476.30000000,20916.30000000,-17643.70000000
1731661200000,0.00002168,0.00002267,0.00002126,0.00002140,24993.60000000,10373.90000000,-4245.80000000
1731664800000,0.00002127,0.00002140,0.00002036,0.00002036,5875.90000000,3125.80000000,375.70000000
1731668400000,0.00002014,0.00002140,0.00001972,0.00002140,9364.10000000,5167.20000000,970.30000000
1731672000000,0.00002151,0.00002163,0.00002055,0.00002055,18625.20000000,7282.90000000,-4059.40000000
1731675600000,0.00002051,0.00002267,0.00001935,0.00001950,33630.00000000,9521.10000000,-14587.80000000
1731679200000,0.00001950,0.00002008,0.00001869,0.00001887,50862.40000000,17364.90000000,-16132.60000000
1731682800000,0.00001888,0.00002267,0.00001859,0.00002146,65097.30000000,41951.30000000,18805.30000000
1731686400000,0.00002195,0.00002885,0.00001993,0.00002000,598023.80000000,327418.10000000,56812.40000000
1731690000000,0.00002001,0.00002024,0.00001910,0.00001950,418930.60000000,258018.60000000,97106.60000000
1731693600000,0.00001944,0.00001955,0.00001871,0.00001914,40627.50000000,16538.10000000,-7551.30000000
1731697200000,0.00001915,0.00001982,0.00001915,0.00001958,28723.60000000,17901.30000000,7079.00000000
1731700800000,0.00001953,0.00002025,0.00001935,0.00001960,47091.90000000,28396.70000000,9701.50000000
1731704400000,0.00001964,0.00002190,0.00001923,0.00001972,17886.10000000,8060.90000000,-1764.30000000
1731708000000,0.00001977,0.00001985,0.00001906,0.00001948,15485.70000000,8273.80000000,1061.90000000
1731711600000,0.00001947,0.00001955,0.00001857,0.00001904,67117.30000000,31126.80000000,-4863.70000000
1731715200000,0.00001899,0.00002102,0.00001789,0.00001897,46598.90000000,24452.80000000,2306.70000000
1731718800000,0.00001898,0.00001965,0.00001882,0.00001929,29154.10000000,15159.70000000,1165.30000000
1731722400000,0.00001929,0.00002088,0.00001917,0.00002025,61269.40000000,26662.70000000,-7944.00000000
1731726000000,0.00002023,0.00002106,0.00001981,0.00002016,36040.10000000,20967.70000000,5895.30000000
1731729600000,0.00002019,0.00002111,0.00001989,0.00002023,37277.90000000,16430.60000000,-4416.70000000
1731733200000,0.00002023,0.00002052,0.00002003,0.00002009,16634.20000000,4095.00000000,-8444.20000000
1731736800000,0.00002011,0.00002092,0.00001990,0.00002060,20336.90000000,12442.10000000,4547.30000000
1731740400000,0.00002062,0.00002139,0.00002034,0.00002059,26178.00000000,10833.00000000,-4512.00000000
1731744000000,0.00002059,0.00002087,0.00001998,0.00002002,177406.60000000,9567.30000000,-158272.00000000
1731747600000,0.00002002,0.00002022,0.00001940,0.00001993,30150.20000000,15527.70000000,905.20000000
1731751200000,0.00001996,0.00002106,0.00001993,0.00002090,20200.20000000,13906.40000000,7612.60000000
1731754800000,0.00002090,0.00002090,0.00001975,0.00002021,30277.90000000,12786.20000000,-4705.50000000
1731758400000,0.00002022,0.00002029,0.00001980,0.00002003,37684.00000000,8728.00000000,-20228.00000000
1731762000000,0.00002004,0.00002022,0.00001959,0.00002006,24029.30000000,7504.90000000,-9019.50000000
1731765600000,0.00002004,0.00002006,0.00001908,0.00001919,31322.30000000,14512.80000000,-2296.70000000
1731769200000,0.00001921,0.00001949,0.00001883,0.00001911,105372.80000000,35064.40000000,-35244.00000000
1731772800000,0.00001913,0.00001943,0.00001866,0.00001867,37740.70000000,17247.50000000,-3245.70000000
1731776400000,0.00001867,0.00001940,0.00001863,0.00001914,11911.50000000,6673.20000000,1434.90000000
1731780000000,0.00001916,0.00001926,0.00001896,0.00001897,6306.90000000,2665.40000000,-976.10000000
1731783600000,0.00001899,0.00001938,0.00001890,0.00001908,12852.30000000,4923.50000000,-3005.30000000
1731787200000,0.00001907,0.00001911,0.00001868,0.00001870,11241.90000000,5263.60000000,-714.70000000
1731790800000,0.00001876,0.00001893,0.00001862,0.00001862,8623.40000000,2645.90000000,-3331.60000000
1731794400000,0.00001858,0.00001872,0.00001827,0.00001842,25735.40000000,8289.20000000,-9157.00000000
1731798000000,0.00001844,0.00001899,0.00001826,0.00001862,42580.00000000,7217.40000000,-28145.20000000
1731801600000,0.00001869,0.00001894,0.00001835,0.00001850,10303.40000000,3759.20000000,-2785.00000000
1731805200000,0.00001849,0.00001861,0.00001740,0.00001778,74900.00000000,20015.60000000,-34868.80000000
1731808800000,0.00001774,0.00001791,0.00001678,0.00001682,57984.90000000,15874.00000000,-26236.90000000
1731812400000,0.00001683,0.00001743,0.00001617,0.00001739,151203.00000000,75965.80000000,728.60000000
1731816000000,0.00001738,0.00001775,0.00001704,0.00001751,218103.70000000,12893.00000000,-192317.70000000
1731819600000,0.00001749,0.00001769,0.00001725,0.00001751,22343.60000000,7988.80000000,-6366.00000000
1731823200000,0.00001749,0.00001795,0.00001727,0.00001750,72161.70000000,53388.70000000,34615.70000000
1731826800000,0.00001749,0.00001811,0.00001745,0.00001802,47006.10000000,9910.90000000,-27184.30000000
1731830400000,0.00001800,0.00001829,0.00001769,0.00001778,15659.70000000,10945.60000000,6231.50000000
1731834000000,0.00001778,0.00001791,0.00001711,0.00001733,50974.20000000,35580.50000000,20186.80000000
1731837600000,0.00001733,0.00001826,0.00001725,0.00001780,24295.40000000,11995.10000000,-305.20000000
1731841200000,0.00001779,0.00001794,0.00001735,0.00001748,29973.50000000,9538.70000000,-10896.10000000
1731844800000,0.00001750,0.00001750,0.00001700,0.00001733,24684.50000000,7694.30000000,-9295.90000000
1731848400000,0.00001733,0.00001742,0.00001700,0.00001725,30323.20000000,25211.00000000,20098.80000000
1731852000000,0.00001723,0.00001767,0.00001714,0.00001726,45611.70000000,11077.80000000,-23456.10000000
1731855600000,0.00001722,0.00001743,0.00001700,0.00001706,17208.30000000,5739.30000000,-5729.70000000
