open_time,open,high,low,close,volume,taker_buy,delta
1726221600000,0.00000653,0.00002000,0.00000624,0.00000706,256158.20000000,124270.40000000,-7617.40000000
1726225200000,0.00000706,0.00000725,0.00000699,0.00000699,94604.80000000,59326.90000000,24049.00000000
1726228800000,0.00000702,0.00000748,0.00000698,0.00000732,144180.80000000,106307.10000000,68433.40000000
1726232400000,0.00000734,0.00000772,0.00000734,0.00000743,77513.80000000,46141.10000000,14768.40000000
1726236000000,0.00000741,0.00000753,0.00000727,0.00000734,46344.90000000,27146.10000000,7947.30000000
1726239600000,0.00000735,0.00000735,0.00000699,0.00000705,26517.50000000,11128.00000000,-4261.50000000
1726243200000,0.00000702,0.00000721,0.00000700,0.00000703,111573.30000000,34239.20000000,-43094.90000000
1726246800000,0.00000706,0.00000707,0.00000697,0.00000703,12649.20000000,7905.80000000,3162.40000000
1726250400000,0.00000700,0.00000709,0.00000698,0.00000709,11786.90000000,2110.90000000,-7565.10000000
1726254000000,0.00000711,0.00000713,0.00000701,0.00000710,9214.40000000,7236.00000000,5257.60000000
1726257600000,0.00000709,0.00000709,0.00000704,0.00000704,5225.50000000,3112.30000000,999.10000000
1726261200000,0.00000702,0.00000702,0.00000692,0.00000696,9533.30000000,6849.80000000,4166.30000000
1726264800000,0.00000697,0.00000697,0.00000690,0.00000690,18535.70000000,3369.20000000,-11797.30000000
1726268400000,0.00000693,0.00000693,0.00000678,0.00000679,14950.00000000,11381.20000000,7812.40000000
1726272000000,0.00000679,0.00000695,0.00000673,0.00000694,32583.00000000,19076.60000000,5570.20000000
1726275600000,0.00000694,0.00000699,0.00000691,0.00000695,55734.50000000,15091.50000000,-25551.50000000
1726279200000,0.00000690,0.00000694,0.00000688,0.00000693,6785.80000000,5862.00000000,4938.20000000
1726282800000,0.00000692,0.00000702,0.00000692,0.00000702,8205.20000000,7862.40000000,7519.60000000
1726286400000,0.00000701,0.00000701,0.00000695,0.00000697,5101.00000000,178.30000000,-4744.40000000
1726290000000,0.00000695,0.00000705,0.00000686,0.00000692,39760.10000000,31463.80000000,23167.50000000
1726293600000,0.00000694,0.00000699,0.00000690,0.00000697,22409.60000000,8513.60000000,-5382.40000000
1726297200000,0.00000699,0.00000699,0.00000689,0.00000691,12351.00000000,5810.50000000,-730.00000000
1726300800000,0.00000690,0.00000694,0.00000687,0.00000691,54735.40000000,47921.00000000,41106.60000000
1726304400000,0.00000689,0.00000692,0.00000687,0.00000692,9367.40000000,6308.90000000,3250.40000000
1726308000000,0.00000690,0.00000692,0.00000680,0.00000683,111381.90000000,99517.10000000,87652.30000000
1726311600000,0.00000682,0.00000686,0.00000680,0.00000684,14368.20000000,4540.20000000,-5287.80000000
1726315200000,0.00000684,0.00000689,0.00000678,0.00000685,94603.20000000,7085.40000000,-80432.40000000
1726318800000,0.00000685,0.00000690,0.00000682,0.00000682,6071.70000000,647.50000000,-4776.70000000
1726322400000,0.00000682,0.00000686,0.00000682,0.00000685,6669.10000000,2821.10000000,-1026.90000000
1726326000000,0.00000687,0.00000689,0.00000684,0.00000686,4816.30000000,1828.10000000,-1160.10000000
1726329600000,0.00000685,0.00000688,0.00000681,0.00000683,22308.80000000,9233.40000000,-3842.00000000
1726333200000,0.00000683,0.00000683,0.00000679,0.00000682,24040.80000000,13032.40000000,2024.00000000
1726336800000,0.00000681,0.00000683,0.00000675,0.00000678,43728.20000000,14610.60000000,-14507.00000000
1726340400000,0.00000679,0.00000680,0.00000666,0.00000671,27345.50000000,7469.80000000,-12405.90000000
1726344000000,0.00000669,0.00000677,0.00000669,0.00000674,7033.00000000,2886.00000000,-1261.00000000
1726347600000,0.00000674,0.00000677,0.00000672,0.00000676,14942.70000000,13548.20000000,12153.70000000
1726351200000,0.00000674,0.00000675,0.00000671,0.00000673,3674.40000000,532.70000000,-2609.00000000
