open_time,open,high,low,close,volume,taker_buy,delta
1737014400000,0.00000725,0.00002000,0.00000725,0.00000796,722197.20000000,286238.00000000,-149721.20000000
1737018000000,0.00000795,0.00000826,0.00000782,0.00000804,177533.30000000,97799.30000000,18065.30000000
1737021600000,0.00000804,0.00000804,0.00000777,0.00000786,189604.10000000,35713.60000000,-118176.90000000
1737025200000,0.00000791,0.00000826,0.00000787,0.00000824,169048.50000000,118162.30000000,67276.10000000
1737028800000,0.00000826,0.00000827,0.00000803,0.00000812,41549.90000000,28664.20000000,15778.50000000
1737032400000,0.00000813,0.00000816,0.00000789,0.00000799,174245.70000000,62964.30000000,-48317.10000000
1737036000000,0.00000797,0.00000809,0.00000789,0.00000793,43611.90000000,29305.80000000,14999.70000000
1737039600000,0.00000793,0.00000839,0.00000780,0.00000805,140668.00000000,96178.00000000,51688.00000000
1737043200000,0.00000805,0.00000809,0.00000782,0.00000793,76743.80000000,41132.80000000,5521.80000000
1737046800000,0.00000795,0.00000797,0.00000779,0.00000785,43883.30000000,24637.50000000,5391.70000000
1737050400000,0.00000785,0.00000803,0.00000783,0.00000801,24368.70000000,15078.00000000,5787.30000000
1737054000000,0.00000804,0.00000804,0.00000785,0.00000785,24150.80000000,11392.60000000,-1365.60000000
1737057600000,0.00000784,0.00000793,0.00000783,0.00000790,27379.70000000,18191.20000000,9002.70000000
1737061200000,0.00000791,0.00000797,0.00000790,0.00000795,5060.70000000,4220.80000000,3380.90000000
1737064800000,0.00000786,0.00000788,0.00000775,0.00000788,34268.20000000,5131.60000000,-24005.00000000
1737068400000,0.00000782,0.00000785,0.00000775,0.00000775,4796.80000000,1167.70000000,-2461.40000000
1737072000000,0.00000778,0.00000779,0.00000770,0.00000776,20947.10000000,9884.00000000,-1179.10000000
1737075600000,0.00000775,0.00000779,0.00000771,0.00000774,4679.80000000,2859.90000000,1040.00000000
1737079200000,0.00000772,0.00000778,0.00000767,0.00000768,14443.30000000,4541.50000000,-5360.30000000
1737082800000,0.00000771,0.00000772,0.00000760,0.00000760,20294.30000000,4050.50000000,-12193.30000000
1737086400000,0.00000760,0.00000767,0.00000755,0.00000766,69202.20000000,57467.40000000,45732.60000000
1737090000000,0.00000767,0.00000767,0.00000761,0.00000766,13800.80000000,8911.20000000,4021.60000000
1737093600000,0.00000766,0.00000777,0.00000764,0.00000772,62170.30000000,25239.40000000,-11691.50000000
