open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00002528,0.00002542,0.00002343,0.00002369,315678.40000000,155488.90000000,-4700.60000000
1676890800000,0.00002361,0.00002421,0.00002348,0.00002360,258164.60000000,174354.90000000,90545.20000000
1676894400000,0.00002368,0.00002581,0.00002311,0.00002436,915084.20000000,461667.80000000,8251.40000000
1676898000000,0.00002435,0.00002463,0.00002313,0.00002350,250198.50000000,140762.30000000,31326.10000000
1676901600000,0.00002355,0.00002437,0.00002284,0.00002325,378860.70000000,168320.60000000,-42219.50000000
1676905200000,0.00002325,0.00002430,0.00002292,0.00002321,220422.40000000,100242.70000000,-19937.00000000
1676908800000,0.00002322,0.00002380,0.00002296,0.00002338,238132.90000000,106782.30000000,-24568.30000000
1676912400000,0.00002332,0.00002357,0.00002302,0.00002353,71570.00000000,34592.00000000,-2386.00000000
1676916000000,0.00002358,0.00002598,0.00002350,0.00002489,552683.70000000,296127.10000000,39570.50000000
1676919600000,0.00002485,0.00002750,0.00002417,0.00002497,586344.50000000,330186.60000000,74028.70000000
1676923200000,0.00002496,0.00002606,0.00002436,0.00002509,354840.80000000,149915.50000000,-55009.80000000
1676926800000,0.00002512,0.00002580,0.00002417,0.00002486,227515.30000000,120782.40000000,14049.50000000
1676930400000,0.00002496,0.00002599,0.00002465,0.00002564,277714.20000000,196625.50000000,115536.80000000
1676934000000,0.00002557,0.00002594,0.00002476,0.00002484,148844.00000000,56053.30000000,-36737.40000000
1676937600000,0.00002469,0.00002529,0.00002360,0.00002430,270581.20000000,127312.00000000,-15957.20000000
1676941200000,0.00002437,0.00002486,0.00002382,0.00002420,98585.70000000,42445.20000000,-13695.30000000
1676944800000,0.00002415,0.00003240,0.00002395,0.00002760,1026349.00000000,631225.60000000,236102.20000000
1676948400000,0.00002757,0.00003000,0.00002729,0.00002829,944869.50000000,475341.00000000,5812.50000000
1676952000000,0.00002816,0.00003000,0.00002799,0.00002848,351449.40000000,192402.00000000,33354.60000000
1676955600000,0.00002845,0.00002917,0.00002819,0.00002899,174348.20000000,106525.70000000,38703.20000000
1676959200000,0.00002898,0.00003200,0.00002877,0.00002925,1234113.00000000,787488.90000000,340864.80000000
1676962800000,0.00002923,0.00002999,0.00002832,0.00002977,864032.10000000,325852.50000000,-212327.10000000
1676966400000,0.00002975,0.00002988,0.00002791,0.00002907,406578.20000000,173754.40000000,-59069.40000000
1676970000000,0.00002891,0.00002936,0.00002812,0.00002924,275570.50000000,68436.10000000,-138698.30000000
1676973600000,0.00002934,0.00002958,0.00002724,0.00002733,259132.00000000,56004.30000000,-147123.40000000
1676977200000,0.00002745,0.00002748,0.00002610,0.00002621,343590.00000000,157624.10000000,-28341.80000000
1676980800000,0.00002620,0.00002680,0.00002616,0.00002665,100432.70000000,44279.70000000,-11873.30000000
1676984400000,0.00002672,0.00002688,0.00002630,0.00002642,248572.60000000,112822.10000000,-22928.40000000
1676988000000,0.00002648,0.00002654,0.00002484,0.00002508,333775.10000000,155472.10000000,-22830.90000000
1676991600000,0.00002510,0.00002518,0.00002441,0.00002480,174423.10000000,77913.50000000,-18596.10000000
1676995200000,0.00002481,0.00002547,0.00002457,0.00002544,181832.70000000,124750.40000000,67668.10000000
1676998800000,0.00002544,0.00002658,0.00002512,0.00002655,282164.10000000,190150.00000000,98135.90000000
1677002400000,0.00002657,0.00002834,0.00002556,0.00002625,486905.60000000,256305.80000000,25706.00000000
1677006000000,0.00002619,0.00002669,0.00002584,0.00002633,115961.40000000,50775.20000000,-14411.00000000
1677009600000,0.00002631,0.00002663,0.00002609,0.00002626,51988.20000000,34606.40000000,17224.60000000
1677013200000,0.00002628,0.00002747,0.00002535,0.00002681,198190.20000000,111138.60000000,24087.00000000
1677016800000,0.00002686,0.00002695,0.00002574,0.00002587,99885.90000000,34897.20000000,-30091.50000000
1677020400000,0.00002585,0.00002672,0.00002551,0.00002657,161585.70000000,104128.90000000,46672.10000000
1677024000000,0.00002662,0.00002860,0.00002656,0.00002752,454569.60000000,241136.20000000,27702.80000000
1677027600000,0.00002752,0.00002949,0.00002733,0.00002854,311962.40000000,144356.00000000,-23250.40000000
1677031200000,0.00002857,0.00002952,0.00002500,0.00002877,944056.30000000,456547.40000000,-30961.50000000
1677034800000,0.00002876,0.00002982,0.00002800,0.00002872,428450.60000000,161307.50000000,-105835.60000000
1677038400000,0.00002872,0.00002875,0.00002802,0.00002829,103884.20000000,35588.60000000,-32707.00000000
1677042000000,0.00002824,0.00002824,0.00002723,0.00002766,242879.90000000,72448.20000000,-97983.50000000
1677045600000,0.00002766,0.00002804,0.00002677,0.00002685,157316.10000000,82644.60000000,7973.10000000
1677049200000,0.00002685,0.00002768,0.00002646,0.00002718,223407.20000000,160533.90000000,97660.60000000
1677052800000,0.00002713,0.00002743,0.00002666,0.00002727,94072.40000000,55125.70000000,16179.00000000
1677056400000,0.00002707,0.00002904,0.00002705,0.00002866,173589.50000000,107778.70000000,41967.90000000
1677060000000,0.00002866,0.00002880,0.00002811,0.00002837,250045.10000000,127982.30000000,5919.50000000
1677063600000,0.00002836,0.00003163,0.00002836,0.00003063,373908.70000000,188505.30000000,3101.90000000
1677067200000,0.00003072,0.00003479,0.00003012,0.00003227,1262392.50000000,606639.50000000,-49113.50000000
1677070800000,0.00003232,0.00003591,0.00003155,0.00003422,595195.90000000,304678.90000000,14161.90000000
1677074400000,0.00003434,0.00003650,0.00003183,0.00003214,1038099.90000000,425470.20000000,-187159.50000000
1677078000000,0.00003214,0.00003307,0.00003152,0.00003189,499830.70000000,245021.50000000,-9787.70000000
1677081600000,0.00003185,0.00003259,0.00003079,0.00003169,620197.30000000,291998.20000000,-36200.90000000
1677085200000,0.00003173,0.00003201,0.00003042,0.00003053,384538.60000000,98623.90000000,-187290.80000000
1677088800000,0.00003054,0.00003058,0.00002986,0.00003028,185089.80000000,72924.10000000,-39241.60000000
1677092400000,0.00003024,0.00003070,0.00002998,0.00003054,101961.40000000,63015.40000000,24069.40000000
1677096000000,0.00003052,0.00003059,0.00002958,0.00003008,83036.60000000,18584.90000000,-45866.80000000
1677099600000,0.00003007,0.00003164,0.00003002,0.00003110,362709.80000000,202793.60000000,42877.40000000
1677103200000,0.00003110,0.00003124,0.00003064,0.00003091,206164.00000000,101743.20000000,-2677.60000000
