open_time,open,high,low,close,volume,taker_buy,delta
1698768000000,0.00009980,0.00013000,0.00005501,0.00006528,441155.70000000,165140.60000000,-110874.50000000
1698771600000,0.00006537,0.00006666,0.00006200,0.00006363,71662.60000000,33411.80000000,-4839.00000000
1698775200000,0.00006415,0.00006880,0.00006176,0.00006617,97836.00000000,40653.20000000,-16529.60000000
1698778800000,0.00006609,0.00007171,0.00006426,0.00007088,72781.60000000,33332.60000000,-6116.40000000
1698782400000,0.00007088,0.00007235,0.00006700,0.00006843,60659.50000000,28625.50000000,-3408.50000000
1698786000000,0.00006859,0.00007118,0.00006778,0.00007062,36399.50000000,15249.70000000,-5900.10000000
1698789600000,0.00007078,0.00007221,0.00006744,0.00006940,62330.50000000,31677.00000000,1023.50000000
1698793200000,0.00006928,0.00007027,0.00006460,0.00006571,78959.40000000,16766.10000000,-45427.20000000
1698796800000,0.00006567,0.00006905,0.00006508,0.00006819,61585.80000000,30463.90000000,-658.00000000
1698800400000,0.00006818,0.00006953,0.00006614,0.00006725,15845.70000000,5784.90000000,-4275.90000000
1698804000000,0.00006715,0.00006835,0.00006470,0.00006552,51214.40000000,18056.80000000,-15100.80000000
1698807600000,0.00006550,0.00006661,0.00006274,0.00006651,80466.50000000,37470.90000000,-5524.70000000
1698811200000,0.00006622,0.00006730,0.00006520,0.00006539,42263.20000000,24441.30000000,6619.40000000
1698814800000,0.00006552,0.00006592,0.00006412,0.00006455,31294.50000000,15575.60000000,-143.30000000
1698818400000,0.00006447,0.00006528,0.00006358,0.00006470,21291.40000000,5706.50000000,-9878.40000000
1698822000000,0.00006477,0.00006533,0.00006163,0.00006461,80113.40000000,38209.90000000,-3693.60000000
1698825600000,0.00006443,0.00006672,0.00006407,0.00006553,41763.60000000,15684.60000000,-10394.40000000
1698829200000,0.00006557,0.00006719,0.00006464,0.00006603,62048.20000000,25297.50000000,-11453.20000000
1698832800000,0.00006582,0.00006589,0.00006409,0.00006514,23056.70000000,7400.40000000,-8255.90000000
1698836400000,0.00006529,0.00006603,0.00006450,0.00006553,17717.90000000,6642.90000000,-4432.10000000
1698840000000,0.00006536,0.00007001,0.00006536,0.00006742,98227.40000000,27763.40000000,-42700.60000000
1698843600000,0.00006776,0.00006802,0.00006548,0.00006617,33591.50000000,14345.40000000,-4900.70000000
1698847200000,0.00006604,0.00006809,0.00006604,0.00006709,27545.40000000,9189.70000000,-9166.00000000
1698850800000,0.00006696,0.00006802,0.00006484,0.00006740,23502.10000000,10071.10000000,-3359.90000000
1698854400000,0.00006730,0.00007166,0.00006730,0.00006966,188367.80000000,74758.90000000,-38850.00000000
1698858000000,0.00006965,0.00007710,0.00006947,0.00007443,111969.70000000,50977.20000000,-10015.30000000
1698861600000,0.00007462,0.00007690,0.00007256,0.00007334,159572.20000000,67399.30000000,-24773.60000000
1698865200000,0.00007351,0.00007528,0.00007151,0.00007419,119586.90000000,56915.50000000,-5755.90000000
1698868800000,0.00007479,0.00007582,0.00007180,0.00007228,40125.90000000,10966.90000000,-18192.10000000
1698872400000,0.00007228,0.00007449,0.00007174,0.00007297,60490.00000000,21284.40000000,-17921.20000000
1698876000000,0.00007282,0.00007321,0.00006963,0.00007039,47149.50000000,37380.20000000,27610.90000000
1698879600000,0.00007024,0.00007217,0.00006954,0.00007204,10452.60000000,6853.20000000,3253.80000000
1698883200000,0.00007203,0.00007227,0.00006950,0.00007146,25266.60000000,6357.90000000,-12550.80000000
1698886800000,0.00007189,0.00007771,0.00007148,0.00007714,59581.60000000,27974.80000000,-3632.00000000
1698890400000,0.00007701,0.00008099,0.00007520,0.00007624,79569.10000000,39642.40000000,-284.30000000
1698894000000,0.00007643,0.00007792,0.00007508,0.00007508,41357.90000000,20141.40000000,-1075.10000000
1698897600000,0.00007512,0.00007937,0.00007512,0.00007912,58396.30000000,20356.00000000,-17684.30000000
1698901200000,0.00007887,0.00007981,0.00007651,0.00007846,44709.70000000,25369.20000000,6028.70000000
1698904800000,0.00007871,0.00008100,0.00007713,0.00007849,83169.70000000,45574.10000000,7978.50000000
1698908400000,0.00007852,0.00007909,0.00007482,0.00007575,33072.80000000,13613.90000000,-5845.00000000
1698912000000,0.00007586,0.00007587,0.00006924,0.00007220,129612.60000000,54143.80000000,-21325.00000000
