open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00029520,0.00029650,0.00029360,0.00029410,7584.24000000,3581.64000000,-420.96000000
1676890800000,0.00029430,0.00029550,0.00029410,0.00029500,8748.03000000,5905.45000000,3062.87000000
1676894400000,0.00029490,0.00029510,0.00029330,0.00029370,5992.47000000,2988.04000000,-16.39000000
1676898000000,0.00029380,0.00029450,0.00029280,0.00029360,3052.45000000,1371.23000000,-309.99000000
1676901600000,0.00029360,0.00029380,0.00029090,0.00029200,11544.15000000,5239.08000000,-1065.99000000
1676905200000,0.00029220,0.00029320,0.00029060,0.00029110,8613.19000000,4076.18000000,-460.83000000
1676908800000,0.00029120,0.00029180,0.00028970,0.00029080,8180.68000000,4266.65000000,352.62000000
1676912400000,0.00029060,0.00029130,0.00029010,0.00029040,5316.34000000,2736.10000000,155.86000000
1676916000000,0.00029040,0.00029130,0.00028980,0.00029090,3893.53000000,2105.08000000,316.63000000
1676919600000,0.00029080,0.00029220,0.00029060,0.00029200,2591.71000000,1547.46000000,503.21000000
1676923200000,0.00029210,0.00029350,0.00029190,0.00029300,3404.30000000,2007.25000000,610.20000000
1676926800000,0.00029300,0.00029410,0.00029300,0.00029390,5499.63000000,3499.48000000,1499.33000000
1676930400000,0.00029400,0.00029680,0.00029400,0.00029680,6745.29000000,3916.80000000,1088.31000000
1676934000000,0.00029660,0.00029720,0.00029570,0.00029680,6593.25000000,3469.78000000,346.31000000
1676937600000,0.00029690,0.00029870,0.00029640,0.00029740,11145.36000000,5795.81000000,446.26000000
1676941200000,0.00029750,0.00029880,0.00029590,0.00029620,7395.25000000,3614.83000000,-165.59000000
1676944800000,0.00029620,0.00029730,0.00029550,0.00029650,7591.23000000,3586.27000000,-418.69000000
1676948400000,0.00029650,0.00029650,0.00029450,0.00029490,4935.81000000,1925.45000000,-1084.91000000
1676952000000,0.00029490,0.00029490,0.00029330,0.00029350,3163.03000000,984.31000000,-1194.41000000
1676955600000,0.00029330,0.00029380,0.00029270,0.00029290,3783.34000000,1407.05000000,-969.24000000
1676959200000,0.00029280,0.00029390,0.00029250,0.00029330,2190.25000000,1000.92000000,-188.41000000
1676962800000,0.00029320,0.00029330,0.00029210,0.00029280,3172.73000000,1449.84000000,-273.05000000
1676966400000,0.00029270,0.00029270,0.00028680,0.00028760,17003.01000000,7057.66000000,-2887.69000000
1676970000000,0.00028760,0.00028880,0.00028720,0.00028820,7868.22000000,4698.65000000,1529.08000000
1676973600000,0.00028840,0.00029000,0.00028830,0.00028990,7410.85000000,4162.53000000,914.21000000
1676977200000,0.00028980,0.00029000,0.00028730,0.00028830,5968.18000000,2609.53000000,-749.12000000
1676980800000,0.00028820,0.00028970,0.00028790,0.00028880,6977.28000000,3527.17000000,77.06000000
1676984400000,0.00028880,0.00028900,0.00028250,0.00028550,16416.98000000,6479.42000000,-3458.14000000
1676988000000,0.00028560,0.00028640,0.00028420,0.00028590,9275.24000000,4725.36000000,175.48000000
1676991600000,0.00028620,0.00028730,0.00028480,0.00028670,9318.18000000,4189.17000000,-939.84000000
1676995200000,0.00028680,0.00028850,0.00028650,0.00028710,7303.85000000,4207.43000000,1111.01000000
1676998800000,0.00028710,0.00028810,0.00028680,0.00028700,2840.02000000,1215.92000000,-408.18000000
1677002400000,0.00028710,0.00028850,0.00028680,0.00028810,3261.98000000,1883.07000000,504.16000000
1677006000000,0.00028810,0.00028830,0.00028690,0.00028760,4596.52000000,1530.81000000,-1534.90000000
1677009600000,0.00028770,0.00028940,0.00028680,0.00028820,7382.21000000,4152.57000000,922.93000000
1677013200000,0.00028810,0.00028820,0.00028530,0.00028730,10348.14000000,5008.09000000,-331.96000000
1677016800000,0.00028760,0.00028780,0.00028670,0.00028750,2395.32000000,1195.31000000,-4.70000000
1677020400000,0.00028750,0.00028810,0.00028720,0.00028780,2112.88000000,1039.25000000,-34.38000000
1677024000000,0.00028800,0.00028830,0.00028740,0.00028820,6418.91000000,3567.64000000,716.37000000
1677027600000,0.00028830,0.00028890,0.00028600,0.00028740,6823.84000000,3161.88000000,-500.08000000
1677031200000,0.00028750,0.00028880,0.00028520,0.00028780,9085.41000000,4618.82000000,152.23000000
1677034800000,0.00028770,0.00028880,0.00028700,0.00028870,3439.94000000,1813.33000000,186.72000000
1677038400000,0.00028870,0.00028930,0.00028800,0.00028870,2655.54000000,1367.93000000,80.32000000
1677042000000,0.00028870,0.00028900,0.00028780,0.00028900,3999.69000000,1436.43000000,-1126.83000000
1677045600000,0.00028890,0.00028890,0.00028670,0.00028670,3866.93000000,1451.09000000,-964.75000000
1677049200000,0.00028680,0.00028770,0.00028620,0.00028740,3588.88000000,1733.83000000,-121.22000000
1677052800000,0.00028730,0.00028740,0.00028410,0.00028520,6929.56000000,3002.84000000,-923.88000000
1677056400000,0.00028510,0.00028570,0.00028480,0.00028530,3260.03000000,1601.01000000,-58.01000000
1677060000000,0.00028530,0.00028640,0.00028520,0.00028540,2027.65000000,1072.08000000,116.51000000
1677063600000,0.00028550,0.00028590,0.00028490,0.00028540,3101.07000000,1504.20000000,-92.67000000
1677067200000,0.00028540,0.00028650,0.00028530,0.00028620,3487.74000000,1817.69000000,147.64000000
1677070800000,0.00028630,0.00028940,0.00028620,0.00028710,7748.24000000,4368.64000000,989.04000000
1677074400000,0.00028740,0.00028880,0.00028590,0.00028660,9496.63000000,4719.62000000,-57.39000000
1677078000000,0.00028660,0.00028700,0.00028510,0.00028530,9356.60000000,4525.92000000,-304.76000000
1677081600000,0.00028530,0.00028550,0.00028430,0.00028530,7083.37000000,3758.08000000,432.79000000
1677085200000,0.00028540,0.00028640,0.00028440,0.00028510,7287.30000000,2697.96000000,-1891.38000000
1677088800000,0.00028520,0.00028710,0.00028510,0.00028700,5289.26000000,2906.61000000,523.96000000
1677092400000,0.00028690,0.00028740,0.00028550,0.00028590,4137.14000000,1880.23000000,-376.68000000
1677096000000,0.00028590,0.00028620,0.00028510,0.00028580,1677.49000000,871.44000000,65.39000000
1677099600000,0.00028580,0.00028720,0.00028550,0.00028690,1981.12000000,1215.67000000,450.22000000
1677103200000,0.00028700,0.00028750,0.00028550,0.00028710,4174.86000000,2151.22000000,127.58000000
1677106800000,0.00028720,0.00028730,0.00028640,0.00028680,1982.28000000,977.48000000,-27.32000000
1677110400000,0.00028660,0.00028790,0.00028650,0.00028720,2964.89000000,1660.74000000,356.59000000
1677114000000,0.00028700,0.00028790,0.00028680,0.00028750,1789.93000000,916.33000000,42.73000000
1677117600000,0.00028750,0.00028820,0.00028530,0.00028670,6804.84000000,3172.60000000,-459.64000000
1677121200000,0.00028680,0.00028700,0.00028590,0.00028660,2665.29000000,1424.75000000,184.21000000
1677124800000,0.00028670,0.00028750,0.00028640,0.00028730,2306.55000000,1437.85000000,569.15000000
1677128400000,0.00028730,0.00028790,0.00028670,0.00028670,2861.62000000,1519.99000000,178.36000000
1677132000000,0.00028690,0.00028700,0.00028610,0.00028640,2297.15000000,1067.62000000,-161.91000000
1677135600000,0.00028640,0.00028740,0.00028620,0.00028690,3098.96000000,1474.48000000,-150.00000000
1677139200000,0.00028670,0.00028680,0.00028600,0.00028600,2911.17000000,1066.19000000,-778.79000000
1677142800000,0.00028600,0.00028720,0.00028580,0.00028680,2790.86000000,1648.74000000,506.62000000
1677146400000,0.00028690,0.00028810,0.00028680,0.00028810,2853.10000000,1457.34000000,61.58000000
1677150000000,0.00028810,0.00028990,0.00028750,0.00028880,12010.64000000,6856.33000000,1702.02000000
1677153600000,0.00028880,0.00029090,0.00028880,0.00028970,5561.21000000,3384.38000000,1207.55000000
1677157200000,0.00028940,0.00029140,0.00028890,0.00029020,6392.68000000,3055.17000000,-282.34000000
