open_time,open,high,low,close,volume,taker_buy,delta
1690189200000,0.00000505,0.00025249,0.00000505,0.00008263,590856.10000000,342870.70000000,94885.30000000
1690192800000,0.00008259,0.00009405,0.00008176,0.00009254,518879.30000000,322677.50000000,126475.70000000
1690196400000,0.00009282,0.00009993,0.00008963,0.00009092,592101.70000000,295639.40000000,-822.90000000
1690200000000,0.00009088,0.00009094,0.00007085,0.00008777,478803.80000000,243447.10000000,8090.40000000
1690203600000,0.00008796,0.00008881,0.00008370,0.00008384,194783.00000000,85600.40000000,-23582.20000000
1690207200000,0.00008407,0.00008463,0.00007477,0.00007818,443831.10000000,252788.10000000,61745.10000000
1690210800000,0.00007817,0.00007899,0.00007406,0.00007667,345526.60000000,179977.70000000,14428.80000000
1690214400000,0.00007662,0.00008072,0.00007610,0.00007823,265589.10000000,157242.30000000,48895.50000000
1690218000000,0.00007825,0.00007825,0.00007292,0.00007523,230819.30000000,115658.50000000,497.70000000
1690221600000,0.00007508,0.00007750,0.00007370,0.00007564,182592.80000000,100052.20000000,17511.60000000
1690225200000,0.00007567,0.00007653,0.00007334,0.00007379,94359.10000000,54601.40000000,14843.70000000
1690228800000,0.00007381,0.00007451,0.00006975,0.00007066,130512.90000000,67208.70000000,3904.50000000
1690232400000,0.00007066,0.00007284,0.00006843,0.00007158,203728.80000000,120920.80000000,38112.80000000
1690236000000,0.00007180,0.00007495,0.00007089,0.00007290,204145.80000000,115064.00000000,25982.20000000
1690239600000,0.00007308,0.00007600,0.00007079,0.00007405,187161.00000000,85786.10000000,-15588.80000000
1690243200000,0.00007392,0.00007772,0.00007332,0.00007567,212713.20000000,101284.60000000,-10144.00000000
1690246800000,0.00007571,0.00007624,0.00007185,0.00007298,149577.40000000,59177.20000000,-31223.00000000
1690250400000,0.00007304,0.00007421,0.00006361,0.00006653,292796.90000000,117465.70000000,-57865.50000000
1690254000000,0.00006648,0.00006825,0.00006551,0.00006762,172788.10000000,67797.50000000,-37193.10000000
1690257600000,0.00006759,0.00006832,0.00006596,0.00006714,137021.40000000,81311.60000000,25601.80000000
1690261200000,0.00006723,0.00007197,0.00006716,0.00007046,190548.70000000,99646.10000000,8743.50000000
1690264800000,0.00007048,0.00007048,0.00006857,0.00006997,145545.90000000,67754.00000000,-10037.90000000
1690268400000,0.00006998,0.00007145,0.00006735,0.00006872,102140.10000000,55177.60000000,8215.10000000
1690272000000,0.00006872,0.00007000,0.00006666,0.00006897,144730.40000000,76667.70000000,8605.00000000
1690275600000,0.00006889,0.00006978,0.00006832,0.00006911,93326.40000000,54433.20000000,15540.00000000
1690279200000,0.00006908,0.00007494,0.00006841,0.00007169,231463.80000000,138257.70000000,45051.60000000
1690282800000,0.00007165,0.00007419,0.00007165,0.00007325,178323.90000000,88929.70000000,-464.50000000
1690286400000,0.00007319,0.00007327,0.00007179,0.00007295,101674.20000000,60652.30000000,19630.40000000
