open_time,open,high,low,close,volume,taker_buy,delta
1676887200000,0.00204300,0.00204500,0.00202400,0.00203300,810.26100000,555.33900000,300.41700000
1676890800000,0.00203300,0.00203600,0.00201800,0.00201800,575.10500000,232.00200000,-111.10100000
1676894400000,0.00202200,0.00202600,0.00200800,0.00201200,446.67600000,163.22000000,-120.23600000
1676898000000,0.00201300,0.00202400,0.00200000,0.00201100,768.88800000,336.90600000,-95.07600000
1676901600000,0.00201400,0.00203300,0.00199900,0.00201400,1228.58800000,658.79700000,89.00600000
1676905200000,0.00201700,0.00204900,0.00201000,0.00204000,643.59800000,530.15700000,416.71600000
1676908800000,0.00203700,0.00203800,0.00201400,0.00202700,453.22600000,229.96600000,6.70600000
1676912400000,0.00202500,0.00202500,0.00200600,0.00201200,557.31200000,257.96400000,-41.38400000
1676916000000,0.00201100,0.00201600,0.00199500,0.00200200,788.37200000,250.27800000,-287.81600000
1676919600000,0.00200400,0.00201400,0.00200300,0.00200700,148.13700000,86.74800000,25.35900000
1676923200000,0.00201000,0.00201700,0.00201000,0.00201600,78.08100000,70.13200000,62.18300000
1676926800000,0.00201400,0.00203300,0.00201400,0.00201600,772.04600000,764.96500000,757.88400000
1676930400000,0.00201500,0.00202600,0.00201400,0.00201400,196.59400000,171.56100000,146.52800000
1676934000000,0.00201400,0.00202500,0.00200500,0.00201800,169.33600000,37.00200000,-95.33200000
1676937600000,0.00202300,0.00203100,0.00200900,0.00201700,487.60700000,216.98500000,-53.63700000
1676941200000,0.00201600,0.00202500,0.00200800,0.00201800,188.87000000,112.50400000,36.13800000
1676944800000,0.00201500,0.00202500,0.00200500,0.00200900,925.26800000,227.46000000,-470.34800000
1676948400000,0.00200900,0.00201000,0.00200300,0.00200600,199.68400000,105.72800000,11.77200000
1676952000000,0.00200800,0.00201200,0.00197600,0.00199400,646.79600000,283.24000000,-80.31600000
1676955600000,0.00199400,0.00200300,0.00199000,0.00199800,317.27800000,117.92800000,-81.42200000
1676959200000,0.00199700,0.00201100,0.00199200,0.00199900,573.41000000,307.57200000,41.73400000
1676962800000,0.00199900,0.00200400,0.00199300,0.00200000,621.42500000,86.42700000,-448.57100000
1676966400000,0.00199900,0.00200000,0.00194200,0.00196600,1649.95400000,505.17400000,-639.60600000
1676970000000,0.00196500,0.00197200,0.00196000,0.00196700,1909.90900000,1075.66700000,241.42500000
1676973600000,0.00196800,0.00197200,0.00195400,0.00195500,389.14500000,78.47500000,-232.19500000
1676977200000,0.00196100,0.00199700,0.00195600,0.00198000,1662.24800000,1338.50600000,1014.76400000
1676980800000,0.00198300,0.00200000,0.00198000,0.00198000,519.61600000,290.83300000,62.05000000
1676984400000,0.00198100,0.00198600,0.00195500,0.00196700,1682.11400000,277.35500000,-1127.40400000
1676988000000,0.00196200,0.00198400,0.00196100,0.00197200,674.66700000,160.07500000,-354.51700000
1676991600000,0.00197500,0.00198400,0.00196400,0.00197800,905.06500000,218.46800000,-468.12900000
1676995200000,0.00197800,0.00198600,0.00196700,0.00197900,1102.68300000,389.80900000,-323.06500000
1676998800000,0.00197600,0.00198300,0.00197500,0.00197900,493.96100000,310.82200000,127.68300000
1677002400000,0.00197900,0.00199100,0.00197400,0.00198300,769.72900000,605.57700000,441.42500000
1677006000000,0.00198100,0.00200000,0.00198000,0.00199500,665.22100000,392.52500000,119.82900000
1677009600000,0.00199900,0.00200400,0.00198600,0.00198700,488.32800000,224.46800000,-39.39200000
1677013200000,0.00198700,0.00199800,0.00196000,0.00198300,1235.04700000,331.61500000,-571.81700000
1677016800000,0.00198300,0.00199000,0.00198300,0.00199000,222.73600000,96.62200000,-29.49200000
1677020400000,0.00198900,0.00202400,0.00198700,0.00202100,1031.04400000,809.20600000,587.36800000
1677024000000,0.00202200,0.00204100,0.00200000,0.00202000,1027.59000000,415.71000000,-196.17000000
1677027600000,0.00202100,0.00202300,0.00198800,0.00200100,2009.42500000,734.14000000,-541.14500000
1677031200000,0.00200300,0.00200600,0.00197200,0.00198800,1245.66600000,470.55100000,-304.56400000
1677034800000,0.00199200,0.00200200,0.00199200,0.00200200,170.18000000,100.00200000,29.82400000
1677038400000,0.00200200,0.00200800,0.00199000,0.00199300,375.52800000,54.94300000,-265.64200000
1677042000000,0.00199300,0.00199600,0.00198000,0.00199100,442.78600000,137.74300000,-167.30000000
1677045600000,0.00199000,0.00199000,0.00195500,0.00196100,645.72100000,116.52000000,-412.68100000
1677049200000,0.00196300,0.00196700,0.00194500,0.00195800,790.18200000,273.43900000,-243.30400000
1677052800000,0.00196000,0.00196000,0.00192500,0.00193200,1177.95700000,285.35900000,-607.23900000
1677056400000,0.00192800,0.00194200,0.00192800,0.00193200,969.20900000,307.62300000,-353.96300000
1677060000000,0.00193300,0.00194500,0.00193300,0.00194300,1015.32200000,205.43400000,-604.45400000
1677063600000,0.00194200,0.00194600,0.00193600,0.00194400,477.39700000,76.41400000,-324.56900000
1677067200000,0.00194500,0.00195200,0.00193500,0.00194300,1065.20600000,206.16200000,-652.88200000
1677070800000,0.00194200,0.00195000,0.00193200,0.00194700,1086.04600000,293.97400000,-498.09800000
1677074400000,0.00194600,0.00194800,0.00193200,0.00193900,610.70300000,215.80700000,-179.08900000
1677078000000,0.00193700,0.00194900,0.00193200,0.00194900,836.58600000,523.45000000,210.31400000
1677081600000,0.00194900,0.00195800,0.00193300,0.00195100,830.86700000,338.16700000,-154.53300000
1677085200000,0.00195300,0.00196500,0.00195200,0.00195600,1421.87700000,643.73800000,-134.40100000
1677088800000,0.00195800,0.00196400,0.00195500,0.00196200,276.70100000,166.13000000,55.55900000
1677092400000,0.00196200,0.00196900,0.00195700,0.00196600,538.68000000,326.12800000,113.57600000
1677096000000,0.00196900,0.00197200,0.00196100,0.00196600,426.34100000,217.34100000,8.34100000
1677099600000,0.00196800,0.00198700,0.00196800,0.00198300,904.06300000,664.28700000,424.51100000
1677103200000,0.00198300,0.00198900,0.00197100,0.00197600,1625.20100000,1167.78300000,710.36500000
1677106800000,0.00197800,0.00198300,0.00197200,0.00198000,335.58000000,162.59300000,-10.39400000
1677110400000,0.00198200,0.00198800,0.00197000,0.00197500,726.92500000,323.58700000,-79.75100000
1677114000000,0.00197500,0.00197900,0.00196800,0.00196800,224.31800000,180.92300000,137.52800000
1677117600000,0.00197300,0.00198100,0.00196200,0.00196500,393.93300000,140.67400000,-112.58500000
1677121200000,0.00196500,0.00196700,0.00195300,0.00195900,485.04400000,65.71500000,-353.61400000
1677124800000,0.00195900,0.00196600,0.00194800,0.00195400,605.31500000,156.24600000,-292.82300000
1677128400000,0.00195400,0.00196400,0.00195400,0.00196000,867.55700000,737.47200000,607.38700000
1677132000000,0.00195900,0.00196300,0.00195500,0.00195800,2118.53500000,218.14600000,-1682.24300000
1677135600000,0.00196000,0.00196500,0.00196000,0.00196100,105.44100000,52.54100000,-0.35900000
1677139200000,0.00196000,0.00196400,0.00195000,0.00195900,377.65000000,65.65700000,-246.33600000
1677142800000,0.00195600,0.00196400,0.00195100,0.00196100,357.89800000,56.21600000,-245.46600000
1677146400000,0.00195800,0.00197500,0.00195800,0.00197200,1153.71000000,892.77100000,631.83200000
1677150000000,0.00197000,0.00197800,0.00195700,0.00196000,1305.79100000,438.18400000,-429.42300000
1677153600000,0.00196300,0.00197900,0.00196300,0.00197200,468.44100000,316.11900000,163.79700000
1677157200000,0.00197000,0.00197300,0.00195700,0.00196400,788.89500000,329.50900000,-129.87700000
1677160800000,0.00196100,0.00196900,0.00195600,0.00196500,751.08600000,137.47200000,-476.14200000
1677164400000,0.00196600,0.00196800,0.00195800,0.00196200,190.45800000,101.57300000,12.68800000
1677168000000,0.00196300,0.00197900,0.00196200,0.00197800,524.62900000,390.11200000,255.59500000
1677171600000,0.00198000,0.00198900,0.00197400,0.00197600,542.03300000,387.57600000,233.11900000
1677175200000,0.00197600,0.00198100,0.00197100,0.00197900,412.38300000,153.80700000,-104.76900000
1677178800000,0.00197800,0.00199100,0.00197500,0.00198900,617.38900000,454.71800000,292.04700000
1677182400000,0.00198700,0.00199100,0.00198400,0.00198500,174.30900000,70.05300000,-34.20300000
1677186000000,0.00198500,0.00198800,0.00198000,0.00198100,225.28800000,71.31300000,-82.66200000
1677189600000,0.00198100,0.00199200,0.00197800,0.00199200,179.61900000,100.12300000,20.62700000
1677193200000,0.00199100,0.00200300,0.00199100,0.00200100,540.44700000,413.17500000,285.90300000
1677196800000,0.00199900,0.00201100,0.00199600,0.00199900,852.14900000,256.38300000,-339.38300000
1677200400000,0.00199900,0.00199900,0.00198800,0.00198800,167.91700000,92.71600000,17.51500000
1677204000000,0.00199100,0.00199700,0.00197800,0.00198200,159.72600000,50.81900000,-58.08800000
1677207600000,0.00198300,0.00199000,0.00198300,0.00198800,54.42400000,18.62100000,-17.18200000
1677211200000,0.00199000,0.00199600,0.00198900,0.00199600,163.56300000,103.22200000,42.88100000
1677214800000,0.00199200,0.00199800,0.00199000,0.00199800,171.53900000,125.52900000,79.51900000
1677218400000,0.00199900,0.00201400,0.00199600,0.00201400,375.15100000,263.59900000,152.04700000
1677222000000,0.00201500,0.00203600,0.00201500,0.00202000,1206.12600000,868.16500000,530.20400000
1677225600000,0.00202000,0.00202800,0.00200400,0.00200700,485.76600000,50.75700000,-384.25200000
1677229200000,0.00200700,0.00201400,0.00200400,0.00200800,428.26000000,165.65600000,-96.94800000
1677232800000,0.00200800,0.00201300,0.00199600,0.00200800,793.61800000,662.24300000,530.86800000
1677236400000,0.00201000,0.00201200,0.00200400,0.00200500,234.14300000,154.32800000,74.51300000
1677240000000,0.00200500,0.00201400,0.00199400,0.00199400,639.61600000,494.01100000,348.40600000
1677243600000,0.00199400,0.00199400,0.00197700,0.00197900,860.15300000,323.27600000,-213.60100000
1677247200000,0.00197900,0.00200100,0.00197100,0.00197700,1835.66800000,1386.04900000,936.43000000
1677250800000,0.00197600,0.00198600,0.00196700,0.00197500,1019.14700000,450.80500000,-117.53700000
1677254400000,0.00197100,0.00197100,0.00193600,0.00194500,1625.90700000,596.64200000,-432.62300000
1677258000000,0.00194600,0.00195700,0.00194000,0.00195500,847.48500000,136.57300000,-574.33900000
1677261600000,0.00195500,0.00196200,0.00194900,0.00194900,703.73500000,188.91100000,-325.91300000
1677265200000,0.00195100,0.00196000,0.00194800,0.00195900,515.11700000,235.50800000,-44.10100000
1677268800000,0.00195800,0.00196300,0.00195000,0.00195200,539.23900000,220.72100000,-97.79700000
1677272400000,0.00195200,0.00195400,0.00193900,0.00194800,712.46000000,296.73700000,-118.98600000
1677276000000,0.00194700,0.00195000,0.00193000,0.00194500,477.07500000,255.75500000,34.43500000
1677279600000,0.00194500,0.00195400,0.00194100,0.00194900,492.25800000,314.27700000,136.29600000
1677283200000,0.00195100,0.00195400,0.00194200,0.00194300,496.19100000,210.83800000,-74.51500000
1677286800000,0.00194500,0.00194800,0.00194200,0.00194600,199.80300000,149.97600000,100.14900000
1677290400000,0.00194600,0.00195000,0.00193700,0.00193800,693.54700000,108.22300000,-477.10100000
1677294000000,0.00194100,0.00194900,0.00193800,0.00194400,107.59500000,44.76000000,-18.07500000
1677297600000,0.00194700,0.00195200,0.00194400,0.00194900,115.14400000,53.20300000,-8.73800000
1677301200000,0.00194700,0.00195100,0.00194000,0.00194400,529.19600000,361.03700000,192.87800000
1677304800000,0.00194600,0.00195400,0.00194600,0.00195400,1000.50800000,955.51700000,910.52600000
1677308400000,0.00195200,0.00195900,0.00195200,0.00195600,332.04600000,75.29700000,-181.45200000
1677312000000,0.00195400,0.00196400,0.00195400,0.00196200,215.11400000,121.11100000,27.10800000
1677315600000,0.00196200,0.00196300,0.00195300,0.00195700,381.17300000,223.95800000,66.74300000
1677319200000,0.00195300,0.00195300,0.00194200,0.00194700,299.08000000,120.95300000,-57.17400000
1677322800000,0.00194800,0.00195500,0.00194400,0.00195100,675.64700000,320.01700000,-35.61300000
1677326400000,0.00195300,0.00195800,0.00194400,0.00195100,482.54500000,359.89100000,237.23700000
1677330000000,0.00195100,0.00195700,0.00194800,0.00195200,297.13200000,75.69000000,-145.75200000
1677333600000,0.00195600,0.00195900,0.00195200,0.00195300,325.16500000,142.63600000,-39.89300000
1677337200000,0.00195600,0.00196200,0.00194100,0.00194700,1148.12600000,309.31000000,-529.50600000
1677340800000,0.00194800,0.00195900,0.00194500,0.00195200,494.68800000,368.24000000,241.79200000
1677344400000,0.00195100,0.00195400,0.00194500,0.00194600,235.61000000,43.72300000,-148.16400000
1677348000000,0.00194600,0.00194600,0.00193000,0.00193100,562.87500000,165.57300000,-231.72900000
1677351600000,0.00193100,0.00193800,0.00192000,0.00193800,491.78400000,277.08100000,62.37800000
1677355200000,0.00193300,0.00193300,0.00190500,0.00192200,1172.14900000,459.48300000,-253.18300000
1677358800000,0.00191600,0.00191600,0.00189900,0.00190700,790.99900000,200.51200000,-389.97500000
1677362400000,0.00191200,0.00192400,0.00190300,0.00192400,306.97000000,160.89500000,14.82000000
1677366000000,0.00192400,0.00192900,0.00191800,0.00191800,496.07800000,135.66000000,-224.75800000
1677369600000,0.00191900,0.00192200,0.00191500,0.00191800,207.94600000,31.63100000,-144.68400000
1677373200000,0.00192100,0.00192200,0.00191400,0.00191900,109.29900000,38.61100000,-32.07700000
1677376800000,0.00192000,0.00193000,0.00191600,0.00191800,1736.85800000,397.97100000,-940.91600000
1677380400000,0.00192000,0.00193200,0.00191800,0.00192700,704.34900000,330.52600000,-43.29700000
1677384000000,0.00192700,0.00192900,0.00191900,0.00192300,86.65600000,25.18900000,-36.27800000
1677387600000,0.00192300,0.00192400,0.00191600,0.00191800,384.04600000,152.82800000,-78.39000000
1677391200000,0.00191900,0.00192100,0.00191600,0.00192000,194.10200000,105.99400000,17.88600000
1677394800000,0.00191900,0.00192300,0.00191700,0.00192300,279.81900000,75.30300000,-129.21300000
1677398400000,0.00191800,0.00191900,0.00191300,0.00191900,196.31100000,98.77600000,1.24100000
1677402000000,0.00191900,0.00192200,0.00191600,0.00191700,315.65400000,161.69100000,7.72800000
1677405600000,0.00191800,0.00192100,0.00191300,0.00191400,280.35900000,158.34700000,36.33500000
1677409200000,0.00191500,0.00191500,0.00190100,0.00191400,489.04100000,110.29500000,-268.45100000
1677412800000,0.00191400,0.00191800,0.00190500,0.00190800,1118.94000000,339.27100000,-440.39800000
1677416400000,0.00190700,0.00191100,0.00190600,0.00191000,517.91000000,143.24300000,-231.42400000
1677420000000,0.00190800,0.00191800,0.00190800,0.00191300,248.52400000,144.48500000,40.44600000
1677423600000,0.00191200,0.00191400,0.00191000,0.00191300,238.56000000,96.22000000,-46.12000000
1677427200000,0.00191300,0.00192100,0.00190600,0.00191400,1003.66300000,452.67800000,-98.30700000
1677430800000,0.00191200,0.00191300,0.00190600,0.00191100,292.67900000,117.76500000,-57.14900000
1677434400000,0.00191000,0.00191600,0.00190800,0.00191300,877.28500000,404.13000000,-69.02500000
1677438000000,0.00191500,0.00192400,0.00191500,0.00192100,668.13100000,439.37900000,210.62700000
1677441600000,0.00192000,0.00192300,0.00191200,0.00191300,496.34000000,284.73200000,73.12400000
1677445200000,0.00191300,0.00193600,0.00191200,0.00191600,2493.30600000,2140.98100000,1788.65600000
1677448800000,0.00191600,0.00193000,0.00190800,0.00191000,1408.98900000,933.59600000,458.20300000
1677452400000,0.00191200,0.00192500,0.00190400,0.00191500,975.60400000,626.47100000,277.33800000
1677456000000,0.00191700,0.00191700,0.00191100,0.00191100,350.81800000,102.95800000,-144.90200000
1677459600000,0.00191200,0.00191200,0.00190200,0.00190800,338.06800000,112.28200000,-113.50400000
1677463200000,0.00190900,0.00191000,0.00189500,0.00190300,518.22500000,84.79100000,-348.64300000
1677466800000,0.00190100,0.00190200,0.00189600,0.00189600,183.67500000,51.77600000,-80.12300000
1677470400000,0.00189800,0.00190000,0.00189100,0.00189400,257.76800000,33.65500000,-190.45800000
1677474000000,0.00189400,0.00189700,0.00188900,0.00189000,290.11000000,151.31500000,12.52000000
1677477600000,0.00189300,0.00190300,0.00189000,0.00189400,330.02400000,191.19900000,52.37400000
1677481200000,0.00189300,0.00190000,0.00189100,0.00189100,1678.27400000,318.35400000,-1041.56600000
1677484800000,0.00189100,0.00189400,0.00188000,0.00188300,824.95200000,181.50200000,-461.94800000
1677488400000,0.00188400,0.00189000,0.00187500,0.00188300,1933.48400000,992.75900000,52.03400000
1677492000000,0.00188300,0.00188700,0.00188000,0.00188300,437.21600000,205.99800000,-25.22000000
1677495600000,0.00188400,0.00188800,0.00187900,0.00188500,478.27000000,219.62900000,-39.01200000
1677499200000,0.00188700,0.00189100,0.00188100,0.00188200,420.77700000,282.44800000,144.11900000
1677502800000,0.00188400,0.00189100,0.00188000,0.00188700,546.97800000,293.82600000,40.67400000
1677506400000,0.00188900,0.00190200,0.00188700,0.00189400,1480.24000000,1044.15200000,608.06400000
