ts,rate
1700640000000,0.0001000000
1700668800000,0.0017381600
1700697600000,0.0005521400
1700726400000,0.0003731300
1700755200000,0.0005796500
1700784000000,0.0007449300
1700812800000,0.0015523400
1700841600000,0.0001000000
1700870400000,0.0001000000
1700899200000,0.0002743900
1700928000000,0.0004226400
1700956800000,0.0006036800
1700985600000,0.0008709000
1701014400000,0.0019505700
1701043200000,0.0012466200
1701072000000,0.0013329100
1701100800000,0.0001000000
1701129600000,0.0001000000
1701158400000,0.0001000000
1701187200000,0.0001000000
1701216000000,0.0001000000
1701244800000,0.0001000000
1701273600000,0.0001000000
1701302400000,0.0001000000
1701331200000,0.0011108300
1701360000000,0.0002761400
1701388800000,0.0001539200
1701417600000,0.0001000000
1701446400000,0.0007328300
1701475200000,0.0001000000
1701504000000,0.0001000000
1701532800000,0.0001000000
1701561600000,0.0001000000
1701590400000,0.0001000000
1701619200000,0.0004372700
1701648000000,0.0001626100
1701676800000,0.0002437000
1701705600000,0.0009089500
1701734400000,0.0005327200
1701763200000,0.0005040400
1701792000000,0.0005292400
1701820800000,0.0001000000
1701849600000,0.0002909500
1701878400000,0.0003889100
1701907200000,0.0001000000
1701936000000,0.0001000000
1701964800000,0.0001000000
1701993600000,0.0001000000
1702022400000,0.0001000000
1702051200000,0.0005526200
1702080000000,0.0001000000
1702108800000,0.0001000000
1702137600000,0.0003915700
1702166400000,0.0001000000
1702195200000,0.0004992400
1702224000000,0.0008009600
1702252800000,0.0014532800
1702281600000,0.0011954800
1702310400000,0.0006103700
1702339200000,0.0011321500
1702368000000,0.0013393200
1702396800000,0.0007307500
1702425600000,0.0005357100
1702454400000,0.0003679100
1702483200000,0.0010455600
1702512000000,0.0001000000
1702540800000,0.0008836900
1702569600000,0.0010028200
1702598400000,0.0062189900
1702627200000,0.0038066700
1702656000000,0.0073444900
1702684800000,0.0025052000
1702713600000,0.0010692300
1702742400000,0.0012957000
1702771200000,0.0015565700
1702800000000,0.0004982100
1702828800000,0.0002922300
1702857600000,0.0001000000
1702886400000,0.0002693500
1702915200000,0.0001000000
1702944000000,0.0001000000
1702972800000,0.0001000000
1703001600000,0.0001000000
1703030400000,0.0001000000
1703059200000,0.0001000000
1703088000000,0.0001000000
1703116800000,0.0001000000
1703145600000,0.0004778900
1703174400000,0.0005058600
1703203200000,0.0006386000
1703232000000,0.0008846700
1703260800000,0.0006271200
1703289600000,0.0002358800
1703318400000,0.0005675000
1703347200000,0.0001000000
1703376000000,0.0001000000
1703404800000,0.0001000000
1703433600000,0.0004637100
1703462400000,0.0004827900
1703491200000,0.0001000000
1703520000000,0.0006887100
1703548800000,0.0011268200
1703577600000,0.0003660200
1703606400000,0.0003962900
1703635200000,0.0001000000
1703664000000,0.0001000000
1703692800000,0.0005610100
1703721600000,0.0006193200
1703750400000,0.0002841600
1703779200000,0.0007266700
1703808000000,0.0003638200
1703836800000,0.0002804400
1703865600000,0.0005328200
1703894400000,0.0002527300
1703923200000,0.0003693000
1703952000000,0.0001000000
1703980800000,0.0006240500
1704009600000,0.0006559700
1704038400000,0.0001715300
1704067200000,0.0007751900
1704096000000,0.0001000000
1704124800000,0.0001000000
1704153600000,0.0004264700
1704182400000,0.0010327500
1704211200000,0.0008084900
1704240000000,0.0004887400
1704268800000,0.0005995800
1704297600000,0.0002016500
1704326400000,0.0001000000
1704355200000,0.0001000000
1704384000000,0.0001000000
1704412800000,0.0001000000
1704441600000,0.0001000000
1704470400000,0.0001000000
1704499200000,0.0001000000
1704528000000,0.0001000000
1704556800000,0.0001000000
1704585600000,0.0001000000
1704614400000,0.0001000000
1704643200000,0.0001000000
1704672000000,0.0001000000
1704700800000,0.0001000000
1704729600000,0.0001000000
1704758400000,0.0001000000
1704787200000,0.0001000000
1704816000000,0.0001000000
1704844800000,0.0001000000
1704873600000,0.0001000000
1704902400000,0.0001000000
1704931200000,0.0001000000
1704960000000,0.0001000000
1704988800000,0.0001000000
1705017600000,0.0001000000
1705046400000,0.0001000000
1705075200000,0.0001000000
1705104000000,0.0001000000
1705132800000,0.0001000000
1705161600000,0.0001000000
1705190400000,0.0001000000
1705219200000,0.0001000000
1705248000000,0.0001000000
1705276800000,0.0001000000
1705305600000,0.0001000000
1705334400000,0.0001000000
1705363200000,0.0001000000
1705392000000,0.0001000000
1705420800000,0.0001000000
1705449600000,0.0001000000
1705478400000,0.0001000000
1705507200000,0.0001000000
1705536000000,0.0001000000
1705564800000,0.0001000000
1705593600000,0.0001000000
1705622400000,0.0001000000
1705651200000,0.0001000000
1705680000000,0.0001000000
1705708800000,0.0001000000
1705737600000,0.0001000000
1705766400000,0.0001000000
1705795200000,0.0001000000
1705824000000,0.0001000000
1705852800000,0.0001000000
1705881600000,0.0001000000
1705910400000,0.0001000000
1705939200000,0.0001000000
1705968000000,0.0001000000
1705996800000,0.0001000000
1706025600000,0.0001000000
1706054400000,0.0001000000
1706083200000,0.0001000000
1706112000000,0.0001000000
1706140800000,0.0001000000
1706169600000,0.0001000000
1706198400000,0.0001000000
1706227200000,0.0001000000
1706256000000,0.0001000000
1706284800000,0.0001000000
1706313600000,0.0001000000
1706342400000,0.0001000000
1706371200000,0.0001000000
1706400000000,0.0001000000
1706428800000,0.0001000000
1706457600000,0.0001000000
1706486400000,0.0001000000
1706515200000,0.0001000000
1706544000000,0.0001000000
1706572800000,0.0001000000
1706601600000,0.0001000000
1706630400000,0.0001000000
1706659200000,0.0001000000
1706688000000,0.0001000000
1706716800000,0.0001000000
1706745600000,0.0001000000
1706774400000,0.0001000000
1706803200000,0.0002900400
1706832000000,0.0001641100
1706860800000,0.0002566700
1706889600000,0.0001410000
1706918400000,0.0001099200
1706947200000,0.0001000000
1706976000000,0.0001000000
1707004800000,0.0001000000
1707033600000,0.0001000000
1707062400000,0.0001000000
1707091200000,0.0001000000
1707120000000,0.0001000000
1707148800000,0.0001000000
1707177600000,0.0001037700
1707206400000,0.0001000000
1707235200000,0.0001000000
1707264000000,0.0001396800
1707292800000,0.0001957700
1707321600000,0.0001039800
1707350400000,0.0001000000
1707379200000,0.0001000000
1707408000000,0.0001000000
1707436800000,0.0001000000
1707465600000,0.0001000000
1707494400000,0.0001000000
1707523200000,0.0001721400
1707552000000,0.0001678900
1707580800000,0.0002840400
1707609600000,0.0002415100
1707638400000,0.0001824000
1707667200000,0.0005377600
1707696000000,0.0001554800
1707724800000,0.0001459200
1707753600000,0.0003022300
1707782400000,0.0001453500
1707811200000,0.0001647300
1707840000000,0.0001244500
1707868800000,0.0003287400
1707897600000,0.0004000600
1707926400000,0.0005125400
1707955200000,0.0009402900
1707984000000,0.0004164500
1708012800000,0.0004307900
1708041600000,0.0004187600
1708070400000,0.0004364800
1708099200000,0.0004624500
1708128000000,0.0001232200
1708156800000,0.0001000000
1708185600000,0.0001028300
1708214400000,0.0003000300
1708243200000,0.0007848800
1708272000000,0.0001241500
1708300800000,0.0006390900
1708329600000,0.0006137600
1708358400000,0.0008897000
1708387200000,0.0004847700
1708416000000,0.0003849900
1708444800000,0.0003557300
1708473600000,0.0003480000
1708502400000,0.0002500400
1708531200000,0.0001052200
1708560000000,0.0002106400
1708588800000,0.0001350100
1708617600000,0.0001000000
1708646400000,0.0001000000
1708675200000,0.0003920700
1708704000000,0.0005257700
1708732800000,0.0002345900
1708761600000,0.0002789300
1708790400000,0.0001000000
1708819200000,0.0001000000
1708848000000,0.0006528400
1708876800000,0.0004724600
1708905600000,0.0002565200
1708934400000,0.0004123100
1708963200000,0.0004451500
1708992000000,0.0013428000
1709020800000,0.0010828800
1709049600000,0.0005560600
1709078400000,0.0012829400
1709107200000,0.0012182100
1709136000000,0.0010766600
1709164800000,0.0002414300
1709193600000,0.0005441100
1709222400000,0.0009160300
1709251200000,0.0004096100
1709280000000,0.0007565800
1709308800000,0.0008324300
1709337600000,0.0016421800
1709366400000,0.0016800200
1709395200000,0.0016435600
1709424000000,0.0013853500
1709452800000,0.0010883100
1709481600000,0.0013515500
1709510400000,0.0018830600
1709539200000,0.0020910000
1709568000000,0.0024400300
1709596800000,0.0026250200
1709625600000,0.0024775500
1709654400000,0.0023526100
1709683200000,0.0009050100
1709712000000,0.0002843000
1709740800000,0.0009020300
1709769600000,0.0005998100
1709798400000,0.0008126100
1709827200000,0.0006370800
1709856000000,0.0005905000
1709884800000,0.0016186900
1709913600000,0.0018323600
1709942400000,0.0013757600
1709971200000,0.0020772900
1710000000000,0.0022151200
1710028800000,0.0023368400
1710057600000,0.0013136100
1710086400000,0.0011355400
1710115200000,0.0015198100
1710144000000,0.0010198700
1710172800000,0.0012129000
1710201600000,0.0014083100
1710230400000,0.0012242400
1710259200000,0.0005390700
1710288000000,0.0014432200
1710316800000,0.0012355100
1710345600000,0.0013472700
1710374400000,0.0011280800
1710403200000,0.0019736700
1710432000000,0.0015704900
1710460800000,0.0014765200
1710489600000,0.0009098900
1710518400000,0.0005788900
1710547200000,0.0009290400
1710576000000,0.0010542600
1710604800000,0.0008005100
1710633600000,0.0007236900
1710662400000,0.0007720500
1710691200000,0.0008434000
1710720000000,0.0002096400
1710748800000,0.0001000000
1710777600000,0.0003461400
1710806400000,0.0003658400
1710835200000,0.0004224800
1710864000000,0.0001502500
1710892800000,0.0003076600
1710921600000,0.0003338200
1710950400000,0.0003137600
1710979200000,0.0001639100
1711008000000,0.0002585500
1711036800000,0.0005627500
1711065600000,0.0002378800
1711094400000,0.0002991600
1711123200000,0.0002290200
1711152000000,0.0002978400
1711180800000,0.0002847800
1711209600000,0.0003543100
1711238400000,0.0004162200
1711267200000,0.0002277600
1711296000000,0.0003395700
1711324800000,0.0004333600
1711353600000,0.0006228000
1711382400000,0.0004866800
1711411200000,0.0006647200
1711440000000,0.0006155300
1711468800000,0.0011764700
1711497600000,0.0013220600
1711526400000,0.0008583300
1711555200000,0.0007516400
1711584000000,0.0008762100
1711612800000,0.0008239300
1711641600000,0.0009412400
1711670400000,0.0008183300
1711699200000,0.0008037300
1711728000000,0.0007699200
1711756800000,0.0007095000
1711785600000,0.0011634400
1711814400000,0.0011062000
1711843200000,0.0010200500
1711872000000,0.0012613700
1711900800000,0.0013431400
1711929600000,0.0008527400
1711958400000,0.0011846500
1711987200000,0.0008391600
1712016000000,0.0006236900
1712044800000,0.0004213100
1712073600000,0.0003322600
1712102400000,0.0001000000
1712131200000,0.0002057700
1712160000000,0.0003534900
1712188800000,0.0006332800
1712217600000,0.0006407200
1712246400000,0.0005295000
1712275200000,0.0001000000
1712304000000,0.0003348400
1712332800000,0.0001281900
1712361600000,0.0004712700
1712390400000,0.0001377400
1712419200000,0.0004687900
1712448000000,0.0006468800
1712476800000,0.0003465700
1712505600000,0.0004665800
1712534400000,0.0005409700
1712563200000,0.0005454900
1712592000000,0.0007479400
1712620800000,0.0006406600
1712649600000,0.0006172300
1712678400000,0.0003281900
1712707200000,0.0001000000
1712736000000,0.0001104300
1712764800000,0.0001000000
1712793600000,0.0001812600
1712822400000,0.0001000000
1712851200000,0.0001000000
1712880000000,0.0003131200
1712908800000,0.0005400000
1712937600000,0.0003208700
1712966400000,0.0001000000
1712995200000,0.0001000000
1713024000000,0.0001000000
1713052800000,0.0001000000
1713081600000,0.0001000000
1713110400000,0.0001000000
1713139200000,0.0001000000
1713168000000,0.0001000000
1713196800000,0.0001000000
1713225600000,0.0001000000
1713254400000,0.0001000000
1713283200000,0.0001000000
1713312000000,0.0001000000
1713340800000,0.0001000000
1713369600000,0.0001000000
1713398400000,0.0001000000
1713427200000,0.0001000000
1713456000000,0.0001000000
1713484800000,0.0001000000
1713513600000,0.0001000000
1713542400000,0.0001000000
1713571200000,0.0001000000
1713600000000,0.0001000000
1713628800000,0.0001000000
1713657600000,0.0001000000
1713686400000,0.0001000000
1713715200000,0.0001000000
1713744000000,0.0001000000
1713772800000,0.0001000000
1713801600000,0.0001000000
1713830400000,0.0001000000
1713859200000,0.0001000000
1713888000000,0.0001000000
1713916800000,0.0001000000
1713945600000,0.0001000000
1713974400000,0.0001000000
1714003200000,0.0001000000
1714032000000,0.0001000000
1714060800000,0.0001000000
1714089600000,0.0001000000
1714118400000,0.0001000000
1714147200000,0.0001000000
1714176000000,0.0001000000
1714204800000,0.0001000000
1714233600000,0.0001000000
1714262400000,0.0001000000
1714291200000,0.0001000000
1714320000000,0.0001000000
1714348800000,0.0001000000
1714377600000,0.0001000000
1714406400000,0.0001000000
1714435200000,0.0001000000
1714464000000,0.0001000000
1714492800000,0.0001000000
1714521600000,0.0001000000
1714550400000,0.0001000000
1714579200000,0.0001000000
1714608000000,0.0001000000
1714636800000,0.0001000000
1714665600000,0.0001000000
1714694400000,0.0001000000
1714723200000,0.0001000000
1714752000000,0.0001000000
1714780800000,0.0001000000
1714809600000,0.0001000000
1714838400000,0.0001000000
1714867200000,0.0001000000
1714896000000,0.0001000000
1714924800000,0.0001000000
1714953600000,0.0001000000
1714982400000,0.0003069600
1715011200000,0.0001000000
1715040000000,0.0001000000
1715068800000,0.0001000000
1715097600000,0.0001000000
1715126400000,0.0001000000
1715155200000,0.0001000000
1715184000000,0.0001000000
1715212800000,0.0001000000
1715241600000,0.0004450500
1715270400000,0.0001000000
1715299200000,0.0001584000
1715328000000,0.0001000000
1715356800000,0.0003262200
1715385600000,0.0001000000
1715414400000,0.0005499700
1715443200000,0.0001000000
1715472000000,0.0001000000
1715500800000,0.0001000000
1715529600000,0.0001000000
1715558400000,0.0001000000
1715587200000,0.0001000000
1715616000000,0.0001000000
1715644800000,0.0001000000
1715673600000,0.0001000000
1715702400000,0.0001000000
1715731200000,0.0001000000
1715760000000,0.0001028400
1715788800000,0.0001000000
1715817600000,0.0001000000
1715846400000,0.0001000000
1715875200000,0.0001000000
1715904000000,0.0001000000
1715932800000,0.0001000000
1715961600000,0.0001000000
1715990400000,0.0001000000
1716019200000,0.0001000000
1716048000000,0.0001000000
1716076800000,0.0001000000
1716105600000,0.0001000000
1716134400000,0.0000957500
1716163200000,0.0001000000
1716192000000,0.0001000000
1716220800000,0.0001000000
1716249600000,0.0001000000
1716278400000,0.0001000000
