ts,rate
1673856000000,0.0001000000
1673884800000,0.0001000000
1673913600000,0.0001000000
1673942400000,0.0001000000
1673971200000,0.0001000000
1674000000000,0.0001000000
1674028800000,0.0001000000
1674057600000,0.0001000000
1674086400000,-0.0000987300
1674115200000,0.0000210600
1674144000000,0.0001000000
1674172800000,0.0001000000
1674201600000,0.0001000000
1674230400000,0.0001000000
1674259200000,0.0001000000
1674288000000,0.0001000000
1674316800000,0.0001000000
1674345600000,0.0001000000
1674374400000,0.0001000000
1674403200000,0.0001000000
1674432000000,0.0001000000
1674460800000,0.0001000000
1674489600000,0.0001000000
1674518400000,0.0001000000
1674547200000,0.0001000000
1674576000000,0.0001000000
1674604800000,0.0001000000
1674633600000,0.0001000000
1674662400000,0.0001000000
1674691200000,0.0001000000
1674720000000,0.0001000000
1674748800000,0.0000779700
1674777600000,0.0001000000
1674806400000,0.0001000000
1674835200000,0.0001000000
1674864000000,0.0001000000
1674892800000,0.0001000000
1674921600000,0.0000592400
1674950400000,0.0001000000
1674979200000,0.0001000000
1675008000000,0.0001000000
1675036800000,0.0001000000
1675065600000,0.0001000000
1675094400000,0.0000530500
1675123200000,-0.0001306700
1675152000000,-0.0000211200
1675180800000,0.0000203600
1675209600000,0.0001000000
1675238400000,0.0001000000
1675267200000,0.0000916700
1675296000000,0.0001000000
1675324800000,0.0001000000
1675353600000,0.0001000000
1675382400000,0.0001000000
1675411200000,0.0001000000
1675440000000,0.0001000000
1675468800000,0.0001000000
1675497600000,0.0001000000
1675526400000,0.0001000000
1675555200000,0.0001000000
1675584000000,0.0001000000
1675612800000,0.0001000000
1675641600000,0.0001000000
1675670400000,0.0001000000
1675699200000,0.0001000000
1675728000000,0.0000177900
1675756800000,0.0001000000
1675785600000,0.0001000000
1675814400000,0.0001000000
1675843200000,0.0001000000
1675872000000,0.0001000000
1675900800000,0.0001000000
1675929600000,-0.0000234400
1675958400000,-0.0000067300
1675987200000,-0.0007124800
1676016000000,-0.0003314600
1676044800000,-0.0000763200
1676073600000,-0.0000819800
1676102400000,-0.0004164300
1676131200000,-0.0003485900
1676160000000,-0.0002414700
1676188800000,-0.0002384500
1676217600000,-0.0002099200
1676246400000,-0.0001756200
1676275200000,-0.0006236100
1676304000000,-0.0002123800
1676332800000,-0.0000152900
1676361600000,0.0001000000
1676390400000,0.0001000000
1676419200000,-0.0000324700
1676448000000,0.0000853800
1676476800000,-0.0000399600
1676505600000,0.0001000000
1676534400000,0.0001000000
1676563200000,0.0001000000
1676592000000,0.0001000000
1676620800000,0.0001000000
1676649600000,0.0001000000
1676678400000,0.0000682700
1676707200000,0.0001000000
1676736000000,0.0001000000
1676764800000,0.0001000000
1676793600000,0.0001000000
1676822400000,0.0001000000
1676851200000,0.0001000000
1676880000000,0.0001000000
1676908800000,0.0001000000
1676937600000,0.0001000000
1676966400000,0.0001000000
1676995200000,0.0001000000
1677024000000,0.0001000000
1677052800000,0.0001000000
1677081600000,0.0001000000
1677110400000,0.0001000000
1677139200000,0.0001000000
1677168000000,0.0001000000
1677196800000,0.0001000000
1677225600000,0.0001000000
1677254400000,-0.0001772700
1677283200000,-0.0000582100
1677312000000,-0.0000936700
1677340800000,-0.0000401900
1677369600000,0.0000631900
1677398400000,0.0001000000
1677427200000,0.0000646100
1677456000000,-0.0001161600
1677484800000,-0.0001408500
1677513600000,-0.0000950100
1677542400000,-0.0001359600
1677571200000,0.0000707500
1677600000000,-0.0000463100
1677628800000,0.0000204000
1677657600000,-0.0000455900
1677686400000,0.0001000000
1677715200000,-0.0000277600
1677744000000,0.0000312600
1677772800000,-0.0000268000
1677801600000,0.0001000000
1677830400000,-0.0002633300
1677859200000,-0.0000100800
1677888000000,-0.0001410300
1677916800000,0.0000582900
1677945600000,-0.0000822800
1677974400000,0.0000420600
1678003200000,-0.0001707400
1678032000000,-0.0000280400
1678060800000,-0.0000276900
1678089600000,0.0000020300
1678118400000,-0.0000871800
1678147200000,-0.0001715700
1678176000000,-0.0000789400
1678204800000,-0.0000289300
1678233600000,-0.0001184500
1678262400000,-0.0000800200
1678291200000,-0.0000860900
1678320000000,-0.0001289900
1678348800000,-0.0002208900
1678377600000,0.0000107100
1678406400000,-0.0001968700
1678435200000,-0.0001788200
1678464000000,-0.0000717900
1678492800000,-0.0001085700
1678521600000,-0.0004023200
1678550400000,-0.0001640900
1678579200000,-0.0003694200
1678608000000,-0.0001226000
1678636800000,-0.0001054700
1678665600000,-0.0000601000
1678694400000,-0.0002098000
1678723200000,-0.0002891600
1678752000000,-0.0001762700
1678780800000,-0.0001434900
1678809600000,-0.0002701500
1678838400000,-0.0000605100
1678867200000,0.0001000000
