ts,rate
1673856000000,0.0001000000
1673884800000,0.0001000000
1673913600000,0.0001000000
1673942400000,0.0001000000
1673971200000,0.0001000000
1674000000000,0.0000854200
1674028800000,0.0001000000
1674057600000,0.0001000000
1674086400000,-0.0001330800
1674115200000,-0.0001996000
1674144000000,-0.0000417000
1674172800000,-0.0002560900
1674201600000,-0.0000757400
1674230400000,0.0001000000
1674259200000,0.0001000000
1674288000000,0.0001000000
1674316800000,0.0001000000
1674345600000,0.0001000000
1674374400000,0.0001000000
1674403200000,0.0001000000
1674432000000,0.0001000000
1674460800000,0.0001000000
1674489600000,0.0001000000
1674518400000,0.0001000000
1674547200000,0.0001132900
1674576000000,0.0001000000
1674604800000,0.0001000000
1674633600000,0.0001000000
1674662400000,0.0001000000
1674691200000,0.0001000000
1674720000000,0.0001000000
1674748800000,0.0001000000
1674777600000,0.0001000000
1674806400000,0.0001000000
1674835200000,0.0001000000
1674864000000,0.0001000000
1674892800000,0.0001000000
1674921600000,0.0001000000
1674950400000,0.0001000000
1674979200000,0.0001000000
1675008000000,0.0001000000
1675036800000,0.0001000000
1675065600000,0.0001000000
1675094400000,0.0001000000
1675123200000,0.0001000000
1675152000000,0.0001000000
1675180800000,0.0001000000
1675209600000,0.0001000000
1675238400000,0.0001000000
1675267200000,0.0001000000
1675296000000,0.0001000000
1675324800000,0.0001000000
1675353600000,0.0001000000
1675382400000,0.0001000000
1675411200000,0.0001000000
1675440000000,0.0001000000
1675468800000,0.0001000000
1675497600000,0.0001000000
1675526400000,0.0001000000
1675555200000,0.0001000000
1675584000000,0.0001000000
1675612800000,0.0001000000
1675641600000,0.0001000000
1675670400000,0.0001000000
1675699200000,0.0001000000
1675728000000,0.0001000000
1675756800000,0.0001000000
1675785600000,0.0001000000
1675814400000,0.0001000000
1675843200000,0.0001000000
1675872000000,0.0001000000
1675900800000,0.0001000000
1675929600000,0.0001000000
1675958400000,0.0001000000
1675987200000,0.0001000000
1676016000000,-0.0000737300
1676044800000,-0.0001423000
1676073600000,-0.0002425200
1676102400000,-0.0003544500
1676131200000,-0.0004184500
1676160000000,-0.0002155100
1676188800000,-0.0003376600
1676217600000,-0.0003275200
1676246400000,-0.0003100000
1676275200000,-0.0001994400
1676304000000,-0.0002956500
1676332800000,-0.0000797600
1676361600000,-0.0001113600
1676390400000,-0.0000518300
1676419200000,-0.0002310300
1676448000000,0.0000103900
1676476800000,-0.0001387200
1676505600000,0.0000411700
1676534400000,0.0001000000
1676563200000,0.0001000000
1676592000000,0.0001000000
1676620800000,-0.0001183600
1676649600000,-0.0000665800
1676678400000,0.0000581700
1676707200000,-0.0000034100
1676736000000,-0.0000884800
1676764800000,-0.0000856200
1676793600000,0.0000627100
1676822400000,0.0000916200
1676851200000,-0.0001069700
1676880000000,-0.0000309200
1676908800000,0.0000109900
1676937600000,0.0001000000
1676966400000,-0.0000151200
1676995200000,-0.0000190400
1677024000000,0.0000706400
1677052800000,-0.0001409300
1677081600000,-0.0002124900
1677110400000,0.0000302200
1677139200000,0.0000467600
1677168000000,0.0000759300
1677196800000,-0.0002068200
1677225600000,0.0000683700
1677254400000,0.0000481400
1677283200000,0.0000328800
1677312000000,0.0000044800
1677340800000,-0.0000899900
1677369600000,-0.0002309700
1677398400000,-0.0000641500
1677427200000,-0.0000938500
1677456000000,0.0000025000
1677484800000,-0.0001476400
1677513600000,0.0000790200
1677542400000,-0.0001975200
1677571200000,-0.0000899100
1677600000000,-0.0001186800
1677628800000,-0.0002320700
1677657600000,0.0001000000
1677686400000,0.0001000000
1677715200000,-0.0001139800
1677744000000,-0.0002328600
1677772800000,-0.0002794600
1677801600000,-0.0000822600
1677830400000,-0.0002253500
1677859200000,0.0000285800
1677888000000,0.0000149100
1677916800000,-0.0000725300
1677945600000,-0.0002479700
1677974400000,-0.0001293200
1678003200000,0.0000789100
1678032000000,-0.0000077900
1678060800000,0.0000585000
1678089600000,-0.0000639800
1678118400000,-0.0001652700
1678147200000,-0.0002227600
1678176000000,0.0000666400
1678204800000,-0.0002796300
1678233600000,0.0000747100
1678262400000,0.0000186100
1678291200000,-0.0000310400
1678320000000,-0.0001147600
1678348800000,0.0000562700
1678377600000,0.0001000000
1678406400000,-0.0002051600
1678435200000,-0.0002276500
1678464000000,-0.0003181700
1678492800000,-0.0002054300
1678521600000,-0.0006705200
1678550400000,-0.0006113200
1678579200000,-0.0001793400
1678608000000,0.0000155800
1678636800000,0.0000634500
1678665600000,0.0001000000
1678694400000,0.0001000000
1678723200000,0.0001000000
1678752000000,0.0001000000
1678780800000,0.0001000000
1678809600000,0.0001000000
1678838400000,0.0001000000
1678867200000,0.0001000000
