ts,rate
1690185600000,0.0001000000
1690214400000,-0.0006460000
1690243200000,0.0001000000
1690272000000,-0.0001574100
1690300800000,0.0001000000
1690329600000,0.0001000000
1690358400000,-0.0003754700
1690387200000,0.0000331700
1690416000000,0.0001000000
1690444800000,0.0001000000
1690473600000,0.0001000000
1690502400000,0.0001000000
1690531200000,0.0001000000
1690560000000,0.0001000000
1690588800000,0.0001000000
1690617600000,0.0001000000
1690646400000,0.0001000000
1690675200000,0.0001000000
1690704000000,-0.0000114200
1690732800000,0.0001000000
1690761600000,0.0001000000
1690790400000,0.0001000000
1690819200000,0.0001000000
1690848000000,0.0001000000
1690876800000,0.0001000000
1690905600000,0.0001000000
1690934400000,0.0001000000
1690963200000,0.0001000000
1690992000000,-0.0002142300
1691020800000,0.0000800000
1691049600000,0.0001000000
1691078400000,0.0001000000
1691107200000,0.0001000000
1691136000000,0.0001000000
1691164800000,0.0001000000
1691193600000,0.0001000000
1691222400000,0.0001000000
1691251200000,0.0001000000
1691280000000,0.0001000000
1691308800000,0.0001000000
1691337600000,0.0001000000
1691366400000,0.0001000000
1691395200000,0.0001000000
1691424000000,0.0001000000
1691452800000,0.0001000000
1691481600000,0.0001000000
1691510400000,0.0001000000
1691539200000,0.0001000000
1691568000000,0.0001000000
1691596800000,0.0001000000
1691625600000,0.0001000000
1691654400000,0.0001000000
1691683200000,0.0001000000
1691712000000,0.0001000000
1691740800000,0.0001000000
1691769600000,0.0001000000
1691798400000,0.0001000000
1691827200000,0.0001000000
1691856000000,0.0001000000
1691884800000,0.0001000000
1691913600000,0.0001000000
1691942400000,0.0001000000
1691971200000,0.0001000000
1692000000000,0.0001000000
1692028800000,0.0001000000
1692057600000,0.0001000000
1692086400000,0.0001000000
1692115200000,0.0001000000
1692144000000,0.0001000000
1692172800000,0.0001000000
1692201600000,0.0001000000
1692230400000,0.0001000000
1692259200000,0.0001000000
1692288000000,0.0001000000
1692316800000,0.0001000000
1692345600000,0.0001000000
1692374400000,-0.0000146400
1692403200000,0.0001000000
1692432000000,0.0001000000
1692460800000,0.0000259600
1692489600000,-0.0000172000
1692518400000,-0.0000616100
1692547200000,-0.0000370700
1692576000000,-0.0000697200
1692604800000,-0.0000513000
1692633600000,0.0000767900
1692662400000,-0.0001087900
1692691200000,-0.0001213400
1692720000000,0.0000595000
1692748800000,0.0001000000
1692777600000,0.0001000000
1692806400000,0.0000479600
1692835200000,-0.0000232800
1692864000000,0.0000845000
1692892800000,0.0001000000
1692921600000,0.0000763600
1692950400000,0.0000359000
1692979200000,0.0001000000
1693008000000,0.0000204900
1693036800000,0.0000195300
1693065600000,0.0000188200
1693094400000,-0.0000982400
