idx,timestamp,open_interest
0,1674644400000,409447.62
1,1674648000000,410562.0
2,1674651600000,411960.43
3,1674655200000,409350.93
4,1674658800000,416653.86
5,1674662400000,415592.65
6,1674666000000,414385.07
7,1674669600000,415601.85
8,1674673200000,416199.3
9,1674676800000,415181.57
10,1674680400000,400573.02
11,1674684000000,400464.65
12,1674687600000,382368.22
13,1674691200000,396086.47
14,1674694800000,399275.11
15,1674698400000,394129.18
16,1674702000000,396424.85
17,1674705600000,396013.46
18,1674709200000,396031.1
19,1674712800000,397043.34
20,1674716400000,390232.32
21,1674720000000,386243.4
22,1674723600000,388047.12
23,1674727200000,388921.04
24,1674730800000,389649.79
25,1674734400000,390660.18
26,1674738000000,390467.66
27,1674741600000,393814.54
28,1674745200000,393649.08
29,1674748800000,392098.58
30,1674752400000,391144.06
31,1674756000000,392918.16
32,1674759600000,392474.34
33,1674763200000,394587.75
34,1674766800000,400737.06
35,1674770400000,394992.8
36,1674774000000,398505.78
37,1674777600000,398928.19
38,1674781200000,398388.16
39,1674784800000,386842.77
40,1674788400000,387746.83
41,1674792000000,389589.43
42,1674795600000,391446.85
43,1674799200000,387127.42
44,1674802800000,388976.35
45,1674806400000,391770.33
46,1674810000000,394438.59
47,1674813600000,395452.72
48,1674817200000,394737.67
49,1674820800000,394912.89
50,1674824400000,393835.25
51,1674828000000,390328.5
52,1674831600000,395006.54
53,1674835200000,390959.57
54,1674838800000,393729.53
55,1674842400000,394467.72
56,1674846000000,398131.5
57,1674849600000,403413.3
58,1674853200000,393420.14
59,1674856800000,396234.93
60,1674860400000,392546.46
61,1674864000000,391450.45
62,1674867600000,394102.11
63,1674871200000,394532.55
64,1674874800000,391680.04
65,1674878400000,394585.19
66,1674882000000,396351.46
67,1674885600000,392941.6
68,1674889200000,392725.06
69,1674892800000,390719.74
70,1674896400000,389836.23
71,1674900000000,390897.69
72,1674903600000,384989.56
73,1674907200000,386358.26
74,1674910800000,386345.76
75,1674914400000,389380.91
76,1674918000000,391299.32
77,1674921600000,388022.0
78,1674925200000,392321.65
79,1674928800000,390995.28
80,1674932400000,394546.96
81,1674936000000,391910.37
82,1674939600000,389842.2
83,1674943200000,391973.6
84,1674946800000,392349.91
85,1674950400000,391064.98
86,1674954000000,391035.45
87,1674957600000,380226.0
88,1674961200000,377560.37
89,1674964800000,378926.75
90,1674968400000,380847.03
91,1674972000000,383388.28
92,1674975600000,385054.11
93,1674979200000,384805.06
94,1674982800000,386352.53
95,1674986400000,388660.87
96,1674990000000,397474.46
97,1674993600000,396229.0
98,1674997200000,396972.0
99,1675000800000,397010.35
100,1675004400000,397234.21
101,1675008000000,397792.43
102,1675011600000,400040.0
103,1675015200000,399524.92
104,1675018800000,397102.02
105,1675022400000,399044.52
106,1675026000000,388605.12
107,1675029600000,385868.08
108,1675033200000,388195.8
109,1675036800000,388937.77
110,1675040400000,390136.44
111,1675044000000,390636.63
112,1675047600000,392682.14
113,1675051200000,394769.95
114,1675054800000,396715.53
115,1675058400000,397184.17
116,1675062000000,394210.16
117,1675065600000,396110.44
118,1675069200000,396879.23
119,1675072800000,398642.52
120,1675076400000,400835.75
121,1675080000000,405605.02
122,1675083600000,407783.12
123,1675087200000,412001.31
124,1675090800000,413018.16
125,1675094400000,414046.17
126,1675098000000,417398.04
127,1675101600000,416613.51
128,1675105200000,418671.25
129,1675108800000,414245.27
130,1675112400000,415915.67
131,1675116000000,412575.3
132,1675119600000,412134.34
133,1675123200000,414850.06
134,1675126800000,415253.62
135,1675130400000,416583.78
136,1675134000000,416888.47
137,1675137600000,418455.2
138,1675141200000,419118.55
139,1675144800000,416822.03
140,1675148400000,419008.78
141,1675152000000,417579.05
142,1675155600000,423040.36
143,1675159200000,425116.05
144,1675162800000,423446.98
145,1675166400000,424809.58
146,1675170000000,427773.76
147,1675173600000,428121.9
148,1675177200000,422643.31
149,1675180800000,421891.3
150,1675184400000,414620.41
151,1675188000000,414153.22
152,1675191600000,414399.76
153,1675195200000,414501.0
154,1675198800000,413744.44
155,1675202400000,407864.58
156,1675206000000,400664.77
157,1675209600000,403124.96
158,1675213200000,404241.1
159,1675216800000,403857.79
160,1675220400000,404705.42
161,1675224000000,404959.24
162,1675227600000,405009.72
163,1675231200000,406878.93
164,1675234800000,406552.72
165,1675238400000,408221.0
166,1675242000000,409400.38
167,1675245600000,410981.31
168,1675249200000,409355.67
169,1675252800000,407414.78
170,1675256400000,406783.9
171,1675260000000,401761.01
172,1675263600000,400888.01
173,1675267200000,400119.61
174,1675270800000,399237.4
175,1675274400000,396532.03
176,1675278000000,393945.52
177,1675281600000,391897.63
178,1675285200000,403241.14
179,1675288800000,401349.35
180,1675292400000,403942.37
181,1675296000000,405523.01
182,1675299600000,392590.9
183,1675303200000,394767.97
184,1675306800000,392002.29
185,1675310400000,391479.12
186,1675314000000,392815.24
