,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,97.06,97.43,96.58,96.65,5159.64,500174.5408,,7965.0
,1705712400000,96.65,97.85,96.59,97.8,4425.99,430860.2992,,7930.2
,1705716000000,97.8,98.27,97.51,98,2955.39,289385.6025,,5411.5
,1705719600000,98,98.29,97.43,97.86,7074.4,692081.9527,,6450.6
,1705723200000,97.86,98.03,97.48,97.59,1572.76,153633.6016,,4546.8
,1705726800000,97.59,97.7,97.15,97.25,1377.23,134153.694,,3643.0
,1705730400000,97.25,98.05,97.2,97.87,800.93,78180.6798,,3429.5
,1705734000000,97.87,98.56,97.57,97.62,9087.17,891848.7218,,9478.1
,1705737600000,97.62,98.13,97.29,97.52,7447.79,727688.9317,,11755.3
,1705741200000,97.52,97.74,96.35,96.67,4527.76,440100.9174,,7493.5
,1705744800000,96.67,97.18,96.61,96.7,945.49,91619.0955,,4088.3
,1705748400000,96.7,96.99,96.38,96.9,594.76,57486.6852,,2310.6
,1705752000000,96.9,97.47,96.64,97.24,1380.5,134069.1522,,6278.1
,1705755600000,97.24,97.51,97.09,97.43,583.99,56842.1936,,3145.3
,1705759200000,97.43,97.43,96.43,96.57,2564.38,247987.1347,,7323.5
,1705762800000,96.57,97.26,96.09,96.71,1764.44,170661.8633,,4730.8
,1705766400000,96.71,96.8,95.96,96.12,1185.34,114190.8071,,5782.8
,1705770000000,96.12,96.64,96.04,96.57,1036.61,99844.9669,,4401.4
,1705773600000,96.57,96.58,96.01,96.28,1077.61,103769.9691,,3811.9
,1705777200000,96.28,96.96,96.25,96.7,1946.45,188252.7238,,3508.6
,1705780800000,96.7,97.1,96.52,96.61,2345.33,227153.53,,4347.9
,1705784400000,96.61,97.12,96.59,96.91,896.69,86864.3951,,3020.4
,1705788000000,96.91,97.55,96.91,97.45,868.22,84398.1586,,2813.6
,1705791600000,97.45,97.59,97.1,97.4,1258.1,122524.7889,,2805.0
,1705795200000,97.4,97.4,96.56,96.86,2400.39,232630.0077,,5493.1
,1705798800000,96.86,97.31,96.67,97,674.3,65402.9883,,3182.6
,1705802400000,97,97.62,96.75,97.38,7042.98,684432.7475,,7434.6
,1705806000000,97.38,98.06,97.3,97.59,10081.44,984611.0515,,8040.7
,1705809600000,97.59,97.75,97.29,97.66,1670.32,162811.7061,,3817.2
,1705813200000,97.66,97.96,97.46,97.47,478.26,46733.498,,2311.2
,1705816800000,97.47,97.66,97.2,97.29,800.66,78021.2672,,3270.4
,1705820400000,97.29,97.61,96.99,97.41,930.74,90513.9639,,2681.2
,1705824000000,97.41,97.69,97.03,97.03,982.32,95704.5185,,2579.6
,1705827600000,97.03,97.53,97.03,97.43,610.56,59430.262,,2832.8
,1705831200000,97.43,97.87,97.3,97.65,1063.53,103858.0478,,3882.9
,1705834800000,97.65,97.85,97.24,97.34,2606.11,254428.52,,2895.4
,1705838400000,97.34,97.82,97.16,97.75,1821.84,177788.3775,,4247.5
,1705842000000,97.75,98.69,97.56,98.37,6203.05,609202.3569,,10828.0
,1705845600000,98.37,98.63,97.77,98.33,2329.48,228968.7716,,5467.3
,1705849200000,98.33,98.49,97.22,97.56,2714.16,265269.0324,,5217.4
,1705852800000,97.56,97.88,96.72,97.59,5038.12,490279.968,,7115.3
,1705856400000,97.59,98.27,97.57,98.18,4080.11,399969.3066,,5288.2
,1705860000000,98.18,98.53,97.89,98.03,2419.23,237616.0084,,3690.9
,1705863600000,98.03,98.06,97.21,97.55,4560.68,444458.488,,2449.8
,1705867200000,97.55,97.84,97.08,97.18,1435.63,139938.4986,,4486.3
,1705870800000,97.18,97.68,96.85,97.66,2662.41,258558.9053,,3190.8
,1705874400000,97.66,97.66,96.43,96.69,1311.51,127183.773,,3712.9
,1705878000000,96.69,97.36,96.3,96.46,8011.5,776358.5919,,9050.8
,1705881600000,96.46,97.21,96.1,96.58,2577.08,248750.3241,,6484.4
,1705885200000,96.58,96.74,95.13,95.38,10276.59,983365.0121,,12120.9
,1705888800000,95.38,95.88,94.86,95.26,2888.52,275452.3512,,8034.9
,1705892400000,95.26,95.74,94.93,95.23,3292.08,313635.5006,,10426.8
,1705896000000,95.23,95.3,94.12,94.15,5920.51,559817.2947,,9091.3
,1705899600000,94.15,95.36,93.6,95.21,3190.4,302082.0131,,8929.8
,1705903200000,95.21,95.36,94.76,95.06,1762.82,167671.0184,,5225.5
,1705906800000,95.06,95.09,94.35,94.48,923.52,87520.0044,,3592.4
,1705910400000,94.48,94.48,93.17,93.78,4588.46,430123.6873,,11318.0
,1705914000000,93.78,94.14,92.9,93.35,4181.66,390878.8227,,9442.3
,1705917600000,93.35,93.79,92.48,93.71,5544.11,517050.9844,,10242.8
,1705921200000,93.71,94.17,93.53,93.83,2694.13,252870.3437,,5473.2
,1705924800000,93.83,93.94,93.34,93.81,1659.44,155408.4668,,7600.6
,1705928400000,93.81,94.96,93.66,94.13,3333.95,314237.0285,,7339.8
,1705932000000,94.13,94.35,92.52,92.95,5760.13,537372.1951,,13116.5
,1705935600000,92.95,93.49,91.94,93.23,6763.51,626281.2056,,18527.4
,1705939200000,93.23,93.49,92.49,92.76,2545.77,236701.4038,,7517.3
,1705942800000,92.76,93.53,92.52,93.12,1285.6,119528.3478,,6020.0
,1705946400000,93.12,93.47,92.26,93.06,3344.3,310575.9288,,10337.3
,1705950000000,93.06,93.52,90.4,91.65,15225.5,1391283.8239,,26887.1
,1705953600000,91.65,93.68,91.61,92.97,7752.68,720150.0819,,14586.0
,1705957200000,92.97,93.14,92.38,92.64,3457.57,320761.64,,4832.7
,1705960800000,92.64,93,91.55,92.04,2092.16,192992.6459,,5118.0
,1705964400000,92.04,92.48,91.36,91.72,2086.57,191527.153,,4736.4
,1705968000000,91.72,92.31,91.23,92.11,1950.69,179267.2156,,5374.0
,1705971600000,92.11,92.69,91.62,92.12,5327.36,491696.4222,,4743.0
,1705975200000,92.12,93.01,91.96,92.9,2846.09,263948.8736,,5566.2
,1705978800000,92.9,93.13,92.57,92.74,1078.47,100119.71,,3246.3
,1705982400000,92.74,93.56,92.73,92.99,1177.31,109767.8202,,4803.1
,1705986000000,92.99,93.42,92.94,93.3,811.08,75596.9018,,2302.8
,1705989600000,93.3,93.41,92.85,92.89,1086.02,101135.674,,2459.5
,1705993200000,92.89,93,91.09,91.39,6876.53,633219.7658,,6170.4
,1705996800000,91.39,91.87,89.15,89.55,13650.42,1231500.0801,,24953.8
,1706000400000,89.55,89.94,86.48,87.19,26543.59,2330280.6015,,44198.5
,1706004000000,87.19,87.89,86.79,87,9179.92,801158.098,,13265.1
,1706007600000,87,87.54,86.61,87.18,5134.82,447032.0442,,8604.3
,1706011200000,87.18,87.74,86.49,87.23,5189.96,452132.9747,,13339.9
,1706014800000,87.23,87.27,85.55,85.56,12039.02,1039604.4826,,20460.7
,1706018400000,85.56,86.2,84.22,86.02,17065.12,1453284.7279,,36664.8
,1706022000000,86.02,87.46,86.02,86.88,12053.9,1046314.615,,18823.0
,1706025600000,86.88,87.12,85.69,86.98,8898.35,768205.4853,,12909.6
,1706029200000,86.98,87.7,86.52,87,3911.94,340903.3753,,9439.9
,1706032800000,87,87.82,86.26,86.27,3270.82,284299.5182,,9186.2
,1706036400000,86.27,86.87,86.21,86.4,3529.75,305518.1076,,6204.4
,1706040000000,86.4,87.33,86.27,86.92,2517.32,218712.09,,7691.7
,1706043600000,86.92,87.36,86.53,87.26,2330.72,202825.8667,,5866.6
,1706047200000,87.26,88.72,87.2,88.4,2913.67,256431.289,,7300.2
,1706050800000,88.4,89.64,88.4,89.59,2034.4,181548.1469,,6477.8
,1706054400000,89.59,90.49,89.1,90.19,5107.85,458409.7297,,8008.8
,1706058000000,90.19,90.19,88.73,88.74,3800.34,339251.8952,,7135.9
,1706061600000,88.74,88.97,88.36,88.59,1335.24,118467.1371,,3112.2
,1706065200000,88.59,88.96,88.45,88.57,1625.15,144063.9251,,4501.4
,1706068800000,88.57,89.06,88.53,88.57,1878.09,166808.4938,,12626.7
,1706072400000,88.57,89.23,88.57,89,1544.12,137411.3315,,11742.2
,1706076000000,89,89.26,88.52,88.88,2236.66,198613.6592,,4336.5
,1706079600000,88.88,89.53,88.52,88.77,3688.65,328214.3863,,6291.9
,1706083200000,88.77,89.26,88.56,88.92,2267.67,201463.3249,,6950.6
,1706086800000,88.92,89.53,88.81,89.43,1892.11,168839.6467,,6362.2
,1706090400000,89.43,90.7,89.21,90.3,3586.75,323172.5367,,9351.7
,1706094000000,90.3,90.42,89.54,89.76,2790.25,250608.9767,,4840.9
,1706097600000,89.76,90.2,89.12,89.19,2206.1,197840.2372,,6016.8
,1706101200000,89.19,89.55,88.41,88.89,3706.92,330450.6309,,6920.7
,1706104800000,88.89,89.71,88.55,88.97,2744.62,244385.2949,,7828.9
,1706108400000,88.97,89.59,88.66,89.44,1428.92,127322.002,,3674.2
,1706112000000,89.44,89.73,88.87,89.68,2185.29,195095.3088,,5025.2
,1706115600000,89.68,89.8,89.24,89.63,1317.87,117964.3798,,4969.2
,1706119200000,89.63,89.66,88.21,89.02,5458.73,485135.3686,,6707.5
,1706122800000,89.02,89.16,88.65,89.08,1769.02,157337.9178,,2539.0
,1706126400000,89.08,89.55,88.28,88.49,2101.24,186904.0655,,5626.3
,1706130000000,88.49,89.2,88.48,89.01,1011.61,89847.0418,,2763.1
,1706133600000,89.01,89.44,88.9,89.37,1194.35,106538.3736,,2402.7
,1706137200000,89.37,90.19,89.33,89.97,1785.97,160396.0636,,3726.4
,1706140800000,89.97,89.98,89.36,89.61,1127.04,101008.0566,,4292.4
,1706144400000,89.61,89.69,88.55,88.72,1633.4,145459.7533,,4949.1
,1706148000000,88.72,89.01,88.24,88.41,1676.23,148458.1825,,2756.6
,1706151600000,88.41,88.97,88.35,88.69,857.77,76064.4364,,2379.7
,1706155200000,88.69,88.8,88.18,88.41,892.04,79035.809,,2364.7
,1706158800000,88.41,88.54,87.91,88.31,1147,101089.8276,,4794.0
,1706162400000,88.31,88.97,88.16,88.92,1171.11,103603.9744,,4283.3
,1706166000000,88.92,89.25,88.67,89.13,819.09,72862.1588,,2519.4
,1706169600000,89.13,89.38,88.41,88.55,2267.43,201471.9237,,6220.4
,1706173200000,88.55,89.03,88.36,88.38,1145.47,101593.7871,,3187.2
,1706176800000,88.38,88.99,87.97,88.94,3138.65,277801.0265,,4974.1
,1706180400000,88.94,89.29,88.76,88.91,1333.25,118667.9758,,3447.8
,1706184000000,88.91,89.23,87.46,87.95,3714.46,327877.299,,6895.4
,1706187600000,87.95,88.1,87.49,87.81,4497.91,394770.8811,,7064.8
,1706191200000,87.81,88.7,87.53,88.19,9379.7,827130.0852,,14181.6
,1706194800000,88.19,88.24,87.34,87.58,7268.25,636592.6011,,8352.1
,1706198400000,87.58,87.88,87.14,87.31,3983.02,348199.6533,,5846.5
,1706202000000,87.31,88.26,86.87,88.19,5202.23,455588.1018,,5011.2
,1706205600000,88.19,88.97,87.95,88.16,5996.04,531098.1177,,5669.4
,1706209200000,88.16,88.88,88.01,88.59,1337.65,118306.852,,3843.7
,1706212800000,88.59,88.74,87.98,88.44,1362.52,120319.71,,3978.6
,1706216400000,88.44,88.96,88.42,88.82,1596.78,141702.7457,,4450.9
,1706220000000,88.82,89.03,88.45,88.93,617.97,54830.3772,,1735.6
,1706223600000,88.93,89.08,88.61,88.8,1012.89,89972.4813,,3135.6
,1706227200000,88.8,88.81,87.68,88.06,2822.37,248580.3978,,5709.0
,1706230800000,88.06,88.49,87.52,88.23,1773.75,156056.3898,,2936.9
,1706234400000,88.23,89.29,88.2,88.98,1467.4,130401.3571,,4674.9
,1706238000000,88.98,89.13,88.84,88.94,560.36,49879.4868,,2498.2
,1706241600000,88.94,89.24,88.48,88.53,1291.6,114933.7884,,2688.2
,1706245200000,88.53,88.69,88.26,88.5,1244.27,110037.458,,2517.9
,1706248800000,88.5,88.73,87.94,88.02,1438.11,127067.0574,,2755.3
,1706252400000,88.02,88.1,87.54,87.67,1357.91,119169.953,,3595.4
,1706256000000,87.67,87.95,87.45,87.81,1633.41,143244.0799,,5197.2
,1706259600000,87.81,88.73,87.78,88.02,2547.18,224580.0593,,5840.2
,1706263200000,88.02,89.69,87.89,89.61,4512.3,401650.01,,7648.3
,1706266800000,89.61,90.79,89.58,90.48,6614.18,596825.3437,,10838.9
,1706270400000,90.48,91.04,90.04,90.4,7302.2,661246.5126,,13259.3
,1706274000000,90.4,90.81,89.92,90.17,2660.01,240706.2179,,4847.9
,1706277600000,90.17,91.08,90.17,91.05,5030.18,456544.4672,,5103.7
,1706281200000,91.05,91.08,90.55,91.07,3857.18,350530.6847,,4561.7
,1706284800000,91.07,91.71,90.92,91.49,3014.2,275220.7182,,8390.9
,1706288400000,91.49,91.62,90.9,91.33,3182.17,290154.7991,,4692.4
,1706292000000,91.33,91.52,90.93,91.24,2282.66,208218.2682,,5348.2
,1706295600000,91.24,91.26,90.81,91.14,1334.38,121477.8144,,5614.2
,1706299200000,91.14,91.56,90.56,90.84,1838.2,167459.8674,,5823.2
,1706302800000,90.84,90.92,90.42,90.77,2509.59,227337.3858,,3427.3
,1706306400000,90.77,91.35,90.53,91.28,2191.85,199641.8457,,3375.3
,1706310000000,91.28,91.45,91.07,91.28,1122.12,102432.2128,,3405.7
,1706313600000,91.28,92,91.18,91.79,3295.92,301826.5991,,11555.5
,1706317200000,91.79,92.08,91.53,91.68,1716.56,157650.5109,,4153.0
,1706320800000,91.68,91.92,91.65,91.75,849.62,77970.0225,,2861.6
,1706324400000,91.75,91.91,91.56,91.88,931.92,85489.6649,,2048.4
,1706328000000,91.88,92.11,91.71,91.92,669.55,61552.4945,,3065.8
,1706331600000,91.92,91.92,90.71,90.85,2841.57,259397.8683,,3775.9
,1706335200000,90.85,91.13,90.64,90.72,1127.72,102467.3137,,2757.5
,1706338800000,90.72,90.89,90.22,90.59,1384.05,125323.6303,,3816.8
,1706342400000,90.59,90.97,90.29,90.51,1192.7,108049.6662,,6597.5
,1706346000000,90.51,91.29,90.35,91.15,1035.8,94125.0391,,3820.5
,1706349600000,91.15,91.34,91,91.08,995.36,90708.4978,,2367.4
,1706353200000,91.08,91.23,90.94,91.08,699.01,63667.0036,,2181.3
,1706356800000,91.08,91.32,90.72,90.83,1899.05,172820.2501,,3252.9
,1706360400000,90.83,91.22,90.73,90.89,2637.74,239864.4116,,5206.3
,1706364000000,90.89,91.32,90.78,90.99,1850.81,168429.4838,,2615.4
,1706367600000,90.99,91.47,90.88,91.25,2069.28,188748.7864,,2492.4
,1706371200000,91.25,92.12,91.18,91.52,2101.71,192672.8007,,7291.7
,1706374800000,91.52,91.71,91.37,91.44,908.15,83112.7754,,2288.2
,1706378400000,91.44,91.95,91.38,91.67,617.18,56600.2348,,1947.5
,1706382000000,91.67,92.05,91.65,91.82,1233.4,113351.1053,,2617.2
,1706385600000,91.82,92.15,91.66,92.02,1085.5,99744.2046,,5133.7
,1706389200000,92.02,92.08,91.71,91.87,661.03,60739.3089,,2923.7
,1706392800000,91.87,91.92,91.53,91.61,527.32,48361.2182,,1851.3
,1706396400000,91.61,91.67,91.3,91.53,3173.58,290360.637,,3939.2
,1706400000000,91.53,91.83,91.35,91.7,1100.22,100782.9434,,3366.4
,1706403600000,91.7,92.64,91.68,92.12,1514.66,139713.4174,,5796.4
,1706407200000,92.12,92.35,91.83,91.99,2124.02,195840.7597,,3621.0
,1706410800000,91.99,93.06,91.9,93.02,1788.5,165549.6166,,7691.4
,1706414400000,93.02,93.38,92.54,93.35,1965.6,182784.6215,,6313.2
,1706418000000,93.35,93.46,92.65,92.86,2212.65,205978.433,,5518.9
,1706421600000,92.86,92.92,91.98,92.09,2186.22,201952.7381,,6539.8
,1706425200000,92.09,92.51,91.79,91.91,618.49,57013.1864,,2755.4
,1706428800000,91.91,92.4,91.45,91.95,2141.63,196831.3115,,9235.8
,1706432400000,91.95,92.45,91.82,92.41,1287.1,118585.5858,,4373.9
,1706436000000,92.41,93.11,92.26,93.02,1873.4,173789.2159,,6559.9
,1706439600000,93.02,93.29,92.35,92.65,5060.6,469422.7342,,7296.0
,1706443200000,92.65,92.78,91.59,92.11,4972.08,457363.2669,,9350.1
,1706446800000,92.11,92.15,91.7,92.13,1311.45,120582.2881,,3642.8
,1706450400000,92.13,92.55,91.04,91.3,6657.04,609345.6011,,4900.5
,1706454000000,91.3,91.68,90.89,91.37,1747.91,159640.8826,,5637.7
,1706457600000,91.37,92.03,91.31,91.88,1860.86,170388.6401,,5702.7
,1706461200000,91.88,91.9,90.83,91.18,1557.61,142119.5399,,4743.1
,1706464800000,91.18,91.31,90.46,90.72,1892.65,171913.7921,,4686.6
,1706468400000,90.72,90.98,89.94,90.57,3654.55,330575.0711,,6348.7
,1706472000000,90.57,91.28,90.02,91.2,1548.83,140424.8127,,6284.2
,1706475600000,91.2,91.42,90.74,91.23,1609.8,146705.8797,,3795.7
,1706479200000,91.23,91.23,90.4,90.66,993.06,90161.1449,,3531.7
,1706482800000,90.66,91.22,90.45,91.11,604.83,54925.8925,,2716.0
,1706486400000,91.11,91.6,90.71,91.34,1505.85,137374.2939,,6486.2
,1706490000000,91.34,92.44,91.31,91.81,1216.98,111917.9374,,5411.5
,1706493600000,91.81,92.22,91.71,92.11,1094.78,100773.4948,,4794.8
,1706497200000,92.11,92.84,92.11,92.34,3001.35,277714.6359,,4245.7
,1706500800000,92.34,92.79,92.11,92.68,4596.64,425364.8015,,6481.3
,1706504400000,92.68,92.74,91.91,92.02,1217.13,112302.6542,,3023.9
,1706508000000,92.02,92.32,91.94,92.24,719.09,66257.7667,,3130.6
,1706511600000,92.24,92.68,91.86,91.9,1866.37,172272.2048,,3276.0
,1706515200000,91.9,92.74,91.69,92.4,1641.02,151304.2864,,6645.6
,1706518800000,92.4,92.56,91.63,92.46,1569.91,144790.8311,,4785.1
,1706522400000,92.46,92.59,92.11,92.34,1079.71,99688.1831,,2429.2
,1706526000000,92.34,92.37,91.51,91.71,1885.29,173233.143,,3566.2
,1706529600000,91.71,91.98,91.13,91.57,2266.36,207756.518,,4338.5
,1706533200000,91.57,91.6,90.56,90.7,2157.74,196284.0213,,5357.3
,1706536800000,90.7,91.2,90.22,90.75,4014.2,364061.7668,,6099.5
,1706540400000,90.75,92.06,90.56,92.05,2749.81,250987.9584,,6278.0
,1706544000000,92.05,93.34,91.72,93.07,5355.45,495477.3037,,15936.9
,1706547600000,93.07,93.46,92.61,92.87,2558.73,238033.1549,,6643.3
,1706551200000,92.87,93.24,92.53,92.95,1900.17,176295.8768,,6746.0
,1706554800000,92.95,93.69,92.95,93.06,8778.29,819633.0394,,6220.5
,1706558400000,93.06,93.8,93.05,93.76,3556.19,332719.5842,,4580.6
,1706562000000,93.76,93.9,93.5,93.59,1788.63,167623.8882,,3730.7
,1706565600000,93.59,93.8,93.46,93.55,1950.62,182607.9208,,3153.9
,1706569200000,93.55,93.83,93.32,93.6,2079.69,194558.3612,,3614.1
,1706572800000,93.6,93.66,92.86,92.94,3694.82,344484.7193,,4979.3
,1706576400000,92.94,94.17,92.91,93.63,1884.46,176642.3614,,5228.0
,1706580000000,93.63,94.07,93.44,93.52,2475.74,232248.2518,,3869.5
,1706583600000,93.52,93.67,92.98,93.14,1533.22,143054.7464,,3740.4
,1706587200000,93.14,93.42,92.91,93.35,1729.52,160968.5888,,4917.1
,1706590800000,93.35,93.38,92.71,92.82,806.44,74954.1451,,3257.3
,1706594400000,92.82,93.05,92.14,92.83,4298.8,397141.7235,,5332.2
,1706598000000,92.83,93.06,92.63,92.64,1404.98,130426.2879,,2582.5
,1706601600000,92.64,93.19,92.42,93.11,1913.97,177852.5978,,4707.7
,1706605200000,93.11,93.35,92.83,92.98,892.18,83008.3546,,3572.1
,1706608800000,92.98,93.61,92.9,93.48,1649.76,153875.2755,,4388.1
,1706612400000,93.48,93.96,93.2,93.65,3886.04,364035.7315,,9626.8
,1706616000000,93.65,94.13,92.63,92.86,6024.8,563694.3921,,9340.1
,1706619600000,92.86,93.22,92.14,92.61,2295.85,212411.3526,,5935.7
,1706623200000,92.61,92.98,92.24,92.87,1703.57,157756.0532,,3899.6
,1706626800000,92.87,94.21,92.5,93.59,5038.64,471535.7269,,11023.3
,1706630400000,93.59,94.5,93.58,94.48,9212.35,867386.6809,,13868.2
,1706634000000,94.48,95.21,94.28,94.4,4657.87,441236.5848,,15967.8
,1706637600000,94.4,94.79,94.08,94.35,3105.84,293280.1151,,6072.0
,1706641200000,94.35,94.44,94.02,94.3,870.17,81923.9471,,3081.0
,1706644800000,94.3,95.4,94.23,95.09,14330.21,1360318.8841,,15198.4
,1706648400000,95.09,95.13,94.43,94.7,5509.59,521893.0552,,5842.8
,1706652000000,94.7,94.85,93.85,93.89,2472.74,233382.297,,3977.9
,1706655600000,93.89,94.16,92.47,93.02,5947.57,554611.0477,,13721.8
,1706659200000,93.02,93.37,90.19,90.34,29058.74,2658463.9133,,56749.7
,1706662800000,90.34,91.07,89.27,89.31,7585.12,682713.4139,,20810.5
,1706666400000,89.31,89.61,88.76,89.17,10461.67,932565.6213,,21497.1
,1706670000000,89.17,89.28,88.35,88.48,12492.79,1108163.7927,,20846.7
,1706673600000,88.48,88.52,87.36,87.75,8410.53,739105.2005,,25406.7
,1706677200000,87.75,88.33,87.26,87.85,12737.12,1118072.6671,,30404.6
,1706680800000,87.85,88.02,87.37,87.72,11194.19,981067.6193,,20997.0
,1706684400000,87.72,88.64,87.6,88.4,7479.74,660101.8886,,18415.6
,1706688000000,88.4,88.51,87.81,88.04,7170.99,631736.1718,,18310.1
,1706691600000,88.04,88.04,86.48,86.85,20118.12,1752930.3158,,28618.6
,1706695200000,86.85,87.52,86.39,86.5,7237.88,629279.1181,,19798.1
,1706698800000,86.5,87.38,86.43,86.99,6729.64,585923.6115,,18628.2
,1706702400000,86.99,86.99,85.73,86.15,14858.91,1283390.9482,,30672.7
,1706706000000,86.15,86.65,85.91,86.19,8082.67,697566.5322,,18449.7
,1706709600000,86.19,86.26,85.4,85.82,18972.42,1629780.0334,,25878.8
,1706713200000,85.82,87.41,85.19,87.41,17349.15,1501298.6802,,24584.5
,1706716800000,87.41,87.47,86.63,87.44,10859.66,946630.0853,,25776.2
,1706720400000,87.44,87.94,87.04,87.93,11866.28,1037580.0162,,12568.4
,1706724000000,87.93,87.94,87.24,87.73,3703.3,324437.7642,,9108.5
,1706727600000,87.73,87.97,86.7,87.34,7052.36,616338.0354,,17187.2
,1706731200000,87.34,87.44,85.75,85.78,9484.17,820550.9705,,20686.2
