,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,0.5042,0.5072,0.4986,0.4993,9778810,4922712.9611,,14257210.0
,1705712400000,0.4993,0.5099,0.4988,0.5092,7211381,3651699.12,,14744546.0
,1705716000000,0.5092,0.5101,0.5059,0.5093,3263233,1658099.6442,,7300756.0
,1705719600000,0.5093,0.5095,0.5044,0.5059,3754851,1900546.2295,,5593861.0
,1705723200000,0.5059,0.5087,0.505,0.5074,2502103,1267848.4312,,6564823.0
,1705726800000,0.5074,0.5078,0.5049,0.5059,2067097,1046680.95,,5309377.0
,1705730400000,0.5059,0.5111,0.5052,0.511,3858573,1960585.4774,,8926539.0
,1705734000000,0.511,0.518,0.511,0.5147,11015833,5674476.8899,,16745641.0
,1705737600000,0.5147,0.5175,0.5097,0.5139,9618137,4929401.3943,,13558781.0
,1705741200000,0.5139,0.5152,0.5091,0.5108,9512432,4874571.3495,,13972844.0
,1705744800000,0.5108,0.5167,0.5105,0.5134,4752615,2441653.6348,,10933067.0
,1705748400000,0.5134,0.5164,0.5098,0.5163,5388761,2762856.0971,,9333696.0
,1705752000000,0.5163,0.5178,0.5146,0.5155,5845671,3016652.8074,,8557559.0
,1705755600000,0.5155,0.5178,0.5144,0.5153,4463538,2304425.9266,,6936518.0
,1705759200000,0.5153,0.5164,0.5117,0.5124,7030651,3609802.3416,,9198263.0
,1705762800000,0.5124,0.5133,0.5096,0.511,4835037,2472533.7152,,7171635.0
,1705766400000,0.511,0.5131,0.5098,0.5102,4097469,2094750.3029,,7211783.0
,1705770000000,0.5102,0.5112,0.5067,0.5096,6935987,3530488.6756,,9323813.0
,1705773600000,0.5096,0.51,0.5071,0.5086,1873404,953144.1004,,4567638.0
,1705777200000,0.5086,0.5118,0.5085,0.5109,2487898,1269473.8919,,5152000.0
,1705780800000,0.5109,0.5153,0.5099,0.5136,5585219,2867436.6842,,7624013.0
,1705784400000,0.5136,0.5168,0.5134,0.5138,4787554,2465984.8161,,5955584.0
,1705788000000,0.5138,0.5163,0.5138,0.5147,2795358,1439168.5665,,4311293.0
,1705791600000,0.5147,0.5167,0.5137,0.5161,2756124,1420533.9773,,5117263.0
,1705795200000,0.5161,0.5183,0.5129,0.514,5477547,2827359.4825,,8285431.0
,1705798800000,0.514,0.516,0.5125,0.513,1945995,1000190.1453,,4565876.0
,1705802400000,0.513,0.5175,0.5128,0.5174,2061872,1062176.3202,,4160258.0
,1705806000000,0.5174,0.5203,0.5164,0.5178,4188219,2171214.919,,7118096.0
,1705809600000,0.5178,0.5206,0.5172,0.5177,3843338,1994718.9297,,5867949.0
,1705813200000,0.5177,0.5186,0.5143,0.5144,3890548,2010017.8565,,4799456.0
