,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,32.735,32.805,32.445,32.48,65982.4,2150762.7675,,188136.0
,1705712400000,32.48,33.005,32.43,32.875,83348.7,2728903.4545,,155796.0
,1705716000000,32.875,32.875,32.62,32.685,37145,1216050.625,,92887.0
,1705719600000,32.685,32.84,32.61,32.75,41813.1,1368696.9835,,117276.0
,1705723200000,32.75,32.875,32.595,32.74,49627.7,1624332.7335,,112078.0
,1705726800000,32.74,32.8,32.56,32.64,43046.2,1406032.577,,94705.0
,1705730400000,32.64,32.865,32.635,32.81,41173.4,1348951.2375,,112985.0
,1705734000000,32.81,32.94,32.57,32.59,57169.5,1874173.311,,138019.0
,1705737600000,32.59,32.745,32.385,32.495,99494.4,3238164.583,,183618.0
,1705741200000,32.495,32.63,32.04,32.075,123804.3,3998757.8165,,212929.0
,1705744800000,32.075,32.3,32.025,32.16,82130.7,2642575.4565,,268323.0
,1705748400000,32.16,32.42,32.075,32.395,42139.7,1359129.9305,,111806.0
,1705752000000,32.395,32.6,32.33,32.445,68373.1,2218408.7335,,138222.0
,1705755600000,32.445,32.58,32.38,32.575,60221.7,1957590.989,,113513.0
,1705759200000,32.575,32.58,32.28,32.48,65806.4,2134643.722,,134657.0
,1705762800000,32.48,32.685,32.235,32.46,86232.2,2799281.467,,168047.0
,1705766400000,32.46,32.605,32.335,32.355,61967.3,2011315.126,,125298.0
,1705770000000,32.355,32.585,32.29,32.51,66100,2146033.3225,,152235.0
,1705773600000,32.51,32.51,32.18,32.295,41338,1337825.014,,113920.0
,1705777200000,32.295,32.465,32.285,32.345,30024.6,972265.3415,,87522.0
,1705780800000,32.345,32.74,32.275,32.68,62477.4,2036371.416,,186501.0
,1705784400000,32.68,32.89,32.66,32.665,66387.9,2177893.23,,174987.0
,1705788000000,32.665,32.965,32.655,32.92,67557.4,2215414.54,,129192.0
,1705791600000,32.92,32.93,32.73,32.89,49589.2,1628068.6325,,105267.0
,1705795200000,32.89,32.89,32.475,32.495,139505.2,4553082.631,,185655.0
,1705798800000,32.495,32.74,32.455,32.565,50641.6,1651787.2225,,99662.0
,1705802400000,32.565,33.005,32.56,32.98,42439.4,1392199.209,,142347.0
,1705806000000,32.98,33.14,32.945,33.005,55128.3,1823139.0235,,161893.0
,1705809600000,33.005,33.2,32.825,33.11,57839.9,1909328.215,,136568.0
,1705813200000,33.11,33.25,32.96,32.985,52982.4,1753431.077,,112799.0
,1705816800000,32.985,33.045,32.795,32.89,39657.9,1304650.011,,127676.0
,1705820400000,32.89,33.105,32.765,33.09,55973.3,1844058.4205,,133245.0
,1705824000000,33.09,33.215,32.955,32.955,70274.8,2325594.248,,123309.0
,1705827600000,32.955,33.22,32.955,33.21,47337.3,1567407.55,,94983.0
,1705831200000,33.21,33.45,33.085,33.395,104783.9,3488552.1475,,167400.0
,1705834800000,33.395,33.415,33.195,33.315,64286.1,2139726.1455,,108465.0
,1705838400000,33.315,33.465,33.285,33.38,64944.6,2168668.662,,150904.0
,1705842000000,33.38,33.445,33.255,33.34,106607.1,3554664.093,,121858.0
,1705845600000,33.34,33.525,33.24,33.295,121323.8,4047757.1665,,157653.0
,1705849200000,33.295,33.375,32.86,32.98,163478.8,5405907.0815,,211341.0
,1705852800000,32.98,33.09,32.655,33.025,107571.9,3537307.509,,149017.0
,1705856400000,33.025,33.27,33.01,33.2,68246,2262145.881,,110166.0
,1705860000000,33.2,33.25,33.03,33.17,49790.3,1651197.3765,,98421.0
,1705863600000,33.17,33.19,32.975,33.115,28553.4,944119.3745,,91368.0
,1705867200000,33.115,33.15,32.775,32.835,59128.2,1948801.6475,,80466.0
,1705870800000,32.835,33.06,32.78,33.04,45014,1481206.4595,,82646.0
,1705874400000,33.04,33.04,32.57,32.7,58056,1903555.6685,,63685.0
,1705878000000,32.7,32.805,32.455,32.53,125669.5,4101319.871,,203696.0
,1705881600000,32.53,32.73,32.34,32.595,72519.6,2357952.755,,190044.0
,1705885200000,32.595,32.73,32.085,32.21,138276.4,4468692.1525,,273032.0
,1705888800000,32.21,32.355,31.965,32.095,92018.5,2957743.2175,,184281.0
,1705892400000,32.095,32.26,31.95,32.235,97722.7,3139960.0305,,187202.0
,1705896000000,32.235,32.245,31.725,31.735,170614.5,5457872.5065,,243115.0
,1705899600000,31.735,32.13,31.59,31.98,124339.8,3962326.816,,300993.0
,1705903200000,31.98,32.39,31.95,32.125,288315.4,9264164.1745,,506920.0
,1705906800000,32.125,32.195,31.9,31.985,38933,1248366.4035,,119828.0
,1705910400000,31.985,31.995,31.315,31.49,157330,4974166.859,,326852.0
,1705914000000,31.49,31.58,30.915,31.06,219110.3,6841145.137,,399907.0
,1705917600000,31.06,31.175,30.67,31.115,202020.5,6251077.7225,,469386.0
,1705921200000,31.115,31.36,31.01,31.2,116641.1,3640260.252,,216084.0
,1705924800000,31.2,31.25,30.795,31.005,117072.1,3629864.7285,,185664.0
,1705928400000,31.005,31.655,31,31.215,228603.4,7173371.843,,348540.0
,1705932000000,31.215,31.285,30.49,30.7,279692.7,8605709.8665,,461297.0
