,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,236.55,237.15,235.15,235.35,1585.33,374660.801,,10145.521
,1705712400000,235.35,237.95,235.1,237.85,2051.62,486218.345,,9349.344
,1705716000000,237.85,237.9,236.65,236.8,674.4,159928.0275,,3709.736
,1705719600000,236.8,236.95,235.8,236.5,763.69,180526.8745,,3839.729
,1705723200000,236.5,237.2,236.3,236.55,644.81,152643.269,,3675.988
,1705726800000,236.55,236.65,235.9,236.25,680.98,160958.707,,3344.601
,1705730400000,236.25,236.5,235.45,236.35,615.24,145295.801,,4284.354
,1705734000000,236.35,237.2,236.2,236.2,668.27,158255.6505,,4344.653
,1705737600000,236.2,236.3,235.55,235.95,1195.28,281953.8045,,6325.191
,1705741200000,235.95,236.25,234.85,235.2,3034.2,715014.4855,,9281.412
,1705744800000,235.2,236.25,234.95,235.4,672.49,158430.069,,4805.301
,1705748400000,235.4,236.95,235.05,236.8,618.11,145747.9045,,3047.579
,1705752000000,236.8,237.2,236.2,236.4,892.34,211213.416,,5093.86
,1705755600000,236.4,238.4,236.25,238.1,2629.49,624857.572,,8131.762
,1705759200000,238.1,238.55,236.7,237.85,1668.87,396437.7905,,6724.852
,1705762800000,237.85,238.45,236.85,237.35,2044.71,485833.3435,,6377.841
,1705766400000,237.35,238,236.3,236.35,980.76,232367.618,,5210.667
,1705770000000,236.35,237.4,236.05,237.25,1103.77,261241.1795,,4261.149
,1705773600000,237.25,238.15,236.85,237.5,947.81,225109.224,,4457.7
,1705777200000,237.5,238.1,237.4,238.05,550.56,130939.418,,3739.868
,1705780800000,238.05,239.15,237.75,238.7,1001.29,238755.4665,,7122.75
,1705784400000,238.7,239.45,238.45,238.95,1129.88,270163.304,,3912.955
,1705788000000,238.95,239.8,238.95,239.7,708.26,169557.312,,2696.012
,1705791600000,239.7,239.85,238.45,239,1071.9,256487.9685,,3834.458
,1705795200000,239,241.25,238.55,239.85,3111.55,746809.7345,,13611.848
,1705798800000,239.85,242.2,239.55,241.4,2158.77,519942.4845,,8241.357
,1705802400000,241.4,241.45,240.4,241.1,1236.36,298098.584,,5843.454
,1705806000000,241.1,242,240.75,240.95,1086.39,262233.557,,4681.809
,1705809600000,240.95,240.95,240.25,240.4,409.11,98388.3005,,2871.309
,1705813200000,240.4,240.75,239.25,239.5,1323.47,317550.167,,5259.447
,1705816800000,239.5,239.5,238.3,238.55,1171.29,279814.275,,7239.749
,1705820400000,238.55,240.4,238.35,239.9,1028.73,246481.0095,,6377.9
,1705824000000,239.9,240.3,239.05,239.3,648.04,155389.083,,4275.621
,1705827600000,239.3,240,239.3,239.7,819.35,196403.936,,2678.881
,1705831200000,239.7,240.3,239.65,239.95,471.76,113181.676,,3215.291
,1705834800000,239.95,240.05,239,239.2,380.29,91088.924,,2204.912
,1705838400000,239.2,240.1,239.05,239.8,651.62,156027.695,,4734.877
,1705842000000,239.8,240.6,239.55,240.2,1117.78,268438.3865,,10226.824
,1705845600000,240.2,242.95,240.15,241.45,7097.74,1717686.7775,,18178.337
,1705849200000,241.45,242.1,239.3,240.35,2131.84,513093.435,,13172.22
,1705852800000,240.35,240.7,238.95,240,1448.68,347515.563,,11550.185
,1705856400000,240,240.7,239.75,240.1,562.06,135019.2505,,3491.587
,1705860000000,240.1,240.1,239.25,239.7,765.73,183564.401,,3788.281
,1705863600000,239.7,239.95,239.4,239.95,428.56,102725.0535,,2789.06
,1705867200000,239.95,240,238.25,238.7,592.51,141759.854,,4697.626
,1705870800000,238.7,240,238.4,239.95,785.59,187892.412,,4670.195
,1705874400000,239.95,240.05,238.35,238.65,797.19,190593.867,,3046.809
,1705878000000,238.65,238.9,236.4,236.9,2813.04,668137.5485,,7567.621
,1705881600000,236.9,238.2,236.1,237.2,2664.79,631861.656,,13696.058
,1705885200000,237.2,237.75,234.2,234.85,6081.55,1430410.0295,,18845.29
,1705888800000,234.85,235.7,233.55,234.9,2624.5,615251.073,,9936.188
,1705892400000,234.9,235.65,234.3,234.95,1082.7,254471.2675,,8648.099
,1705896000000,234.95,235.5,234,234.1,1778.62,417605.8315,,7890.872
,1705899600000,234.1,236.4,233.15,236.35,2736.04,643687.6535,,13615.229
,1705903200000,236.35,236.65,235.25,235.25,1475.68,348369.6045,,7059.313
,1705906800000,235.25,235.4,234.4,234.6,634.88,149177.725,,5739.324
,1705910400000,234.6,234.65,230.9,232.45,4189.81,974019.9175,,15168.81
,1705914000000,232.45,242.8,231.95,237.1,31459.84,7482653.3965,,66022.888
,1705917600000,237.1,238.85,232.6,236.1,14050.82,3312405.197,,39779.821
,1705921200000,236.1,236.85,232.35,233.7,19058.16,4464230.5375,,30761.536
