,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,314.4,315.25,313.1,313.15,4791.01,1505383.1845,,21113.85
,1705712400000,313.15,315.55,313.1,314.85,4580.82,1442087.142,,17033.39
,1705716000000,314.85,314.95,313.6,314.2,1491.13,468744.001,,7751.17
,1705719600000,314.2,314.35,312.45,313.1,3417.99,1070968.279,,9549.91
,1705723200000,313.1,313.95,312.95,313.45,1658.07,519762.168,,7532.65
,1705726800000,313.45,313.85,312.5,313.15,2434.11,761915.244,,9499.47
,1705730400000,313.15,313.4,312.6,312.75,1252.18,392008.8985,,7983.61
,1705734000000,312.75,313.6,312.75,313.05,1437,450186.413,,8608.87
,1705737600000,313.05,313.25,311.85,312.95,2330.07,728344.466,,13663.52
,1705741200000,312.95,314.55,312.95,314.15,5169.04,1621842.479,,28541.48
,1705744800000,314.15,314.85,313.75,314.45,3806.23,1196561.354,,16517.96
,1705748400000,314.45,314.85,313.95,314.6,2612.2,821289.068,,12576.27
,1705752000000,314.6,314.9,314.35,314.7,2197,691238.496,,12227.81
,1705755600000,314.7,315.1,313.75,313.85,2589.77,814327.4965,,11758.55
,1705759200000,313.85,314.05,312.85,313.4,5094.91,1596653.348,,21459.89
,1705762800000,313.4,314.4,312.95,313.65,3181.07,997827.565,,14133.5
,1705766400000,313.65,314.85,313.45,313.75,3068.56,964372.159,,12068.0
,1705770000000,313.75,314.65,313.6,314.4,1865.98,586287.023,,7259.36
,1705773600000,314.4,314.6,313.65,313.9,1394.53,438170.9135,,7457.65
,1705777200000,313.9,314.8,313.8,314.35,1868.4,587480.3855,,7173.54
,1705780800000,314.35,316.55,314.1,315.75,5275.69,1664909.4385,,30890.66
,1705784400000,315.75,316.9,315.5,316.35,3768.36,1191891.682,,19571.32
,1705788000000,316.35,316.85,315.85,316.65,2464.72,779233.718,,9464.38
,1705791600000,316.65,317.25,316,317.05,3741.68,1184558.322,,13998.21
,1705795200000,317.05,318.15,316.05,317.45,6634.54,2105041.2695,,21505.55
,1705798800000,317.45,317.9,316.1,316.55,3749.36,1188370.096,,12602.08
,1705802400000,316.55,319,316.45,318.8,4422.33,1405257.895,,25802.98
,1705806000000,318.8,319.4,317.8,318.3,2766.89,881878.3155,,18672.9
,1705809600000,318.3,318.35,316.9,316.9,2185.7,694377.741,,11331.41
,1705813200000,316.9,318.2,316.9,317.6,2552.97,811042.315,,8252.4
