,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,0.07861,0.07884,0.07827,0.07834,42580091,3345121.74834,,108299203.0
,1705712400000,0.07834,0.07905,0.07832,0.07889,20711888,1629878.51481,,61573603.0
,1705716000000,0.07889,0.07891,0.07846,0.0786,9733155,765205.40795,,31477481.0
,1705719600000,0.0786,0.07863,0.07831,0.07857,9874061,774561.52371,,25002067.0
,1705723200000,0.07857,0.07872,0.07839,0.07859,10927085,858004.75233,,37298152.0
,1705726800000,0.07859,0.07861,0.07822,0.0783,11804035,925479.66179,,39042690.0
,1705730400000,0.0783,0.07937,0.07827,0.07933,53629127,4227995.50274,,123745976.0
,1705734000000,0.07933,0.07962,0.07904,0.07926,48097743,3816924.86792,,105305088.0
,1705737600000,0.07926,0.07952,0.07859,0.07879,40622807,3205483.31244,,86498629.0
,1705741200000,0.07879,0.07908,0.07845,0.07864,26154209,2062743.566,,62601850.0
,1705744800000,0.07864,0.0792,0.0786,0.07902,27521762,2172407.96903,,50749743.0
,1705748400000,0.07902,0.07934,0.07891,0.07929,9936467,786227.84698,,24530357.0
,1705752000000,0.07929,0.07971,0.07924,0.07936,25752696,2048520.82028,,44311941.0
,1705755600000,0.07936,0.0796,0.07922,0.0794,10376326,823343.06387,,33437167.0
,1705759200000,0.0794,0.07953,0.079,0.07943,17933331,1420472.09419,,41953186.0
,1705762800000,0.07943,0.07958,0.07904,0.07927,26205721,2079699.04134,,43019554.0
,1705766400000,0.07927,0.07956,0.07916,0.07945,21368712,1695417.04316,,38156610.0
,1705770000000,0.07945,0.08017,0.07943,0.08011,61999280,4952527.21168,,94267670.0
,1705773600000,0.08011,0.08026,0.07951,0.07962,25201589,2010465.83422,,59561806.0
,1705777200000,0.07962,0.08252,0.07959,0.08238,184442170,14985558.37655,,397271659.0
,1705780800000,0.08238,0.08548,0.08195,0.08473,448417718,37692342.56992,,808039326.0
,1705784400000,0.08473,0.08561,0.08392,0.08417,188022614,15931707.43,,359668549.0
,1705788000000,0.08417,0.08707,0.08392,0.08702,230905131,19738557.0397,,333046354.0
,1705791600000,0.08702,0.09067,0.08669,0.0878,637377293,56481099.45213,,1077482529.0
,1705795200000,0.0878,0.09068,0.08764,0.08948,413343902,36965562.09131,,764736512.0
,1705798800000,0.08948,0.09017,0.08777,0.0899,215716327,19207181.32087,,443271779.0
,1705802400000,0.0899,0.09033,0.08869,0.09,190602158,17072196.59752,,337007945.0
,1705806000000,0.09,0.09024,0.08639,0.08687,320645852,28148913.17946,,522337494.0
,1705809600000,0.08687,0.0872,0.08637,0.08657,121466573,10539845.37669,,211669821.0
