,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,6.895,6.895,6.777,6.781,219334.3,1497128.4064,,419159.5
,1705712400000,6.781,6.876,6.778,6.866,105420.8,720964.5212,,329599.6
,1705716000000,6.866,6.874,6.82,6.849,99826.6,683594.8962,,221796.4
,1705719600000,6.849,6.854,6.806,6.828,82926.9,566323.702,,216256.7
,1705723200000,6.828,6.873,6.819,6.848,83052.4,568383.4858,,349429.7
,1705726800000,6.848,6.855,6.825,6.839,64980.8,444351.7393,,198032.7
,1705730400000,6.839,6.898,6.838,6.891,104338.1,717007.9599,,267717.1
,1705734000000,6.891,6.95,6.891,6.904,175120.9,1212352.945,,434045.5
,1705737600000,6.904,6.931,6.853,6.878,179844.7,1238097.0947,,411902.6
,1705741200000,6.878,6.898,6.795,6.813,246845.3,1687593.0537,,404463.4
,1705744800000,6.813,6.866,6.811,6.835,106545.1,729039.4681,,249145.6
,1705748400000,6.835,6.863,6.81,6.856,153899.1,1052532.9153,,271744.0
,1705752000000,6.856,6.886,6.84,6.854,68502.9,469959.1977,,257682.8
,1705755600000,6.854,6.879,6.846,6.865,150758,1034618.0938,,170942.4
,1705759200000,6.865,6.866,6.805,6.843,126229.2,863072.8347,,313482.1
,1705762800000,6.843,6.888,6.803,6.861,119718.8,821078.2633,,371773.9
,1705766400000,6.861,6.887,6.817,6.818,135453.2,927941.6596,,292014.8
,1705770000000,6.818,6.871,6.807,6.865,90374,617906.074,,269923.3
,1705773600000,6.865,6.865,6.794,6.825,72618.2,495809.5818,,322342.8
,1705777200000,6.825,6.859,6.821,6.845,47075.4,322021.5237,,263848.2
,1705780800000,6.845,6.892,6.837,6.872,82509.4,567101.7824,,352417.3
,1705784400000,6.872,6.929,6.868,6.887,83679,577687.3832,,259380.4
,1705788000000,6.887,6.92,6.88,6.913,52205.9,359956.5431,,193822.5
,1705791600000,6.913,6.918,6.887,6.912,35573.5,245621.958,,165617.1
,1705795200000,6.912,6.912,6.862,6.871,81702.8,562505.501,,262670.5
,1705798800000,6.871,6.912,6.857,6.89,65224.5,449107.3446,,195722.9
,1705802400000,6.89,6.926,6.869,6.926,58700.5,404843.923,,168242.7
,1705806000000,6.926,6.976,6.908,6.919,107596.5,747202.9833,,351943.1
,1705809600000,6.919,6.924,6.893,6.903,75527.5,521500.6747,,220524.7
,1705813200000,6.903,6.917,6.882,6.889,59349.4,409448.9759,,213294.1
,1705816800000,6.889,6.903,6.856,6.865,90474.3,622012.1239,,325631.0
,1705820400000,6.865,6.908,6.856,6.903,45591.3,314054.4313,,200435.1
,1705824000000,6.903,6.926,6.888,6.893,64403.2,444833.651,,203004.9
,1705827600000,6.893,6.919,6.891,6.902,48479.7,334738.9675,,148181.2
,1705831200000,6.902,6.929,6.888,6.924,89501.6,618596.4651,,231368.2
,1705834800000,6.924,6.933,6.892,6.9,71371.6,493017.4294,,195980.9
,1705838400000,6.9,6.942,6.897,6.91,122957.8,851370.2754,,301459.8
,1705842000000,6.91,6.945,6.905,6.943,68446.1,474015.3004,,226878.0
,1705845600000,6.943,6.97,6.918,6.934,109464.1,760106.2462,,302093.5
,1705849200000,6.934,6.946,6.86,6.886,142280.4,981310.0253,,391035.2
,1705852800000,6.886,6.893,6.834,6.879,133113.7,914111.8463,,367464.4
,1705856400000,6.879,6.912,6.877,6.891,75855,522940.9474,,194601.8
,1705860000000,6.891,6.911,6.877,6.896,79673.1,549276.1657,,184790.5
,1705863600000,6.896,6.911,6.87,6.907,70253.1,483747.2671,,141172.1
,1705867200000,6.907,6.912,6.848,6.867,75997,522401.3674,,201665.1
,1705870800000,6.867,6.898,6.853,6.898,64703.5,444636.775,,185649.8
,1705874400000,6.898,6.9,6.824,6.845,108389.2,743894.1949,,183323.3
,1705878000000,6.845,6.866,6.802,6.817,136105.3,930192.6839,,404289.1
,1705881600000,6.817,6.849,6.766,6.818,181380.7,1234717.1306,,620325.5
,1705885200000,6.818,6.833,6.718,6.739,236312.4,1596387.126,,901069.7
,1705888800000,6.739,6.766,6.674,6.711,116393.5,781733.9308,,508881.9
,1705892400000,6.711,6.746,6.687,6.726,112675.8,756571.3274,,287707.6
,1705896000000,6.726,6.735,6.663,6.664,89969.3,602494.2367,,369046.6
,1705899600000,6.664,6.742,6.638,6.738,119892,802761.7846,,487131.3
,1705903200000,6.738,6.763,6.71,6.749,76332.6,514644.2528,,315008.5
,1705906800000,6.749,6.758,6.707,6.721,63918.1,430692.6073,,182403.2
,1705910400000,6.721,6.722,6.609,6.669,247283.9,1646931.229,,576826.5
,1705914000000,6.669,6.815,6.645,6.667,691374.5,4648809.7216,,1337558.1
,1705917600000,6.667,6.704,6.537,6.615,576028.5,3808013.8751,,1306870.1
,1705921200000,6.615,6.644,6.553,6.583,570557.9,3763722.8621,,707574.6
,1705924800000,6.583,6.604,6.522,6.591,237738.2,1561129.6944,,513081.1
,1705928400000,6.591,6.683,6.588,6.634,281163.9,1867621.3215,,623504.2
,1705932000000,6.634,6.644,6.5,6.557,479982.4,3148298.2242,,848911.8
,1705935600000,6.557,6.568,6.395,6.514,933489.7,6061335.786,,1314730.6
,1705939200000,6.514,6.549,6.491,6.537,233591.1,1524254.1028,,673703.7
,1705942800000,6.537,6.57,6.497,6.535,378546.2,2474202.6449,,869709.0
,1705946400000,6.535,6.564,6.39,6.474,596772.6,3863848.3547,,1519400.1
,1705950000000,6.474,6.511,6.287,6.377,1148962.2,7321411.6657,,2085540.2
,1705953600000,6.377,6.486,6.37,6.455,556493.7,3586185.3568,,1171009.9
,1705957200000,6.455,6.459,6.385,6.422,371623.2,2386872.6738,,964515.8
,1705960800000,6.422,6.434,6.332,6.38,227558.2,1454404.4935,,584422.8
,1705964400000,6.38,6.404,6.317,6.339,199679.6,1269177.745,,498387.3
,1705968000000,6.339,6.387,6.317,6.378,232334.9,1477462.5711,,612000.1
,1705971600000,6.378,6.419,6.34,6.381,103767.6,662172.7809,,316204.9
,1705975200000,6.381,6.449,6.375,6.444,115715.9,743808.316,,382478.1
,1705978800000,6.444,6.453,6.412,6.418,86737.1,557928.2465,,338593.0
