,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
0,1712055600000,0.5913,0.6313,0.5843,0.6182,1134683,698288.8304,,
1,1712059200000,0.6182,0.6385,0.5951,0.6263,11706850,7207906.4712,,
2,1712062800000,0.6263,0.7293,0.6224,0.7057,33504285,22276106.168,,
3,1712066400000,0.7057,0.778,0.6778,0.6913,47929962,34986111.8884,,
4,1712070000000,0.6913,0.7364,0.6687,0.6882,25341228,17871073.2129,,
5,1712073600000,0.6882,0.7358,0.6879,0.73,16867895,12096304.9363,,
6,1712077200000,0.73,0.8447,0.7249,0.8078,39646505,31444616.9718,,
7,1712080800000,0.8078,0.9122,0.8062,0.8482,55063547,47663149.7367,,
8,1712084400000,0.8482,0.89,0.8067,0.8727,38200567,32403950.5103,,
9,1712088000000,0.8727,0.8751,0.8146,0.8248,25677126,21751706.9961,,
10,1712091600000,0.8248,0.88,0.8223,0.8624,15354735,12994522.1348,,
11,1712095200000,0.8624,0.8766,0.8244,0.8469,15577541,13206256.4355,,
12,1712098800000,0.8469,0.8499,0.7519,0.7738,25448363,20088510.5319,,
13,1712102400000,0.7738,0.7875,0.7032,0.7815,28370354,21004394.1349,,
14,1712106000000,0.7815,0.8686,0.765,0.8482,31680815,25847615.5662,,
15,1712109600000,0.8482,0.8555,0.8,0.838,15964310,13248916.3919,,
16,1712113200000,0.838,0.895,0.8209,0.87,16309231,14046737.977,,
17,1712116800000,0.87,0.874,0.8228,0.8304,13239571,11176662.2121,,
18,1712120400000,0.8304,0.8315,0.784,0.8216,18917735,15277168.8825,,
19,1712124000000,0.8216,0.867,0.8128,0.8574,17526692,14733848.4929,,
20,1712127600000,0.8574,0.9284,0.825,0.9197,25017038,21720550.91,,
21,1712131200000,0.9197,0.9388,0.8679,0.9317,36869683,33324320.6176,,
22,1712134800000,0.9317,0.96,0.9157,0.9259,29218669,27350870.528,,
23,1712138400000,0.9259,0.9478,0.9004,0.9256,19380841,17912539.9231,,
24,1712142000000,0.9256,0.945,0.8932,0.9046,18228700,16779626.2675,,
25,1712145600000,0.9046,0.9377,0.8585,0.9258,33972204,30394411.1836,,
26,1712149200000,0.9258,0.9799,0.9251,0.9316,31899652,30387972.7915,,
27,1712152800000,0.9316,1.0475,0.931,1.0432,36791167,36578326.9169,,
28,1712156400000,1.0432,1.21,1.0019,1.1915,58000035,64237466.633,,
29,1712160000000,1.1915,1.3059,1.1516,1.171,77345642,94666463.26,,
30,1712163600000,1.171,1.2238,1.0922,1.1061,44810346,52058994.1509,,
31,1712167200000,1.1061,1.1554,1.0792,1.0822,26059747,29111727.3284,,
32,1712170800000,1.0822,1.1393,1.056,1.1075,19334179,21231846.6254,,
33,1712174400000,1.1075,1.1084,1.0455,1.1033,19452411,20905555.3754,,
34,1712178000000,1.1033,1.1572,1.067,1.153,15093553,16954653.3611,,
35,1712181600000,1.153,1.157,1.1029,1.1071,12070861,13647806.8341,,
36,1712185200000,1.1071,1.1485,1.062,1.1344,14888634,16486832.0502,,
37,1712188800000,1.1344,1.1656,1.0928,1.1084,14156504,15998289.9332,,
38,1712192400000,1.1084,1.1227,1.0701,1.0774,12453668,13637797.2909,,
39,1712196000000,1.0774,1.1,1.0075,1.061,26666411,27980018.9571,,
40,1712199600000,1.061,1.0785,0.9531,0.9537,29428923,29655821.3094,,
41,1712203200000,0.9537,1.0032,0.9101,0.9888,34307694,32708835.21,,
42,1712206800000,0.9888,1.0476,0.9705,1.0426,24531818,24782523.3948,,
43,1712210400000,1.0426,1.0702,1.0128,1.015,20326046,21122547.534,,
44,1712214000000,1.015,1.0396,0.9873,1.0046,18908724,19141595.7323,,
45,1712217600000,1.0046,1.0364,0.9511,0.9585,19384884,19307805.205,,
46,1712221200000,0.9585,1.022,0.9582,1.016,15004359,14793556.0284,,
47,1712224800000,1.016,1.134,1.0101,1.1011,43685268,47309006.3425,,
48,1712228400000,1.1011,1.164,1.0804,1.1245,26074269,29406722.9051,,
49,1712232000000,1.1245,1.1569,1.0896,1.0934,23370344,26158583.416,,
50,1712235600000,1.0934,1.1355,1.0724,1.0958,19651078,21622270.4223,,
51,1712239200000,1.0958,1.1508,1.0871,1.0991,22725859,25471768.4238,,
52,1712242800000,1.0991,1.1194,1.0336,1.0395,23352625,25007523.1208,,
53,1712246400000,1.0395,1.0641,1.0138,1.0266,20568911,21443889.4373,,
54,1712250000000,1.0266,1.0571,1.0075,1.0507,17560007,18118929.7059,,
55,1712253600000,1.0507,1.0508,0.9711,0.9785,20633216,20834723.4565,,
56,1712257200000,0.9785,1.0122,0.9766,1.0036,13180095,13171782.7352,,
57,1712260800000,1.0036,1.0095,0.9251,0.9815,31636014,30498466.399,,
58,1712264400000,0.9815,0.9892,0.9336,0.9414,13747948,13219120.5081,,
59,1712268000000,0.9414,0.985,0.9406,0.9758,11343469,10941602.7991,,
60,1712271600000,0.9758,1.0043,0.9573,0.9712,11892897,11671058.295,,
61,1712275200000,0.9712,1.0087,0.9503,0.9739,14296425,13994044.5761,,
62,1712278800000,0.9739,1.0409,0.9681,1.0145,13045650,13075752.5653,,
