,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,2491.79,2491.79,2475.06,2476.06,12722.84,31578738.2267,,27901.315
,1705712400000,2476.06,2490.92,2475.39,2489.6,7724.4,19197373.7355,,26103.336
,1705716000000,2489.6,2489.63,2480.65,2486.15,4435.11,11018792.4916,,12823.692
,1705719600000,2486.15,2486.5,2476,2481.96,8302.6,20594529.4339,,17153.157
,1705723200000,2481.96,2484.97,2478.41,2482.97,7895.45,19596033.6568,,11644.404
,1705726800000,2482.97,2484.54,2475.27,2477.92,6480.27,16066752.6769,,12116.653
,1705730400000,2477.92,2483.94,2477.14,2482.46,5157.61,12795322.707,,13241.381
,1705734000000,2482.46,2486.68,2478.07,2478.52,6937.51,17226415.8458,,14636.666
,1705737600000,2478.52,2480.47,2471.79,2474.69,13423.71,33233230.7534,,23177.372
,1705741200000,2474.69,2477.44,2462.2,2466.31,20015.78,49418041.42,,32391.136
,1705744800000,2466.31,2474.5,2465.83,2470.53,7675.83,18963495.4191,,22843.904
,1705748400000,2470.53,2472.5,2465.51,2470.55,7898.64,19501606.4704,,14188.473
,1705752000000,2470.55,2475.88,2466.54,2467.81,13609.15,33629369.2475,,21136.683
,1705755600000,2467.81,2474,2467.11,2471.99,6657.66,16449513.3754,,20342.381
,1705759200000,2471.99,2472.5,2458.71,2466.51,14048.51,34622285.004,,24637.1
,1705762800000,2466.51,2474.14,2456.22,2463.85,14809.73,36509585.904,,30835.71
,1705766400000,2463.85,2467.59,2455.6,2458.43,9075.38,22341296.8534,,22624.739
,1705770000000,2458.43,2464.2,2456.55,2462.27,6718.78,16529566.4831,,16542.735
,1705773600000,2462.27,2462.28,2453.14,2457.5,15626.17,38386438.6455,,20880.872
,1705777200000,2457.5,2463.94,2457.36,2461.36,6525.13,16056569.2953,,12335.458
,1705780800000,2461.36,2472.78,2459.69,2466.63,12131.9,29936910.5412,,24663.621
,1705784400000,2466.63,2473.12,2465.01,2465.04,7353.45,18156422.5631,,13284.462
,1705788000000,2465.04,2474.05,2465.04,2471.61,8696.92,21484471.2417,,10578.094
,1705791600000,2471.61,2474.79,2468.18,2471.86,5850,14456921.9426,,11562.978
,1705795200000,2471.86,2472,2465.1,2465.79,4721.93,11651352.9207,,15006.168
,1705798800000,2465.79,2472.99,2465.1,2469.44,3284.61,8108474.3834,,12307.633
,1705802400000,2469.44,2477.57,2469.38,2476.99,7236.29,17904739.9732,,18471.37
,1705806000000,2476.99,2481.23,2473.08,2475.08,8218.74,20367293.5321,,16833.283
,1705809600000,2475.08,2475.87,2472.59,2473.98,3379.23,8359922.7027,,6207.313
,1705813200000,2473.98,2475.51,2472.59,2472.82,3619.36,8953706.6723,,6334.258
,1705816800000,2472.82,2474.83,2468.58,2470.06,4838.92,11960106.027,,9409.263
,1705820400000,2470.06,2475.32,2466.51,2475.31,5017.84,12398622.1201,,13606.61
,1705824000000,2475.31,2479.19,2472.27,2473.9,7515.68,18607764.1257,,14128.613
,1705827600000,2473.9,2477.75,2472.78,2477.58,3253.61,8054092.4095,,8546.096
,1705831200000,2477.58,2482.02,2475.91,2480,7360.71,18252096.7064,,16398.041
,1705834800000,2480,2481.51,2472.04,2473.99,7789.46,19293890.426,,12793.306
,1705838400000,2473.99,2475.88,2471.22,2472.13,7175.79,17751252.1194,,12389.291
,1705842000000,2472.13,2480.8,2471.93,2479.11,4941.25,12238539.8929,,19789.944
,1705845600000,2479.11,2481.04,2473.88,2477.55,7834.62,19414609.2218,,14720.227
,1705849200000,2477.55,2480.28,2463.2,2467.56,11548,28516756.975,,27839.783
,1705852800000,2467.56,2473.59,2463.35,2471.04,6420.81,15850549.1882,,23314.682
,1705856400000,2471.04,2476.24,2470.4,2474.1,3785.56,9364593.6937,,14169.357
,1705860000000,2474.1,2478.14,2470.05,2474.34,4876.03,12070371.2819,,9874.557
,1705863600000,2474.34,2474.85,2470.13,2473.8,6626,16382513.2315,,10212.124
,1705867200000,2473.8,2474.93,2465.45,2466.37,6115.9,15105125.8967,,10428.267
,1705870800000,2466.37,2474.06,2464.64,2473.25,4715.16,11640783.1341,,10190.792
,1705874400000,2473.25,2473.52,2458.71,2461.63,10679.27,26318685.767,,14542.452
,1705878000000,2461.63,2463.39,2450,2456.65,15300.5,37572496.9441,,29373.058
,1705881600000,2456.65,2464.73,2451.52,2461.63,12245.6,30103734.4777,,35120.112
,1705885200000,2461.63,2465.75,2434.33,2438.92,43357.87,105965180.5734,,93220.664
,1705888800000,2438.92,2446,2432.02,2436.19,19312.87,47076710.0287,,37103.675
,1705892400000,2436.19,2439.3,2423.41,2437.19,28066.75,68241528.0619,,42754.443
,1705896000000,2437.19,2438.27,2415.03,2416.01,36054.62,87373051.8309,,53348.415
,1705899600000,2416.01,2430.82,2401.05,2426.47,50145.69,121135434.8188,,76568.202
,1705903200000,2426.47,2435.98,2420.4,2430.34,23020.25,55896341.1234,,37920.087
,1705906800000,2430.34,2430.63,2417.61,2420.75,13956.09,33840808.2405,,27753.787
,1705910400000,2420.75,2420.75,2392.86,2410.61,58268.11,140125366.8079,,92051.012
,1705914000000,2410.61,2415.98,2384.05,2389.19,51152.14,122788997.8848,,69849.307
,1705917600000,2389.19,2392.84,2360,2380.84,106343.53,252647980.953,,131190.775
,1705921200000,2380.84,2391.3,2375.76,2381.27,45303.76,108019031.5972,,52481.885
,1705924800000,2381.27,2384.06,2366.78,2377.24,33299.66,79104517.3504,,54209.135
,1705928400000,2377.24,2405.48,2376.79,2387.94,50920.62,121798080.3872,,90270.683
,1705932000000,2387.94,2391,2354.76,2369.79,82444.22,195531870.9153,,100873.306
,1705935600000,2369.79,2385.18,2352.22,2379.43,62512.81,147937320.1176,,101771.841
,1705939200000,2379.43,2385.82,2362.13,2366.12,42113.32,99898325.5344,,60747.024
,1705942800000,2366.12,2382.64,2356.5,2376.86,48411.08,114697700.3861,,53951.259
,1705946400000,2376.86,2382.42,2347.28,2367.23,60541,143197816.1696,,70554.137
,1705950000000,2367.23,2378.12,2303.36,2321.17,149314.14,348524868.9443,,216625.807
,1705953600000,2321.17,2350.92,2318.41,2340.16,47002.13,109885377.3617,,90444.036
,1705957200000,2340.16,2340.16,2322.62,2326.48,25295.07,58952835.031,,39538.742
,1705960800000,2326.48,2334.74,2301.44,2320.18,33377.47,77392746.9938,,57009.53
,1705964400000,2320.18,2327.11,2307.47,2314.25,26672.97,61774332.779,,50495.71
,1705968000000,2314.25,2330.54,2312.53,2326.4,25854.39,60055059.5027,,49269.478
,1705971600000,2326.4,2336.31,2324.12,2334.17,15959.28,37171603.5444,,32204.221
,1705975200000,2334.17,2339.1,2328.34,2338.96,17337.52,40479278.7502,,37385.691
,1705978800000,2338.96,2342.5,2336.78,2339.09,10618.51,24840730.0822,,23611.404
,1705982400000,2339.09,2351,2339.08,2343.69,14763.67,34643992.8331,,37178.761
,1705986000000,2343.69,2349.52,2342.96,2347.96,9915.75,23268174.4279,,17939.625
,1705989600000,2347.96,2350.93,2342.68,2345.69,10237.47,24024166.7528,,18763.951
,1705993200000,2345.69,2347.75,2316.06,2324.1,41605.46,96987065.9586,,56602.262
,1705996800000,2324.1,2327.47,2283.9,2293.59,82603.9,190412156.4749,,122610.481
,1706000400000,2293.59,2296.61,2211.6,2216.13,198702.86,446940254.1223,,336107.986
