,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,5.479,5.48,5.393,5.407,67496.4,367091.7055,,539073.7
,1705712400000,5.407,5.515,5.404,5.493,144988.6,791770.5832,,849222.1
,1705716000000,5.493,5.513,5.458,5.5,84093.5,461510.395,,528414.5
,1705719600000,5.5,5.509,5.465,5.492,47918.1,262765.6419,,457339.7
,1705723200000,5.492,5.495,5.449,5.451,26795.3,146516.6871,,498643.6
,1705726800000,5.451,5.459,5.421,5.426,44774.1,243618.8022,,422832.9
,1705730400000,5.426,5.47,5.419,5.458,80703.3,438636.4099,,505822.3
,1705734000000,5.458,5.497,5.44,5.452,48983,267984.3059,,492931.0
,1705737600000,5.452,5.482,5.423,5.457,62135.8,338582.5961,,631871.2
,1705741200000,5.457,5.481,5.397,5.417,47467.5,257890.6645,,651031.1
,1705744800000,5.417,5.462,5.414,5.435,33939,184628.9024,,410496.2
,1705748400000,5.435,5.463,5.412,5.449,32546.4,177106.8019,,279624.0
,1705752000000,5.449,5.47,5.433,5.45,29542.7,161112.9811,,419747.7
,1705755600000,5.45,5.466,5.435,5.464,50063.6,273164.6618,,355788.7
,1705759200000,5.464,5.464,5.401,5.426,58168,315580.8186,,386280.2
,1705762800000,5.426,5.458,5.384,5.426,103971.4,562488.4689,,493946.5
,1705766400000,5.426,5.454,5.402,5.421,105017.1,569593.1673,,382035.0
,1705770000000,5.421,5.458,5.413,5.446,95762,520641.6165,,452260.5
,1705773600000,5.446,5.469,5.425,5.442,34459.8,187739.1586,,351187.8
,1705777200000,5.442,5.47,5.44,5.47,87348.3,477262.8506,,295473.8
,1705780800000,5.47,5.549,5.458,5.538,117792.9,650079.2615,,849832.4
,1705784400000,5.538,5.554,5.506,5.508,94492.6,521796.5653,,390653.1
,1705788000000,5.508,5.526,5.496,5.516,45874.4,252712.3009,,279018.7
,1705791600000,5.516,5.539,5.494,5.518,75448.2,416324.0735,,400862.7
,1705795200000,5.518,5.519,5.459,5.471,89664.5,491793.0306,,466888.7
,1705798800000,5.471,5.509,5.464,5.489,66737.2,366343.8498,,323290.9
,1705802400000,5.489,5.54,5.483,5.535,44956.1,247641.7237,,311100.5
,1705806000000,5.535,5.555,5.523,5.533,27249.1,150986.3701,,308058.8
,1705809600000,5.533,5.566,5.521,5.542,51323.3,284304.8771,,277305.8
,1705813200000,5.542,5.547,5.498,5.503,26333.4,145365.0154,,218943.2
,1705816800000,5.503,5.523,5.484,5.506,49321.8,271446.5163,,342715.2
,1705820400000,5.506,5.528,5.488,5.513,67244.8,370327.9355,,238953.1
,1705824000000,5.513,5.544,5.506,5.508,33313.8,184079.292,,316880.3
,1705827600000,5.508,5.547,5.507,5.545,74367.1,410461.3051,,323641.5
,1705831200000,5.545,5.555,5.533,5.541,43958,243678.2931,,272583.9
,1705834800000,5.541,5.546,5.505,5.517,48886.8,270280.7897,,335029.2
,1705838400000,5.517,5.521,5.488,5.495,108517.9,597031.7033,,330303.4
,1705842000000,5.495,5.536,5.493,5.53,48084.4,265084.8024,,327084.5
,1705845600000,5.53,5.551,5.506,5.547,67309.5,372297.7276,,578602.0
,1705849200000,5.547,5.555,5.461,5.481,147263.1,808829.0058,,746239.6
,1705852800000,5.481,5.488,5.414,5.452,209111.2,1139706.6093,,893070.4
,1705856400000,5.452,5.484,5.449,5.468,52309.3,286246.9985,,360253.7
,1705860000000,5.468,5.478,5.428,5.443,88375.7,482063.7112,,387316.2
,1705863600000,5.443,5.452,5.414,5.449,40724.1,221208.3863,,351587.4
,1705867200000,5.449,5.468,5.389,5.417,389841.1,2117978.5596,,480232.3
,1705870800000,5.417,5.447,5.406,5.446,114247.8,619486.2801,,370381.8
,1705874400000,5.446,5.447,5.389,5.405,147809.8,800088.8796,,277987.9
,1705878000000,5.405,5.421,5.358,5.366,187154.6,1008063.6162,,751674.1
,1705881600000,5.366,5.407,5.33,5.381,185627.6,995556.2463,,861081.4
,1705885200000,5.381,5.398,5.268,5.289,330554.7,1758433.6434,,1388136.3
,1705888800000,5.289,5.32,5.236,5.266,144827.5,763011.0127,,845667.5
,1705892400000,5.266,5.284,5.228,5.269,95943,504364.5862,,755811.6
,1705896000000,5.269,5.272,5.216,5.216,105295.2,552414.9916,,691681.5
,1705899600000,5.216,5.299,5.192,5.299,178732.7,935657.3475,,889235.0
,1705903200000,5.299,5.309,5.268,5.289,57334.1,303498.562,,487967.6
,1705906800000,5.289,5.292,5.243,5.259,55366.2,291679.2814,,408963.7
,1705910400000,5.259,5.259,5.182,5.248,187519.3,979347.8053,,1477266.0
,1705914000000,5.248,5.277,5.204,5.243,203274.2,1064451.4012,,1350529.3
,1705917600000,5.243,5.258,5.165,5.235,231219.2,1204186.4379,,1243552.8
,1705921200000,5.235,5.257,5.206,5.212,121465.5,635353.9081,,789237.6
,1705924800000,5.212,5.225,5.172,5.217,125105.2,650459.288,,1051878.6
,1705928400000,5.217,5.289,5.215,5.286,383063.9,2014856.6934,,1307578.5
,1705932000000,5.286,5.306,5.171,5.218,303687.1,1596275.5445,,1413096.9
,1705935600000,5.218,5.246,5.097,5.232,478570,2473465.4181,,2231944.3
,1705939200000,5.232,5.258,5.171,5.177,140904.4,733601.3626,,1047976.6
,1705942800000,5.177,5.211,5.147,5.19,124100.8,642124.252,,724994.0
,1705946400000,5.19,5.251,5.134,5.21,269530.1,1396894.4652,,1217834.4
,1705950000000,5.21,5.248,5.007,5.094,1161789.3,5932763.3393,,2883243.8
,1705953600000,5.094,5.189,5.089,5.143,178499.7,918687.5718,,1101476.7
,1705957200000,5.143,5.148,5.079,5.1,91133.9,466183.9043,,611973.9
,1705960800000,5.1,5.124,5.016,5.061,191029.4,969842.8229,,706720.2
,1705964400000,5.061,5.084,5.023,5.047,106169.1,535615.0133,,665460.7
,1705968000000,5.047,5.096,5.023,5.07,252125.9,1274859.7539,,800163.8
,1705971600000,5.07,5.103,5.037,5.062,75956.3,385005.1354,,515165.2
,1705975200000,5.062,5.129,5.058,5.127,73069.7,373213.8895,,431087.3
,1705978800000,5.127,5.14,5.09,5.098,54586.6,278768.9387,,376701.3
,1705982400000,5.098,5.139,5.098,5.105,61953,316970.335,,247342.8
