,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,2.961,2.9615,2.894,2.902,170150.6,497080.01205,,373821.0
,1705712400000,2.902,2.95,2.895,2.944,145333.2,424966.7373,,343033.0
,1705716000000,2.944,2.9555,2.9155,2.927,204401.5,599994.03745,,375422.0
,1705719600000,2.927,2.9385,2.904,2.92,206675.1,602671.0093,,197009.0
,1705723200000,2.92,2.9285,2.9045,2.9085,64485.8,188004.5886,,150257.0
,1705726800000,2.9085,2.92,2.887,2.898,107608.5,312569.1654,,193237.0
,1705730400000,2.898,2.9195,2.8875,2.9075,114819.6,333453.5071,,390795.0
,1705734000000,2.9075,2.9335,2.891,2.895,162904.7,474439.91335,,471356.0
,1705737600000,2.895,2.9025,2.8745,2.8925,531822.4,1534858.56865,,327748.0
,1705741200000,2.8925,2.9055,2.8465,2.854,314191.6,901665.01835,,383743.0
,1705744800000,2.854,2.892,2.8505,2.8635,122449.6,352034.51895,,357243.0
,1705748400000,2.8635,2.8895,2.848,2.8795,108943.2,312464.06335,,399455.0
,1705752000000,2.8795,2.893,2.874,2.8775,120232.6,346512.4787,,222192.0
,1705755600000,2.8775,2.8995,2.8745,2.8985,55047.8,159118.26025,,233511.0
,1705759200000,2.8985,2.9,2.857,2.8745,135945.7,390959.2197,,291357.0
,1705762800000,2.8745,2.893,2.8545,2.856,86158.8,247456.4169,,330994.0
,1705766400000,2.856,2.871,2.8465,2.863,156449.7,447274.82425,,423955.0
,1705770000000,2.863,2.892,2.8595,2.8845,147318,423800.3402,,340256.0
,1705773600000,2.8845,2.8845,2.8635,2.874,81133,233291.08955,,211690.0
,1705777200000,2.874,2.899,2.8735,2.888,90440.8,261301.92175,,211647.0
,1705780800000,2.888,2.9035,2.8805,2.8965,94713.8,274189.51725,,186882.0
,1705784400000,2.8965,2.912,2.888,2.8895,113395.4,328596.98575,,211032.0
,1705788000000,2.8895,2.9035,2.88,2.893,155701.2,449640.8241,,201260.0
,1705791600000,2.893,2.899,2.8805,2.8945,183176.8,529155.7471,,211073.0
,1705795200000,2.8945,2.901,2.873,2.8815,228216.4,659263.30365,,258762.0
,1705798800000,2.8815,2.9145,2.8785,2.8905,105532.1,305692.40365,,268341.0
,1705802400000,2.8905,2.926,2.8835,2.9255,92505.1,269107.31075,,251219.0
,1705806000000,2.9255,2.939,2.917,2.924,107908.8,316075.76495,,200828.0
,1705809600000,2.924,2.924,2.9065,2.9105,54410.8,158505.98115,,138843.0
,1705813200000,2.9105,2.9355,2.902,2.914,224782.1,655088.04495,,253974.0
,1705816800000,2.914,2.9185,2.885,2.9035,282757,820110.90225,,354572.0
,1705820400000,2.9035,2.921,2.8885,2.92,84404.3,245130.91005,,305245.0
,1705824000000,2.92,2.9515,2.911,2.914,185033.8,541852.91325,,442532.0
,1705827600000,2.914,2.9465,2.9105,2.9405,115544.3,338540.27535,,296174.0
,1705831200000,2.9405,2.9485,2.927,2.94,112284.2,329755.04255,,240418.0
,1705834800000,2.94,2.951,2.9175,2.92,98119.3,288085.48645,,216329.0
,1705838400000,2.92,2.931,2.912,2.917,103739.8,303330.69915,,216644.0
,1705842000000,2.917,2.9435,2.914,2.9375,98324,287672.61285,,315970.0
,1705845600000,2.9375,2.95,2.927,2.929,137525.2,403614.6085,,202046.0
,1705849200000,2.929,2.936,2.8855,2.905,178056.2,517584.01835,,294011.0
,1705852800000,2.905,2.907,2.8795,2.892,85498.7,247554.30935,,250188.0
,1705856400000,2.892,2.9055,2.8885,2.8955,47902.7,138834.3216,,151467.0
,1705860000000,2.8955,2.8995,2.8775,2.8935,98167.1,283108.0981,,158522.0
,1705863600000,2.8935,2.899,2.8835,2.888,70927.6,204898.147,,139058.0
,1705867200000,2.888,2.891,2.8505,2.8585,124891,358261.57175,,248143.0
,1705870800000,2.8585,2.9215,2.8535,2.9195,1062042.2,3069591.66115,,1927644.0
,1705874400000,2.9195,2.93,2.8865,2.904,303886.9,884998.13935,,779345.0
,1705878000000,2.904,2.912,2.852,2.863,410832,1179842.2003,,653167.0
,1705881600000,2.863,2.9185,2.854,2.9095,292368.8,843611.30375,,781852.0
,1705885200000,2.9095,2.939,2.8755,2.9095,710382.1,2070144.8639,,1406935.0
,1705888800000,2.9095,2.9445,2.887,2.9075,861830.2,2508851.2484,,933685.0
,1705892400000,2.9075,2.9465,2.882,2.934,593256.1,1730708.69735,,799862.0
,1705896000000,2.934,2.9625,2.913,2.936,524677.9,1541401.16245,,1242856.0
,1705899600000,2.936,3.0125,2.9135,2.9835,1133324.9,3375902.8611,,2108072.0
,1705903200000,2.9835,3.0065,2.943,2.9645,484059.5,1436837.40365,,907151.0
,1705906800000,2.9645,2.9865,2.937,2.9425,472340.1,1394301.1192,,677331.0
,1705910400000,2.9425,2.9425,2.8545,2.878,704404.8,2041491.05205,,1282696.0
,1705914000000,2.878,2.8935,2.7885,2.8075,1375618.3,3886283.5627,,1559600.0
,1705917600000,2.8075,2.83,2.7815,2.8105,717519.2,2017161.16835,,1195306.0
,1705921200000,2.8105,2.8385,2.7935,2.809,254048.4,716133.9125,,622323.0
,1705924800000,2.809,2.82,2.767,2.79,416042.1,1160478.24245,,745463.0
,1705928400000,2.79,2.8615,2.79,2.816,764632.2,2165606.4908,,868320.0
,1705932000000,2.816,2.824,2.7345,2.764,1318947.2,3660606.9955,,1117341.0
,1705935600000,2.764,2.7695,2.71,2.7515,1314159.2,3593450.6518,,1298997.0
,1705939200000,2.7515,2.7875,2.7315,2.7415,611350.3,1687691.946,,775780.0
,1705942800000,2.7415,2.797,2.7385,2.7855,290178.1,804427.8455,,608846.0
,1705946400000,2.7855,2.8115,2.7435,2.792,718455.3,1994879.54145,,664865.0
,1705950000000,2.792,2.813,2.7,2.7435,917413.7,2523710.8218,,1201091.0
,1705953600000,2.7435,2.811,2.7405,2.7535,818323.3,2270785.5214,,1028776.0
,1705957200000,2.7535,2.7605,2.734,2.7435,212361.1,583521.63445,,473416.0
,1705960800000,2.7435,2.7605,2.708,2.7255,219285.5,600722.4453,,395630.0
,1705964400000,2.7255,2.746,2.684,2.7095,314284.6,850295.27905,,659068.0
,1705968000000,2.7095,2.736,2.684,2.7205,238135.6,645630.1548,,493122.0
,1705971600000,2.7205,2.7375,2.6985,2.722,252212.2,686080.0027,,437352.0
,1705975200000,2.722,2.7955,2.7135,2.79,442414.8,1218145.3257,,902361.0
,1705978800000,2.79,2.826,2.79,2.817,300139.4,842717.7357,,682727.0
,1705982400000,2.817,2.85,2.8135,2.815,228634.7,647543.1337,,539191.0
,1705986000000,2.815,2.8235,2.7995,2.807,91285.9,256313.1088,,297558.0
,1705989600000,2.807,2.81,2.7675,2.7725,155094.5,431935.2371,,422372.0
,1705993200000,2.7725,2.78,2.687,2.713,630651,1716411.5612,,946547.0
,1705996800000,2.713,2.7375,2.639,2.6705,781797.3,2100103.11325,,1778589.0
,1706000400000,2.6705,2.6875,2.5615,2.6075,1157856.2,3035833.37565,,2303588.0
,1706004000000,2.6075,2.6775,2.606,2.6585,422335.2,1121523.0068,,1265835.0
,1706007600000,2.6585,2.6755,2.622,2.654,288548,763716.4703,,1152530.0
,1706011200000,2.654,2.7005,2.6295,2.6645,372872.3,992699.33815,,1182396.0
,1706014800000,2.6645,2.6665,2.591,2.596,213025.4,557860.8599,,733814.0
,1706018400000,2.596,2.6085,2.552,2.605,456502.1,1177159.93875,,1343308.0
,1706022000000,2.605,2.6895,2.604,2.654,525821.9,1393753.60515,,1747210.0
,1706025600000,2.654,2.6595,2.6035,2.6365,420080.6,1104294.58005,,928547.0
,1706029200000,2.6365,2.667,2.607,2.613,355787.5,940097.69815,,775609.0
,1706032800000,2.613,2.655,2.6005,2.6015,158799.5,416335.4042,,519316.0
,1706036400000,2.6015,2.6215,2.593,2.599,234443.6,611204.9442,,434519.0
,1706040000000,2.599,2.638,2.5985,2.6195,284675.8,747462.4253,,424122.0
,1706043600000,2.6195,2.6325,2.593,2.6245,149257.4,390371.55315,,322631.0
,1706047200000,2.6245,2.67,2.621,2.6555,144774.8,383793.07055,,308920.0
,1706050800000,2.6555,2.698,2.6555,2.689,252680.1,678115.9903,,420278.0
,1706054400000,2.689,2.719,2.6695,2.7015,177009.4,476765.5056,,502476.0
,1706058000000,2.7015,2.702,2.6585,2.664,158989.8,425752.3089,,437653.0
,1706061600000,2.664,2.6805,2.651,2.6635,72354.3,192860.4846,,255411.0
,1706065200000,2.6635,2.675,2.631,2.656,170332.9,450865.01095,,398680.0
,1706068800000,2.656,2.6695,2.6475,2.6545,57789.2,153728.8341,,215198.0
,1706072400000,2.6545,2.6785,2.646,2.6515,83678.1,222900.6465,,337107.0
,1706076000000,2.6515,2.687,2.638,2.683,378859.3,1011648.9051,,424177.0
,1706079600000,2.683,2.7095,2.6675,2.694,181848.8,489412.04375,,491584.0
,1706083200000,2.694,2.717,2.686,2.7105,108050.3,291737.61,,453274.0
,1706086800000,2.7105,2.7285,2.702,2.718,98306.4,266918.96015,,449910.0
,1706090400000,2.718,2.7705,2.7035,2.755,608560.5,1663372.56115,,781259.0
,1706094000000,2.755,2.759,2.7085,2.7175,345074.1,942396.46255,,547065.0
,1706097600000,2.7175,2.7405,2.7055,2.711,194607.3,529908.12655,,630073.0
,1706101200000,2.711,2.73,2.689,2.714,147572.1,399484.87715,,581493.0
,1706104800000,2.714,2.7555,2.6965,2.753,288699.3,788855.471,,768918.0
,1706108400000,2.753,2.8095,2.749,2.8015,432574.6,1203366.05955,,1382342.0
,1706112000000,2.8015,2.852,2.7785,2.8435,436895.4,1230196.50915,,986302.0
,1706115600000,2.8435,2.8485,2.807,2.8405,262672.9,743378.08025,,588158.0
,1706119200000,2.8405,2.8415,2.7895,2.801,297721.5,836100.3798,,614694.0
,1706122800000,2.801,2.8095,2.7715,2.7995,128517.7,358564.7133,,379828.0
,1706126400000,2.7995,2.814,2.7625,2.7695,128249.9,356859.4001,,454733.0
,1706130000000,2.7695,2.804,2.769,2.803,54656.6,152360.2081,,275342.0
,1706133600000,2.803,2.8315,2.7945,2.8295,90765.7,255434.0328,,350205.0
,1706137200000,2.8295,2.8925,2.825,2.8855,267730.8,767503.20295,,759437.0
,1706140800000,2.8855,2.9,2.859,2.884,176320.1,507938.5171,,596080.0
,1706144400000,2.884,2.8885,2.841,2.8445,144393.5,413880.33585,,334325.0
,1706148000000,2.8445,2.8555,2.8325,2.8415,53080.7,151059.9443,,346034.0
,1706151600000,2.8415,2.856,2.8305,2.845,61321.8,174290.6456,,233249.0
,1706155200000,2.845,2.848,2.812,2.8185,114877.3,325051.58395,,330595.0
,1706158800000,2.8185,2.8315,2.796,2.824,85561,240581.7644,,336319.0
,1706162400000,2.824,2.8745,2.823,2.8735,193854.3,551868.28375,,439801.0
,1706166000000,2.8735,2.894,2.8565,2.892,131177.7,377100.04625,,404843.0
,1706169600000,2.892,2.896,2.8675,2.885,94064.2,271029.52315,,263611.0
,1706173200000,2.885,2.921,2.884,2.8945,266059.1,773146.58745,,572030.0
,1706176800000,2.8945,2.926,2.869,2.893,419045.1,1213180.64215,,835222.0
,1706180400000,2.893,2.917,2.8755,2.905,115133.7,333655.0112,,462778.0
,1706184000000,2.905,2.914,2.814,2.8295,284419,813555.1639,,864127.0
,1706187600000,2.8295,2.8385,2.801,2.83,237906.7,671515.62225,,943611.0
,1706191200000,2.83,2.846,2.809,2.8445,198664.3,562144.5937,,649448.0
,1706194800000,2.8445,2.8575,2.76,2.782,457077.9,1275512.8363,,924231.0
,1706198400000,2.782,2.8135,2.7695,2.798,196853.2,549796.4548,,520782.0
