,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,16.12,16.146,15.767,15.813,623365.3,9926715.5341,,1134272.56
,1705712400000,15.813,16.383,15.791,16.38,800000.5,12885535.1579,,1407673.19
,1705716000000,16.38,16.463,15.983,16.126,645638.3,10435447.1656,,1022691.67
,1705719600000,16.126,16.21,15.947,16.009,551879.6,8873870.7833,,734049.66
,1705723200000,16.009,16.3,16.008,16.174,370649.5,5992931.9977,,806811.85
,1705726800000,16.174,16.267,16.11,16.165,305635.3,4944448.2528,,534458.46
,1705730400000,16.165,16.44,16.132,16.373,474110.3,7729702.6203,,887125.99
,1705734000000,16.373,16.537,16.32,16.412,766543.3,12594835.6667,,1188147.72
,1705737600000,16.412,16.567,16.201,16.294,779288,12736836.8609,,1174921.41
,1705741200000,16.294,16.444,15.926,15.99,700253.9,11287195.2985,,1150177.23
,1705744800000,15.99,16.087,15.906,15.935,382727.4,6123900.2902,,661850.21
,1705748400000,15.935,16.047,15.799,16.019,510490.5,8132903.9095,,713625.63
,1705752000000,16.019,16.077,15.892,15.906,404557.6,6475808.9685,,645795.71
,1705755600000,15.906,16.04,15.906,15.98,223734.6,3575678.4747,,374406.96
,1705759200000,15.98,16.015,15.716,15.804,542248.8,8586243.6971,,686828.48
,1705762800000,15.804,15.943,15.731,15.744,342745.8,5429681.995,,591872.92
,1705766400000,15.744,15.817,15.632,15.681,396655.9,6236828.4682,,566426.48
,1705770000000,15.681,15.929,15.662,15.843,494589.2,7822267.2483,,683340.38
,1705773600000,15.843,15.891,15.732,15.772,164529.9,2600407.9218,,277139.24
,1705777200000,15.772,15.855,15.754,15.826,144560.7,2283781.8719,,251688.78
,1705780800000,15.826,15.901,15.708,15.732,368640.5,5828203.9717,,572274.08
,1705784400000,15.732,15.827,15.706,15.743,189178.5,2982303.5363,,290308.36
,1705788000000,15.743,15.857,15.714,15.84,152342.3,2403384.2891,,276706.78
,1705791600000,15.84,15.851,15.706,15.783,187448.1,2953783.5495,,343383.74
,1705795200000,15.783,15.783,15.511,15.557,384502.4,6010259.4015,,534669.86
,1705798800000,15.557,15.666,15.528,15.605,259544.4,4046294.0105,,416364.04
,1705802400000,15.605,15.693,15.599,15.654,170343.7,2668285.5814,,264354.77
,1705806000000,15.654,15.73,15.641,15.681,99644.4,1563728.8998,,238337.87
,1705809600000,15.681,15.681,15.549,15.625,158966.8,2479960.0363,,229699.8
,1705813200000,15.625,15.665,15.564,15.572,117551,1837274.112,,202340.61
,1705816800000,15.572,15.602,15.509,15.532,116277.5,1807564.8197,,249978.74
,1705820400000,15.532,15.66,15.473,15.64,238491.7,3711701.4295,,291616.86
,1705824000000,15.64,15.794,15.565,15.704,439868.8,6907628.0279,,514820.19
,1705827600000,15.704,15.849,15.697,15.764,319789.7,5047958.433,,626429.95
,1705831200000,15.764,15.873,15.753,15.867,164487.1,2601588.4072,,339616.21
,1705834800000,15.867,15.913,15.716,15.758,280635.4,4432160.3772,,446748.97
,1705838400000,15.758,15.817,15.675,15.681,178479.6,2808355.7505,,243218.4
,1705842000000,15.681,15.779,15.651,15.726,156125.3,2452885.0639,,313365.83
,1705845600000,15.726,15.756,15.626,15.698,194902.3,3059523.1947,,292419.25
,1705849200000,15.698,15.704,15.431,15.49,427106.9,6639235.4942,,597471.29
,1705852800000,15.49,15.507,15.377,15.463,312139,4819353.9702,,483777.59
,1705856400000,15.463,15.576,15.452,15.564,164743.3,2557293.9511,,308070.01
,1705860000000,15.564,15.613,15.523,15.585,123888,1928721.9517,,211665.7
,1705863600000,15.585,15.593,15.465,15.508,170093.6,2638319.0878,,163042.01
,1705867200000,15.508,15.575,15.4,15.431,129706,2007033.2262,,202481.97
,1705870800000,15.431,15.544,15.406,15.538,101865.4,1575516.3329,,178069.42
,1705874400000,15.538,15.54,15.423,15.432,97228.5,1505726.145,,125553.94
,1705878000000,15.432,15.452,15.376,15.396,95616,1473654.2244,,259947.6
,1705881600000,15.396,15.54,15.304,15.462,248486.1,3829672.0062,,600617.38
,1705885200000,15.462,15.509,15.214,15.255,370024.1,5667925.4019,,877695.32
,1705888800000,15.255,15.471,15.242,15.456,297120.3,4558999.5882,,667951.36
,1705892400000,15.456,15.731,15.436,15.572,668873.1,10434684.3348,,1150980.19
,1705896000000,15.572,15.675,15.476,15.622,354339.2,5516131.8631,,719122.41
