,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,3.008,3.008,2.93,2.934,505255.7,1497200.6063,,930082.0
,1705712400000,2.934,2.989,2.93,2.977,324716.3,962507.1581,,852572.0
,1705716000000,2.977,2.983,2.945,2.96,189312.7,561019.4646,,484142.0
,1705719600000,2.96,2.97,2.942,2.965,275174.4,813358.8081,,546179.0
,1705723200000,2.965,2.975,2.948,2.958,196924.3,583694.338,,464319.0
,1705726800000,2.958,2.964,2.932,2.942,143474.4,423040.0683,,396736.0
,1705730400000,2.942,2.968,2.942,2.956,164256.5,485459.9543,,423284.0
,1705734000000,2.956,2.977,2.948,2.95,147449.4,436631.0952,,473665.0
,1705737600000,2.95,2.959,2.917,2.932,298257,874592.6394,,690122.0
,1705741200000,2.932,2.949,2.895,2.904,362543.3,1058526.2604,,607174.0
,1705744800000,2.904,2.947,2.903,2.923,214696.4,628567.9179,,623006.0
,1705748400000,2.923,2.941,2.907,2.935,279661,816729.2116,,447160.0
,1705752000000,2.935,2.936,2.908,2.91,254517.5,743542.2094,,650007.0
,1705755600000,2.91,2.924,2.897,2.908,242839.9,706977.8508,,504870.0
,1705759200000,2.908,2.911,2.875,2.892,391712.6,1132153.1518,,630708.0
,1705762800000,2.892,2.926,2.866,2.899,341777.9,989957.0906,,557380.0
,1705766400000,2.899,2.924,2.889,2.896,234660.8,681254.9926,,575895.0
,1705770000000,2.896,2.916,2.877,2.91,219444.1,635735.8232,,610719.0
,1705773600000,2.91,2.911,2.889,2.898,215278.7,624848.6629,,512048.0
,1705777200000,2.898,2.922,2.898,2.92,129715.6,377764.6491,,423519.0
,1705780800000,2.92,2.959,2.913,2.945,392588.2,1155030.288,,868374.0
,1705784400000,2.945,2.963,2.933,2.936,248845,733977.7852,,531483.0
,1705788000000,2.936,2.958,2.931,2.952,131253.6,386215.7357,,333518.0
,1705791600000,2.952,2.968,2.941,2.967,210206.8,620571.6269,,423628.0
,1705795200000,2.967,2.994,2.956,2.973,431983.1,1285169.7837,,1067373.0
,1705798800000,2.973,2.995,2.963,2.971,262386.4,781595.037,,741225.0
,1705802400000,2.971,2.998,2.965,2.995,195496.1,583250.9942,,389789.0
,1705806000000,2.995,3.045,2.995,3.034,610347.2,1848631.0456,,964884.0
,1705809600000,3.034,3.036,3.007,3.017,306722.6,926404.7412,,559233.0
,1705813200000,3.017,3.023,2.984,2.991,319127,957171.3827,,515912.0
,1705816800000,2.991,2.995,2.971,2.979,231190.2,689819.9086,,456115.0
,1705820400000,2.979,2.995,2.969,2.989,145608.8,434433.8104,,437940.0
,1705824000000,2.989,3.008,2.977,2.98,312521.8,935760.5188,,517599.0
,1705827600000,2.98,2.999,2.979,2.997,148693,444876.5238,,311858.0
,1705831200000,2.997,3.016,2.987,3.012,205228.1,616134.5092,,409855.0
,1705834800000,3.012,3.016,2.99,3,294454.2,884578.7706,,412624.0
,1705838400000,3,3.01,2.991,2.992,180283.3,541105.1939,,369931.0
,1705842000000,2.992,3.009,2.99,3.005,300160.6,900063.7632,,518982.0
,1705845600000,3.005,3.007,2.977,2.987,342206.7,1022970.7164,,588545.0
,1705849200000,2.987,3.005,2.95,2.964,441696.5,1310780.185,,638597.0
,1705852800000,2.964,2.972,2.93,2.961,447317.4,1319779.9605,,587600.0
,1705856400000,2.961,2.99,2.96,2.983,140791.4,419241.0298,,370688.0
,1705860000000,2.983,2.99,2.969,2.986,100561.4,299840.0365,,264440.0
,1705863600000,2.986,2.989,2.97,2.98,118765.2,353619.3372,,255061.0
,1705867200000,2.98,2.984,2.947,2.953,245661.7,729231.7411,,365171.0
