,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,93.596,93.668,92.01,92.125,324016.9,30036587.9341,,388524.0
,1705712400000,92.125,94.301,92.003,93.849,270685.5,25282256.4269,,423209.0
,1705716000000,93.849,93.972,93.09,93.446,172456,16123018.6051,,214390.0
,1705719600000,93.446,93.741,93.112,93.599,126026.9,11765833.9304,,170556.0
,1705723200000,93.599,93.681,92.991,93.062,114350.3,10667284.2624,,157497.0
,1705726800000,93.062,93.116,92.37,92.595,168639.1,15636358.4667,,234484.0
,1705730400000,92.595,93.034,92.173,92.466,212683.6,19698043.5977,,236852.0
,1705734000000,92.466,92.674,91.675,91.932,228888.4,21114636.4729,,271578.0
,1705737600000,91.932,92.289,91.367,91.852,315002.2,28924459.2081,,388571.0
,1705741200000,91.852,92.221,91.036,91.336,299435.5,27443381.7996,,399623.0
,1705744800000,91.336,92.36,91.266,91.938,215287.6,19782396.9302,,280726.0
,1705748400000,91.938,92.245,91.458,91.994,164132.8,15079116.1825,,210227.0
,1705752000000,91.994,92.236,91.502,91.874,195391,17955991.0768,,236614.0
,1705755600000,91.874,92.2,91.728,92.018,138946.5,12780378.2578,,173621.0
,1705759200000,92.018,92.064,90.937,91.113,286915.3,26207265.0831,,317123.0
,1705762800000,91.113,91.597,90.176,90.841,475224.8,43192731.6693,,594924.0
,1705766400000,90.841,91.443,90.716,91.029,230392.7,20990836.6359,,291412.0
,1705770000000,91.029,92.57,90.979,92.1,330032.3,30239938.185,,453154.0
,1705773600000,92.1,92.617,91.837,92.139,214041.5,19732060.5784,,302054.0
,1705777200000,92.139,92.51,91.754,92.022,140896.3,12986708.6655,,207131.0
,1705780800000,92.022,93.089,91.8,92.769,233422.9,21620574.193,,355489.0
,1705784400000,92.769,93.529,92.647,92.705,289590.7,26955344.9622,,341798.0
,1705788000000,92.705,93.283,92.702,93.136,108312.7,10076462.3503,,146526.0
,1705791600000,93.136,93.164,92.382,92.907,133178.5,12348614.0507,,169248.0
,1705795200000,92.907,93.054,91.827,92.168,285281,26336709.7668,,267256.0
,1705798800000,92.168,92.52,91.909,92.142,130707.3,12053743.636,,148070.0
,1705802400000,92.142,92.861,92.1,92.861,129184.6,11945835.1091,,146192.0
,1705806000000,92.861,93.299,92.575,92.916,165436.9,15387181.6789,,226870.0
,1705809600000,92.916,93.076,92.313,92.406,129520.8,11997014.8679,,123098.0
,1705813200000,92.406,92.569,92.095,92.151,104553.1,9651409.482,,113561.0
,1705816800000,92.151,92.305,91.852,92.021,128716.2,11849121.9684,,137034.0
,1705820400000,92.021,92.574,91.876,92.386,135615,12504833.185,,127679.0
,1705824000000,92.386,93,92.257,92.549,209821.6,19441268.6004,,191570.0
,1705827600000,92.549,93.349,92.541,93.288,175399.7,16310629.5028,,186537.0
,1705831200000,93.288,93.998,93.031,93.59,289810.2,27110653.1105,,312732.0
,1705834800000,93.59,93.764,92.872,93.198,179620,16758864.2022,,215746.0
,1705838400000,93.198,93.64,93.095,93.115,169665.5,15839352.9731,,208890.0
,1705842000000,93.115,93.543,92.912,93.463,222011.9,20706609.1322,,254940.0
,1705845600000,93.463,93.7,93.119,93.428,197558.3,18457789.1085,,215944.0
,1705849200000,93.428,93.58,91.969,92.501,326460.5,30258957.7946,,382545.0
,1705852800000,92.501,92.644,91.61,92.341,253391,23359284.4606,,356839.0
,1705856400000,92.341,92.642,92.169,92.491,131168.1,12121022.651,,143857.0
,1705860000000,92.491,93.024,92.231,92.73,160680.3,14890848.876,,169076.0
,1705863600000,92.73,92.802,92.234,92.496,120206.6,11108371.631,,100028.0
,1705867200000,92.496,92.549,91.64,91.847,169601.8,15611996.166,,172476.0
,1705870800000,91.847,92.652,91.735,92.59,148927.2,13730237.7915,,172939.0
,1705874400000,92.59,92.622,91.211,91.507,189583.7,17416618.887,,153597.0
,1705878000000,91.507,91.687,90.767,91.078,267420.7,24382520.0501,,298157.0
,1705881600000,91.078,91.798,90.527,91.465,318536.9,29057669.6183,,426892.0
,1705885200000,91.465,91.935,89.778,90.262,467738.5,42389922.7541,,650265.0
,1705888800000,90.262,90.632,89.127,89.398,365466.5,32846920.5738,,418050.0
,1705892400000,89.398,89.642,88.197,89.331,545728.1,48557143.0404,,655477.0
,1705896000000,89.331,89.493,88.52,88.587,292715,26056759.7039,,385872.0
,1705899600000,88.587,90.111,88.135,89.924,380399.3,33970858.3393,,494983.0
,1705903200000,89.924,90.174,89.491,89.821,296153.5,26615412.6509,,330171.0
,1705906800000,89.821,89.916,88.917,89.228,303636.3,27165412.2992,,311153.0
,1705910400000,89.228,89.228,87.454,88.099,671164.9,59271457.767,,821937.0
,1705914000000,88.099,88.828,87.136,87.479,552784.5,48627022.9859,,735164.0
,1705917600000,87.479,88.221,86.04,87.731,813451.8,70960044.3497,,1046664.0
