,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,1.1659,1.1671,1.1369,1.1387,3225430,3710920.52,,4820465.1
,1705712400000,1.1387,1.1567,1.1352,1.1491,3281770,3758773.175,,5763167.2
,1705716000000,1.1491,1.1516,1.1286,1.1395,3009580,3426201.881,,6694635.6
,1705719600000,1.1395,1.1403,1.1212,1.1252,2359570,2663686.545,,3484361.0
,1705723200000,1.1252,1.1279,1.116,1.1184,2084550,2337678.692,,2827527.8
,1705726800000,1.1184,1.1192,1.1042,1.1064,2720580,3021002.5,,4045171.3
,1705730400000,1.1064,1.1252,1.1028,1.1216,4442690,4954364.1,,5904573.0
,1705734000000,1.1216,1.1363,1.1108,1.1129,7324610,8237093.914,,9578923.9
,1705737600000,1.1129,1.1131,1.1017,1.1071,5011090,5547037.753,,5177892.5
,1705741200000,1.1071,1.1129,1.0694,1.0739,14022290,15212213.188,,14185997.5
,1705744800000,1.0739,1.0831,1.0701,1.0757,4379970,4713145.529,,6795925.4
,1705748400000,1.0757,1.0832,1.0704,1.077,3525170,3804023.385,,4574368.9
,1705752000000,1.077,1.0837,1.0716,1.0782,3424600,3691780.139,,5457483.5
,1705755600000,1.0782,1.0901,1.0759,1.0863,3165470,3432352.962,,5448764.2
,1705759200000,1.0863,1.0864,1.059,1.0718,7209670,7717723.67,,6824982.2
,1705762800000,1.0718,1.0839,1.0644,1.0687,5277760,5666161.788,,6346933.9
,1705766400000,1.0687,1.0745,1.0565,1.0602,3760510,4004151.657,,6726702.8
,1705770000000,1.0602,1.0771,1.06,1.0727,3497290,3735647.27,,6594297.6
,1705773600000,1.0727,1.0866,1.0641,1.0825,3860280,4148754.065,,7689501.1
,1705777200000,1.0825,1.0963,1.0795,1.094,2763150,3007512.077,,4909097.4
,1705780800000,1.094,1.1071,1.0881,1.1002,2760640,3032074.552,,5565880.3
,1705784400000,1.1002,1.107,1.095,1.0967,2221280,2448891.101,,3728148.4
,1705788000000,1.0967,1.1067,1.0953,1.1035,2143820,2360404.162,,3148019.6
,1705791600000,1.1035,1.1066,1.0968,1.1025,1850960,2039620.819,,3680081.4
,1705795200000,1.1025,1.1025,1.0791,1.0805,4324240,4711323.661,,5044425.9
,1705798800000,1.0805,1.0949,1.0795,1.0878,2354600,2565290.466,,4212859.6
,1705802400000,1.0878,1.114,1.084,1.1112,3078610,3394983.414,,4767013.0
,1705806000000,1.1112,1.1259,1.1058,1.1121,3997900,4464463.145,,5670898.6
,1705809600000,1.1121,1.1208,1.1045,1.1171,2679670,2978362.496,,4615070.0
,1705813200000,1.1171,1.1296,1.1091,1.1112,4662620,5216110.342,,5680017.4
,1705816800000,1.1112,1.1112,1.0915,1.098,3284710,3611654.976,,5133925.9
,1705820400000,1.098,1.1105,1.0978,1.1102,1894040,2094709.862,,3610379.0
,1705824000000,1.1102,1.1262,1.1076,1.1175,6092670,6806096.53,,8825671.7
,1705827600000,1.1175,1.1223,1.1128,1.1136,2924270,3268122.919,,3598107.9
,1705831200000,1.1136,1.1241,1.1121,1.1172,2878760,3216268.165,,2934653.2
,1705834800000,1.1172,1.1182,1.1033,1.1104,2541870,2819290.359,,3374568.2
,1705838400000,1.1104,1.12,1.1037,1.106,2392120,2658128.009,,3664182.3
,1705842000000,1.106,1.1129,1.1042,1.11,2172930,2409884.809,,3129770.7
,1705845600000,1.11,1.1109,1.0941,1.1013,3406720,3750697.481,,4973502.5
,1705849200000,1.1013,1.1047,1.0766,1.0823,5073380,5519247.692,,6799105.6
,1705852800000,1.0823,1.0922,1.0748,1.084,4103310,4451783.422,,5088426.9
,1705856400000,1.084,1.097,1.0832,1.0849,2024060,2204700.034,,3307974.1
,1705860000000,1.0849,1.0856,1.0754,1.0799,2022310,2182932.946,,3243116.4
,1705863600000,1.0799,1.0819,1.0741,1.0816,1297270,1398249.4,,2358032.6
,1705867200000,1.0816,1.0828,1.0668,1.0705,2855590,3066147.527,,3725440.4
,1705870800000,1.0705,1.0802,1.0675,1.0781,3778500,4060975.444,,2715724.2
,1705874400000,1.0781,1.0785,1.0652,1.0686,1613760,1730272.981,,2261652.6
,1705878000000,1.0686,1.0748,1.0515,1.0614,3725600,3963113.935,,4675680.0
