,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,0.11048,0.11053,0.10997,0.11004,1253059,138172.05671,,7101914.0
,1705712400000,0.11004,0.11062,0.10998,0.11046,1055156,116494.91883,,6474515.0
,1705716000000,0.11046,0.11062,0.11033,0.11051,1049799,115943.5988,,5552633.0
,1705719600000,0.11051,0.1106,0.11039,0.11049,764525,84482.16679,,3480960.0
,1705723200000,0.11049,0.11049,0.10998,0.10998,1589633,175084.65293,,3843021.0
,1705726800000,0.10998,0.11092,0.10992,0.11057,2546479,281251.66721,,12881272.0
,1705730400000,0.11057,0.1106,0.11026,0.11026,1464745,161797.04001,,5608239.0
,1705734000000,0.11026,0.11074,0.11024,0.11072,2433048,268791.33689,,10675565.0
,1705737600000,0.11072,0.11072,0.10995,0.11026,2705512,298281.09997,,8138673.0
,1705741200000,0.11026,0.11035,0.10986,0.10999,2188396,240802.66446,,9538458.0
,1705744800000,0.10999,0.11021,0.10988,0.10993,1708494,188071.03016,,4194882.0
,1705748400000,0.10993,0.11022,0.10973,0.1102,1351242,148585.29184,,6982816.0
,1705752000000,0.1102,0.11027,0.10998,0.11008,904508,99571.44901,,4069736.0
,1705755600000,0.11008,0.11011,0.10999,0.11004,315810,34753.76771,,2509302.0
,1705759200000,0.11004,0.11006,0.10981,0.10987,611292,67192.04973,,4483986.0
,1705762800000,0.10987,0.11013,0.10962,0.11003,1339012,147190.77162,,6165615.0
,1705766400000,0.11003,0.11024,0.10993,0.11002,319763,35203.32491,,6287344.0
,1705770000000,0.11002,0.11037,0.11002,0.11035,1215467,133923.921,,6044041.0
,1705773600000,0.11035,0.11046,0.11012,0.11017,763621,84271.34877,,4711383.0
,1705777200000,0.11017,0.11031,0.11001,0.11009,906902,99850.8637,,4573507.0
,1705780800000,0.11009,0.11037,0.11001,0.11021,1007831,111109.86081,,4944713.0
,1705784400000,0.11021,0.11028,0.11007,0.11007,310465,34211.57536,,2294011.0
,1705788000000,0.11007,0.11023,0.11005,0.11014,597807,65830.81163,,2983969.0
