,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,2.514,2.523,2.485,2.493,162110.7,406208.3095,,349324.0
,1705712400000,2.493,2.549,2.489,2.545,137422.6,347029.8484,,397741.0
,1705716000000,2.545,2.553,2.523,2.545,55712.6,141468.0984,,272693.0
,1705719600000,2.545,2.547,2.521,2.531,95240.3,241026.868,,189918.0
,1705723200000,2.531,2.535,2.516,2.523,49118.6,124048.5842,,204749.0
,1705726800000,2.523,2.528,2.509,2.521,74944.2,188816.3331,,211789.0
,1705730400000,2.521,2.529,2.503,2.522,77932.8,196277.9585,,165664.0
,1705734000000,2.522,2.535,2.511,2.513,70949.2,179059.421,,205815.0
,1705737600000,2.513,2.521,2.485,2.496,107238.9,268020.7257,,390046.0
,1705741200000,2.496,2.507,2.444,2.453,209078.6,516052.595,,407301.0
,1705744800000,2.453,2.476,2.451,2.461,75239.5,185283.3705,,257512.0
,1705748400000,2.461,2.488,2.456,2.48,91704.3,227112.6656,,250830.0
,1705752000000,2.48,2.489,2.471,2.482,79648.9,197539.9132,,194934.0
,1705755600000,2.482,2.484,2.46,2.469,179563.5,443301.1551,,391219.0
,1705759200000,2.469,2.475,2.447,2.455,95310.8,234169.2635,,261496.0
,1705762800000,2.455,2.489,2.439,2.469,118698.5,291663.0326,,340976.0
,1705766400000,2.469,2.476,2.449,2.455,56552.8,139237.7617,,230091.0
,1705770000000,2.455,2.479,2.448,2.465,88874.9,219247.9117,,298458.0
,1705773600000,2.465,2.478,2.456,2.466,39574.2,97682.5403,,221979.0
,1705777200000,2.466,2.489,2.461,2.481,71985.2,178648.3969,,214438.0
,1705780800000,2.481,2.505,2.472,2.494,74095,184797.0244,,274358.0
,1705784400000,2.494,2.517,2.491,2.499,114850.6,287461.2821,,247205.0
,1705788000000,2.499,2.518,2.499,2.51,30190.9,75746.7427,,144172.0
,1705791600000,2.51,2.51,2.49,2.5,74360.7,185670.4189,,184720.0
,1705795200000,2.5,2.506,2.471,2.477,111652.9,278291.3824,,259615.0
,1705798800000,2.477,2.508,2.474,2.493,41866.2,104174.2927,,224037.0
,1705802400000,2.493,2.524,2.49,2.517,156769.2,393985.3421,,295576.0
,1705806000000,2.517,2.56,2.517,2.544,212438.6,540423.3223,,582971.0
,1705809600000,2.544,2.544,2.524,2.533,82420.8,208625.3935,,236318.0
,1705813200000,2.533,2.552,2.53,2.534,40467.2,102726.9447,,230050.0
,1705816800000,2.534,2.534,2.507,2.515,94902.1,238670.709,,225887.0
,1705820400000,2.515,2.534,2.497,2.53,69716.1,175428.9781,,265781.0
,1705824000000,2.53,2.553,2.524,2.531,121122.1,307233.0559,,319937.0
,1705827600000,2.531,2.561,2.528,2.555,226082.9,576492.9139,,402704.0
,1705831200000,2.555,2.574,2.537,2.566,171830.8,439007.4726,,425078.0
,1705834800000,2.566,2.566,2.543,2.555,129953.4,331702.9269,,262391.0
,1705838400000,2.555,2.595,2.543,2.575,293581.3,753719.4247,,790405.0
,1705842000000,2.575,2.673,2.571,2.632,827890.1,2176351.9174,,2294500.0
,1705845600000,2.632,2.645,2.591,2.619,359831.4,939721.9228,,912382.0
,1705849200000,2.619,2.623,2.558,2.565,422278.5,1090473.9782,,832479.0
,1705852800000,2.565,2.584,2.535,2.568,225227,577403.9735,,988069.0
,1705856400000,2.568,2.601,2.565,2.595,162160.2,419583.4223,,564025.0
,1705860000000,2.595,2.598,2.556,2.567,211439.9,545045.5165,,355070.0
,1705863600000,2.567,2.57,2.544,2.561,95218.5,243250.7768,,344216.0
,1705867200000,2.561,2.562,2.523,2.524,151947.5,385068.1026,,343799.0
