,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,0.114,0.11401,0.11307,0.11315,834006,94771.14755,,3811778.0
,1705712400000,0.11315,0.11418,0.11308,0.114,753248,85686.86052,,4484988.0
,1705716000000,0.114,0.11443,0.11371,0.11405,1340511,152948.57774,,4131350.0
,1705719600000,0.11405,0.11418,0.11373,0.11397,371360,42325.05762,,1570068.0
,1705723200000,0.11397,0.11416,0.11375,0.11408,339989,38756.83848,,1756350.0
,1705726800000,0.11408,0.11415,0.11371,0.11402,325702,37097.11646,,2108009.0
,1705730400000,0.11402,0.11423,0.11402,0.11411,210733,24050.54774,,1521062.0
,1705734000000,0.11411,0.11448,0.11398,0.11404,1572830,179657.60515,,3374234.0
,1705737600000,0.11404,0.11419,0.11364,0.11388,437177,49779.74563,,2593979.0
,1705741200000,0.11388,0.11404,0.11313,0.11329,760436,86226.69184,,2837739.0
,1705744800000,0.11329,0.114,0.11324,0.11367,433795,49279.24257,,2149033.0
,1705748400000,0.11367,0.1142,0.11347,0.11413,355321,40488.26258,,1773476.0
,1705752000000,0.11413,0.11457,0.11402,0.11429,701038,80079.06287,,2007116.0
,1705755600000,0.11429,0.11454,0.11416,0.11444,233824,26742.2515,,1617011.0
,1705759200000,0.11444,0.11447,0.11402,0.11438,299802,34268.3066,,1878820.0
,1705762800000,0.11438,0.1146,0.11414,0.11414,757454,86615.6621,,3346652.0
,1705766400000,0.11414,0.11446,0.11408,0.11414,389320,44485.01275,,2014964.0
,1705770000000,0.11414,0.1147,0.11414,0.11466,373671,42755.71053,,2877990.0
,1705773600000,0.11466,0.11466,0.11407,0.11415,556719,63638.218,,1847070.0
,1705777200000,0.11415,0.11451,0.11412,0.11438,665238,76089.30505,,1916111.0
,1705780800000,0.11438,0.11492,0.11422,0.11463,1109854,127342.35801,,1962768.0
,1705784400000,0.11463,0.11491,0.11456,0.11463,713491,81875.62259,,1398820.0
,1705788000000,0.11463,0.11522,0.11461,0.11516,691440,79488.39992,,1844062.0
,1705791600000,0.11516,0.1156,0.1151,0.1155,1760195,203125.86729,,2906149.0
,1705795200000,0.1155,0.11559,0.11524,0.11537,850419,98124.38441,,3593139.0
,1705798800000,0.11537,0.11558,0.11523,0.11531,145716,16814.69046,,1872041.0
,1705802400000,0.11531,0.1157,0.11524,0.11558,707132,81712.77979,,1351925.0
,1705806000000,0.11558,0.11563,0.11531,0.11561,828791,95756.64529,,2332860.0
,1705809600000,0.11561,0.11586,0.11546,0.11578,772879,89335.01198,,1623857.0
,1705813200000,0.11578,0.11584,0.11553,0.11577,928097,107386.58841,,1876905.0
,1705816800000,0.11577,0.11578,0.11526,0.11534,990010,114369.02441,,1645607.0
,1705820400000,0.11534,0.11623,0.1153,0.11614,1523460,176464.04063,,3507507.0
,1705824000000,0.11614,0.11619,0.11543,0.11552,917450,106142.54786,,2415577.0
,1705827600000,0.11552,0.11591,0.1155,0.11589,299210,34608.50451,,1710557.0
,1705831200000,0.11589,0.1162,0.11561,0.1161,246706,28600.2711,,2617998.0
,1705834800000,0.1161,0.11617,0.11584,0.11611,448922,52078.12674,,3057750.0
,1705838400000,0.11611,0.11647,0.11609,0.11647,693336,80641.03732,,3016060.0
,1705842000000,0.11647,0.11659,0.1164,0.11652,381534,44448.40405,,1512541.0
,1705845600000,0.11652,0.11675,0.11639,0.11658,819520,95561.18456,,2977682.0
,1705849200000,0.11658,0.11671,0.11593,0.116,874439,101742.41319,,3772796.0
,1705852800000,0.116,0.11623,0.11563,0.11609,1810524,209898.48501,,4102511.0
,1705856400000,0.11609,0.11655,0.11604,0.11653,536936,62505.95218,,2386403.0
,1705860000000,0.11653,0.11683,0.11639,0.1166,2523616,294362.83674,,2236822.0
,1705863600000,0.1166,0.11676,0.1162,0.1164,2404161,280170.24475,,2078031.0
,1705867200000,0.1164,0.11643,0.11554,0.11582,1949999,226175.80638,,2423692.0
,1705870800000,0.11582,0.11646,0.11555,0.11644,2175074,252044.81985,,3233855.0
,1705874400000,0.11644,0.11646,0.11553,0.11566,1087085,125921.15607,,1557038.0
,1705878000000,0.11566,0.11595,0.11533,0.11566,2318216,268094.94468,,4982864.0
,1705881600000,0.11566,0.11618,0.11536,0.11579,939783,108788.5468,,5551437.0
,1705885200000,0.11579,0.11597,0.11433,0.11463,3937429,452567.42332,,9054013.0
,1705888800000,0.11463,0.11483,0.1143,0.1146,1191608,136533.41101,,5261075.0
,1705892400000,0.1146,0.11491,0.11427,0.11462,569268,65244.71816,,3032317.0
,1705896000000,0.11462,0.11477,0.11408,0.11412,646781,74044.64073,,3186546.0
,1705899600000,0.11412,0.1147,0.11353,0.11462,3183773,363446.75697,,8613237.0
,1705903200000,0.11462,0.11482,0.11435,0.11463,785001,89992.73951,,3249404.0
,1705906800000,0.11463,0.1147,0.11401,0.11411,1207931,138101.66733,,3826751.0
