,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,0.5443,0.5444,0.5389,0.5393,8538597,4626983.4246,,12172972.3
,1705712400000,0.5393,0.5442,0.5391,0.5441,7527644,4077554.3908,,11237964.1
,1705716000000,0.5441,0.5443,0.542,0.543,4350573,2361339.358,,5730377.1
,1705719600000,0.543,0.5441,0.5423,0.5433,2596559,1410507.3338,,5795959.3
,1705723200000,0.5433,0.5458,0.5433,0.5451,5698367,3105220.3225,,9134577.3
,1705726800000,0.5451,0.5454,0.5437,0.5447,3618408,1970982.5348,,5082748.1
,1705730400000,0.5447,0.5471,0.5444,0.5461,6289567,3435501.5186,,6685096.7
,1705734000000,0.5461,0.5528,0.5461,0.5494,13687851,7525710.2326,,21820195.8
,1705737600000,0.5494,0.5523,0.5464,0.5483,12547114,6883940.3723,,17119417.3
,1705741200000,0.5483,0.5494,0.5441,0.5451,8288097,4530064.1228,,11349492.4
,1705744800000,0.5451,0.5503,0.5448,0.5488,11370172,6235946.3665,,15804347.0
,1705748400000,0.5488,0.5501,0.5473,0.5494,5861587,3217874.7461,,7308467.1
,1705752000000,0.5494,0.551,0.5484,0.5491,8114514,4460024.549,,11864852.3
,1705755600000,0.5491,0.551,0.5484,0.5506,7212149,3964663.0034,,8798266.6
,1705759200000,0.5506,0.5508,0.5479,0.5495,4800950,2636251.2377,,7576037.8
,1705762800000,0.5495,0.5504,0.547,0.5482,7792048,4276171.1458,,14697318.4
,1705766400000,0.5482,0.5494,0.5468,0.5475,6683416,3663462.7653,,10281347.9
,1705770000000,0.5475,0.5492,0.547,0.5486,4078693,2234873.3865,,7224978.1
,1705773600000,0.5486,0.5486,0.5456,0.5467,6277392,3431764.8376,,8454275.2
,1705777200000,0.5467,0.5473,0.5448,0.547,5714745,3122195.7123,,9352895.4
,1705780800000,0.547,0.5503,0.5462,0.5494,5933797,3257827.2363,,11942313.4
,1705784400000,0.5494,0.5508,0.5486,0.5493,6267392,3447663.5269,,6011106.8
,1705788000000,0.5493,0.5514,0.549,0.5502,2893608,1591851.6635,,5140611.2
,1705791600000,0.5502,0.5551,0.5501,0.5533,12707004,7029318.0224,,18016701.5
,1705795200000,0.5533,0.5545,0.5486,0.5524,15192213,8381819.631,,16191208.5
,1705798800000,0.5524,0.5543,0.5517,0.5521,4040992,2233745.8777,,6821151.2
,1705802400000,0.5521,0.5545,0.5521,0.5545,3286652,1819412.978,,5497942.0
,1705806000000,0.5545,0.5555,0.553,0.5542,4717937,2615554.7995,,5963859.6
,1705809600000,0.5542,0.5544,0.553,0.5543,2349508,1300712.2869,,4345162.8
,1705813200000,0.5543,0.5546,0.5521,0.5527,4742393,2624136.9485,,6835862.8
,1705816800000,0.5527,0.5533,0.5512,0.5514,4386410,2421879.3425,,5005669.7
,1705820400000,0.5514,0.553,0.5508,0.5527,4727970,2609215.4326,,5089221.4
,1705824000000,0.5527,0.5532,0.5514,0.5517,2861708,1580524.1918,,5890087.2
,1705827600000,0.5517,0.5531,0.5515,0.553,1955626,1080231.5107,,4870120.6
,1705831200000,0.553,0.5547,0.5523,0.5542,4306970,2384517.1432,,5880108.3
,1705834800000,0.5542,0.5544,0.5516,0.5526,4259931,2355504.1319,,5505811.1
,1705838400000,0.5526,0.5533,0.5517,0.5519,2567260,1418121.7819,,5936363.6
,1705842000000,0.5519,0.5533,0.5518,0.553,1716055,948200.9064,,5197766.1
,1705845600000,0.553,0.5551,0.5522,0.5546,4181218,2314750.9549,,8251191.1
,1705849200000,0.5546,0.5547,0.5501,0.5515,6815788,3763715.466,,11481206.0
,1705852800000,0.5515,0.5524,0.5483,0.5517,5772032,3177246.1794,,8781411.1
,1705856400000,0.5517,0.5526,0.5512,0.5524,2173916,1199838.5473,,5178106.7
,1705860000000,0.5524,0.5529,0.5513,0.5516,1744958,963650.3831,,4331872.5
,1705863600000,0.5516,0.5518,0.5506,0.5512,1963740,1082001.8309,,4786564.1
,1705867200000,0.5512,0.5516,0.5484,0.5487,2383643,1310503.99,,5489219.3
,1705870800000,0.5487,0.5509,0.5484,0.5508,3856241,2119680.6085,,7184640.7
,1705874400000,0.5508,0.5508,0.5468,0.5483,5390235,2958259.6881,,4004642.2
,1705878000000,0.5483,0.5492,0.5453,0.5465,8050502,4404008.7094,,11631440.6
,1705881600000,0.5465,0.5498,0.5455,0.548,6182360,3386960.0847,,15615247.5
,1705885200000,0.548,0.5485,0.5403,0.5422,23238172,12617660.7918,,30173074.2
,1705888800000,0.5422,0.5439,0.541,0.5415,4984118,2703743.0979,,12644398.6
,1705892400000,0.5415,0.543,0.5398,0.5419,6724336,3639390.7317,,10014172.3
,1705896000000,0.5419,0.5422,0.5369,0.5373,9870431,5321246.244,,13058226.1
,1705899600000,0.5373,0.5401,0.5344,0.5392,13637523,7327175.9312,,23426007.3
,1705903200000,0.5392,0.5408,0.5384,0.54,5383318,2904232.7294,,9425095.8
,1705906800000,0.54,0.5408,0.5363,0.537,12735618,6858177.5097,,12672463.1
,1705910400000,0.537,0.5371,0.5338,0.5367,18688464,10006781.7653,,21634528.1
,1705914000000,0.5367,0.5379,0.5294,0.5311,21083826,11231202.0334,,22257440.0
,1705917600000,0.5311,0.5321,0.5256,0.5297,24852999,13141239.8782,,32208150.2
,1705921200000,0.5297,0.532,0.5291,0.5314,9781801,5190198.3436,,13379871.7
,1705924800000,0.5314,0.5317,0.5296,0.5307,4823130,2558713.4822,,9301614.2
,1705928400000,0.5307,0.5347,0.5306,0.5325,9389180,5000201.2665,,15207963.5
,1705932000000,0.5325,0.5332,0.5251,0.5287,16534052,8740328.0998,,28571156.2
,1705935600000,0.5287,0.53,0.5225,0.5286,21569636,11337359.1987,,33479686.4
,1705939200000,0.5286,0.5304,0.5257,0.5273,7568730,3993801.1621,,14965758.4
,1705942800000,0.5273,0.5328,0.5266,0.5316,5877723,3117283.0244,,13585962.6
,1705946400000,0.5316,0.5357,0.5308,0.5336,21573646,11505476.6118,,26173299.7
,1705950000000,0.5336,0.5353,0.517,0.5256,53354112,27990188.4179,,69644056.9
,1705953600000,0.5256,0.5317,0.5252,0.5293,12400955,6564327.7732,,21484428.2
,1705957200000,0.5293,0.5313,0.527,0.5306,9987213,5286396.3274,,18552227.4
,1705960800000,0.5306,0.5324,0.525,0.5289,8309020,4393948.6316,,10413225.6
,1705964400000,0.5289,0.5308,0.5256,0.5275,6076897,3204847.8688,,10210738.9
,1705968000000,0.5275,0.5307,0.5267,0.5278,9279750,4908911.8512,,13243442.2
,1705971600000,0.5278,0.5284,0.5222,0.5261,10379367,5449588.8732,,17972217.0
,1705975200000,0.5261,0.5302,0.5258,0.53,4037186,2132925.2959,,6545365.7
,1705978800000,0.53,0.5309,0.5289,0.5298,5158745,2733281.5231,,8438772.4
,1705982400000,0.5298,0.5318,0.5296,0.5297,3061688,1625271.6172,,3751439.3
,1705986000000,0.5297,0.5305,0.5285,0.5288,4163480,2203932.3444,,5653784.2
,1705989600000,0.5288,0.5293,0.525,0.5254,15444575,8140875.4494,,13710261.7
,1705993200000,0.5254,0.5272,0.5202,0.5223,24317096,12747677.4024,,28608517.7
,1705996800000,0.5223,0.524,0.5103,0.5129,56965880,29364661.0736,,76525613.3
