,open_time,open,high,low,close,volume,turnover,trades,taker_buy_base
,1705708800000,23.63,23.72,23.34,23.4,4360.44,102659.0263,,21902.329
,1705712400000,23.4,23.8,23.35,23.79,5511.51,130124.7864,,21245.278
,1705716000000,23.79,24.08,23.67,23.81,18895.98,452140.804,,31198.821
,1705719600000,23.81,24,23.71,23.82,3774.33,90105.1843,,17904.124
,1705723200000,23.82,23.91,23.57,23.57,6102.87,144864.8273,,15331.728
,1705726800000,23.57,23.69,23.41,23.5,4189.04,98559.8756,,15473.129
,1705730400000,23.5,23.57,23.39,23.47,1781.15,41807.6736,,7066.276
,1705734000000,23.47,23.59,23.3,23.35,19878.65,466158.1949,,11523.523
,1705737600000,23.35,23.45,23.31,23.43,2754.36,64335.339,,12120.24
,1705741200000,23.43,23.56,23.25,23.27,3051.31,71378.6373,,11439.39
,1705744800000,23.27,23.64,23.25,23.59,3645.1,85575.5514,,12921.612
,1705748400000,23.59,23.59,23.37,23.41,2857.45,67040.0519,,8602.058
,1705752000000,23.41,23.51,23.33,23.38,2991.08,69978.1349,,9290.542
,1705755600000,23.38,23.64,23.36,23.59,3628.54,85272.3558,,6298.329
,1705759200000,23.59,23.6,23.38,23.44,2944.02,69174.0596,,8969.986
,1705762800000,23.44,23.55,23.25,23.44,4414.26,103280.7765,,12642.206
,1705766400000,23.44,23.6,23.35,23.36,2966.96,69634.4038,,12931.078
,1705770000000,23.36,23.67,23.33,23.56,5373.55,126268.162,,21806.713
,1705773600000,23.56,23.56,23.29,23.41,2695.11,63098.1209,,9121.365
,1705777200000,23.41,23.61,23.39,23.54,1998.77,47040.6151,,8146.38
,1705780800000,23.54,23.6,23.46,23.55,1299.72,30586.2544,,7704.079
,1705784400000,23.55,23.69,23.47,23.52,2593.06,61138.035,,8768.608
,1705788000000,23.52,23.63,23.48,23.6,3017.42,70989.6591,,6196.654
,1705791600000,23.6,23.62,23.51,23.61,688.92,16238.1806,,4985.897
,1705795200000,23.61,23.61,23.33,23.39,2917.02,68410.3775,,10719.221
,1705798800000,23.39,23.62,23.34,23.58,1657.39,38980.4538,,7272.474
,1705802400000,23.58,23.73,23.58,23.67,1674.38,39606.3357,,6521.403
,1705806000000,23.67,24.2,23.66,24.18,16974.54,405387.1915,,22673.702
,1705809600000,24.18,24.3,23.98,23.99,6174.51,149049.3324,,21567.231
,1705813200000,23.99,24.1,23.82,23.87,4355.82,104309.4591,,14533.505
,1705816800000,23.87,23.97,23.71,23.88,5809.55,138482.9661,,22704.385
,1705820400000,23.88,23.96,23.71,23.76,2688.25,63966.7733,,10388.588
,1705824000000,23.76,23.84,23.68,23.74,2143.35,50954.2016,,7727.083
,1705827600000,23.74,24.03,23.74,23.97,2721.48,64983.5616,,10838.592
,1705831200000,23.97,24.14,23.9,24.02,3321.4,79770.192,,12376.875
,1705834800000,24.02,24.05,23.82,23.87,1637.63,39123.5012,,8840.2
,1705838400000,23.87,23.93,23.74,23.74,5402.12,128565.1486,,5473.662
,1705842000000,23.74,23.8,23.63,23.68,3363.8,79802.0773,,10613.352
,1705845600000,23.68,23.79,23.54,23.6,5181.77,122480.9923,,19048.475
,1705849200000,23.6,23.67,23.36,23.44,10941.59,257088.9754,,20133.3
,1705852800000,23.44,23.71,23.24,23.68,6471.44,151738.2506,,22240.687
,1705856400000,23.68,23.85,23.64,23.74,3152.83,74861.6585,,14736.662
,1705860000000,23.74,23.97,23.74,23.89,2912.2,69471.3149,,8863.927
,1705863600000,23.89,23.92,23.74,23.77,1308.76,31177.9822,,4842.385
,1705867200000,23.77,23.82,23.57,23.63,3756.94,89170.2221,,12272.021
,1705870800000,23.63,23.72,23.55,23.7,1921.98,45414.4911,,7865.825
,1705874400000,23.7,23.7,23.45,23.58,2610.09,61498.3274,,11989.956
,1705878000000,23.58,23.69,23.36,23.42,3056.99,71871.7431,,8984.59
,1705881600000,23.42,23.54,23.23,23.39,3300.84,77207.4764,,16509.309
,1705885200000,23.39,23.45,22.92,23.05,9217.53,212993.121,,21885.914
,1705888800000,23.05,23.22,22.77,22.88,5644.32,129433.6919,,18095.264
,1705892400000,22.88,23.03,22.72,22.94,2438.98,55856.4188,,13836.777
,1705896000000,22.94,22.97,22.71,22.71,3318.99,75854.0793,,10524.655
,1705899600000,22.71,23.06,22.58,23,5698.3,129931.4843,,20441.685
,1705903200000,23,23.33,23,23.25,2255.16,52252.5893,,13202.896
,1705906800000,23.25,23.48,23.18,23.36,3664.51,85514.9539,,20047.53
,1705910400000,23.36,23.43,22.95,23.1,3042.13,70451.5526,,15486.395
,1705914000000,23.1,23.3,22.89,23.04,3476.57,80290.2766,,12918.969
,1705917600000,23.04,23.27,22.94,23.25,9200.45,213145.7725,,24669.55
,1705921200000,23.25,23.35,23.16,23.21,3818.27,88750.0369,,8158.269
,1705924800000,23.21,23.33,23.06,23.18,4035.5,93445.5044,,8911.905
,1705928400000,23.18,23.37,23.02,23.07,3557.59,82507.963,,12635.785
,1705932000000,23.07,23.1,22.72,22.95,6766.03,154740.2801,,26713.647
,1705935600000,22.95,22.99,22.62,22.83,7012.23,159486.6279,,23867.987
,1705939200000,22.83,22.95,22.69,22.73,3722.97,84893.1471,,17069.769
,1705942800000,22.73,23.07,22.67,22.98,4220.14,96394.5327,,17435.995
,1705946400000,22.98,23.05,22.67,23.01,4437.37,101297.023,,11884.435
,1705950000000,23.01,23.07,22.09,22.58,23862.51,536842.186,,47972.782
,1705953600000,22.58,22.86,22.5,22.75,6078.65,138237.8579,,17480.18
,1705957200000,22.75,22.76,22.52,22.58,2523.83,57055.4651,,9490.586
,1705960800000,22.58,22.66,22.19,22.41,8777.61,196788.7997,,17913.756
,1705964400000,22.41,22.46,22.13,22.26,3332.18,74122.1313,,19332.437
,1705968000000,22.26,22.4,22.1,22.28,3307.22,73693.3283,,13278.839
,1705971600000,22.28,22.41,22.16,22.35,2233.12,49803.0039,,8522.924
,1705975200000,22.35,22.5,22.31,22.42,2051.94,46012.0748,,7838.633
,1705978800000,22.42,22.49,22.31,22.33,879.24,19692.4245,,4312.156
,1705982400000,22.33,22.57,22.33,22.43,1884.14,42355.9069,,8257.014
,1705986000000,22.43,22.54,22.41,22.49,820.33,18443.7266,,5203.051
,1705989600000,22.49,22.51,22.32,22.36,2149.57,48167.3657,,5283.81
,1705993200000,22.36,22.44,22.06,22.18,5690.83,126617.4588,,12043.075
,1705996800000,22.18,22.31,21.7,21.83,11788.01,258506.3222,,34694.986
,1706000400000,21.83,21.92,20.92,21.17,22647.93,483703.4752,,65370.945
,1706004000000,21.17,21.35,21.06,21.1,8076.46,171219.2693,,18209.457
,1706007600000,21.1,21.25,21.04,21.1,5066.4,107119.8932,,18628.669
,1706011200000,21.1,21.23,20.94,21.18,6814.9,143522.0019,,19038.032
,1706014800000,21.18,21.18,20.8,20.87,4687.31,98197.6802,,16146.86
