open_time,open,high,low,close,volume,taker_buy,delta
1702648800000,0.4695000,0.4939600,0.4310500,0.4490000,64931417.00000000,31380472.00000000,-2170473.00000000
1702652400000,0.4492200,0.4662600,0.4174200,0.4357900,39817853.00000000,19013182.00000000,-1791489.00000000
1702656000000,0.4365700,0.5620000,0.4365700,0.4991400,129553502.00000000,61460887.00000000,-6631728.00000000
1702659600000,0.4989600,0.5275100,0.4800000,0.4849900,57466867.00000000,27058463.00000000,-3349941.00000000
1702663200000,0.4851800,0.5450000,0.4850700,0.5324400,50369293.00000000,25914076.00000000,1458859.00000000
1702666800000,0.5324300,0.5644900,0.5208000,0.5516400,43884642.00000000,21670881.00000000,-542880.00000000
1702670400000,0.5516400,0.5647900,0.5150000,0.5426300,36280352.00000000,17692604.00000000,-895144.00000000
1702674000000,0.5426800,0.5576300,0.4869500,0.5071100,33463247.00000000,15298730.00000000,-2865787.00000000
1702677600000,0.5076000,0.5078200,0.4286000,0.4299100,50419973.00000000,22317601.00000000,-5784771.00000000
1702681200000,0.4302800,0.4576800,0.4170300,0.4305500,34990097.00000000,16818579.00000000,-1352939.00000000
1702684800000,0.4305000,0.4755700,0.3629000,0.3914400,81509560.00000000,36601083.00000000,-8307394.00000000
1702688400000,0.3916700,0.4245000,0.3768100,0.4107600,50334094.00000000,23838206.00000000,-2657682.00000000
1702692000000,0.4108500,0.4600000,0.4108300,0.4521200,44977870.00000000,24431964.00000000,3886058.00000000
1702695600000,0.4521200,0.4567100,0.4231100,0.4356000,22921383.00000000,11126559.00000000,-668265.00000000
1702699200000,0.4356000,0.4413100,0.4128000,0.4213000,21137086.00000000,9476112.00000000,-2184862.00000000
1702702800000,0.4212300,0.4347600,0.4050000,0.4098500,25707923.00000000,12085410.00000000,-1537103.00000000
1702706400000,0.4100000,0.4147700,0.3850000,0.3999000,36621326.00000000,17337182.00000000,-1946962.00000000
1702710000000,0.4003100,0.4206700,0.3944200,0.4167900,27712979.00000000,14153921.00000000,594863.00000000
1702713600000,0.4166100,0.4314800,0.4010000,0.4059800,24073464.00000000,10110566.00000000,-3852332.00000000
1702717200000,0.4060300,0.4268900,0.4060200,0.4102700,22552552.00000000,10797458.00000000,-957636.00000000
1702720800000,0.4105600,0.4400000,0.4098600,0.4309400,33516078.00000000,16323951.00000000,-868176.00000000
1702724400000,0.4305600,0.4474100,0.4183600,0.4430000,27805342.00000000,13153818.00000000,-1497706.00000000
1702728000000,0.4430000,0.4525000,0.4239000,0.4459300,34706854.00000000,15685976.00000000,-3334902.00000000
1702731600000,0.4460300,0.4735000,0.4417200,0.4497800,57575627.00000000,26793344.00000000,-3988939.00000000
1702735200000,0.4498900,0.4500500,0.4172600,0.4315400,41354512.00000000,18491110.00000000,-4372292.00000000
