open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,90.020,90.510,89.910,90.160,12746.80000000,6344.80000000,-57.20000000
1675512000000,90.180,90.700,89.940,90.560,11304.70000000,5989.10000000,673.50000000
1675515600000,90.560,91.470,90.470,91.060,27529.40000000,13113.00000000,-1303.40000000
1675519200000,91.060,91.140,90.530,91.060,13452.40000000,6602.90000000,-246.60000000
1675522800000,91.050,91.250,90.050,90.480,27965.80000000,10106.10000000,-7753.60000000
1675526400000,90.480,90.560,89.080,89.660,39076.20000000,17668.60000000,-3739.00000000
1675530000000,89.650,89.650,88.690,89.360,32336.60000000,14446.40000000,-3443.80000000
1675533600000,89.370,89.980,89.300,89.520,20107.40000000,9523.20000000,-1061.00000000
1675537200000,89.520,89.650,89.040,89.170,8096.30000000,3839.80000000,-416.70000000
1675540800000,89.160,89.570,88.880,89.440,13237.30000000,6803.60000000,369.90000000
1675544400000,89.450,89.680,89.360,89.520,7195.90000000,3745.00000000,294.10000000
1675548000000,89.530,89.940,89.440,89.640,6176.30000000,2801.50000000,-573.30000000
1675551600000,89.650,89.870,88.110,88.960,24417.00000000,10802.40000000,-2812.20000000
1675555200000,88.950,89.160,88.000,88.400,26637.70000000,13435.50000000,233.30000000
1675558800000,88.410,88.620,88.100,88.420,11441.70000000,5371.50000000,-698.70000000
1675562400000,88.430,88.880,88.260,88.270,11211.00000000,6196.80000000,1182.60000000
1675566000000,88.270,88.560,88.110,88.330,10270.20000000,4384.00000000,-1502.20000000
1675569600000,88.340,88.860,88.310,88.800,10668.00000000,5817.70000000,967.40000000
1675573200000,88.790,89.120,88.780,88.910,9067.70000000,4940.40000000,813.10000000
1675576800000,88.900,89.000,88.650,88.890,7800.70000000,3502.00000000,-796.70000000
1675580400000,88.890,88.910,88.570,88.730,5195.00000000,2143.00000000,-909.00000000
1675584000000,88.730,89.190,88.620,89.060,11471.20000000,6629.30000000,1787.40000000
1675587600000,89.050,89.110,88.690,88.750,11465.20000000,6387.30000000,1309.40000000
1675591200000,88.760,88.980,88.710,88.880,6036.00000000,2578.70000000,-878.60000000
1675594800000,88.880,88.990,88.220,88.400,12912.20000000,5740.90000000,-1430.40000000
1675598400000,88.400,88.470,83.130,84.690,98658.50000000,42226.50000000,-14205.50000000
1675602000000,84.690,86.160,84.430,85.590,43186.70000000,20894.90000000,-1396.90000000
1675605600000,85.590,86.260,85.220,85.870,26674.30000000,13905.70000000,1137.10000000
1675609200000,85.860,86.120,84.780,85.210,34795.70000000,16153.30000000,-2489.10000000
1675612800000,85.210,85.490,84.600,84.880,40859.00000000,21137.20000000,1415.40000000
1675616400000,84.870,85.300,83.750,84.230,56731.80000000,27576.20000000,-1579.40000000
1675620000000,84.220,84.800,84.020,84.230,18345.00000000,9468.40000000,591.80000000
1675623600000,84.240,85.190,83.920,84.860,23036.20000000,12368.30000000,1700.40000000
1675627200000,84.860,85.090,84.550,84.750,14799.80000000,6939.70000000,-920.40000000
1675630800000,84.750,85.040,84.170,85.030,18377.00000000,8879.20000000,-618.60000000
1675634400000,85.050,86.170,84.960,85.910,13584.80000000,7211.00000000,837.20000000
1675638000000,85.920,86.140,85.440,85.650,20020.30000000,8651.60000000,-2717.10000000
1675641600000,85.650,86.630,85.610,86.590,19088.20000000,8924.50000000,-1239.20000000
1675645200000,86.580,86.740,86.180,86.240,16207.90000000,7453.10000000,-1301.70000000
1675648800000,86.250,86.480,85.360,85.440,14419.60000000,5697.40000000,-3024.80000000
1675652400000,85.430,85.980,85.060,85.720,12123.10000000,6269.10000000,415.10000000
1675656000000,85.720,86.030,85.380,85.520,9184.60000000,4205.20000000,-774.20000000
1675659600000,85.520,85.620,83.990,85.010,39824.00000000,16143.20000000,-7537.60000000
1675663200000,85.020,85.500,84.680,85.280,13433.40000000,6856.90000000,280.40000000
1675666800000,85.270,86.200,85.040,86.110,17791.60000000,8978.20000000,164.80000000
1675670400000,86.110,86.350,85.840,86.100,12403.10000000,5727.10000000,-948.90000000
1675674000000,86.100,86.290,85.690,85.990,10805.10000000,4811.30000000,-1182.50000000
1675677600000,86.000,86.280,85.570,85.820,9423.70000000,4630.60000000,-162.50000000
1675681200000,85.820,86.150,85.090,85.990,15471.30000000,7419.90000000,-631.50000000
1675684800000,85.990,86.540,85.640,86.150,17352.10000000,8335.40000000,-681.30000000
1675688400000,86.130,86.850,85.770,86.000,45093.30000000,21738.50000000,-1616.30000000
1675692000000,85.990,86.730,85.700,86.450,20753.80000000,10973.90000000,1194.00000000
1675695600000,86.460,87.680,86.010,87.550,43571.30000000,25239.70000000,6908.10000000
1675699200000,87.540,87.830,86.570,87.020,46115.60000000,24338.30000000,2561.00000000
1675702800000,87.030,87.220,86.650,86.920,14809.40000000,7415.50000000,21.60000000
1675706400000,86.910,86.970,85.880,86.360,30704.00000000,14457.00000000,-1790.00000000
1675710000000,86.360,86.680,86.060,86.330,13084.00000000,6602.50000000,121.00000000
1675713600000,86.330,86.370,85.950,86.140,11093.60000000,5552.50000000,11.40000000
1675717200000,86.140,86.170,85.040,85.270,21823.50000000,7229.10000000,-7365.30000000
1675720800000,85.270,85.460,84.840,84.920,13228.90000000,6338.00000000,-552.90000000
1675724400000,84.920,84.970,83.260,84.100,43812.60000000,21093.60000000,-1625.40000000
1675728000000,84.100,84.760,83.790,84.590,17346.10000000,8677.90000000,9.70000000
