open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,0.40000,0.40250,0.39990,0.40070,18705830.00000000,10153401.00000000,1600972.00000000
1675512000000,0.40080,0.40270,0.40010,0.40170,13606280.00000000,7292803.00000000,979326.00000000
1675515600000,0.40180,0.40580,0.40170,0.40420,34598948.00000000,17819756.00000000,1040564.00000000
1675519200000,0.40430,0.40530,0.40290,0.40390,17131057.00000000,7898410.00000000,-1334237.00000000
1675522800000,0.40380,0.40410,0.40240,0.40380,14217405.00000000,6475599.00000000,-1266207.00000000
1675526400000,0.40390,0.40400,0.40120,0.40350,21482087.00000000,10230285.00000000,-1021517.00000000
1675530000000,0.40360,0.40590,0.40180,0.40470,28124472.00000000,14807326.00000000,1490180.00000000
1675533600000,0.40470,0.40560,0.40180,0.40380,28230228.00000000,13239573.00000000,-1751082.00000000
1675537200000,0.40370,0.40490,0.40360,0.40460,15275715.00000000,6924722.00000000,-1426271.00000000
1675540800000,0.40460,0.40480,0.40310,0.40350,11606662.00000000,5388104.00000000,-830454.00000000
1675544400000,0.40340,0.40400,0.40230,0.40330,8994148.00000000,4175500.00000000,-643148.00000000
1675548000000,0.40330,0.40520,0.40230,0.40260,12617570.00000000,6682411.00000000,747252.00000000
1675551600000,0.40260,0.40350,0.39810,0.39930,33359007.00000000,14769896.00000000,-3819215.00000000
1675555200000,0.39940,0.40030,0.39370,0.39520,44099024.00000000,18173853.00000000,-7751318.00000000
1675558800000,0.39510,0.39740,0.39450,0.39650,20646146.00000000,11563486.00000000,2480826.00000000
1675562400000,0.39640,0.39860,0.39580,0.39600,17193035.00000000,8870972.00000000,548909.00000000
1675566000000,0.39600,0.39750,0.39540,0.39690,12108730.00000000,6381084.00000000,653438.00000000
1675569600000,0.39690,0.39780,0.39570,0.39750,11273841.00000000,6049524.00000000,825207.00000000
1675573200000,0.39740,0.39910,0.39710,0.39900,10563347.00000000,5725303.00000000,887259.00000000
1675576800000,0.39900,0.40030,0.39770,0.39960,16416946.00000000,7331574.00000000,-1753798.00000000
1675580400000,0.39950,0.40140,0.39900,0.40100,16281522.00000000,7877321.00000000,-526880.00000000
1675584000000,0.40100,0.40200,0.39950,0.40070,17021245.00000000,9177662.00000000,1334079.00000000
1675587600000,0.40080,0.40150,0.39950,0.39980,13828495.00000000,6738472.00000000,-351551.00000000
1675591200000,0.39980,0.40180,0.39970,0.40090,9925491.00000000,4725202.00000000,-475087.00000000
