open_time,open,high,low,close,volume,taker_buy,delta
1734717600000,0.2585000,0.2920600,0.2585000,0.2904900,12893742.00000000,5908261.00000000,-1077220.00000000
1734721200000,0.2904800,0.3280000,0.2787700,0.3068500,33738958.00000000,16277306.00000000,-1184346.00000000
1734724800000,0.3067700,0.3135600,0.2757500,0.2799200,21344499.00000000,10376039.00000000,-592421.00000000
1734728400000,0.2799900,0.3008100,0.2753000,0.2982100,9150527.00000000,4411541.00000000,-327445.00000000
1734732000000,0.2982100,0.3539100,0.2965700,0.3387200,28255272.00000000,14181265.00000000,107258.00000000
1734735600000,0.3387200,0.3685200,0.3146500,0.3206200,32213327.00000000,14919120.00000000,-2375087.00000000
1734739200000,0.3210500,0.3750000,0.3140900,0.3472900,35364768.00000000,17029517.00000000,-1305734.00000000
1734742800000,0.3472900,0.3595800,0.3321800,0.3400100,17561010.00000000,8603569.00000000,-353872.00000000
1734746400000,0.3400300,0.3407200,0.3131300,0.3213500,15583710.00000000,7207847.00000000,-1168016.00000000
1734750000000,0.3212300,0.3456700,0.3162200,0.3449600,13790301.00000000,6360527.00000000,-1069247.00000000
1734753600000,0.3449600,0.3563800,0.3220000,0.3325400,18852860.00000000,8603640.00000000,-1645580.00000000
1734757200000,0.3325300,0.3482300,0.3225800,0.3482300,9784996.00000000,5008410.00000000,231824.00000000
1734760800000,0.3480500,0.3500000,0.3260000,0.3334300,9094354.00000000,4031435.00000000,-1031484.00000000
1734764400000,0.3332200,0.3524800,0.3332100,0.3446500,11244253.00000000,5557139.00000000,-129975.00000000
1734768000000,0.3446100,0.3599500,0.3366700,0.3423300,16396732.00000000,7741440.00000000,-913852.00000000
1734771600000,0.3423200,0.3574900,0.3350200,0.3556400,10815556.00000000,4999218.00000000,-817120.00000000
1734775200000,0.3556400,0.3694900,0.3471300,0.3584600,14119143.00000000,6835168.00000000,-448807.00000000
1734778800000,0.3583600,0.3740000,0.3486900,0.3633400,18767451.00000000,8830561.00000000,-1106329.00000000
1734782400000,0.3635900,0.3799700,0.3602600,0.3723700,27975871.00000000,13577334.00000000,-821203.00000000
1734786000000,0.3721900,0.3750000,0.3531000,0.3639300,22283871.00000000,10738637.00000000,-806597.00000000
1734789600000,0.3638400,0.3760000,0.3403100,0.3445500,30671269.00000000,15191706.00000000,-287857.00000000
1734793200000,0.3445600,0.3480600,0.3263400,0.3401200,31289962.00000000,14739796.00000000,-1810370.00000000
1734796800000,0.3401200,0.3469600,0.3276800,0.3311600,19064491.00000000,9017714.00000000,-1029063.00000000
1734800400000,0.3311600,0.3383000,0.3232600,0.3333000,11190894.00000000,5450385.00000000,-290124.00000000
1734804000000,0.3331800,0.3444000,0.3283100,0.3359000,9956776.00000000,4862010.00000000,-232756.00000000
1734807600000,0.3358800,0.3364200,0.3188300,0.3277000,8610665.00000000,4034649.00000000,-541367.00000000
1734811200000,0.3277100,0.3336100,0.3212400,0.3247800,6205646.00000000,3169698.00000000,133750.00000000
1734814800000,0.3247200,0.3262200,0.3012100,0.3088400,11726746.00000000,5028531.00000000,-1669684.00000000
1734818400000,0.3088400,0.3095200,0.2935500,0.3074200,10438439.00000000,5156327.00000000,-125785.00000000
1734822000000,0.3074600,0.3102500,0.2965100,0.3031800,8423560.00000000,4378756.00000000,333952.00000000
1734825600000,0.3032200,0.3094000,0.2831700,0.2889000,15780368.00000000,8132163.00000000,483958.00000000
1734829200000,0.2889100,0.2952100,0.2653200,0.2734600,14176248.00000000,6218349.00000000,-1739550.00000000
1734832800000,0.2734600,0.2839700,0.2678000,0.2744600,7806734.00000000,3958331.00000000,109928.00000000
1734836400000,0.2744600,0.2794900,0.2669200,0.2767400,6961936.00000000,3676985.00000000,392034.00000000
1734840000000,0.2765500,0.2964100,0.2760300,0.2761500,13432622.00000000,6678863.00000000,-74896.00000000
1734843600000,0.2760300,0.2841000,0.2721200,0.2788400,5877717.00000000,2923141.00000000,-31435.00000000
1734847200000,0.2788400,0.2789300,0.2677300,0.2744100,7884008.00000000,3513709.00000000,-856590.00000000
1734850800000,0.2744200,0.2865800,0.2740000,0.2804300,8465201.00000000,4114728.00000000,-235745.00000000
1734854400000,0.2804300,0.3082500,0.2802400,0.3075400,16351895.00000000,8626992.00000000,902089.00000000
1734858000000,0.3075400,0.3142100,0.3025100,0.3060400,11956220.00000000,5429293.00000000,-1097634.00000000
1734861600000,0.3061100,0.3061100,0.2940200,0.2947500,8989545.00000000,4138355.00000000,-712835.00000000
1734865200000,0.2947600,0.3003200,0.2896600,0.2960800,11281577.00000000,6130950.00000000,980323.00000000
1734868800000,0.2961000,0.3003400,0.2899700,0.2909200,10056792.00000000,5095564.00000000,134336.00000000
1734872400000,0.2909000,0.2920000,0.2813000,0.2845000,9145964.00000000,4111245.00000000,-923474.00000000
1734876000000,0.2845100,0.2864800,0.2710000,0.2736600,13970003.00000000,6462941.00000000,-1044121.00000000
1734879600000,0.2737600,0.2795500,0.2735300,0.2771400,6208040.00000000,3246747.00000000,285454.00000000
1734883200000,0.2771400,0.2895500,0.2732700,0.2893200,9802664.00000000,5458455.00000000,1114246.00000000
1734886800000,0.2893200,0.2923400,0.2873000,0.2899000,4422099.00000000,2003723.00000000,-414653.00000000
1734890400000,0.2899000,0.2909900,0.2824600,0.2904000,5556420.00000000,2289924.00000000,-976572.00000000
1734894000000,0.2902600,0.2914100,0.2770000,0.2788400,5811980.00000000,2389201.00000000,-1033578.00000000
1734897600000,0.2789000,0.2859800,0.2747100,0.2856800,4371051.00000000,2467702.00000000,564353.00000000
