open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,0.2576,0.2582,0.2560,0.2569,3281242.80000000,1642815.80000000,4388.80000000
1675688400000,0.2570,0.2589,0.2563,0.2570,2806039.60000000,1419598.30000000,33157.00000000
1675692000000,0.2569,0.2584,0.2557,0.2570,3687413.80000000,1795046.00000000,-97321.80000000
1675695600000,0.2571,0.2598,0.2550,0.2598,5327738.60000000,2793452.50000000,259166.40000000
1675699200000,0.2599,0.2618,0.2586,0.2603,8103982.40000000,4123529.50000000,143076.60000000
1675702800000,0.2604,0.2629,0.2599,0.2619,5088206.80000000,2768110.60000000,448014.40000000
1675706400000,0.2619,0.2635,0.2606,0.2621,3951498.40000000,2080171.20000000,208844.00000000
1675710000000,0.2622,0.2634,0.2612,0.2615,3353253.20000000,1545605.80000000,-262041.60000000
1675713600000,0.2615,0.2619,0.2603,0.2615,3150114.30000000,1622523.60000000,94932.90000000
1675717200000,0.2615,0.2625,0.2592,0.2597,4530826.80000000,2155859.50000000,-219107.80000000
1675720800000,0.2597,0.2600,0.2582,0.2583,2417995.10000000,1117824.50000000,-182346.10000000
1675724400000,0.2584,0.2585,0.2536,0.2548,11251663.70000000,5405194.70000000,-441274.30000000
1675728000000,0.2547,0.2558,0.2535,0.2555,4623102.70000000,2246363.80000000,-130375.10000000
1675731600000,0.2554,0.2566,0.2547,0.2552,3401980.80000000,1784061.10000000,166141.40000000
1675735200000,0.2553,0.2567,0.2538,0.2566,2952366.00000000,1444452.20000000,-63461.60000000
1675738800000,0.2567,0.2583,0.2563,0.2574,2926467.70000000,1450910.70000000,-24646.30000000
1675742400000,0.2574,0.2592,0.2572,0.2575,2300547.50000000,1137570.50000000,-25406.50000000
1675746000000,0.2575,0.2599,0.2573,0.2594,3531866.40000000,1952472.40000000,373078.40000000
1675749600000,0.2595,0.2614,0.2594,0.2601,3457208.90000000,1652363.10000000,-152482.70000000
1675753200000,0.2602,0.2643,0.2594,0.2625,15456108.00000000,8495264.30000000,1534420.60000000
1675756800000,0.2626,0.2698,0.2605,0.2671,17727122.60000000,9045738.00000000,364353.40000000
1675760400000,0.2671,0.2730,0.2669,0.2721,15252554.20000000,7542860.00000000,-166834.20000000
1675764000000,0.2722,0.2745,0.2683,0.2693,20142613.40000000,9629656.70000000,-883300.00000000
1675767600000,0.2693,0.2734,0.2690,0.2723,11320674.30000000,5749231.00000000,177787.70000000
1675771200000,0.2724,0.2760,0.2722,0.2753,14471399.70000000,7838731.40000000,1206063.10000000
1675774800000,0.2753,0.2777,0.2714,0.2753,26180761.90000000,13292007.00000000,403252.10000000
1675778400000,0.2753,0.2798,0.2743,0.2777,18075007.20000000,8944668.40000000,-185670.40000000
1675782000000,0.2776,0.2785,0.2747,0.2756,10720982.00000000,5126022.50000000,-468937.00000000
