open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,15.08580,15.14650,14.99120,15.02830,2627070.90000000,1295489.70000000,-36091.50000000
1675688400000,15.02840,15.14360,14.90300,14.97090,2084386.50000000,990772.00000000,-102842.50000000
1675692000000,14.97050,15.17620,14.84140,15.14360,4247122.90000000,2030970.40000000,-185182.10000000
1675695600000,15.14430,15.87000,14.97990,15.81430,9833433.10000000,5439341.70000000,1045250.30000000
1675699200000,15.81430,15.97770,15.35000,15.42860,9041897.70000000,4147593.50000000,-746710.70000000
1675702800000,15.42940,15.46200,15.31000,15.35810,2832486.70000000,1365244.50000000,-101997.70000000
1675706400000,15.35860,15.38910,15.08800,15.18040,3052245.80000000,1340828.90000000,-370588.00000000
1675710000000,15.18050,15.28000,15.13280,15.17730,1786115.80000000,924316.80000000,62517.80000000
1675713600000,15.17790,15.23260,15.13300,15.20700,1215801.10000000,628984.20000000,42167.30000000
1675717200000,15.20710,15.21840,14.89120,14.94150,2338211.10000000,923035.60000000,-492139.90000000
1675720800000,14.94160,15.01620,14.86000,14.86000,1410028.90000000,683127.10000000,-43774.70000000
1675724400000,14.86000,15.02140,14.69720,14.95500,4685859.80000000,2301467.40000000,-82925.00000000
1675728000000,14.95500,15.18350,14.94300,15.10450,3446261.30000000,1748469.50000000,50677.70000000
1675731600000,15.10460,15.39910,15.05720,15.33600,3528719.60000000,1854372.30000000,180025.00000000
1675735200000,15.33600,15.44920,15.27070,15.42220,2134949.80000000,1031517.20000000,-71915.40000000
1675738800000,15.42200,15.46760,15.31060,15.40600,1762241.10000000,834856.80000000,-92527.50000000
1675742400000,15.40600,15.46060,15.28100,15.30740,1604470.40000000,693355.40000000,-217759.60000000
1675746000000,15.30810,15.38430,15.27100,15.32260,1298121.90000000,621896.30000000,-54329.30000000
1675749600000,15.32250,15.33980,15.15230,15.18440,1788259.50000000,831230.20000000,-125799.10000000
1675753200000,15.18440,15.40000,15.08000,15.25250,2356645.20000000,1156184.60000000,-44276.00000000
1675756800000,15.25250,15.28940,15.13540,15.20790,1619608.30000000,785297.60000000,-49013.10000000
1675760400000,15.20790,15.40130,15.19350,15.33760,2012689.70000000,1020579.10000000,28468.50000000
1675764000000,15.33750,15.77720,15.29510,15.56560,5137933.20000000,2644874.70000000,151816.20000000
1675767600000,15.56550,16.24000,15.52240,16.09240,10324004.20000000,5353461.60000000,382919.00000000
1675771200000,16.09180,16.13530,15.76440,15.84860,6287053.00000000,2851768.70000000,-583515.60000000
1675774800000,15.84850,15.91990,15.68900,15.78590,3690831.70000000,1783855.20000000,-123121.30000000
1675778400000,15.78590,15.95000,15.67740,15.79570,3429161.10000000,1763304.90000000,97448.70000000
1675782000000,15.79540,15.80430,15.44220,15.47170,5284285.60000000,2316750.00000000,-650785.60000000
1675785600000,15.47210,15.56930,15.32340,15.49710,4138998.80000000,2070726.60000000,2454.40000000
1675789200000,15.49480,16.03000,15.33190,15.93850,6892718.80000000,3507491.70000000,122264.60000000
1675792800000,15.93820,16.04940,15.14990,15.45000,9674175.30000000,4508824.70000000,-656525.90000000
1675796400000,15.45070,15.74500,15.42270,15.70180,3872881.90000000,1932972.00000000,-6937.90000000
1675800000000,15.70280,15.85400,15.56430,15.76270,2570798.30000000,1283116.20000000,-4565.90000000
1675803600000,15.76210,15.87480,15.70940,15.76850,2016451.30000000,963540.00000000,-89371.30000000
1675807200000,15.76850,16.00190,15.65000,15.88600,2180180.20000000,1106521.20000000,32862.20000000
1675810800000,15.88690,16.13070,15.88690,16.05680,3291563.00000000,1684398.80000000,77234.60000000
1675814400000,16.05680,16.36170,15.92100,16.15910,4148061.30000000,2111915.70000000,75770.10000000
1675818000000,16.15870,16.28000,16.00320,16.08400,2656890.10000000,1227315.80000000,-202258.50000000
1675821600000,16.08290,16.32960,16.04010,16.15080,2087952.00000000,1100096.70000000,112241.40000000
1675825200000,16.15000,16.34770,16.09500,16.21770,1929482.60000000,982886.80000000,36291.00000000
1675828800000,16.21840,16.27180,16.09440,16.14540,1792699.50000000,764148.30000000,-264402.90000000
1675832400000,16.14530,16.17130,15.86100,15.92880,2617149.60000000,1213262.70000000,-190624.20000000
1675836000000,15.92890,15.96170,15.74210,15.82860,2067957.40000000,970303.10000000,-127351.20000000
1675839600000,15.82810,15.97190,15.76550,15.90250,1592139.90000000,835555.60000000,78971.30000000
1675843200000,15.90260,15.93210,15.66000,15.81020,2697489.20000000,1311399.60000000,-74690.00000000
1675846800000,15.80970,15.83340,15.64250,15.70480,1329190.70000000,587328.10000000,-154534.50000000
1675850400000,15.70570,15.75490,15.61230,15.73560,1696230.90000000,825243.90000000,-45743.10000000
1675854000000,15.73680,15.86340,15.69080,15.74210,1581601.20000000,806922.30000000,32243.40000000
1675857600000,15.74170,15.83500,15.52000,15.61670,2145172.60000000,874262.30000000,-396648.00000000
1675861200000,15.61680,15.61680,15.33330,15.54530,3951739.70000000,1830239.30000000,-291261.10000000
1675864800000,15.54720,15.65390,15.36190,15.50000,3059334.00000000,1574601.80000000,89869.60000000
1675868400000,15.49980,15.50900,15.09300,15.17810,5427154.50000000,2464043.90000000,-499066.70000000
1675872000000,15.17840,15.23280,14.74000,15.13020,8249357.00000000,4221679.80000000,194002.60000000
1675875600000,15.13000,15.34410,15.05930,15.20360,3260140.30000000,1645996.60000000,31852.90000000
1675879200000,15.20360,15.25000,14.91090,15.06150,2653611.30000000,1354574.30000000,55537.30000000
1675882800000,15.06130,15.23000,14.99040,15.06980,1924286.20000000,965863.10000000,7440.00000000
1675886400000,15.06910,15.07280,14.70960,14.73720,3300105.80000000,1468658.70000000,-362788.40000000
1675890000000,14.73720,15.09030,14.72450,15.06450,1415472.90000000,793211.70000000,170950.50000000
1675893600000,15.06450,15.15980,15.02000,15.07540,874945.60000000,427562.00000000,-19821.60000000
1675897200000,15.07540,15.18150,14.97350,15.08650,1608135.00000000,730538.50000000,-147058.00000000
1675900800000,15.08660,15.14430,14.81620,15.05370,3112508.30000000,1435829.20000000,-240849.90000000
1675904400000,15.05580,15.18140,14.87110,14.90490,2460369.00000000,1236270.30000000,12171.60000000
1675908000000,14.90490,14.91630,14.35500,14.37930,5217037.10000000,2081869.80000000,-1053297.50000000
1675911600000,14.37980,14.44200,13.82530,14.23050,9629169.10000000,4551260.00000000,-526649.10000000
1675915200000,14.23050,14.29500,13.95070,14.17410,3981890.50000000,2015262.00000000,48633.50000000
1675918800000,14.17410,14.34790,14.11330,14.28580,3134057.10000000,1658566.60000000,183076.10000000
1675922400000,14.28670,14.44380,14.21910,14.41170,2288838.60000000,1202970.90000000,117103.20000000
1675926000000,14.41170,14.43340,14.26360,14.29860,1805424.90000000,832453.30000000,-140518.30000000
1675929600000,14.29640,14.49300,14.28480,14.41270,2419675.20000000,1222688.80000000,25702.40000000
1675933200000,14.41190,14.50000,14.29630,14.39260,1872319.90000000,910875.70000000,-50568.50000000
1675936800000,14.39110,14.39860,14.25030,14.34510,1240359.70000000,552515.80000000,-135328.10000000
1675940400000,14.34530,14.61290,14.23000,14.47220,3467167.20000000,1845285.60000000,223404.00000000
1675944000000,14.47150,14.60000,14.27250,14.47190,3700132.00000000,1806358.20000000,-87415.60000000
1675947600000,14.47040,14.69970,14.38080,14.62470,3443967.10000000,1735802.90000000,27638.70000000
1675951200000,14.62390,14.70890,14.42000,14.49550,3548667.30000000,1621056.10000000,-306555.10000000
1675954800000,14.49550,14.51580,14.21060,14.28620,3413258.10000000,1581353.70000000,-250550.70000000
1675958400000,14.28500,14.38820,13.91110,14.07880,4581330.40000000,2087483.30000000,-406363.80000000
1675962000000,14.07860,14.24470,13.95260,14.11210,2983730.50000000,1520348.60000000,56966.70000000
1675965600000,14.11350,14.20990,13.98000,14.08810,1773057.50000000,865645.30000000,-41766.90000000
