open_time,open,high,low,close,volume,taker_buy,delta
1679583600000,1.352500,1.447900,1.236100,1.325500,191274266.69999999,91812901.90000001,-7648462.89999998
1679587200000,1.325600,1.358500,1.213100,1.304300,220164583.59999999,105022615.59999999,-10119352.40000001
1679590800000,1.304000,1.331500,1.270000,1.288200,113246946.80000000,56130381.40000000,-986184.00000000
1679594400000,1.288300,1.345300,1.276100,1.327400,65796846.50000000,32937929.80000000,79013.10000000
1679598000000,1.327400,1.430000,1.322100,1.429700,101631663.30000000,53500188.50000000,5368713.70000000
1679601600000,1.429800,1.491300,1.383000,1.417900,135307522.69999999,66628764.50000000,-2049993.69999999
1679605200000,1.417800,1.474900,1.386400,1.466700,68707868.59999999,35491835.40000000,2275802.20000000
1679608800000,1.466600,1.472400,1.350000,1.379800,66085867.80000000,30556810.10000000,-4972247.59999999
1679612400000,1.379800,1.399100,1.312200,1.322900,53876244.70000000,24990401.20000000,-3895442.30000000
1679616000000,1.323000,1.402200,1.322300,1.378200,64696454.60000000,33099828.90000000,1503203.20000000
1679619600000,1.377900,1.433900,1.370800,1.418900,49005478.00000000,25611793.50000000,2218109.00000000
1679623200000,1.418900,1.428600,1.390500,1.397800,41286823.70000000,19870164.50000000,-1546494.70000000
1679626800000,1.397800,1.415500,1.370800,1.399700,34341220.10000000,16535012.60000000,-1271194.90000000
1679630400000,1.399900,1.401000,1.338600,1.365700,39440278.10000000,17677245.90000000,-4085786.30000000
1679634000000,1.365600,1.394500,1.356100,1.393200,26016345.80000000,12971568.50000000,-73208.80000000
1679637600000,1.393200,1.428100,1.382300,1.417900,48347828.70000000,26049122.00000000,3750415.30000000
1679641200000,1.417600,1.492900,1.408000,1.483700,98232141.80000000,51071504.20000000,3910866.60000001
1679644800000,1.483500,1.567500,1.483000,1.523800,165156104.80000001,83035817.09999999,915529.39999998
1679648400000,1.523300,1.548600,1.470500,1.480400,102870385.30000000,48740233.50000000,-5389918.30000000
1679652000000,1.480200,1.509100,1.456000,1.505300,83177764.90000001,41774884.50000000,372004.09999999
1679655600000,1.505400,1.509900,1.300000,1.413300,125180656.20000000,58226955.20000000,-8726745.80000000
1679659200000,1.413300,1.462900,1.400000,1.433500,86550703.50000000,42600931.80000000,-1348839.90000001
1679662800000,1.433800,1.439000,1.368600,1.416200,67642851.09999999,31178780.90000000,-5285289.30000000
1679666400000,1.416100,1.457000,1.366600,1.372600,108693723.00000000,51389398.90000000,-5914925.20000000
1679670000000,1.372500,1.385500,1.333300,1.377000,91719625.30000000,44039174.90000000,-3641275.50000000
1679673600000,1.377100,1.377400,1.312600,1.325000,72517142.00000000,33553202.70000000,-5410736.60000000
1679677200000,1.325100,1.334700,1.241400,1.273000,149877609.09999999,68370446.59999999,-13136715.90000001
1679680800000,1.273000,1.303200,1.262200,1.293900,68394059.40000001,33952397.00000000,-489265.40000001
1679684400000,1.293800,1.319600,1.275000,1.304900,43905922.10000000,22565037.60000000,1224153.10000000
1679688000000,1.304900,1.305000,1.208200,1.239400,106694543.90000001,49290500.90000000,-8113542.10000001
1679691600000,1.239400,1.258800,1.170000,1.233500,107842326.09999999,53780324.30000000,-281677.50000000
1679695200000,1.233300,1.253000,1.224000,1.244500,40114550.10000000,19613871.80000000,-886806.50000000
1679698800000,1.244600,1.286600,1.238300,1.272500,53736717.40000000,27848415.70000000,1960114.00000000
1679702400000,1.272200,1.297200,1.231100,1.293300,55116555.30000000,28625158.20000000,2133761.10000000
1679706000000,1.293300,1.308300,1.269500,1.288600,40090303.50000000,20283181.90000000,476060.30000000
1679709600000,1.288600,1.315000,1.272000,1.278000,35404983.70000000,16731972.70000000,-1941038.30000000
1679713200000,1.278000,1.280800,1.240000,1.259200,39904702.10000000,17690563.50000000,-4523575.10000000
1679716800000,1.259200,1.268800,1.245000,1.246000,29745449.20000000,14424544.10000000,-896361.00000000
1679720400000,1.246000,1.266000,1.190000,1.217600,54329506.10000000,23042002.70000000,-8245500.70000000
1679724000000,1.217600,1.236800,1.180000,1.233100,60228757.80000000,30579846.60000000,930935.40000001
1679727600000,1.233200,1.254900,1.223000,1.233900,38097658.80000000,18571703.80000000,-954251.20000000
1679731200000,1.234000,1.236900,1.193000,1.210100,62339273.30000000,28670884.70000000,-4997503.90000000
1679734800000,1.210100,1.229600,1.181000,1.220800,58021257.60000000,29387203.80000000,753150.00000000
1679738400000,1.221100,1.251000,1.206900,1.238100,53881124.80000000,27700296.70000000,1519468.60000000
1679742000000,1.238100,1.267800,1.230200,1.240400,61904965.00000000,31392612.00000000,880259.00000000
1679745600000,1.240400,1.256000,1.223300,1.252200,46175902.00000000,23028540.50000000,-118821.00000000
1679749200000,1.252200,1.276600,1.238000,1.263200,58595806.80000000,29900566.70000000,1205326.60000000
1679752800000,1.263200,1.271100,1.230900,1.238700,43745981.90000000,19392381.20000000,-4961219.50000000
1679756400000,1.238800,1.265000,1.230700,1.253800,38206773.90000000,19609078.50000000,1011383.10000000
1679760000000,1.253900,1.283800,1.246000,1.266900,45935235.20000000,23382143.30000000,829051.40000000
1679763600000,1.266900,1.273200,1.229600,1.235100,53075674.50000000,23630875.50000000,-5813923.50000000
