open_time,open,high,low,close,volume,taker_buy,delta
1758283200000,0.9900000,0.9900000,0.5528000,0.6228000,75556622.00000000,37134313.00000000,-1287996.00000000
1758286800000,0.6227000,0.7361000,0.6150000,0.7164000,73310169.00000000,37023448.00000000,736727.00000000
1758290400000,0.7164000,0.7352000,0.6401000,0.6625000,77055133.00000000,37579139.00000000,-1896855.00000000
1758294000000,0.6626000,0.6700000,0.6089000,0.6466000,60965233.00000000,30540389.00000000,115545.00000000
1758297600000,0.6466000,0.7224000,0.6418000,0.6911000,53819083.00000000,27375866.00000000,932649.00000000
1758301200000,0.6912000,0.8500000,0.6755000,0.7874000,155179469.00000000,78085520.00000000,991571.00000000
1758304800000,0.7876000,0.8563000,0.7450000,0.7669000,94438910.00000000,47454057.00000000,469204.00000000
1758308400000,0.7671000,0.8233000,0.7321000,0.7434000,70249574.00000000,35814379.00000000,1379184.00000000
1758312000000,0.7435000,0.7878000,0.7338000,0.7840000,34676797.00000000,19614391.00000000,4551985.00000000
1758315600000,0.7840000,0.8560000,0.7818000,0.8194000,46708753.00000000,23986077.00000000,1263401.00000000
1758319200000,0.8193000,0.8783000,0.7987000,0.8692000,30469129.00000000,16076984.00000000,1684839.00000000
1758322800000,0.8694000,0.9069000,0.8488000,0.8865000,44353051.00000000,21673709.00000000,-1005633.00000000
1758326400000,0.8863000,0.9450000,0.8740000,0.9229000,47248412.00000000,23219352.00000000,-809708.00000000
1758330000000,0.9230000,0.9710000,0.8550000,0.9546000,49812452.00000000,24927990.00000000,43528.00000000
1758333600000,0.9546000,0.9798000,0.9263000,0.9679000,48409800.00000000,23272479.00000000,-1864842.00000000
1758337200000,0.9680000,0.9837000,0.9122000,0.9254000,44371008.00000000,21555058.00000000,-1260892.00000000
1758340800000,0.9253000,0.9598000,0.8802000,0.9392000,51155438.00000000,25718823.00000000,282208.00000000
1758344400000,0.9394000,0.9432000,0.8921000,0.9098000,32699046.00000000,16107974.00000000,-483098.00000000
1758348000000,0.9095000,0.9329000,0.8821000,0.9198000,39378769.00000000,19775953.00000000,173137.00000000
1758351600000,0.9198000,1.0260000,0.9182000,1.0064000,66899059.00000000,33962678.00000000,1026297.00000000
1758355200000,1.0064000,1.0950000,1.0055000,1.0846000,100770138.00000000,49891366.00000000,-987406.00000000
1758358800000,1.0846000,1.2257000,1.0331000,1.1983000,153299910.00000000,79419741.00000000,5539572.00000000
1758362400000,1.1982000,1.2352000,1.1320000,1.1802000,122532478.00000000,59617204.00000000,-3298070.00000000
1758366000000,1.1802000,1.2720000,1.1416000,1.1787000,120778484.00000000,58754321.00000000,-3269842.00000000
1758369600000,1.1788000,1.2293000,1.1619000,1.1875000,80241222.00000000,40794498.00000000,1347774.00000000
1758373200000,1.1874000,1.2199000,1.1515000,1.1817000,85678426.00000000,42232061.00000000,-1214304.00000000
1758376800000,1.1818000,1.2635000,1.1620000,1.2540000,83613498.00000000,43455314.00000000,3297130.00000000
