open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,14.345,14.411,14.290,14.363,272382.21000000,137271.71000000,2161.21000000
1675688400000,14.364,14.448,14.312,14.342,273388.72000000,123817.23000000,-25754.26000000
1675692000000,14.340,14.414,14.241,14.368,481729.27000000,223187.15000000,-35354.97000000
1675695600000,14.369,14.536,14.296,14.531,419223.97000000,215017.78000000,10811.59000000
1675699200000,14.530,14.603,14.386,14.472,732836.65000000,332172.03000000,-68492.59000000
1675702800000,14.472,14.587,14.436,14.537,279104.68000000,144551.87000000,9999.06000000
1675706400000,14.537,14.604,14.484,14.548,236471.56000000,122503.00000000,8534.44000000
1675710000000,14.548,14.647,14.471,14.535,356404.60000000,188620.49000000,20836.38000000
1675713600000,14.535,14.548,14.443,14.494,186503.12000000,83736.39000000,-19030.34000000
1675717200000,14.494,14.494,14.231,14.274,319922.30000000,131095.26000000,-57731.78000000
1675720800000,14.273,14.396,14.248,14.322,218242.82000000,122617.54000000,26992.26000000
1675724400000,14.321,14.332,13.998,14.137,784704.81000000,367072.90000000,-50559.01000000
1675728000000,14.135,14.240,14.094,14.212,366094.62000000,191541.76000000,16988.90000000
1675731600000,14.211,14.285,14.190,14.248,239138.83000000,109163.34000000,-20812.15000000
1675735200000,14.250,14.316,14.193,14.314,178746.65000000,93166.53000000,7586.41000000
1675738800000,14.316,14.360,14.275,14.307,187537.85000000,96425.08000000,5312.31000000
1675742400000,14.308,14.410,14.298,14.343,186493.86000000,104879.60000000,23265.34000000
1675746000000,14.345,14.418,14.329,14.373,170939.58000000,85766.90000000,594.22000000
1675749600000,14.374,14.568,14.374,14.506,558850.05000000,284114.00000000,9377.95000000
1675753200000,14.505,14.582,14.457,14.469,296291.28000000,135674.43000000,-24942.42000000
1675756800000,14.470,14.501,14.387,14.430,283179.90000000,144371.89000000,5563.88000000
1675760400000,14.429,14.666,14.417,14.609,500048.56000000,277417.05000000,54785.54000000
1675764000000,14.610,14.763,14.610,14.672,448843.62000000,211599.80000000,-25644.02000000
1675767600000,14.671,14.773,14.661,14.667,288413.93000000,140467.80000000,-7478.33000000
1675771200000,14.666,14.725,14.615,14.685,283564.17000000,129315.92000000,-24932.33000000
1675774800000,14.687,14.716,14.580,14.622,324925.66000000,155405.95000000,-14113.76000000
1675778400000,14.621,14.696,14.520,14.614,454452.65000000,227918.35000000,1384.05000000
1675782000000,14.614,14.618,14.486,14.530,324671.20000000,148116.81000000,-28437.58000000
1675785600000,14.531,14.554,14.414,14.485,444028.81000000,201953.22000000,-40122.37000000
1675789200000,14.485,14.776,14.400,14.731,730783.76000000,382731.99000000,34680.22000000
1675792800000,14.733,14.807,14.210,14.392,1161191.02000000,514992.29000000,-131206.44000000
1675796400000,14.392,14.612,14.387,14.609,535980.48000000,263858.19000000,-8264.10000000
1675800000000,14.609,14.729,14.534,14.656,470595.07000000,220434.72000000,-29725.63000000
1675803600000,14.654,14.864,14.638,14.839,613395.69000000,332159.86000000,50924.03000000
1675807200000,14.840,14.907,14.737,14.857,387127.60000000,183411.87000000,-20303.86000000
1675810800000,14.858,15.054,14.858,14.949,567763.98000000,297803.39000000,27842.80000000
1675814400000,14.949,15.068,14.889,14.988,450545.52000000,225274.74000000,3.96000000
1675818000000,14.989,15.111,14.949,15.006,916018.75000000,454499.59000000,-7019.57000000
1675821600000,15.007,15.193,15.006,15.122,443657.03000000,237261.29000000,30865.55000000
1675825200000,15.121,15.124,14.973,15.031,404955.16000000,170810.38000000,-63334.40000000
1675828800000,15.032,15.068,14.955,14.974,161826.06000000,72132.09000000,-17561.88000000
1675832400000,14.975,15.009,14.845,14.881,252205.85000000,103916.04000000,-44373.77000000
1675836000000,14.881,14.954,14.813,14.913,193551.95000000,106618.46000000,19684.97000000
1675839600000,14.913,14.967,14.889,14.936,140902.39000000,65343.57000000,-10215.25000000
1675843200000,14.936,14.957,14.808,14.843,211393.26000000,95693.31000000,-20006.64000000
1675846800000,14.844,14.929,14.814,14.880,145177.30000000,77095.96000000,9014.62000000
1675850400000,14.880,14.926,14.812,14.922,166181.90000000,85504.99000000,4828.08000000
1675854000000,14.922,15.149,14.889,15.142,538690.95000000,273941.36000000,9191.77000000
1675857600000,15.142,15.302,15.049,15.104,876176.83000000,421396.08000000,-33384.67000000
1675861200000,15.105,15.347,15.028,15.312,730610.53000000,369212.43000000,7814.33000000
1675864800000,15.313,15.377,15.186,15.258,774216.24000000,395003.49000000,15790.74000000
1675868400000,15.261,15.266,14.879,14.909,1049146.58000000,457632.00000000,-133882.58000000
1675872000000,14.910,15.046,14.558,15.035,1521579.75000000,779024.02000000,36468.29000000
1675875600000,15.035,15.318,14.941,15.220,1031144.17000000,529393.92000000,27643.67000000
1675879200000,15.219,15.292,14.859,14.964,708175.22000000,332394.95000000,-43385.32000000
1675882800000,14.961,15.077,14.850,14.920,518237.91000000,266535.88000000,14833.85000000
1675886400000,14.920,14.967,14.791,14.835,542909.10000000,275370.35000000,7831.60000000
1675890000000,14.834,15.197,14.820,15.109,502819.99000000,274914.69000000,47009.39000000
1675893600000,15.109,15.146,15.003,15.005,256098.21000000,116669.09000000,-22760.03000000
1675897200000,15.006,15.195,14.952,15.152,363643.08000000,190093.06000000,16543.04000000
1675900800000,15.151,15.354,15.037,15.152,901532.59000000,463858.32000000,26184.05000000
1675904400000,15.151,15.210,15.051,15.057,357796.57000000,181876.61000000,5956.65000000
1675908000000,15.057,15.147,14.729,14.758,862309.16000000,386994.51000000,-88320.14000000
1675911600000,14.759,14.770,14.357,14.507,1361024.39000000,667043.34000000,-26937.71000000
1675915200000,14.506,14.691,14.370,14.633,478188.10000000,219722.76000000,-38742.58000000
1675918800000,14.634,14.752,14.602,14.695,319773.51000000,171174.23000000,22574.95000000
1675922400000,14.695,14.785,14.604,14.770,301067.71000000,149604.19000000,-1859.33000000
1675926000000,14.770,14.799,14.694,14.744,241610.65000000,121020.14000000,429.63000000
1675929600000,14.744,14.858,14.691,14.810,353613.39000000,183598.93000000,13584.47000000
1675933200000,14.811,14.837,14.705,14.776,245439.10000000,105643.73000000,-34151.64000000
1675936800000,14.776,14.795,14.650,14.700,243722.20000000,118079.68000000,-7562.84000000
1675940400000,14.700,14.733,14.552,14.643,381537.71000000,186247.19000000,-9043.33000000
1675944000000,14.643,14.663,14.462,14.591,581939.76000000,270883.38000000,-40173.00000000
1675947600000,14.591,14.656,14.495,14.642,425097.93000000,221556.42000000,18014.91000000
1675951200000,14.643,14.769,14.626,14.708,426590.95000000,208255.61000000,-10079.73000000
1675954800000,14.707,14.755,14.555,14.589,380566.05000000,183580.78000000,-13404.49000000
1675958400000,14.589,14.644,14.231,14.328,764653.44000000,345742.01000000,-73169.42000000
1675962000000,14.327,14.461,14.230,14.330,542414.86000000,289890.16000000,37365.46000000
1675965600000,14.330,14.409,14.248,14.365,403080.98000000,210529.53000000,17978.08000000
1675969200000,14.366,14.373,13.500,13.847,1887921.05000000,831617.95000000,-224685.15000000
1675972800000,13.846,13.927,13.601,13.781,1115134.28000000,563249.01000000,11363.74000000
1675976400000,13.780,13.851,13.613,13.770,803521.13000000,398560.92000000,-6399.29000000
1675980000000,13.771,13.772,13.127,13.376,1003518.97000000,432546.91000000,-138425.15000000
1675983600000,13.371,13.568,13.355,13.515,648945.16000000,330582.68000000,12220.20000000
1675987200000,13.515,13.547,13.403,13.454,475111.31000000,228750.21000000,-17610.89000000
1675990800000,13.456,13.582,13.419,13.567,313965.79000000,161434.32000000,8902.85000000
1675994400000,13.567,13.734,13.557,13.716,483192.17000000,270237.87000000,57283.57000000
1675998000000,13.715,13.719,13.601,13.612,181819.02000000,80929.18000000,-19960.66000000
1676001600000,13.612,13.661,13.516,13.586,302837.65000000,141428.65000000,-19980.35000000
1676005200000,13.586,13.659,13.472,13.597,302586.73000000,146526.17000000,-9534.39000000
1676008800000,13.597,13.803,13.585,13.799,339101.00000000,189142.07000000,39183.14000000
1676012400000,13.800,13.896,13.706,13.872,359341.73000000,182964.81000000,6587.89000000
1676016000000,13.873,13.971,13.823,13.921,581053.31000000,284909.84000000,-11233.63000000
1676019600000,13.920,13.983,13.893,13.969,377971.04000000,177409.95000000,-23151.14000000
1676023200000,13.969,13.990,13.815,13.873,404428.76000000,187086.18000000,-30256.40000000
1676026800000,13.874,13.874,13.705,13.737,624977.30000000,311415.57000000,-2146.16000000
1676030400000,13.737,13.948,13.723,13.797,576063.12000000,286468.58000000,-3125.96000000
1676034000000,13.796,13.990,13.786,13.895,516230.26000000,284192.80000000,52155.34000000
1676037600000,13.894,13.955,13.730,13.744,590470.28000000,283332.78000000,-23804.72000000
1676041200000,13.746,13.902,13.557,13.768,942999.83000000,460406.22000000,-22187.39000000
1676044800000,13.768,13.841,13.576,13.603,499804.67000000,236962.01000000,-25880.65000000
1676048400000,13.603,13.741,13.531,13.735,404028.75000000,207418.87000000,10808.99000000
1676052000000,13.736,13.828,13.699,13.785,356177.62000000,188497.57000000,20817.52000000
1676055600000,13.786,13.926,13.728,13.874,485883.75000000,268044.91000000,50206.07000000
1676059200000,13.874,13.891,13.732,13.769,213495.08000000,102541.17000000,-8412.74000000
1676062800000,13.769,13.787,13.550,13.646,394747.79000000,193960.75000000,-6826.29000000
1676066400000,13.646,13.732,13.580,13.657,193980.57000000,101339.80000000,8699.03000000
1676070000000,13.657,13.743,13.613,13.687,192835.90000000,104119.89000000,15403.88000000
1676073600000,13.686,13.746,13.637,13.714,236150.93000000,132683.73000000,29216.53000000
1676077200000,13.713,13.748,13.604,13.637,183512.53000000,95769.89000000,8027.25000000
1676080800000,13.636,13.694,13.611,13.642,123576.06000000,61291.27000000,-993.52000000
1676084400000,13.642,13.692,13.608,13.627,162313.86000000,69403.65000000,-23506.56000000
1676088000000,13.627,13.643,13.543,13.553,243298.13000000,93268.49000000,-56761.15000000
1676091600000,13.553,13.560,13.467,13.485,245659.72000000,107134.23000000,-31391.26000000
1676095200000,13.486,13.543,13.435,13.521,253591.22000000,126913.10000000,234.98000000
