open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,21.2310,21.3660,21.2130,21.2680,217477.00000000,116658.00000000,15839.00000000
1675512000000,21.2680,21.3580,21.2200,21.3450,272886.00000000,137756.00000000,2626.00000000
1675515600000,21.3430,21.7000,21.3350,21.4850,919222.00000000,481151.00000000,43080.00000000
1675519200000,21.4850,21.4960,21.3200,21.4340,312665.00000000,142600.00000000,-27465.00000000
1675522800000,21.4300,21.4480,21.2610,21.3430,432900.00000000,199098.00000000,-34704.00000000
1675526400000,21.3420,21.3600,21.1420,21.2190,457892.00000000,188410.00000000,-81072.00000000
1675530000000,21.2180,21.3160,21.1230,21.2830,345164.00000000,157973.00000000,-29218.00000000
1675533600000,21.2820,21.3700,21.0840,21.2530,543821.00000000,257449.00000000,-28923.00000000
1675537200000,21.2530,21.2730,21.2080,21.2590,157617.00000000,79174.00000000,731.00000000
1675540800000,21.2590,21.3470,21.1840,21.3330,249103.00000000,138901.00000000,28699.00000000
1675544400000,21.3320,21.3870,21.2490,21.3380,176435.00000000,78431.00000000,-19573.00000000
1675548000000,21.3390,21.3400,21.2090,21.2980,216790.00000000,101877.00000000,-13036.00000000
1675551600000,21.2980,21.3300,20.8120,21.0320,658423.00000000,257675.00000000,-143073.00000000
1675555200000,21.0310,21.1550,20.7430,20.8820,549531.00000000,255956.00000000,-37619.00000000
1675558800000,20.8840,20.9950,20.8400,20.9630,209312.00000000,107201.00000000,5090.00000000
1675562400000,20.9630,21.0700,20.8170,20.8210,348317.00000000,151070.00000000,-46177.00000000
1675566000000,20.8250,20.9410,20.8080,20.9290,174713.00000000,106325.00000000,37937.00000000
1675569600000,20.9290,21.0360,20.9040,21.0240,127538.00000000,67681.00000000,7824.00000000
1675573200000,21.0250,21.0720,21.0050,21.0540,125884.00000000,61703.00000000,-2478.00000000
1675576800000,21.0540,21.0790,20.9000,20.9840,292949.00000000,127234.00000000,-38481.00000000
1675580400000,20.9850,21.0380,20.9280,20.9690,173462.00000000,82043.00000000,-9376.00000000
1675584000000,20.9670,21.0840,20.9510,21.0410,179472.00000000,86345.00000000,-6782.00000000
1675587600000,21.0400,21.0690,20.9200,20.9370,205264.00000000,92070.00000000,-21124.00000000
1675591200000,20.9370,21.0150,20.8900,21.0070,167657.00000000,73586.00000000,-20485.00000000
1675594800000,21.0070,21.0330,20.8750,20.8920,217788.00000000,95229.00000000,-27330.00000000
1675598400000,20.8910,20.9640,19.7100,20.2010,1373219.00000000,535042.00000000,-303135.00000000
1675602000000,20.2020,20.4260,20.0880,20.3380,885769.00000000,459490.00000000,33211.00000000
1675605600000,20.3400,20.4360,20.3010,20.3650,304394.00000000,149881.00000000,-4632.00000000
1675609200000,20.3660,20.4520,20.2020,20.2750,422920.00000000,195745.00000000,-31430.00000000
1675612800000,20.2710,20.3490,20.1120,20.1540,483668.00000000,236633.00000000,-10402.00000000
1675616400000,20.1550,20.2620,19.8050,19.9710,1232281.00000000,601578.00000000,-29125.00000000
1675620000000,19.9700,20.1290,19.8870,19.8970,405680.00000000,192209.00000000,-21262.00000000
1675623600000,19.9020,19.9980,19.7310,19.9430,471135.00000000,237052.00000000,2969.00000000
1675627200000,19.9400,19.9900,19.8240,19.8800,292553.00000000,132318.00000000,-27917.00000000
1675630800000,19.8790,19.9460,19.7020,19.9390,573792.00000000,271259.00000000,-31274.00000000
