open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,137.10,137.53,136.98,137.26,12010.80900000,6637.02800000,1263.24700000
1675512000000,137.26,137.87,137.13,137.81,12412.84100000,6371.57400000,330.30700000
1675515600000,137.81,138.77,137.78,138.22,34858.38200000,17164.42000000,-529.54200000
1675519200000,138.22,138.32,137.62,138.08,17257.49700000,7402.04500000,-2453.40700000
1675522800000,138.07,138.30,137.54,137.78,10703.12500000,4788.22600000,-1126.67300000
1675526400000,137.78,138.17,137.24,137.73,13773.98600000,6814.23700000,-145.51200000
1675530000000,137.73,138.70,137.62,138.66,19815.69600000,9787.90400000,-239.88800000
1675533600000,138.64,139.96,138.59,139.23,40053.89400000,20418.07400000,782.25400000
1675537200000,139.25,139.90,139.23,139.39,20724.88600000,10607.33800000,489.79000000
1675540800000,139.39,139.69,139.20,139.22,10950.76800000,4256.63900000,-2437.49000000
1675544400000,139.22,139.57,139.02,139.20,9359.03500000,4984.11900000,609.20300000
1675548000000,139.19,139.56,139.09,139.24,7891.16400000,3690.54600000,-510.07200000
1675551600000,139.24,139.39,137.29,137.97,24151.59800000,9942.79800000,-4266.00200000
1675555200000,137.98,138.09,136.71,137.00,28011.69500000,12557.41500000,-2896.86500000
1675558800000,137.00,137.44,136.66,136.89,16859.94600000,6268.23200000,-4323.48200000
1675562400000,136.90,137.41,136.79,136.79,12291.33000000,6261.71900000,232.10800000
1675566000000,136.80,137.38,136.76,137.38,8380.95000000,4532.15800000,683.36600000
1675569600000,137.38,137.67,137.07,137.62,7386.19600000,3881.09500000,375.99400000
1675573200000,137.62,137.73,137.30,137.38,7475.57500000,2610.79700000,-2253.98100000
1675576800000,137.39,137.71,137.16,137.56,7363.55400000,3785.82900000,208.10400000
1675580400000,137.59,137.68,137.35,137.54,6063.97300000,2903.43600000,-257.10100000
1675584000000,137.54,138.16,137.47,137.73,11399.41300000,5183.93600000,-1031.54100000
1675587600000,137.72,138.08,137.50,137.61,8600.16200000,4239.91600000,-120.33000000
1675591200000,137.61,138.25,137.60,138.22,11494.77400000,6846.14500000,2197.51600000
1675594800000,138.21,138.24,137.34,137.49,10629.87100000,5486.77300000,343.67500000
1675598400000,137.48,137.71,133.50,135.02,56298.81600000,24002.69100000,-8293.43400000
1675602000000,135.04,135.29,133.37,135.00,79047.37000000,37552.45000000,-3942.47000000
1675605600000,135.00,136.18,134.83,135.08,34465.88100000,15734.09200000,-2997.69700000
1675609200000,135.09,135.25,133.88,134.37,25077.35900000,11781.74900000,-1513.86100000
1675612800000,134.36,134.88,133.65,133.70,24416.69800000,12450.12300000,483.54800000
1675616400000,133.74,134.31,132.43,133.85,51876.80300000,28154.49000000,4432.17700000
1675620000000,133.86,135.22,133.42,133.51,27569.92600000,15877.06600000,4184.20600000
1675623600000,133.50,134.15,132.93,133.84,21414.19600000,11233.73900000,1053.28200000
1675627200000,133.83,134.10,133.10,133.20,18550.23500000,9567.69100000,585.14700000
1675630800000,133.27,133.88,132.61,133.87,16179.22800000,8492.43100000,805.63400000
1675634400000,133.85,134.62,133.57,134.37,13725.76100000,6918.98200000,112.20300000
1675638000000,134.37,134.65,134.17,134.37,13790.42700000,7044.21500000,298.00300000
1675641600000,134.35,134.97,134.21,134.81,22162.84100000,9449.65700000,-3263.52700000
1675645200000,134.81,134.97,133.97,134.06,11216.12200000,5365.86000000,-484.40200000
1675648800000,134.08,134.24,133.07,133.16,11385.11800000,5409.07000000,-566.97800000
1675652400000,133.16,133.85,132.90,133.59,10452.45100000,5718.54500000,984.63900000
1675656000000,133.59,134.40,133.58,133.85,13304.31900000,6710.18800000,116.05700000
1675659600000,133.85,134.09,131.79,132.53,37389.05300000,15251.33200000,-6886.38900000
