open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,329.780,330.610,328.850,329.510,44572.45000000,20204.07000000,-4164.31000000
1675512000000,329.510,330.300,328.650,330.180,36522.82000000,17582.76000000,-1357.30000000
1675515600000,330.170,332.940,329.940,331.650,98687.06000000,48884.88000000,-917.30000000
1675519200000,331.660,332.280,330.850,331.800,44544.14000000,20672.11000000,-3199.92000000
1675522800000,331.800,332.190,330.640,331.280,28777.89000000,13977.51000000,-822.87000000
1675526400000,331.270,331.900,330.270,331.600,44370.39000000,21608.92000000,-1152.55000000
1675530000000,331.600,333.500,330.430,332.220,63470.03000000,32362.83000000,1255.63000000
1675533600000,332.210,332.310,330.120,331.360,54434.23000000,23153.24000000,-8127.75000000
1675537200000,331.370,331.600,330.220,330.420,25942.48000000,11552.41000000,-2837.66000000
1675540800000,330.430,330.790,329.780,330.210,21931.56000000,12371.67000000,2811.78000000
1675544400000,330.210,330.640,329.550,330.240,20439.70000000,10222.68000000,5.66000000
1675548000000,330.250,331.600,329.980,330.950,18611.67000000,10435.33000000,2258.99000000
1675551600000,330.950,332.110,329.450,330.410,47752.47000000,21444.34000000,-4863.79000000
1675555200000,330.400,330.850,328.680,329.860,65112.96000000,34060.87000000,3008.78000000
1675558800000,329.860,333.070,329.220,332.730,59386.21000000,28544.72000000,-2296.77000000
1675562400000,332.730,334.730,330.080,330.320,127572.63000000,65557.25000000,3541.87000000
1675566000000,330.320,331.220,329.420,329.820,45686.08000000,23242.62000000,799.16000000
1675569600000,329.820,330.500,328.760,330.220,44480.16000000,22799.64000000,1119.12000000
1675573200000,330.220,332.680,329.980,332.400,49659.48000000,26955.21000000,4250.94000000
1675576800000,332.410,333.480,332.140,332.360,64950.27000000,31812.74000000,-1324.79000000
1675580400000,332.360,333.030,331.360,332.000,38643.04000000,17450.75000000,-3741.54000000
1675584000000,332.010,338.100,332.010,335.650,171818.89000000,94721.11000000,17623.33000000
1675587600000,335.650,338.180,334.290,334.970,160642.99000000,76932.50000000,-6777.99000000
1675591200000,334.970,335.980,333.290,335.470,85866.46000000,46602.83000000,7339.20000000
1675594800000,335.480,335.640,332.460,332.790,80417.46000000,33160.10000000,-14097.26000000
