open_time,open,high,low,close,volume,taker_buy,delta
1700661600000,0.0047800,0.0048250,0.0041070,0.0042820,1781724781.00000000,873388758.00000000,-34947265.00000000
1700665200000,0.0042820,0.0044700,0.0040760,0.0042520,2536713462.00000000,1230013416.00000000,-76686630.00000000
1700668800000,0.0042540,0.0044360,0.0041700,0.0042900,1325234911.00000000,650003271.00000000,-25228369.00000000
1700672400000,0.0042920,0.0044990,0.0041500,0.0044420,1495281477.00000000,749918503.00000000,4555529.00000000
1700676000000,0.0044410,0.0047240,0.0043670,0.0044970,1462407635.00000000,690859304.00000000,-80689027.00000000
1700679600000,0.0044980,0.0047390,0.0044100,0.0046210,1343888563.00000000,678489316.00000000,13090069.00000000
1700683200000,0.0046190,0.0047760,0.0045160,0.0047050,886408032.00000000,442325469.00000000,-1757094.00000000
1700686800000,0.0047040,0.0047440,0.0045050,0.0045790,644337847.00000000,285124545.00000000,-74088757.00000000
1700690400000,0.0045780,0.0046950,0.0044300,0.0045020,727926101.00000000,347491355.00000000,-32943391.00000000
1700694000000,0.0045020,0.0045680,0.0043950,0.0045310,497075124.00000000,237319295.00000000,-22436534.00000000
1700697600000,0.0045310,0.0048180,0.0044980,0.0046990,834443519.00000000,420632051.00000000,6820583.00000000
1700701200000,0.0047010,0.0048580,0.0045450,0.0046080,838433778.00000000,384567397.00000000,-69298984.00000000
1700704800000,0.0046080,0.0046200,0.0041800,0.0043010,1662779199.00000000,752930079.00000000,-156919041.00000000
1700708400000,0.0042960,0.0044180,0.0042670,0.0043160,507712228.00000000,256129656.00000000,4547084.00000000
1700712000000,0.0043150,0.0044020,0.0042260,0.0042940,535155567.00000000,231483256.00000000,-72189055.00000000
1700715600000,0.0042910,0.0043480,0.0042010,0.0042840,656787744.00000000,290254080.00000000,-76279584.00000000
1700719200000,0.0042840,0.0042860,0.0041530,0.0042330,782262625.00000000,351800221.00000000,-78662183.00000000
1700722800000,0.0042330,0.0043540,0.0042170,0.0043090,686888778.00000000,348946434.00000000,11004090.00000000
1700726400000,0.0043110,0.0043800,0.0042870,0.0043530,524384392.00000000,250632913.00000000,-23118566.00000000
1700730000000,0.0043530,0.0043900,0.0043090,0.0043790,580546201.00000000,298231656.00000000,15917111.00000000
1700733600000,0.0043820,0.0044350,0.0043170,0.0043300,461947750.00000000,214236078.00000000,-33475594.00000000
1700737200000,0.0043320,0.0044640,0.0042480,0.0044200,823747149.00000000,383111363.00000000,-57524423.00000000
1700740800000,0.0044200,0.0045190,0.0043870,0.0044250,982230841.00000000,471679434.00000000,-38871973.00000000
1700744400000,0.0044260,0.0044520,0.0043400,0.0043890,521130171.00000000,239614051.00000000,-41902069.00000000
1700748000000,0.0043880,0.0044630,0.0043170,0.0044350,472751828.00000000,225203658.00000000,-22344512.00000000
1700751600000,0.0044390,0.0044740,0.0042120,0.0042610,935540623.00000000,402958034.00000000,-129624555.00000000
1700755200000,0.0042600,0.0043300,0.0042000,0.0042860,667407734.00000000,316281578.00000000,-34844578.00000000
1700758800000,0.0042900,0.0043190,0.0042070,0.0042440,467503081.00000000,217094789.00000000,-33313503.00000000
