open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,0.093630,0.094760,0.093600,0.094290,474346243.00000000,229986720.00000000,-14372803.00000000
1675512000000,0.094300,0.094520,0.093670,0.094260,355603202.00000000,171963255.00000000,-11676692.00000000
1675515600000,0.094260,0.094540,0.094070,0.094320,320881036.00000000,140632536.00000000,-39615964.00000000
1675519200000,0.094320,0.095050,0.093900,0.094790,445371712.00000000,219115704.00000000,-7140304.00000000
1675522800000,0.094800,0.094900,0.093860,0.094110,336172674.00000000,147833561.00000000,-40505552.00000000
1675526400000,0.094100,0.095660,0.093310,0.095120,716779306.00000000,343955952.00000000,-28867402.00000000
1675530000000,0.095110,0.099280,0.095060,0.098880,2436498001.00000000,1249169342.00000000,61840683.00000000
1675533600000,0.098870,0.099850,0.096100,0.097300,1787297464.00000000,856003095.00000000,-75291274.00000000
1675537200000,0.097310,0.098610,0.097300,0.097560,711137381.00000000,341242242.00000000,-28652897.00000000
1675540800000,0.097570,0.098090,0.097200,0.097480,399459482.00000000,199864605.00000000,269728.00000000
1675544400000,0.097470,0.097610,0.096410,0.096920,389032183.00000000,171554328.00000000,-45923527.00000000
1675548000000,0.096920,0.097700,0.096550,0.097420,271326446.00000000,143202575.00000000,15078704.00000000
1675551600000,0.097410,0.097710,0.095070,0.095740,690498300.00000000,310775970.00000000,-68946360.00000000
1675555200000,0.095740,0.096190,0.094400,0.094780,712386941.00000000,332709740.00000000,-46967461.00000000
1675558800000,0.094790,0.095270,0.094460,0.095160,322587096.00000000,146674706.00000000,-29237684.00000000
1675562400000,0.095170,0.095240,0.093130,0.093970,327131678.00000000,121599951.00000000,-83931776.00000000
1675566000000,0.093960,0.095020,0.093780,0.094960,239879388.00000000,139323314.00000000,38767240.00000000
1675569600000,0.094960,0.095300,0.094570,0.095230,215225070.00000000,105392279.00000000,-4440512.00000000
1675573200000,0.095220,0.095400,0.094970,0.095360,129566145.00000000,58942012.00000000,-11682121.00000000
1675576800000,0.095370,0.095720,0.094830,0.095340,276572464.00000000,137338129.00000000,-1896206.00000000
1675580400000,0.095340,0.096170,0.095080,0.095650,238819247.00000000,119305809.00000000,-207629.00000000
1675584000000,0.095650,0.097020,0.095510,0.096340,454579362.00000000,243537673.00000000,32495984.00000000
1675587600000,0.096350,0.096450,0.095260,0.095660,326543742.00000000,155275972.00000000,-15991798.00000000
1675591200000,0.095670,0.096000,0.095580,0.095890,161295424.00000000,79568072.00000000,-2159280.00000000
1675594800000,0.095880,0.096290,0.094910,0.095150,312097627.00000000,142651496.00000000,-26794635.00000000
1675598400000,0.095140,0.095360,0.090100,0.092270,1136100341.00000000,467557057.00000000,-200986227.00000000
1675602000000,0.092280,0.093050,0.091590,0.092530,701159267.00000000,340471428.00000000,-20216411.00000000
1675605600000,0.092530,0.093150,0.092220,0.092640,377591004.00000000,184554247.00000000,-8482510.00000000
1675609200000,0.092630,0.093080,0.091460,0.091970,487507555.00000000,215784789.00000000,-55937977.00000000
1675612800000,0.091970,0.092280,0.091210,0.091380,381446873.00000000,179936962.00000000,-21572949.00000000
1675616400000,0.091390,0.092190,0.090490,0.091700,626381726.00000000,312047392.00000000,-2286942.00000000
1675620000000,0.091700,0.092190,0.091020,0.091220,267876310.00000000,129950276.00000000,-7975758.00000000
1675623600000,0.091230,0.092010,0.090420,0.091780,353910891.00000000,174068487.00000000,-5773917.00000000
1675627200000,0.091780,0.091800,0.091090,0.091370,178922013.00000000,89664840.00000000,407667.00000000
1675630800000,0.091370,0.091570,0.090460,0.091500,236419099.00000000,112364397.00000000,-11690305.00000000
1675634400000,0.091500,0.092520,0.091250,0.092420,197443487.00000000,104382646.00000000,11321805.00000000
1675638000000,0.092410,0.092500,0.091900,0.092040,137872102.00000000,60020028.00000000,-17832046.00000000
1675641600000,0.092040,0.092940,0.091970,0.092740,209114972.00000000,106821178.00000000,4527384.00000000
1675645200000,0.092740,0.092840,0.092160,0.092290,167789730.00000000,70497080.00000000,-26795570.00000000
1675648800000,0.092290,0.092470,0.091140,0.091270,203255124.00000000,87065804.00000000,-29123516.00000000
1675652400000,0.091270,0.091770,0.091020,0.091590,165938011.00000000,82007373.00000000,-1923265.00000000
1675656000000,0.091590,0.092110,0.091580,0.091770,99330085.00000000,47960271.00000000,-3409543.00000000
1675659600000,0.091760,0.091980,0.090500,0.091720,276988175.00000000,126633333.00000000,-23721509.00000000
1675663200000,0.091720,0.092250,0.091370,0.092140,144069640.00000000,79868936.00000000,15668232.00000000
1675666800000,0.092140,0.093290,0.091890,0.093180,272673833.00000000,150837806.00000000,29001779.00000000
1675670400000,0.093170,0.093200,0.092320,0.092480,185232313.00000000,78642767.00000000,-27946779.00000000
1675674000000,0.092480,0.092550,0.092130,0.092270,101950624.00000000,44857651.00000000,-12235322.00000000
1675677600000,0.092270,0.092520,0.091690,0.092080,141813595.00000000,59868398.00000000,-22076799.00000000
1675681200000,0.092080,0.092450,0.091640,0.092350,169853358.00000000,90069963.00000000,10286568.00000000
1675684800000,0.092340,0.092490,0.091720,0.092000,173316811.00000000,86562650.00000000,-191511.00000000
1675688400000,0.092010,0.092350,0.091550,0.091730,153112515.00000000,73095736.00000000,-6921043.00000000
1675692000000,0.091720,0.091980,0.091200,0.091540,259442342.00000000,128244334.00000000,-2953674.00000000
1675695600000,0.091550,0.092440,0.091000,0.092400,309547434.00000000,145888108.00000000,-17771218.00000000
1675699200000,0.092400,0.092840,0.091790,0.091960,375149010.00000000,183164060.00000000,-8820890.00000000
1675702800000,0.091960,0.092340,0.091740,0.092160,162019930.00000000,75803497.00000000,-10412936.00000000
1675706400000,0.092160,0.092380,0.091870,0.092220,130104338.00000000,67905275.00000000,5706212.00000000
1675710000000,0.092210,0.092600,0.091900,0.092060,114458989.00000000,54842882.00000000,-4773225.00000000
1675713600000,0.092060,0.092150,0.091630,0.091770,106275077.00000000,51186680.00000000,-3901717.00000000
1675717200000,0.091770,0.091850,0.091130,0.091230,121852218.00000000,56326372.00000000,-9199474.00000000
1675720800000,0.091220,0.091300,0.090580,0.090770,251985034.00000000,115531708.00000000,-20921618.00000000
1675724400000,0.090760,0.090800,0.088400,0.089540,999433627.00000000,437090909.00000000,-125251809.00000000
1675728000000,0.089540,0.090090,0.089380,0.089730,217263915.00000000,107690304.00000000,-1883307.00000000
1675731600000,0.089720,0.090410,0.089570,0.090360,148823947.00000000,80415141.00000000,12006335.00000000
1675735200000,0.090370,0.090830,0.090140,0.090820,101114504.00000000,51222681.00000000,1330858.00000000
1675738800000,0.090820,0.090940,0.090480,0.090860,99697193.00000000,48307630.00000000,-3081933.00000000
1675742400000,0.090850,0.090960,0.090580,0.090650,107942559.00000000,51089710.00000000,-5763139.00000000
1675746000000,0.090650,0.091070,0.090640,0.090920,96333061.00000000,50256201.00000000,4179341.00000000
1675749600000,0.090930,0.091050,0.090710,0.090860,108535002.00000000,49855297.00000000,-8824408.00000000
1675753200000,0.090850,0.091080,0.090730,0.090850,85480217.00000000,39856939.00000000,-5766339.00000000
1675756800000,0.090850,0.091000,0.090350,0.090670,160562504.00000000,71984355.00000000,-16593794.00000000
1675760400000,0.090680,0.091640,0.090650,0.091510,245324204.00000000,122519697.00000000,-284810.00000000
1675764000000,0.091500,0.091790,0.091220,0.091260,160151703.00000000,69113769.00000000,-21924165.00000000
1675767600000,0.091260,0.091600,0.091200,0.091420,104534532.00000000,52899621.00000000,1264710.00000000
1675771200000,0.091410,0.091720,0.091240,0.091640,118925690.00000000,58109541.00000000,-2706608.00000000
1675774800000,0.091630,0.091710,0.090930,0.091210,174919021.00000000,80637241.00000000,-13644539.00000000
1675778400000,0.091210,0.091370,0.090910,0.091010,190842207.00000000,92751614.00000000,-5338979.00000000
1675782000000,0.091010,0.091040,0.090410,0.090600,208047322.00000000,93652482.00000000,-20742358.00000000
1675785600000,0.090600,0.091040,0.090230,0.090760,216941999.00000000,107959181.00000000,-1023637.00000000
1675789200000,0.090760,0.092240,0.090450,0.092110,575330035.00000000,299785913.00000000,24241791.00000000
1675792800000,0.092120,0.092440,0.089540,0.090490,866181328.00000000,422361330.00000000,-21458668.00000000
1675796400000,0.090490,0.091450,0.090450,0.091370,224787643.00000000,114109803.00000000,3431963.00000000
1675800000000,0.091370,0.092120,0.091190,0.091950,193580989.00000000,97387577.00000000,1194165.00000000
1675803600000,0.091940,0.092220,0.091880,0.092070,180883355.00000000,82819868.00000000,-15243619.00000000
1675807200000,0.092070,0.092720,0.091700,0.092350,169442588.00000000,91313027.00000000,13183466.00000000
1675810800000,0.092340,0.092760,0.092340,0.092530,191953117.00000000,89976646.00000000,-11999825.00000000
1675814400000,0.092520,0.093480,0.092410,0.092810,347890744.00000000,174136770.00000000,382796.00000000
1675818000000,0.092810,0.093200,0.092420,0.092600,198687960.00000000,90980104.00000000,-16727752.00000000
1675821600000,0.092610,0.092960,0.092470,0.092490,98233133.00000000,46185119.00000000,-5862895.00000000
1675825200000,0.092490,0.092660,0.092260,0.092590,100788677.00000000,44027462.00000000,-12733753.00000000
1675828800000,0.092580,0.092690,0.092370,0.092520,91506684.00000000,47384362.00000000,3262040.00000000
1675832400000,0.092520,0.092610,0.091920,0.092130,171572191.00000000,86817539.00000000,2062887.00000000
1675836000000,0.092140,0.092250,0.091790,0.092050,126832109.00000000,59245428.00000000,-8341253.00000000
1675839600000,0.092050,0.092450,0.091980,0.092160,114322565.00000000,59913597.00000000,5504629.00000000
1675843200000,0.092150,0.092180,0.091360,0.091690,187078810.00000000,78869342.00000000,-29340126.00000000
1675846800000,0.091680,0.091850,0.091510,0.091750,87798349.00000000,44968491.00000000,2138633.00000000
1675850400000,0.091740,0.091750,0.091400,0.091610,90233092.00000000,44663615.00000000,-905862.00000000
1675854000000,0.091610,0.092280,0.091540,0.092150,132231785.00000000,69008786.00000000,5785787.00000000
1675857600000,0.092160,0.092410,0.091730,0.092000,211280228.00000000,104899797.00000000,-1480634.00000000
1675861200000,0.092000,0.092530,0.091640,0.092070,260690806.00000000,132101003.00000000,3511200.00000000
1675864800000,0.092060,0.092070,0.091100,0.091520,352344635.00000000,159454946.00000000,-33434743.00000000
1675868400000,0.091510,0.091520,0.090100,0.090250,620595097.00000000,295263034.00000000,-30069029.00000000
1675872000000,0.090240,0.090420,0.088460,0.090160,808536111.00000000,355408661.00000000,-97718789.00000000
1675875600000,0.090160,0.090620,0.089920,0.090310,332773791.00000000,157932946.00000000,-16907899.00000000
1675879200000,0.090300,0.090520,0.089500,0.089820,211503184.00000000,101799586.00000000,-7904012.00000000
1675882800000,0.089810,0.090000,0.089390,0.089650,160447947.00000000,71313035.00000000,-17821877.00000000
1675886400000,0.089640,0.089720,0.088970,0.089060,207595321.00000000,100339707.00000000,-6915907.00000000
1675890000000,0.089060,0.089990,0.088980,0.089800,153846489.00000000,86111888.00000000,18377287.00000000
