open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,6.886,6.909,6.884,6.891,571376.70000000,308795.00000000,46213.30000000
1675512000000,6.891,6.950,6.891,6.944,1018898.20000000,538631.60000000,58365.00000000
1675515600000,6.946,7.073,6.945,6.996,2793126.60000000,1359281.80000000,-74563.00000000
1675519200000,6.997,7.008,6.937,6.981,1129015.30000000,492403.80000000,-144207.70000000
1675522800000,6.980,6.982,6.922,6.940,870635.20000000,409562.80000000,-51509.60000000
1675526400000,6.941,6.957,6.887,6.913,1147857.10000000,581537.00000000,15216.90000000
1675530000000,6.912,6.968,6.894,6.955,1140128.10000000,639833.60000000,139539.10000000
1675533600000,6.954,6.958,6.900,6.934,1006025.30000000,470167.20000000,-65690.90000000
1675537200000,6.934,6.940,6.927,6.932,406071.50000000,207016.20000000,7960.90000000
1675540800000,6.932,6.950,6.919,6.935,405049.30000000,208652.30000000,12255.30000000
1675544400000,6.936,6.969,6.919,6.962,457651.40000000,243818.40000000,29985.40000000
1675548000000,6.961,6.983,6.940,6.951,535092.10000000,273741.60000000,12391.10000000
1675551600000,6.952,6.978,6.834,6.868,1705630.50000000,663869.50000000,-377891.50000000
1675555200000,6.868,6.893,6.761,6.789,2097142.20000000,860731.70000000,-375678.80000000
1675558800000,6.789,6.829,6.779,6.822,809993.40000000,402742.70000000,-4508.00000000
1675562400000,6.821,6.853,6.785,6.787,1269891.40000000,610505.10000000,-48881.20000000
1675566000000,6.786,6.829,6.784,6.813,462212.70000000,253264.60000000,44316.50000000
1675569600000,6.813,6.852,6.807,6.848,354774.20000000,197902.70000000,41031.20000000
1675573200000,6.849,6.859,6.838,6.853,422067.60000000,227397.20000000,32726.80000000
1675576800000,6.853,6.879,6.833,6.878,504465.10000000,262001.40000000,19537.70000000
1675580400000,6.878,6.887,6.848,6.851,453750.20000000,208309.70000000,-37130.80000000
1675584000000,6.851,6.884,6.841,6.866,537370.00000000,251129.40000000,-35111.20000000
1675587600000,6.866,6.879,6.840,6.847,371769.90000000,192356.20000000,12942.50000000
1675591200000,6.847,6.866,6.834,6.852,431606.60000000,212489.00000000,-6628.60000000
1675594800000,6.851,6.854,6.793,6.811,727111.00000000,343901.50000000,-39308.00000000
1675598400000,6.810,6.838,6.595,6.658,2789891.50000000,1329103.20000000,-131685.10000000
1675602000000,6.657,6.707,6.606,6.680,2930412.00000000,1525187.80000000,119963.60000000
1675605600000,6.681,6.699,6.655,6.677,1094642.30000000,550799.90000000,6957.50000000
1675609200000,6.676,6.693,6.614,6.624,1089379.10000000,505530.50000000,-78318.10000000
1675612800000,6.624,6.669,6.588,6.616,1435748.70000000,713806.90000000,-8134.90000000
1675616400000,6.616,6.638,6.524,6.571,2590124.50000000,1198517.50000000,-193089.50000000
1675620000000,6.571,6.604,6.554,6.564,927383.60000000,456997.90000000,-13387.80000000
1675623600000,6.564,6.596,6.532,6.585,972415.00000000,478698.70000000,-15017.60000000
1675627200000,6.586,6.602,6.548,6.560,540730.90000000,265029.40000000,-10672.10000000
1675630800000,6.561,6.571,6.506,6.570,1046888.50000000,484106.20000000,-78676.10000000
1675634400000,6.570,6.646,6.554,6.639,790106.30000000,419375.60000000,48644.90000000
1675638000000,6.638,6.648,6.616,6.631,574191.40000000,293618.90000000,13046.40000000
1675641600000,6.631,6.760,6.631,6.745,1463823.20000000,862793.00000000,261762.80000000
1675645200000,6.745,6.786,6.700,6.705,1030286.10000000,478480.90000000,-73324.30000000
1675648800000,6.705,6.720,6.644,6.648,579904.80000000,219353.50000000,-141197.80000000
1675652400000,6.648,6.688,6.620,6.663,789614.40000000,383451.00000000,-22712.40000000
1675656000000,6.662,6.684,6.642,6.645,458111.60000000,228173.80000000,-1764.00000000
