open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,22.685,22.808,22.607,22.709,463984.74000000,231460.73000000,-1063.28000000
1675688400000,22.708,22.780,22.558,22.608,393792.87000000,179773.03000000,-34246.81000000
1675692000000,22.608,22.736,22.473,22.581,787474.77000000,386441.36000000,-14592.05000000
1675695600000,22.582,22.871,22.352,22.852,990062.73000000,503702.54000000,17342.35000000
1675699200000,22.850,22.939,22.601,22.689,1108003.64000000,537514.07000000,-32975.50000000
1675702800000,22.688,22.822,22.635,22.770,432012.38000000,230082.91000000,28153.44000000
1675706400000,22.771,22.816,22.600,22.703,351043.44000000,164876.21000000,-21291.02000000
1675710000000,22.703,22.819,22.643,22.679,300470.49000000,154768.83000000,9067.17000000
1675713600000,22.679,22.696,22.570,22.614,311080.36000000,149217.49000000,-12645.38000000
1675717200000,22.616,22.643,22.500,22.545,385143.61000000,184342.27000000,-16459.07000000
1675720800000,22.546,22.547,22.361,22.369,286919.90000000,136305.85000000,-14308.20000000
1675724400000,22.368,22.383,21.890,22.124,1247500.23000000,538068.09000000,-171364.05000000
1675728000000,22.124,22.263,22.074,22.210,562271.11000000,278406.08000000,-5458.95000000
1675731600000,22.210,22.326,22.180,22.292,366128.03000000,209530.96000000,52933.89000000
1675735200000,22.292,22.376,22.180,22.376,309597.44000000,143988.86000000,-21619.72000000
1675738800000,22.377,22.461,22.322,22.401,371786.81000000,169536.10000000,-32714.61000000
1675742400000,22.402,22.466,22.378,22.422,195049.44000000,96430.10000000,-2189.24000000
1675746000000,22.421,22.515,22.406,22.470,223378.33000000,111563.74000000,-250.85000000
1675749600000,22.469,22.545,22.424,22.429,315539.60000000,149835.33000000,-15868.94000000
1675753200000,22.428,22.531,22.388,22.399,278206.33000000,128492.80000000,-21220.73000000
1675756800000,22.399,22.439,22.307,22.363,378427.39000000,190064.58000000,1701.77000000
1675760400000,22.362,22.624,22.352,22.563,568240.20000000,301821.07000000,35401.94000000
1675764000000,22.562,22.700,22.513,22.561,401780.32000000,205167.61000000,8554.90000000
1675767600000,22.560,22.661,22.537,22.610,395074.60000000,197501.87000000,-70.86000000
1675771200000,22.611,22.696,22.571,22.650,438842.97000000,215091.61000000,-8659.75000000
1675774800000,22.653,22.658,22.463,22.570,392394.37000000,185781.57000000,-20831.23000000
1675778400000,22.569,22.605,22.477,22.510,405966.09000000,201471.16000000,-3023.77000000
1675782000000,22.509,22.516,22.323,22.345,533808.32000000,240158.82000000,-53490.68000000
1675785600000,22.347,22.439,22.211,22.380,480798.83000000,234794.62000000,-11209.59000000
1675789200000,22.379,22.907,22.257,22.831,1102505.12000000,582716.70000000,62928.28000000
1675792800000,22.832,22.920,22.027,22.370,1783461.27000000,844911.42000000,-93638.43000000
1675796400000,22.370,22.687,22.345,22.663,608609.96000000,319063.18000000,29516.40000000
1675800000000,22.663,22.923,22.583,22.860,593404.30000000,305895.60000000,18386.90000000
1675803600000,22.861,23.017,22.845,22.968,671381.92000000,326188.31000000,-19005.30000000
1675807200000,22.969,23.192,22.889,23.125,525634.78000000,284836.28000000,44037.78000000
1675810800000,23.125,23.309,23.124,23.208,598325.72000000,301637.42000000,4949.12000000
1675814400000,23.209,23.391,23.101,23.278,975955.56000000,491233.82000000,6512.08000000
1675818000000,23.278,23.308,23.100,23.161,493831.08000000,223693.17000000,-46444.74000000
1675821600000,23.162,23.209,23.041,23.049,309262.57000000,139480.02000000,-30302.53000000
1675825200000,23.049,23.160,23.016,23.107,273422.89000000,137536.15000000,1649.41000000
1675828800000,23.108,23.157,23.071,23.077,178948.04000000,89224.44000000,-499.16000000
1675832400000,23.076,23.103,22.862,22.961,446576.13000000,206906.12000000,-32763.89000000
1675836000000,22.960,23.000,22.834,22.949,296075.63000000,151823.84000000,7572.05000000
1675839600000,22.946,23.092,22.924,23.067,263511.09000000,135626.42000000,7741.75000000
1675843200000,23.067,23.082,22.882,22.965,379293.94000000,171114.92000000,-37064.10000000
1675846800000,22.966,22.992,22.870,22.923,290082.05000000,125804.13000000,-38473.79000000
1675850400000,22.921,22.926,22.782,22.920,304904.05000000,143283.57000000,-18336.91000000
1675854000000,22.921,23.073,22.875,23.058,395181.07000000,200067.56000000,4954.05000000
1675857600000,23.058,23.244,22.960,23.020,770597.47000000,382718.93000000,-5159.61000000
1675861200000,23.021,23.117,22.890,23.071,711182.58000000,351785.96000000,-7610.66000000
1675864800000,23.072,23.144,22.910,23.015,741104.77000000,359843.71000000,-21417.35000000
1675868400000,23.015,23.015,22.632,22.678,1323361.51000000,643997.37000000,-35366.77000000
1675872000000,22.678,22.709,22.100,22.602,2156121.43000000,1042637.83000000,-70845.77000000
1675875600000,22.600,22.742,22.526,22.678,633218.69000000,278749.11000000,-75720.47000000
1675879200000,22.681,22.728,22.409,22.517,439887.98000000,221147.47000000,2406.96000000
1675882800000,22.518,22.647,22.444,22.519,307756.97000000,145695.10000000,-16366.77000000
1675886400000,22.519,22.530,22.251,22.325,460146.92000000,219287.73000000,-21571.46000000
1675890000000,22.322,22.643,22.286,22.574,252535.20000000,135418.30000000,18301.40000000
1675893600000,22.572,22.652,22.523,22.553,207261.16000000,91364.06000000,-24533.04000000
1675897200000,22.554,22.659,22.468,22.638,325670.15000000,166221.63000000,6773.11000000
1675900800000,22.636,22.818,22.505,22.807,523045.69000000,275521.02000000,27996.35000000
1675904400000,22.808,22.915,22.660,22.681,510980.61000000,225673.91000000,-59632.79000000
1675908000000,22.681,22.702,22.213,22.223,592708.88000000,288105.32000000,-16498.24000000
