open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,1659.83,1662.57,1658.16,1661.64,57375.79300000,23853.82800000,-9668.13700000
1675512000000,1661.64,1667.73,1660.11,1665.56,94813.46400000,50564.98900000,6316.51400000
1675515600000,1665.57,1696.99,1665.56,1684.84,627092.37800000,357212.71000000,87333.04200000
1675519200000,1684.84,1685.40,1672.12,1681.66,186364.86500000,90213.21400000,-5938.43700000
1675522800000,1681.65,1682.02,1675.50,1680.48,94770.55400000,46782.99700000,-1204.56000000
1675526400000,1680.47,1686.36,1672.03,1681.06,155274.96300000,81120.76700000,6966.57100000
1675530000000,1681.06,1685.37,1677.00,1681.58,116386.22300000,58588.35400000,790.48500000
1675533600000,1681.57,1683.50,1672.65,1679.07,126785.53600000,65748.51000000,4711.48400000
1675537200000,1679.07,1679.96,1674.54,1676.16,50316.86800000,27953.03200000,5589.19600000
1675540800000,1676.16,1681.75,1673.67,1679.14,72822.10400000,34891.89700000,-3038.31000000
1675544400000,1679.14,1680.69,1674.54,1680.23,55609.96100000,26017.48200000,-3574.99700000
1675548000000,1680.21,1691.65,1676.62,1680.49,91799.98600000,46834.04300000,1868.10000000
1675551600000,1680.50,1683.74,1656.50,1666.44,206278.27100000,87858.31500000,-30561.64100000
1675555200000,1666.44,1671.41,1657.48,1663.78,170785.41200000,80570.21500000,-9644.98200000
1675558800000,1663.84,1667.65,1660.52,1665.69,70517.06900000,35424.47300000,331.87700000
1675562400000,1665.68,1669.25,1660.78,1660.91,65399.52800000,29379.37900000,-6640.77000000
1675566000000,1660.90,1663.73,1656.69,1661.26,84402.02100000,40453.81100000,-3494.39900000
1675569600000,1661.26,1666.49,1659.80,1664.20,58594.53900000,33409.29200000,8224.04500000
1675573200000,1664.19,1667.64,1663.67,1667.42,44576.37200000,26313.12000000,8049.86800000
1675576800000,1667.43,1672.10,1663.67,1667.88,82738.97800000,39797.98800000,-3143.00200000
1675580400000,1667.88,1669.15,1665.04,1668.04,29570.71200000,13408.21800000,-2754.27600000
1675584000000,1668.04,1674.59,1666.00,1670.27,80976.77200000,41979.87800000,2982.98400000
1675587600000,1670.27,1672.42,1665.00,1666.00,59411.91600000,25781.37800000,-7849.16000000
1675591200000,1666.00,1671.01,1665.49,1669.12,61174.73800000,32742.20100000,4309.66400000
1675594800000,1669.13,1669.20,1660.39,1662.44,98986.70400000,41950.86600000,-15084.97200000
1675598400000,1662.44,1664.82,1632.69,1648.34,374598.59300000,170130.81000000,-34336.97300000
1675602000000,1648.35,1652.88,1641.07,1648.58,262100.90900000,135626.12200000,9151.33500000
1675605600000,1648.58,1656.00,1646.07,1651.87,140688.17600000,76387.33700000,12086.49800000
1675609200000,1651.88,1658.00,1640.41,1644.57,242014.54400000,109027.89300000,-23958.75800000
1675612800000,1644.57,1647.74,1636.22,1639.18,226906.15700000,107359.90300000,-12186.35100000
1675616400000,1639.18,1642.39,1615.00,1618.11,587278.65300000,253013.43100000,-81251.79100000
