open_time,open,high,low,close,volume,taker_buy,delta
1734717600000,1.0336000,1.1014000,1.0190000,1.0293000,944531.30000000,405319.00000000,-133893.30000000
1734721200000,1.0296000,1.1736000,0.9530000,1.1348000,5623205.00000000,2903584.00000000,183963.00000000
1734724800000,1.1351000,1.1573000,1.0240000,1.0538000,3573325.10000000,1657055.10000000,-259214.90000000
1734728400000,1.0543000,1.1202000,1.0538000,1.0829000,1623288.70000000,854039.80000000,84790.90000000
1734732000000,1.0838000,1.1049000,1.0144000,1.0544000,1312534.40000000,637921.60000000,-36691.20000000
1734735600000,1.0537000,1.1108000,1.0404000,1.0550000,1339601.60000000,653413.30000000,-32775.00000000
1734739200000,1.0550000,1.0558000,0.9201000,0.9375000,3012303.30000000,1312997.70000000,-386307.90000000
1734742800000,0.9388000,1.0619000,0.9361000,1.0567000,3308496.60000000,1766907.50000000,225318.40000000
1734746400000,1.0568000,1.0652000,0.9400000,0.9519000,2569430.90000000,1162700.30000000,-244030.30000000
1734750000000,0.9519000,0.9729000,0.9261000,0.9480000,1778717.70000000,833145.40000000,-112426.90000000
1734753600000,0.9487000,0.9592000,0.8651000,0.8943000,4598990.50000000,2056190.00000000,-486610.50000000
1734757200000,0.8941000,0.9639000,0.8808000,0.9503000,2717963.00000000,1332613.40000000,-52736.20000000
1734760800000,0.9500000,0.9603000,0.8516000,0.8611000,6929799.10000000,3160465.10000000,-608868.90000000
1734764400000,0.8616000,0.8710000,0.8200000,0.8531000,7917746.60000000,3779352.80000000,-359041.00000000
1734768000000,0.8537000,0.8819000,0.8053000,0.8432000,8317467.80000000,3596971.10000000,-1123525.60000000
1734771600000,0.8447000,0.8866000,0.8100000,0.8781000,6653099.10000000,3525591.10000000,398083.10000000
1734775200000,0.8782000,0.9360000,0.8662000,0.8964000,8214462.40000000,3844805.90000000,-524850.60000000
1734778800000,0.8963000,0.9160000,0.8560000,0.8900000,5342211.70000000,2655386.50000000,-31438.70000000
1734782400000,0.8900000,0.8900000,0.7953000,0.8026000,9816153.50000000,4389842.60000000,-1036468.30000000
1734786000000,0.8029000,0.8384000,0.7801000,0.8289000,10305864.80000000,4962543.50000000,-380777.80000000
1734789600000,0.8288000,0.8847000,0.8236000,0.8458000,8731570.40000000,4333447.50000000,-64675.40000000
1734793200000,0.8465000,0.8646000,0.8197000,0.8488000,6403801.80000000,3123063.10000000,-157675.60000000
1734796800000,0.8491000,0.9049000,0.8214000,0.8855000,8042114.30000000,4111582.50000000,181050.70000000
1734800400000,0.8845000,0.9241000,0.8648000,0.9100000,8172058.10000000,4025756.40000000,-120545.30000000
1734804000000,0.9102000,0.9243000,0.8352000,0.8391000,6299067.50000000,3002907.40000000,-293252.70000000
1734807600000,0.8394000,0.8452000,0.7532000,0.7966000,9690707.20000000,4327873.20000000,-1034960.80000000
1734811200000,0.7959000,0.8480000,0.7910000,0.8285000,6884136.70000000,3314642.90000000,-254850.90000000
1734814800000,0.8285000,0.8397000,0.7517000,0.7803000,7615711.90000000,3417340.90000000,-781030.10000000
1734818400000,0.7802000,0.8382000,0.7655000,0.8119000,6486826.40000000,3262284.10000000,37741.80000000
1734822000000,0.8121000,0.8128000,0.7741000,0.8005000,3884976.60000000,1988997.60000000,93018.60000000
1734825600000,0.8004000,0.8114000,0.7458000,0.7508000,6345724.20000000,2692172.70000000,-961378.80000000
1734829200000,0.7508000,0.7743000,0.7182000,0.7349000,7807779.60000000,3894455.50000000,-18868.60000000
1734832800000,0.7349000,0.7850000,0.7321000,0.7674000,7013029.20000000,3526638.30000000,40247.40000000
1734836400000,0.7670000,0.7941000,0.7434000,0.7913000,5011531.90000000,2487700.90000000,-36130.10000000
1734840000000,0.7914000,0.8381000,0.7872000,0.7922000,7004974.50000000,3315701.70000000,-373571.10000000
1734843600000,0.7926000,0.8082000,0.7596000,0.7957000,6502727.80000000,3096418.70000000,-309890.40000000
1734847200000,0.7957000,0.7970000,0.7686000,0.7830000,3434009.10000000,1665232.30000000,-103544.50000000
1734850800000,0.7829000,0.8083000,0.7687000,0.8048000,3990384.20000000,1984883.30000000,-20617.60000000
1734854400000,0.8046000,0.8264000,0.7821000,0.7828000,4588204.50000000,2327944.50000000,67684.50000000
1734858000000,0.7826000,0.8272000,0.7719000,0.8091000,5330239.00000000,2775997.60000000,221756.20000000
