open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,5.591,5.616,5.590,5.604,311746.40000000,145768.40000000,-20209.60000000
1675512000000,5.604,5.632,5.589,5.627,533816.80000000,264002.50000000,-5811.80000000
1675515600000,5.627,5.703,5.626,5.691,1270464.60000000,687865.70000000,105266.80000000
1675519200000,5.691,5.699,5.647,5.695,837035.10000000,352883.90000000,-131267.30000000
1675522800000,5.695,5.733,5.651,5.659,1162990.90000000,605884.30000000,48777.70000000
1675526400000,5.658,5.666,5.601,5.626,1271333.50000000,458878.60000000,-353576.30000000
1675530000000,5.626,5.639,5.578,5.623,1274345.90000000,570468.50000000,-133408.90000000
1675533600000,5.623,5.639,5.553,5.599,1352654.90000000,663942.90000000,-24769.10000000
1675537200000,5.599,5.610,5.558,5.565,483858.50000000,224023.50000000,-35811.50000000
1675540800000,5.565,5.596,5.558,5.589,482834.80000000,260520.90000000,38207.00000000
1675544400000,5.589,5.604,5.577,5.598,328427.50000000,156430.00000000,-15567.50000000
1675548000000,5.598,5.626,5.590,5.598,459749.40000000,233706.10000000,7662.80000000
1675551600000,5.598,5.612,5.457,5.526,1663054.20000000,655116.30000000,-352821.60000000
1675555200000,5.526,5.548,5.422,5.470,1650640.00000000,722152.40000000,-206335.20000000
1675558800000,5.470,5.509,5.458,5.503,721654.40000000,385722.40000000,49790.40000000
1675562400000,5.503,5.515,5.460,5.464,581191.70000000,256786.70000000,-67618.30000000
1675566000000,5.465,5.490,5.461,5.478,524777.80000000,236737.30000000,-51303.20000000
1675569600000,5.478,5.517,5.475,5.502,540714.80000000,256044.50000000,-28625.80000000
1675573200000,5.503,5.529,5.502,5.526,318957.10000000,178708.20000000,38459.30000000
1675576800000,5.525,5.550,5.511,5.532,579769.00000000,288546.10000000,-2676.80000000
1675580400000,5.531,5.540,5.511,5.516,349175.00000000,135105.00000000,-78965.00000000
1675584000000,5.516,5.556,5.506,5.540,616353.90000000,265533.40000000,-85287.10000000
1675587600000,5.541,5.550,5.503,5.513,463735.20000000,192654.60000000,-78426.00000000
1675591200000,5.512,5.535,5.510,5.532,377434.50000000,221413.40000000,65392.30000000
1675594800000,5.532,5.536,5.472,5.484,901900.60000000,350112.40000000,-201675.80000000
1675598400000,5.483,5.499,5.115,5.276,4462059.60000000,1818809.50000000,-824440.60000000
1675602000000,5.275,5.349,5.237,5.320,3302463.00000000,1623868.70000000,-54725.60000000
1675605600000,5.321,5.346,5.305,5.319,983057.60000000,434304.30000000,-114449.00000000
1675609200000,5.319,5.338,5.255,5.278,1089143.50000000,488034.20000000,-113075.10000000
1675612800000,5.279,5.307,5.221,5.239,1764683.40000000,860235.00000000,-44213.40000000
1675616400000,5.239,5.271,5.168,5.219,1969983.00000000,997091.50000000,24200.00000000
1675620000000,5.218,5.253,5.204,5.220,608265.30000000,305318.10000000,2370.90000000
1675623600000,5.220,5.245,5.187,5.232,806893.90000000,358523.60000000,-89846.70000000
1675627200000,5.232,5.250,5.205,5.220,487693.40000000,247650.80000000,7608.20000000
1675630800000,5.220,5.237,5.159,5.231,958501.50000000,458039.20000000,-42423.10000000
1675634400000,5.232,5.298,5.220,5.288,509016.10000000,284619.30000000,60222.50000000
1675638000000,5.288,5.308,5.271,5.301,695566.30000000,300022.50000000,-95521.30000000
1675641600000,5.300,5.396,5.298,5.395,1208837.60000000,667843.20000000,126848.80000000
1675645200000,5.395,5.403,5.329,5.336,864766.60000000,340724.00000000,-183318.60000000
1675648800000,5.336,5.355,5.262,5.264,844902.50000000,308449.20000000,-228004.10000000
1675652400000,5.264,5.305,5.255,5.272,878445.90000000,405140.00000000,-68165.90000000
1675656000000,5.273,5.303,5.258,5.262,342971.50000000,174373.30000000,5775.10000000
1675659600000,5.261,5.273,5.179,5.253,1222100.30000000,628892.60000000,35684.90000000
1675663200000,5.253,5.260,5.225,5.236,921256.30000000,413583.90000000,-94088.50000000
1675666800000,5.236,5.297,5.212,5.294,836618.60000000,409456.00000000,-17706.60000000
1675670400000,5.294,5.316,5.264,5.268,927218.80000000,422284.90000000,-82649.00000000
1675674000000,5.269,5.285,5.245,5.258,469307.30000000,216824.50000000,-35658.30000000
1675677600000,5.258,5.265,5.225,5.243,479886.70000000,230031.00000000,-19824.70000000
1675681200000,5.242,5.256,5.189,5.246,921371.30000000,392005.40000000,-137360.50000000
1675684800000,5.246,5.289,5.225,5.264,1123913.70000000,697497.20000000,271080.70000000
1675688400000,5.263,5.293,5.224,5.230,810381.40000000,382364.70000000,-45652.00000000
1675692000000,5.230,5.280,5.199,5.252,1447513.10000000,721743.10000000,-4026.90000000
1675695600000,5.253,5.347,5.233,5.347,2098793.30000000,1005485.80000000,-87821.70000000
1675699200000,5.347,5.410,5.293,5.317,2482474.80000000,1243864.40000000,5254.00000000
1675702800000,5.316,5.322,5.290,5.293,633441.00000000,301343.80000000,-30753.40000000
1675706400000,5.294,5.317,5.259,5.282,569507.60000000,267373.30000000,-34761.00000000
1675710000000,5.281,5.314,5.262,5.274,574101.50000000,279460.80000000,-15179.90000000
1675713600000,5.274,5.281,5.238,5.248,1012563.00000000,424182.10000000,-164198.80000000
1675717200000,5.248,5.250,5.193,5.228,887734.50000000,404942.80000000,-77848.90000000
1675720800000,5.227,5.227,5.185,5.190,508431.70000000,221082.20000000,-66267.30000000
1675724400000,5.189,5.198,5.068,5.127,2523624.90000000,1103395.90000000,-316833.10000000
1675728000000,5.126,5.164,5.119,5.158,1073028.60000000,572826.50000000,72624.40000000
1675731600000,5.158,5.215,5.153,5.207,863709.10000000,462431.00000000,61152.90000000
1675735200000,5.207,5.217,5.172,5.217,1003991.20000000,458565.70000000,-86859.80000000
1675738800000,5.217,5.224,5.188,5.208,546347.50000000,266672.60000000,-13002.30000000
1675742400000,5.210,5.231,5.203,5.218,620353.60000000,265613.30000000,-89127.00000000
1675746000000,5.218,5.285,5.218,5.281,932533.10000000,430498.60000000,-71535.90000000
1675749600000,5.280,5.305,5.260,5.283,774077.90000000,362988.50000000,-48100.90000000
1675753200000,5.284,5.330,5.262,5.281,1275597.30000000,602243.40000000,-71110.50000000
1675756800000,5.282,5.304,5.238,5.295,1252666.10000000,579460.70000000,-93744.70000000
1675760400000,5.294,5.368,5.289,5.361,1658056.40000000,908455.10000000,158853.80000000
1675764000000,5.361,5.379,5.331,5.339,1232478.80000000,504756.20000000,-222966.40000000
