open_time,open,high,low,close,volume,taker_buy,delta
1683388800000,0.0423100,0.0444600,0.0423100,0.0433200,152755661.00000000,77489569.00000000,2223477.00000000
1683392400000,0.0433200,0.0438600,0.0423900,0.0434500,196934241.00000000,100420734.00000000,3907227.00000000
1683396000000,0.0434700,0.0434900,0.0420100,0.0426400,162273229.00000000,80275414.00000000,-1722401.00000000
1683399600000,0.0426400,0.0432900,0.0403500,0.0410000,206211714.00000000,101920841.00000000,-2370032.00000000
1683403200000,0.0410400,0.0412100,0.0398900,0.0404700,126295284.00000000,62682288.00000000,-930708.00000000
1683406800000,0.0404700,0.0404800,0.0382300,0.0391500,155086466.00000000,77686951.00000000,287436.00000000
1683410400000,0.0392000,0.0395600,0.0383800,0.0389100,58607067.00000000,30810795.00000000,3014523.00000000
1683414000000,0.0388800,0.0401800,0.0388500,0.0399900,78172786.00000000,44124432.00000000,10076078.00000000
1683417600000,0.0399900,0.0403200,0.0392500,0.0395800,56772390.00000000,28132553.00000000,-507284.00000000
1683421200000,0.0395700,0.0417700,0.0390000,0.0413300,120836559.00000000,66958208.00000000,13079857.00000000
1683424800000,0.0413200,0.0413200,0.0399000,0.0399600,68123919.00000000,32530200.00000000,-3063519.00000000
1683428400000,0.0399700,0.0403100,0.0394100,0.0401600,53679718.00000000,29301390.00000000,4923062.00000000
1683432000000,0.0401500,0.0401700,0.0394600,0.0394800,46356735.00000000,21082019.00000000,-4192697.00000000
1683435600000,0.0394600,0.0397500,0.0385500,0.0388900,65241038.00000000,31311727.00000000,-2617584.00000000
1683439200000,0.0388700,0.0390800,0.0384000,0.0388900,66927078.00000000,33483549.00000000,40020.00000000
1683442800000,0.0388900,0.0394700,0.0386800,0.0390700,40338393.00000000,18959723.00000000,-2418947.00000000
1683446400000,0.0390600,0.0390700,0.0379700,0.0381800,107966692.00000000,49434459.00000000,-9097774.00000000
1683450000000,0.0381800,0.0386500,0.0377300,0.0384500,67887150.00000000,37227233.00000000,6567316.00000000
1683453600000,0.0384500,0.0395800,0.0381500,0.0393700,77022425.00000000,41656864.00000000,6291303.00000000
1683457200000,0.0393800,0.0399700,0.0390200,0.0396200,83442000.00000000,40000860.00000000,-3440280.00000000
1683460800000,0.0396200,0.0403800,0.0391600,0.0401200,71691558.00000000,37975808.00000000,4260058.00000000
1683464400000,0.0401000,0.0414000,0.0395200,0.0408000,110860041.00000000,53446267.00000000,-3967507.00000000
1683468000000,0.0408000,0.0419200,0.0405200,0.0405900,127583908.00000000,61952267.00000000,-3679374.00000000
