open_time,open,high,low,close,volume,taker_buy,delta
1731078000000,3.5000000,3.5100000,3.3692000,3.4216000,2087126.80000000,1161090.70000000,235054.60000000
1731081600000,3.4214000,3.4259000,3.0597000,3.1745000,4978077.40000000,2490081.40000000,2085.40000000
1731085200000,3.1754000,3.4016000,3.1652000,3.3451000,3795949.20000000,2126842.20000000,457735.20000000
1731088800000,3.3450000,3.3972000,3.2361000,3.3034000,2699913.20000000,1389189.40000000,78465.60000000
1731092400000,3.3039000,3.3064000,3.1177000,3.1710000,2038740.10000000,970216.90000000,-98306.30000000
1731096000000,3.1714000,3.2059000,3.0360000,3.1029000,1896908.90000000,904094.40000000,-88720.10000000
1731099600000,3.1043000,3.2212000,3.0225000,3.1901000,1511432.30000000,790416.20000000,69400.10000000
1731103200000,3.1890000,3.3107000,3.1681000,3.2171000,1494621.60000000,819623.60000000,144625.60000000
1731106800000,3.2165000,3.2403000,3.1212000,3.1384000,1098567.70000000,514816.00000000,-68935.70000000
1731110400000,3.1405000,3.2556000,3.0559000,3.1360000,2087205.40000000,1056161.70000000,25118.00000000
1731114000000,3.1396000,3.2115000,3.0177000,3.1626000,2706186.20000000,1304596.90000000,-96992.40000000
1731117600000,3.1610000,3.1922000,3.0571000,3.1758000,1792335.00000000,932361.80000000,72388.60000000
1731121200000,3.1755000,3.2762000,3.1000000,3.1440000,2495970.50000000,1174524.00000000,-146922.50000000
1731124800000,3.1437000,3.3799000,3.1391000,3.3381000,2660375.30000000,1311940.10000000,-36495.10000000
1731128400000,3.3365000,3.3933000,3.2465000,3.3608000,1803061.20000000,892143.20000000,-18774.80000000
1731132000000,3.3614000,3.3775000,3.2109000,3.2357000,1796719.60000000,815387.50000000,-165944.60000000
1731135600000,3.2332000,3.2349000,3.0690000,3.1301000,3574797.00000000,1701202.30000000,-172392.40000000
1731139200000,3.1302000,3.2355000,3.0753000,3.0995000,2741247.50000000,1300713.30000000,-139820.90000000
1731142800000,3.1002000,3.1740000,3.0153000,3.1002000,3050943.80000000,1400665.70000000,-249612.40000000
1731146400000,3.1006000,3.1692000,3.0591000,3.1083000,2434985.20000000,1173455.40000000,-88074.40000000
1731150000000,3.1071000,3.1254000,2.8759000,2.9402000,5171910.10000000,2296247.80000000,-579414.50000000
1731153600000,2.9392000,2.9783000,2.8300000,2.9388000,4068376.90000000,1825195.20000000,-417986.50000000
1731157200000,2.9392000,2.9643000,2.8613000,2.8696000,2466369.00000000,1133422.10000000,-199524.80000000
1731160800000,2.8700000,2.9113000,2.7843000,2.8293000,3596713.50000000,1562940.00000000,-470833.50000000
1731164400000,2.8283000,2.9399000,2.7980000,2.9126000,2974854.00000000,1415494.00000000,-143866.00000000
1731168000000,2.9126000,2.9992000,2.8758000,2.9157000,3422138.30000000,1708636.80000000,-4864.70000000
1731171600000,2.9158000,2.9918000,2.8088000,2.9884000,3457451.10000000,1694951.30000000,-67548.50000000
1731175200000,2.9878000,3.0994000,2.9351000,3.0894000,3095302.10000000,1634373.90000000,173445.70000000
1731178800000,3.0905000,3.1500000,3.0243000,3.0835000,2890311.40000000,1386851.80000000,-116607.80000000
1731182400000,3.0835000,3.1441000,3.0322000,3.0449000,1743879.00000000,846677.50000000,-50524.00000000
1731186000000,3.0448000,3.1028000,3.0238000,3.0880000,1418432.70000000,730937.80000000,43442.90000000
1731189600000,3.0877000,3.0990000,3.0056000,3.0279000,1181611.70000000,584059.30000000,-13493.10000000
1731193200000,3.0283000,3.3499000,3.0196000,3.2936000,3630360.80000000,2036857.70000000,443354.60000000
1731196800000,3.2936000,3.3578000,3.1453000,3.1647000,3674987.00000000,1773560.40000000,-127866.20000000
1731200400000,3.1645000,3.1789000,3.0544000,3.0951000,2247230.20000000,971787.10000000,-303656.00000000
1731204000000,3.0963000,3.3628000,3.0922000,3.3081000,3133069.50000000,1560062.10000000,-12945.30000000
1731207600000,3.3081000,3.3832000,3.2646000,3.2757000,2275791.80000000,1092185.50000000,-91420.80000000
1731211200000,3.2769000,3.2975000,3.1833000,3.2158000,2383890.10000000,1139547.90000000,-104794.30000000
1731214800000,3.2168000,3.2743000,3.1445000,3.1623000,2600024.70000000,1163581.10000000,-272862.50000000
1731218400000,3.1623000,3.1648000,3.0810000,3.1158000,2056121.40000000,1032835.50000000,9549.60000000
1731222000000,3.1166000,3.1520000,3.0861000,3.0977000,1797808.50000000,805735.70000000,-186337.10000000
1731225600000,3.0970000,3.1133000,3.0300000,3.0537000,1779394.30000000,890576.40000000,1758.50000000
1731229200000,3.0538000,3.1348000,3.0521000,3.1025000,2036924.80000000,952150.40000000,-132624.00000000
1731232800000,3.1026000,3.1800000,3.1003000,3.1691000,1727923.40000000,850477.20000000,-26969.00000000
1731236400000,3.1681000,3.3500000,3.1513000,3.2688000,3507909.20000000,1816760.50000000,125611.80000000
1731240000000,3.2669000,3.3565000,3.1706000,3.2046000,3439945.40000000,1670512.90000000,-98919.60000000
1731243600000,3.2058000,3.2294000,3.0370000,3.1025000,2540375.20000000,1072824.70000000,-394725.80000000
1731247200000,3.1015000,3.1324000,2.9656000,3.0084000,3075463.40000000,1283295.80000000,-508871.80000000
1731250800000,3.0097000,3.0657000,2.9895000,3.0469000,1927323.30000000,997767.80000000,68212.30000000
1731254400000,3.0476000,3.2417000,3.0467000,3.1574000,3752796.50000000,1865044.00000000,-22708.50000000
1731258000000,3.1573000,3.2184000,3.0670000,3.0869000,1914354.90000000,840155.30000000,-234044.30000000
1731261600000,3.0875000,3.1425000,2.9942000,3.0019000,1868383.80000000,777585.20000000,-313213.40000000
1731265200000,3.0020000,3.0059000,2.8514000,2.9381000,3547067.40000000,1501341.60000000,-544384.20000000
1731268800000,2.9379000,2.9513000,2.8100000,2.8187000,2459893.00000000,1115475.30000000,-228942.40000000
