open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,0.06939,0.06957,0.06884,0.06923,8205900.00000000,3957360.00000000,-291180.00000000
1675688400000,0.06924,0.06974,0.06903,0.06921,9873141.00000000,4669436.00000000,-534269.00000000
1675692000000,0.06920,0.06980,0.06896,0.06941,16214190.00000000,8680479.00000000,1146768.00000000
1675695600000,0.06943,0.07069,0.06882,0.07046,23000427.00000000,13184441.00000000,3368455.00000000
1675699200000,0.07047,0.07071,0.06917,0.06967,22044644.00000000,10565889.00000000,-912866.00000000
1675702800000,0.06968,0.06987,0.06941,0.06962,10160220.00000000,5063026.00000000,-34168.00000000
1675706400000,0.06963,0.06994,0.06922,0.06958,10395526.00000000,5263784.00000000,132042.00000000
1675710000000,0.06958,0.06987,0.06912,0.06927,9036280.00000000,4432953.00000000,-170374.00000000
1675713600000,0.06927,0.06940,0.06894,0.06909,8360116.00000000,4428388.00000000,496660.00000000
1675717200000,0.06909,0.06914,0.06823,0.06847,14693163.00000000,6535907.00000000,-1621349.00000000
1675720800000,0.06847,0.06861,0.06829,0.06832,8490130.00000000,4235476.00000000,-19178.00000000
1675724400000,0.06832,0.06837,0.06692,0.06752,25665972.00000000,11224524.00000000,-3216924.00000000
1675728000000,0.06753,0.06966,0.06741,0.06854,47115951.00000000,24538015.00000000,1960079.00000000
1675731600000,0.06853,0.06893,0.06830,0.06858,12886662.00000000,5409179.00000000,-2068304.00000000
1675735200000,0.06859,0.06881,0.06813,0.06876,9151674.00000000,3774587.00000000,-1602500.00000000
1675738800000,0.06877,0.06883,0.06837,0.06856,6043734.00000000,2773946.00000000,-495842.00000000
1675742400000,0.06858,0.06884,0.06841,0.06855,7748875.00000000,3620145.00000000,-508585.00000000
1675746000000,0.06856,0.06897,0.06856,0.06878,6660457.00000000,2914374.00000000,-831709.00000000
1675749600000,0.06880,0.06938,0.06877,0.06926,11412392.00000000,5365608.00000000,-681176.00000000
1675753200000,0.06925,0.06951,0.06897,0.06901,11113171.00000000,4443132.00000000,-2226907.00000000
1675756800000,0.06901,0.06909,0.06833,0.06838,15125780.00000000,6691716.00000000,-1742348.00000000
1675760400000,0.06838,0.06915,0.06835,0.06895,14838615.00000000,7377869.00000000,-82877.00000000
1675764000000,0.06895,0.06926,0.06867,0.06887,11604572.00000000,5689698.00000000,-225176.00000000
1675767600000,0.06887,0.06914,0.06870,0.06881,8881399.00000000,4434026.00000000,-13347.00000000
1675771200000,0.06882,0.06946,0.06855,0.06913,15034290.00000000,8131518.00000000,1228746.00000000
1675774800000,0.06914,0.06919,0.06841,0.06906,15665139.00000000,8692523.00000000,1719907.00000000
1675778400000,0.06905,0.07853,0.06896,0.07675,732300686.00000000,377059046.00000000,21817406.00000000
1675782000000,0.07676,0.07790,0.07388,0.07515,165013847.00000000,79250820.00000000,-6512207.00000000
1675785600000,0.07513,0.07539,0.07316,0.07340,77583881.00000000,35109388.00000000,-7365105.00000000
1675789200000,0.07341,0.07532,0.07231,0.07532,71248086.00000000,38358684.00000000,5469282.00000000
1675792800000,0.07533,0.07646,0.07344,0.07417,108922875.00000000,53245821.00000000,-2431233.00000000
1675796400000,0.07415,0.07586,0.07410,0.07579,43847748.00000000,22660317.00000000,1472886.00000000
1675800000000,0.07579,0.07661,0.07558,0.07590,46810781.00000000,22846402.00000000,-1117977.00000000
1675803600000,0.07590,0.07633,0.07448,0.07482,48176619.00000000,21625058.00000000,-4926503.00000000
1675807200000,0.07483,0.07507,0.07435,0.07482,24655324.00000000,11413573.00000000,-1828178.00000000
1675810800000,0.07481,0.07538,0.07476,0.07484,18265964.00000000,8623152.00000000,-1019660.00000000
1675814400000,0.07486,0.07535,0.07428,0.07454,30275677.00000000,13477365.00000000,-3320947.00000000
1675818000000,0.07452,0.07472,0.07342,0.07404,28838568.00000000,12120919.00000000,-4596730.00000000
1675821600000,0.07405,0.07462,0.07385,0.07390,16589143.00000000,7944525.00000000,-700093.00000000
1675825200000,0.07389,0.07465,0.07375,0.07458,14129069.00000000,7766804.00000000,1404539.00000000
1675828800000,0.07459,0.07501,0.07429,0.07462,19978719.00000000,9135975.00000000,-1706769.00000000
1675832400000,0.07461,0.07484,0.07397,0.07473,13436347.00000000,6078338.00000000,-1279671.00000000
1675836000000,0.07473,0.07521,0.07399,0.07501,14838146.00000000,8254764.00000000,1671382.00000000
1675839600000,0.07498,0.07575,0.07481,0.07549,23680231.00000000,12871154.00000000,2062077.00000000
1675843200000,0.07547,0.07556,0.07407,0.07497,24599245.00000000,12103016.00000000,-393213.00000000
1675846800000,0.07498,0.07552,0.07462,0.07507,24627343.00000000,12764607.00000000,901871.00000000
1675850400000,0.07507,0.07722,0.07485,0.07650,87302269.00000000,47223099.00000000,7143929.00000000
1675854000000,0.07651,0.07850,0.07599,0.07808,92256979.00000000,48898614.00000000,5540249.00000000
1675857600000,0.07808,0.07940,0.07641,0.07674,163262240.00000000,72939737.00000000,-17382766.00000000
1675861200000,0.07675,0.07896,0.07642,0.07879,63236013.00000000,32542455.00000000,1848897.00000000
1675864800000,0.07878,0.07910,0.07613,0.07676,78556412.00000000,35388405.00000000,-7779602.00000000
1675868400000,0.07678,0.07684,0.07476,0.07487,76659959.00000000,34436698.00000000,-7786563.00000000
1675872000000,0.07488,0.07544,0.07236,0.07457,83942745.00000000,38332728.00000000,-7277289.00000000
1675875600000,0.07460,0.07586,0.07442,0.07558,38557468.00000000,17908218.00000000,-2741032.00000000
1675879200000,0.07559,0.07727,0.07541,0.07620,57953836.00000000,28114755.00000000,-1724326.00000000
1675882800000,0.07622,0.07736,0.07542,0.07600,42670742.00000000,19011563.00000000,-4647616.00000000
1675886400000,0.07599,0.07602,0.07476,0.07499,30430726.00000000,14699101.00000000,-1032524.00000000
1675890000000,0.07497,0.07600,0.07491,0.07567,17606727.00000000,10153757.00000000,2700787.00000000
1675893600000,0.07568,0.07573,0.07471,0.07478,16378402.00000000,7310170.00000000,-1758062.00000000
1675897200000,0.07478,0.07560,0.07411,0.07517,24991271.00000000,12142590.00000000,-706091.00000000
1675900800000,0.07520,0.07639,0.07479,0.07536,29665400.00000000,14092798.00000000,-1479804.00000000
1675904400000,0.07536,0.07554,0.07420,0.07428,16182861.00000000,8511771.00000000,840681.00000000
1675908000000,0.07429,0.07480,0.07292,0.07295,30426183.00000000,16442691.00000000,2459199.00000000
1675911600000,0.07296,0.07309,0.07011,0.07146,74014056.00000000,35282388.00000000,-3449280.00000000
1675915200000,0.07146,0.07238,0.07075,0.07172,23576011.00000000,12170529.00000000,765047.00000000
