open_time,open,high,low,close,volume,taker_buy,delta
1748599200000,33.38700,33.86300,33.23200,33.42100,139406.09000000,67987.59000000,-3430.91000000
1748602800000,33.42700,33.49200,32.58400,32.98700,192499.31000000,97923.06000000,3346.81000000
1748606400000,32.98800,33.57300,32.63400,33.37900,316007.87000000,151430.60000000,-13146.67000000
1748610000000,33.38000,33.67300,32.36500,32.37800,257858.77000000,128190.45000000,-1477.87000000
1748613600000,32.37800,32.60900,31.36900,31.78900,327790.06000000,160799.92000000,-6190.22000000
1748617200000,31.78800,32.78500,31.69500,32.51400,312790.55000000,187054.99000000,61319.43000000
1748620800000,32.51800,32.84000,31.71300,32.40000,471241.93000000,248314.14000000,25386.35000000
1748624400000,32.40800,33.21300,32.24800,33.09900,329543.46000000,159268.12000000,-11007.22000000
1748628000000,33.09800,34.21200,33.05700,34.20100,367784.58000000,204723.45000000,41662.32000000
1748631600000,34.20200,34.34800,33.36300,33.38600,337166.67000000,156003.65000000,-25159.37000000
1748635200000,33.38600,33.81700,33.11500,33.13000,226862.05000000,111697.87000000,-3466.31000000
1748638800000,33.13000,33.78200,33.01800,33.53800,157924.23000000,95346.34000000,32768.45000000
1748642400000,33.54200,33.66100,32.12700,32.28900,218774.03000000,95622.02000000,-27529.99000000
1748646000000,32.29300,32.84000,31.99800,32.81600,210576.97000000,110874.62000000,11172.27000000
1748649600000,32.83000,33.66300,32.76400,32.98000,384810.57000000,200825.14000000,16839.71000000
1748653200000,32.99100,33.08000,32.10200,32.10200,329275.54000000,156682.74000000,-15910.06000000
1748656800000,32.10500,32.20000,30.93100,31.02000,381653.71000000,177120.48000000,-27412.75000000
1748660400000,31.02300,31.77700,30.88500,31.67000,276989.20000000,159712.99000000,42436.78000000
1748664000000,31.67000,32.21700,31.10100,31.89600,227052.17000000,123828.29000000,20604.41000000
1748667600000,31.89100,32.10000,31.37600,31.38900,210270.99000000,100024.91000000,-10221.17000000
1748671200000,31.39000,32.01900,31.35700,31.93900,149286.42000000,81411.79000000,13537.16000000
1748674800000,31.93800,31.99400,31.01500,31.51400,239518.28000000,124991.11000000,10463.94000000
1748678400000,31.51400,31.71600,31.09900,31.14500,213142.11000000,101568.68000000,-10004.75000000
1748682000000,31.14000,31.52100,30.93100,31.04000,173336.14000000,84741.61000000,-3852.92000000
1748685600000,31.04600,31.32400,30.72400,31.31700,165431.91000000,75509.16000000,-14413.59000000
1748689200000,31.32100,31.65600,31.18100,31.38200,134912.36000000,70781.52000000,6650.68000000
1748692800000,31.38200,32.41200,31.36200,32.38600,265313.33000000,145245.71000000,25178.09000000
1748696400000,32.38500,32.90500,32.33400,32.69800,317740.22000000,166246.77000000,14753.32000000
1748700000000,32.69700,32.97700,32.23900,32.83800,301034.18000000,157302.93000000,13571.68000000
1748703600000,32.83700,33.24100,32.47300,32.66300,423256.50000000,187043.60000000,-49169.30000000
1748707200000,32.66200,33.17000,32.54100,32.91600,219456.82000000,105715.08000000,-8026.66000000
1748710800000,32.91600,32.93100,32.42100,32.50700,155846.49000000,79850.77000000,3855.05000000
1748714400000,32.51100,32.90700,32.40100,32.90300,102519.36000000,48177.83000000,-6163.70000000
1748718000000,32.90400,33.13100,32.74400,32.91300,123245.64000000,57955.93000000,-7333.78000000
1748721600000,32.91000,33.00500,32.71100,32.78000,65760.87000000,32330.72000000,-1099.43000000
